REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_F_CLS,ID,1.5434664056257001
Globe,ALUPLANT,1,2010,C1_F_CLS,IN,1.5434664056257001
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,0.7051020601049984
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,0.7051020601049984
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.5922800049335084
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.5922800049335084
Globe,ALUPLANT,1,2010,XALU,ID,246.71415160312128
Globe,ALUPLANT,1,2010,XALU,IN,246.71415160312128
Globe,ALUPLANT,1,2011,C1_F_CLS,ID,1.4574415023970482
Globe,ALUPLANT,1,2011,C1_F_CLS,IN,1.4574415023970482
Globe,ALUPLANT,1,2011,C1_F_CLS,IP,1.4574415023970477
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,0.6675912336852595
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,0.6675912336852595
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.6675912336852593
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.5612388941797517
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.5612388941797517
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.5612388941797515
Globe,ALUPLANT,1,2011,XALU,ID,235.31324759217864
Globe,ALUPLANT,1,2011,XALU,IN,235.31324759217864
Globe,ALUPLANT,1,2011,XALU,IP,235.31324759217856
Globe,ALUPLANT,1,2012,C1_F_CLS,ID,1.612348527917508
Globe,ALUPLANT,1,2012,C1_F_CLS,IN,1.612348527917508
Globe,ALUPLANT,1,2012,C1_F_CLS,IP,0.25680203122458994
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,0.7405340864532102
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IN,0.7405340864532102
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IP,0.11794637096103087
Globe,ALUPLANT,1,2012,C1_P_HCO,ID,0.6230793456560648
Globe,ALUPLANT,1,2012,C1_P_HCO,IN,0.6230793456560648
Globe,ALUPLANT,1,2012,C1_P_HCO,IP,0.09923911536994454
Globe,ALUPLANT,1,2012,XALU,ID,262.93109252877457
Globe,ALUPLANT,1,2012,XALU,IN,262.93109252877457
Globe,ALUPLANT,1,2012,XALU,IP,41.87757018062318
Globe,ALUPLANT,1,2013,C1_F_CLS,ID,1.5403865110620938
Globe,ALUPLANT,1,2013,C1_F_CLS,IN,1.5403865110620938
Globe,ALUPLANT,1,2013,C1_F_CLS,IP,1.5403865110620936
Globe,ALUPLANT,1,2013,C1_F_HEA_I,ID,0.7093845229353338
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IN,0.7093845229353338
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IP,0.7093845229353337
Globe,ALUPLANT,1,2013,C1_P_HCO,ID,0.5973648122162645
Globe,ALUPLANT,1,2013,C1_P_HCO,IN,0.5973648122162645
Globe,ALUPLANT,1,2013,C1_P_HCO,IP,0.5973648122162644
Globe,ALUPLANT,1,2013,XALU,ID,253.69404386645036
Globe,ALUPLANT,1,2013,XALU,IN,253.69404386645036
Globe,ALUPLANT,1,2013,XALU,IP,253.69404386645033
Globe,ALUPLANT,1,2014,C1_F_CLS,ID,1.580694450839665
Globe,ALUPLANT,1,2014,C1_F_CLS,IN,1.580694450839665
Globe,ALUPLANT,1,2014,C1_F_CLS,IP,1.5806944508396645
Globe,ALUPLANT,1,2014,C1_F_HEA_I,ID,0.7299030717532067
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IN,0.7299030717532067
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IP,0.7299030717532065
Globe,ALUPLANT,1,2014,C1_P_HCO,ID,0.6151536813659254
Globe,ALUPLANT,1,2014,C1_P_HCO,IN,0.6151536813659254
Globe,ALUPLANT,1,2014,C1_P_HCO,IP,0.6151536813659253
Globe,ALUPLANT,1,2014,XALU,ID,262.90309877691396
Globe,ALUPLANT,1,2014,XALU,IN,262.90309877691396
Globe,ALUPLANT,1,2014,XALU,IP,262.9030987769139
Globe,ALUPLANT,1,2015,C1_F_CLS,ID,1.620245939252499
Globe,ALUPLANT,1,2015,C1_F_CLS,IN,1.620245939252499
Globe,ALUPLANT,1,2015,C1_F_CLS,IP,1.6202459392525008
Globe,ALUPLANT,1,2015,C1_F_HEA_I,ID,0.75017686021805
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IN,0.75017686021805
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IP,0.7501768602180507
Globe,ALUPLANT,1,2015,C1_P_HCO,ID,0.6327604526455117
Globe,ALUPLANT,1,2015,C1_P_HCO,IN,0.6327604526455117
Globe,ALUPLANT,1,2015,C1_P_HCO,IP,0.6327604526455124
Globe,ALUPLANT,1,2015,XALU,ID,272.12343567348216
Globe,ALUPLANT,1,2015,XALU,IN,272.12343567348216
Globe,ALUPLANT,1,2015,XALU,IP,272.1234356734824
Globe,ALUPLANT,1,2016,C1_F_CLS,ID,1.6590558671714286
Globe,ALUPLANT,1,2016,C1_F_CLS,IN,1.6590558671714286
Globe,ALUPLANT,1,2016,C1_F_CLS,IP,1.6590558671714286
Globe,ALUPLANT,1,2016,C1_F_HEA_I,ID,0.7702135338553819
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IN,0.7702135338553819
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IP,0.7702135338553819
Globe,ALUPLANT,1,2016,C1_P_HCO,ID,0.6501912192086292
Globe,ALUPLANT,1,2016,C1_P_HCO,IN,0.6501912192086292
Globe,ALUPLANT,1,2016,C1_P_HCO,IP,0.6501912192086292
Globe,ALUPLANT,1,2016,XALU,ID,281.35506110736566
Globe,ALUPLANT,1,2016,XALU,IN,281.35506110736566
Globe,ALUPLANT,1,2016,XALU,IP,281.35506110736566
Globe,ALUPLANT,1,2017,C1_F_CLS,ID,1.6971302273926414
Globe,ALUPLANT,1,2017,C1_F_CLS,IN,1.6971302273926414
Globe,ALUPLANT,1,2017,C1_F_CLS,IP,1.697130227392641
Globe,ALUPLANT,1,2017,C1_F_HEA_I,ID,0.7900089019007297
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IN,0.7900089019007297
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IP,0.7900089019007295
Globe,ALUPLANT,1,2017,C1_P_HCO,ID,0.6674502021696888
Globe,ALUPLANT,1,2017,C1_P_HCO,IN,0.6674502021696888
Globe,ALUPLANT,1,2017,C1_P_HCO,IP,0.6674502021696885
Globe,ALUPLANT,1,2017,XALU,ID,290.59587182621897
Globe,ALUPLANT,1,2017,XALU,IN,290.59587182621897
Globe,ALUPLANT,1,2017,XALU,IP,290.5958718262189
Globe,ALUPLANT,1,2018,C1_F_CLS,ID,1.7345057276075706
Globe,ALUPLANT,1,2018,C1_F_CLS,IN,1.7345057276075706
Globe,ALUPLANT,1,2018,C1_F_CLS,IP,1.7345057276075693
Globe,ALUPLANT,1,2018,C1_F_HEA_I,ID,0.8095778832847197
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IN,0.8095778832847197
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IP,0.809577883284719
Globe,ALUPLANT,1,2018,C1_P_HCO,ID,0.6845405820860567
Globe,ALUPLANT,1,2018,C1_P_HCO,IN,0.6845405820860567
Globe,ALUPLANT,1,2018,C1_P_HCO,IP,0.6845405820860562
Globe,ALUPLANT,1,2018,XALU,ID,299.8487223487832
Globe,ALUPLANT,1,2018,XALU,IN,299.8487223487832
Globe,ALUPLANT,1,2018,XALU,IP,299.848722348783
Globe,ALUPLANT,1,2019,C1_F_CLS,ID,1.7451260655197194
Globe,ALUPLANT,1,2019,C1_F_CLS,IN,1.7451260655197194
Globe,ALUPLANT,1,2019,C1_F_CLS,IP,1.7451260655197198
Globe,ALUPLANT,1,2019,C1_F_HEA_I,ID,0.8167252806357526
Globe,ALUPLANT,1,2019,C1_F_HEA_I,IN,0.8167252806357526
Globe,ALUPLANT,1,2019,C1_F_HEA_I,IP,0.8167252806357528
Globe,ALUPLANT,1,2019,C1_P_HCO,ID,0.6911481252906115
Globe,ALUPLANT,1,2019,C1_P_HCO,IN,0.6911481252906115
Globe,ALUPLANT,1,2019,C1_P_HCO,IP,0.6911481252906118
Globe,ALUPLANT,1,2019,XALU,ID,304.5635361711121
Globe,ALUPLANT,1,2019,XALU,IN,304.5635361711121
Globe,ALUPLANT,1,2019,XALU,IP,304.5635361711122
Globe,ALUPLANT,1,2020,C1_F_CLS,ID,1.7540321710995668
Globe,ALUPLANT,1,2020,C1_F_CLS,IN,1.7540321710995668
Globe,ALUPLANT,1,2020,C1_F_CLS,IP,1.7540321710995654
Globe,ALUPLANT,1,2020,C1_F_HEA_I,ID,0.8231045571017318
Globe,ALUPLANT,1,2020,C1_F_HEA_I,IN,0.8231045571017318
Globe,ALUPLANT,1,2020,C1_F_HEA_I,IP,0.8231045571017311
Globe,ALUPLANT,1,2020,C1_P_HCO,ID,0.6971074804233429
Globe,ALUPLANT,1,2020,C1_P_HCO,IN,0.6971074804233429
Globe,ALUPLANT,1,2020,C1_P_HCO,IP,0.6971074804233423
Globe,ALUPLANT,1,2020,XALU,ID,309.01938938873843
Globe,ALUPLANT,1,2020,XALU,IN,309.01938938873843
Globe,ALUPLANT,1,2020,XALU,IP,309.01938938873815
Globe,ALUPLANT,1,2021,C1_F_CLS,ID,1.76123473239507
Globe,ALUPLANT,1,2021,C1_F_CLS,IN,1.76123473239507
Globe,ALUPLANT,1,2021,C1_F_CLS,IP,1.76123473239507
