TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2010,Globe,ALUPLANT,1,1.3120108572721103
ID,2010,Globe,ALURCPLANT,1,12.5097568
ID,2010,Globe,C1BFRDF00,1,0.25692297999999997
ID,2010,Globe,C1BMBRFN1,1,0.24814843852097482
ID,2010,Globe,C1BMCHP00,1,0.9430719386400005
ID,2010,Globe,C1BMHTF03,1,6.750510407828314
ID,2010,Globe,C1BMLP000,1,2.9663124652595743
ID,2010,Globe,C1CO00I00,1,52.69939776398685
ID,2010,Globe,C1COBRFH1,1,3.2764834929599997
ID,2010,Globe,C1COCHP00,1,2.13650715636
ID,2010,Globe,C1COHTF03,1,18.88422290208
ID,2010,Globe,C1COIGP00,1,0.0108397116
ID,2010,Globe,C1COLP000,1,1.55822
ID,2010,Globe,C1COSCP00,1,11.653672766018977
ID,2010,Globe,C1COSF000,1,1.2374100000000001
ID,2010,Globe,C1ELEFF00,1,36.197534369603524
ID,2010,Globe,C1ELRDF00,1,0.05399283702742939
ID,2010,Globe,C1GOCVP00,1,0.804740189184
ID,2010,Globe,C1GOHTF03,1,1.0059252364799998
ID,2010,Globe,C1HFGCPCH,1,0.17299105912799995
ID,2010,Globe,C1HFMRF00,1,46.95987282686316
ID,2010,Globe,C1HPASF01,1,2.2199999999999998
ID,2010,Globe,C1HTOOTFI,1,36.436258024979274
ID,2010,Globe,C1HTOOTFR,1,16.853063738207005
ID,2010,Globe,C1HYDMP00,1,5.008235818176
ID,2010,Globe,C1HYMIP00,1,0.43413767605439996
ID,2010,Globe,C1LFAVF00,1,1.22
ID,2010,Globe,C1LFBRFN1,1,3.666911275593769
ID,2010,Globe,C1LFRDF00,1,8.25829102
ID,2010,Globe,C1NG00I00,1,48.01889799910296
ID,2010,Globe,C1NGBRFN1,1,8.96958974131025
ID,2010,Globe,C1NGCCP00,1,4.995661752719999
ID,2010,Globe,C1NGCCPCH,1,2.23731647424
ID,2010,Globe,C1NGGCPCH,1,1.77879667356
ID,2010,Globe,C1NGHTF03,1,9.098966479806979
ID,2010,Globe,C1NU00I00,1,14.101355498873701
ID,2010,Globe,C1NULWP00,1,5.07243003556608
ID,2010,Globe,C1OCCVP00,1,0.0014308419311999997
ID,2010,Globe,C1OI00I00,1,68.69275594016594
ID,2010,Globe,C1OIHTF03,1,7.427370388319999
ID,2010,Globe,C1OIRFP00,2,68.69275594016594
ID,2010,Globe,C1SOC1P00,1,0.042925257935999994
ID,2010,Globe,C1SOTHF00,1,0.464806833408
ID,2010,Globe,C1SOV1P00,1,0.12140476991999999
ID,2010,Globe,C1SOV2P00,1,0.09249887232
ID,2010,Globe,C1WDOFP00,1,0.01026595265735808
ID,2010,Globe,C1WDONP00,1,0.7327645041599999
ID,2010,Globe,CEMPLANT,1,4.974644848
ID,2010,Globe,FERTPLANT,1,0.00030329135444250526
ID,2010,Globe,LA1_PROD,1,1479.4700216707572
ID,2010,Globe,MFOOFACTOR,1,5.488922398793645
ID,2010,Globe,PAPPLANT,1,3.037274524075636
ID,2010,Globe,PETAPLANT,1,7.4743046645764344e-06
ID,2010,Globe,PETBPLANT,1,23.646098861094405
ID,2010,Globe,STEPLANT,1,13.090276765851621
ID,2010,Globe,VFOOFACTOR,1,43.259396424257794
ID,2010,Globe,XALUMINE,1,1.1306909567971046
ID,2010,Globe,XCEMMINE,1,20.6447761192
ID,2010,Globe,XPHOMINE,1,9.705323342160174e-07
ID,2010,Globe,XPOTMINE,1,2.123039481097537e-07
ID,2010,Globe,XSTEMINE,1,20.145019623272038
ID,2010,Globe,ALURECYCLE,1,42.37930269473684
ID,2010,Globe,LA,1,4679.470021670758
ID,2010,Globe,LA1,1,1479.4700216707572
ID,2010,Globe,LA2,1,3200.0
ID,2010,Globe,LA2_PROD,1,3200.0
ID,2010,Globe,LandRes,1,7450.489666705755
ID,2010,Globe,LF,1,2710.2896667057553
ID,2010,Globe,LF1,1,1947.8400000000001
ID,2010,Globe,LF2,1,762.4496667057546
ID,2010,Globe,LF2_PROD,1,762.4496667057547
ID,2011,Globe,ALUPLANT,1,1.2406464529074308
ID,2011,Globe,ALURCPLANT,1,13.0060957
ID,2011,Globe,C1BFRDF00,1,0.26746388
ID,2011,Globe,C1BMBRFH1,1,0.028115588544844014
ID,2011,Globe,C1BMBRFN1,1,0.24814843852097482
ID,2011,Globe,C1BMCHP00,1,1.131449096808
ID,2011,Globe,C1BMHTF03,1,6.569848547828314
ID,2011,Globe,C1BMLP000,1,3.064851528757447
ID,2011,Globe,C1CO00I00,1,71.69723262302142
ID,2011,Globe,C1COBRFH1,1,4.29108049872
ID,2011,Globe,C1COCHP00,1,1.4646390718292637
ID,2011,Globe,C1COHTF03,1,18.452282509440007
ID,2011,Globe,C1COIGP00,1,0.0108397116
ID,2011,Globe,C1COLP000,1,1.55822
ID,2011,Globe,C1COSCP00,1,16.634449193518872
ID,2011,Globe,C1COSF000,1,1.2374100000000001
ID,2011,Globe,C1ELEFF00,1,34.3721238532694
ID,2011,Globe,C1ELRDF00,1,0.05399283702742939
ID,2011,Globe,C1ELRLF00,1,3.0300000000000002
ID,2011,Globe,C1GOCVP00,1,0.804740189184
ID,2011,Globe,C1GOHTF03,1,0.39135166847999986
ID,2011,Globe,C1HFGCPCH,1,0.1888485642973008
ID,2011,Globe,C1HFMRF00,1,33.68838823720603
ID,2011,Globe,C1HPASF01,1,2.22
ID,2011,Globe,C1HTOOTFI,1,30.664177676964776
ID,2011,Globe,C1HTOOTFR,1,16.259228055934162
ID,2011,Globe,C1HYDMP00,1,5.020296253078752
ID,2011,Globe,C1HYMIP00,1,0.4297636807308902
ID,2011,Globe,C1LFBRFN1,1,3.666911275593769
ID,2011,Globe,C1LFRDF00,1,8.596981285580656
ID,2011,Globe,C1LFRLF00,1,7.070000000000001
ID,2011,Globe,C1NG00I00,1,31.463004182659635
ID,2011,Globe,C1NGBRFN1,1,8.96958974131025
ID,2011,Globe,C1NGCCP00,1,0.45859073623429253
ID,2011,Globe,C1NGCCPCH,1,1.71298127808
ID,2011,Globe,C1NGGCPCH,1,1.35676930716
ID,2011,Globe,C1NGHTF03,1,7.188169665951233
ID,2011,Globe,C1NU00I00,1,12.692818729033393
ID,2011,Globe,C1NULWP00,1,4.57234104071808
ID,2011,Globe,C1OCCVP00,1,0.0012747387311999997
ID,2011,Globe,C1OI00I00,1,53.73591485403763
ID,2011,Globe,C1OIHTF03,1,6.492860631359999
ID,2011,Globe,C1OIRFP00,1,3.048000019890329
ID,2011,Globe,C1OIRFP00,2,50.6879148341473
ID,2011,Globe,C1SOC1P00,1,0.042925257935999994
ID,2011,Globe,C1SOTHF00,1,0.513368741376
ID,2011,Globe,C1SOV1P00,1,0.21245834736
ID,2011,Globe,C1SOV2P00,1,0.16187302656
