VALUE,AMM,XPHO,XPOT
2010,0.00023100111620989999,0.00012118091342160166,2.650832481097537e-05
2011,0.00023390261793237185,0.00012270301268586686,2.6841284025033374e-05
2012,0.0002368189991509,0.0001242329175873,2.7175950722240388e-05
2013,0.0002397576996134,0.0001257745309447,2.751317864417092e-05
2014,0.000242711279572,0.0001273239499394,2.785211404925048e-05
2015,0.0002461358935068,0.0001291204687249,2.824510253357658e-05
2016,0.0002497709733299694,0.00013102739584525597,2.8662242841149744e-05
2017,0.0002534283723971,0.0001329460314214,2.9081944373446432e-05
2018,0.0002571006509603,0.0001348724726349,2.9503353388892136e-05
2019,0.0002607952487674486,0.00013681062230423368,2.9927323629061375e-05
2020,0.0002645047260707,0.0001387565776108,3.0353001352379626e-05
2021,0.0002664838295501,0.0001397947958295,3.05801115877204e-05
2022,0.000268425465528,0.0001408133589655,3.080292227370598e-05
2023,0.0002703427215763,0.0001418191326302,3.102293526286401e-05
2024,0.00027221864119639997,0.0001428032216112,3.123820472746166e-05
2025,0.00027406610833250004,0.000143772384699,3.145020915291056e-05
2026,0.0002758563297431,0.0001447115172423,3.165564439676057e-05
2027,0.0002776136188599,0.0001456333738281,3.185730052490849e-05
2028,0.0002793207748304755,0.00014652893105862158,3.2053203669082196e-05
2029,0.00028099007071628765,0.00014740462726094272,3.224476221334511e-05
2030,0.0002826041020372,0.0001482513322162,3.2429978922309103e-05
2031,0.00028334777012599995,0.00014864145318079996,3.251531788331893e-05
2032,0.0002840187575078,0.0001489934465615,3.2592316435332475e-05
2033,0.0002846373981730867,0.00014931797936946844,3.2663307987078544e-05
2034,0.0002851845261454,0.0001496049973222,3.272609316423281e-05
2035,0.00028566103602247286,0.00014985496971666774,3.27807746255348e-05
2036,0.0002860634254074,0.0001500660592301285,3.28269504565906e-05
2037,0.0002863879475500133,0.00015023630035409553,3.286419070246469e-05
2038,0.0002866189782321,0.0001503574967775,3.289070242008104e-05
2039,0.00028678339523,0.0001504437483174,3.2909569944434685e-05
2040,0.0002868459313051,0.0001504765541273,3.291674621534887e-05
2041,0.0002863597504006,0.00015022150840690514,3.286095496401049e-05
2042,0.0002857744842448,0.00014991448353828983,3.27937932740009e-05
2043,0.000285091993186,0.00014955645544186723,3.271547462790846e-05
2044,0.0002843003576661,0.00014914117123477643,3.2624631207607346e-05
2045,0.0002833934688536,0.00014866542628394518,3.252056199961301e-05
2046,0.0002823656251722173,0.00014812622959851728,3.2402612724683266e-05
2047,0.0002812185647932,0.00014752449300632671,3.227098284513398e-05
2048,0.00027991958482337517,0.0001468430608909509,3.212191956989552e-05
2049,0.00027849966329206025,0.0001460981840220644,3.195897775482659e-05
2050,0.0002769327225427946,0.0001452761823174775,3.177916488196166e-05
