VALUE,C1BFRDF00,C1ELRDF00,C1ELRLF00,C1HFMRF00,C1LFAVF00,C1LFRDF00,C1LFRLF00,C1MHMRF00
2010,1.8422437199999995,0.1062599999999998,0.4980986999999999,10.421925199999999,6.5606842,71.5550374,1.4075280000000003,0.0
2011,1.89602886,0.103531804928466,0.5048676900000001,10.6623504,7.2085329,72.3136872265185,1.591457,0.0
2012,1.9520572499999997,0.1027494487199386,0.5131615999999999,10.148241600000002,7.601088800000001,73.67157220909479,1.53425,0.0
2013,1.8081770199999998,0.1019670925114112,0.328898,10.164168000000002,8.11078725,75.81637986442728,1.802389,0.0
2014,1.6687870400000002,0.11039137715784811,0.3267239999999999,10.462095,8.76671276,76.74716857299867,1.808625,0.0
2015,1.5423727149999995,0.1095378355818854,0.3245499999999999,10.760085000000002,9.73541834,78.97591842888971,1.83232,0.0
2016,1.412514539,0.184506,0.0,11.058285,10.67165924,80.00752130000001,2.2711460000000003,0.0
2017,1.2920436479999997,0.183057,0.2284030911173555,11.464748000000002,11.79331168,81.28846440000001,2.101903044688606,0.0
2018,1.1839105109999999,0.23609039999999998,0.6503672599999999,11.544207999999998,12.9172014,83.2114409,1.7381199999999997,0.0
2019,1.0793414080000003,0.26123055,0.75331179,11.384800000000002,13.76156375,83.1824688,1.6861799999999998,0.0
2020,0.9669400769999998,0.2591294999999997,0.0,10.385944,6.834058560000001,74.49389999999998,2.3037809999999994,0.0
2021,0.0,0.32793285,0.7810632000000001,12.353100000000001,8.32895544,76.65933000000001,1.862016,0.0
2022,0.0,0.3692051999999998,0.7983156,14.60144,9.951760279999998,77.94579000000002,2.3614380000000006,0.0
2023,0.0,0.4097530499999999,0.8139996000000002,16.87683,11.71903228,79.19762000000001,2.883079,0.0
2024,0.0,0.4495763999999999,1.0398492,19.30337,13.635003420000025,80.46758,2.849247999999999,0.0
2025,0.0,0.50582175,1.0602384,21.88079,15.713952000000003,81.64277,3.322039,0.0
2026,0.0,0.5610527999999999,1.0837644,22.558536,16.173000000000002,82.27192000000001,3.3956440000000003,0.0
2027,0.0,0.6236978999999999,1.1088588,23.209304999999997,16.64145,82.8495,3.4643420000000007,0.0
2028,0.0,0.6935396999999998,1.1339532000000003,23.833357000000007,17.126680999999998,83.40508000000001,3.5379469999999995,0.0
2029,0.0,0.7620773999999999,1.1590476,24.430387999999997,17.630026,83.91009000000001,3.606645,0.0
2030,0.0,0.8457330000000001,1.180221,24.30602512914407,18.1441,84.33696,3.692517500000001,34.89538082709492
2031,0.0,0.9440717999999999,1.2068838000000002,25.268060327273997,18.676335,85.0521,3.7759365,13.875279076491092
2032,0.0,1.0485930000000003,1.2335466000000002,24.22590144836817,19.223638,85.71342,3.859355500000001,92.2693354015702
2033,0.0,1.1670729,1.2602094,23.1123521257803,19.7912,86.2941,3.942774500000001,173.00274982032798
2034,0.0,1.2990768,1.2868722,21.9255662987947,20.373808000000004,86.79563999999999,4.0261935,256.1708265684031
2035,0.0,1.4441699999999997,1.3135350000000003,20.646867505826034,20.974799999999995,87.21954,4.109612500000001,342.72922005648473
2036,0.0,1.4308391999999999,1.3582344,18.930012501255373,21.597222,88.10369999999999,4.249462,450.12920457980414
2037,0.0,1.4175084,1.4029338,17.124640452730254,22.239051999999997,88.98292999999998,4.3893115,560.7960284253746
2038,0.0,1.4041776000000001,1.4476332000000005,15.384993751734914,22.903272,89.80384000000001,4.529161000000001,673.4266653006563
2039,0.0,1.3908467999999998,1.4923326000000006,13.445696372994927,23.58272,90.59325000000001,4.6690105000000015,787.7626060138751
2040,0.0,1.377516,1.5370320000000004,13.704306192028358,24.28532000000001,91.35116,4.808860000000001,790.7759283234478
2041,0.0,1.3641851999999997,1.5817314000000002,11.144422340329657,25.013296000000004,91.97528999999996,4.948709500000001,933.786481114102
2042,0.0,1.3508543999999998,1.6264307999999996,8.620257280633304,25.768848000000002,92.56992000000001,5.088559,1073.8505740190828
2043,0.0,1.3375236,1.6711301999999997,4.611748149444214,26.539253999999993,93.13504999999999,5.2284085,1287.2991449046299
2044,0.0,1.3241928,1.7158296,4.578960016236551,27.340823999999998,93.67068000000002,5.368258000000001,1299.983557851006
2045,0.0,1.3108620000000002,1.760529,2.249199060863151,28.171143,94.17680999999997,5.5081075,1426.84530158759
2046,0.0,1.2975312,1.8052284,0.0,29.020743000000003,94.58047999999997,5.647957000000001,1548.5604819999996
2047,0.0,1.2842004000000002,1.8499278,0.0,29.90197,94.95615000000001,5.7878065,1555.8952395999995
2048,0.0,1.2708696,1.8946272,0.0,30.812502,95.30382000000002,5.927656,1561.9462540000004
2049,0.0,1.2575388,1.9393266,0.0,31.749340000000004,95.62348999999999,6.0675055,1566.7239879999995
2050,0.0,1.2442080000000002,1.9832418,0.0,32.72511900000001,95.91516,6.204901499999998,1570.2086764000003
