REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2016,0.09469729640961767
Globe,ALUPLANT,2017,0.3287789491294214
Globe,ALUPLANT,2018,0.5618611892950665
Globe,ALUPLANT,2019,0.7448912964450265
Globe,ALUPLANT,2020,0.9246670205712275
Globe,ALUPLANT,2021,1.4033463369153043
Globe,ALUPLANT,2022,1.5783794193503227
Globe,ALUPLANT,2023,1.8079847075185727
Globe,ALUPLANT,2024,2.0367163487519933
Globe,ALUPLANT,2025,2.3077509339208477
Globe,ALUPLANT,2026,2.3077509339208477
Globe,ALUPLANT,2027,2.3077509339208477
Globe,ALUPLANT,2028,2.3077509339208477
Globe,ALUPLANT,2029,2.3077509339208477
Globe,ALUPLANT,2030,2.3077509339208477
Globe,ALUPLANT,2031,2.3077509339208477
Globe,ALUPLANT,2032,2.3077509339208477
Globe,ALUPLANT,2033,2.3077509339208477
Globe,ALUPLANT,2034,2.3077509339208477
Globe,ALUPLANT,2035,2.3077509339208477
Globe,ALUPLANT,2036,2.3077509339208477
Globe,ALUPLANT,2037,2.3077509339208477
Globe,ALUPLANT,2038,2.3077509339208477
Globe,ALUPLANT,2039,2.3077509339208477
Globe,ALUPLANT,2040,2.3077509339208477
Globe,ALUPLANT,2041,2.21305363751123
Globe,ALUPLANT,2042,1.9789719847914262
Globe,ALUPLANT,2043,1.745889744625781
Globe,ALUPLANT,2044,1.562859637475821
Globe,ALUPLANT,2045,1.38308391334962
Globe,ALUPLANT,2046,0.9044045970055432
Globe,ALUPLANT,2047,0.7293715145705248
Globe,ALUPLANT,2048,0.49976622640227486
Globe,ALUPLANT,2049,0.2710345851688545
Globe,ALURCPLANT,2010,27.296
Globe,ALURCPLANT,2011,28.379
Globe,ALURCPLANT,2012,29.463
Globe,ALURCPLANT,2013,30.546
Globe,ALURCPLANT,2014,31.629
Globe,ALURCPLANT,2015,32.712
Globe,ALURCPLANT,2016,33.796
Globe,ALURCPLANT,2017,34.879
Globe,ALURCPLANT,2018,35.962
Globe,ALURCPLANT,2019,38.203
Globe,ALURCPLANT,2020,40.512
Globe,ALURCPLANT,2021,42.888
Globe,ALURCPLANT,2022,45.332
Globe,ALURCPLANT,2023,46.551
Globe,ALURCPLANT,2024,47.77
Globe,ALURCPLANT,2025,48.98800000000001
Globe,ALURCPLANT,2026,139.464
Globe,ALURCPLANT,2027,142.849
Globe,ALURCPLANT,2028,146.234
Globe,ALURCPLANT,2029,149.62
Globe,ALURCPLANT,2030,153.005
Globe,ALURCPLANT,2031,156.39
Globe,ALURCPLANT,2032,159.775
Globe,ALURCPLANT,2033,163.161
Globe,ALURCPLANT,2034,166.546
Globe,ALURCPLANT,2035,169.931
Globe,ALURCPLANT,2036,173.316
Globe,ALURCPLANT,2037,176.702
Globe,ALURCPLANT,2038,180.08699999999996
Globe,ALURCPLANT,2039,183.472
Globe,ALURCPLANT,2040,186.857
Globe,ALURCPLANT,2041,190.243
Globe,ALURCPLANT,2042,193.62799999999996
Globe,ALURCPLANT,2043,197.013
Globe,ALURCPLANT,2044,200.399
Globe,ALURCPLANT,2045,203.78400000000002
Globe,ALURCPLANT,2046,207.16899999999998
Globe,ALURCPLANT,2047,210.554
Globe,ALURCPLANT,2048,213.94
Globe,ALURCPLANT,2049,217.32500000000002
Globe,ALURCPLANT,2050,220.70999999999998
Globe,ALURCPLANT,2051,220.71000000000004
Globe,ALURCPLANT,2052,220.71000000000004
Globe,ALURCPLANT,2053,220.71
Globe,ALURCPLANT,2054,220.71000000000004
Globe,ALURCPLANT,2055,220.71
Globe,ALURCPLANT,2056,220.71000000000004
Globe,ALURCPLANT,2057,220.71
Globe,ALURCPLANT,2058,220.71000000000004
Globe,ALURCPLANT,2059,220.71000000000004
Globe,ALURCPLANT,2060,220.71000000000006
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.04610000000000003
Globe,C1BFRDF00,2023,0.02310000000000001
Globe,C1BMBRFH1,2024,0.0478
Globe,C1BMBRFH1,2025,0.1
Globe,C1BMBRFH1,2026,0.1
Globe,C1BMBRFH1,2027,0.1
Globe,C1BMBRFH1,2028,0.1
Globe,C1BMBRFH1,2029,0.1
Globe,C1BMBRFH1,2030,0.1
Globe,C1BMBRFH1,2031,0.1
Globe,C1BMBRFH1,2032,0.1
Globe,C1BMBRFH1,2033,0.1
Globe,C1BMBRFH1,2034,0.1
Globe,C1BMBRFH1,2035,0.1
Globe,C1BMBRFH1,2036,0.1
Globe,C1BMBRFH1,2037,0.1
Globe,C1BMBRFH1,2038,0.1
Globe,C1BMBRFH1,2039,0.1
Globe,C1BMBRFH1,2040,0.1
Globe,C1BMBRFH1,2041,0.1
Globe,C1BMBRFH1,2042,0.1
Globe,C1BMBRFH1,2043,0.1
Globe,C1BMBRFH1,2044,0.1
Globe,C1BMBRFH1,2045,0.1
Globe,C1BMBRFH1,2046,0.1
Globe,C1BMBRFH1,2047,0.1
Globe,C1BMBRFH1,2048,0.1
Globe,C1BMBRFH1,2049,0.1
Globe,C1BMBRFH1,2050,0.1
Globe,C1BMBRFH1,2051,0.1
Globe,C1BMBRFH1,2052,0.1
Globe,C1BMBRFH1,2053,0.1
Globe,C1BMBRFH1,2054,0.1
Globe,C1BMBRFH1,2055,0.1
Globe,C1BMBRFH1,2056,0.1
Globe,C1BMBRFH1,2057,0.1
Globe,C1BMBRFH1,2058,0.1
Globe,C1BMBRFH1,2059,0.1
Globe,C1BMBRFH1,2060,0.1
Globe,C1BMBRFN1,2010,0.12132299940348372
Globe,C1BMBRFN1,2011,0.12132299940348372
Globe,C1BMBRFN1,2012,0.12132299940348372
Globe,C1BMBRFN1,2013,0.12132299940348372
Globe,C1BMBRFN1,2014,0.12132299940348372
Globe,C1BMBRFN1,2015,0.12132299940348372
Globe,C1BMBRFN1,2016,0.12132299940348372
Globe,C1BMBRFN1,2017,0.12132299940348372
Globe,C1BMBRFN1,2018,0.12132299940348372
Globe,C1BMBRFN1,2019,0.12132299940348372
Globe,C1BMBRFN1,2020,0.12132299940348372
Globe,C1BMBRFN1,2021,0.12132299940348372
Globe,C1BMBRFN1,2022,0.12132299940348372
Globe,C1BMBRFN1,2023,0.12132299940348372
Globe,C1BMBRFN1,2024,0.12132299940348372
Globe,C1BMCHP00,2010,0.06
Globe,C1BMCHP00,2011,0.12
Globe,C1BMCHP00,2012,0.1535159299776839
Globe,C1BMCHP00,2013,0.1535159299776839
Globe,C1BMCHP00,2014,0.15642056350359354
Globe,C1BMCHP00,2015,0.21642056350359354
Globe,C1BMCHP00,2016,0.27642056350359356
Globe,C1BMCHP00,2017,0.2798260392750835
Globe,C1BMCHP00,2018,0.2840853818368093
Globe,C1BMCHP00,2019,0.2840853818368093
Globe,C1BMCHP00,2020,0.2840853818368093
Globe,C1BMCHP00,2021,0.2840853818368093
Globe,C1BMCHP00,2022,0.2840853818368093
Globe,C1BMCHP00,2023,0.2840853818368093
Globe,C1BMCHP00,2024,0.2840853818368093
Globe,C1BMCHP00,2025,0.2840853818368093
Globe,C1BMCHP00,2026,0.2840853818368093
Globe,C1BMCHP00,2027,0.2840853818368093
Globe,C1BMCHP00,2028,0.2840853818368093
Globe,C1BMCHP00,2029,0.2840853818368093
Globe,C1BMCHP00,2030,0.2840853818368093
Globe,C1BMCHP00,2031,0.2840853818368093
Globe,C1BMCHP00,2032,0.2840853818368093
Globe,C1BMCHP00,2033,0.2840853818368093
Globe,C1BMCHP00,2034,0.2840853818368093
Globe,C1BMCHP00,2035,0.2840853818368093
Globe,C1BMCHP00,2036,0.2840853818368093
Globe,C1BMCHP00,2037,0.2840853818368093
Globe,C1BMCHP00,2038,0.2840853818368093
Globe,C1BMCHP00,2039,0.2840853818368093
Globe,C1BMCHP00,2040,0.2840853818368093
Globe,C1BMCHP00,2041,0.2840853818368093
Globe,C1BMCHP00,2042,0.2840853818368093
Globe,C1BMCHP00,2043,0.2840853818368093
Globe,C1BMCHP00,2044,0.2840853818368093
Globe,C1BMCHP00,2045,0.22408538183680932
Globe,C1BMCHP00,2046,0.16408538183680932
Globe,C1BMCHP00,2047,0.1305694518591254
Globe,C1BMCHP00,2048,0.1305694518591254
Globe,C1BMCHP00,2049,0.12766481833321577
Globe,C1BMCHP00,2050,0.06766481833321578
Globe,C1BMCHP00,2051,0.007664818333215772
Globe,C1BMCHP00,2052,0.004259342561725829
Globe,C1BMHTF03,2010,0.09435607607814653
Globe,C1BMHTF03,2011,0.09435607607814653
Globe,C1BMHTF03,2012,0.09435607607814653
Globe,C1BMHTF03,2013,0.09435607607814653
Globe,C1BMHTF03,2014,0.09435607607814653
Globe,C1BMHTF03,2015,0.09435607607814653
Globe,C1BMHTF03,2016,0.09435607607814653
Globe,C1BMHTF03,2017,0.09435607607814653
Globe,C1BMHTF03,2018,0.09435607607814653
Globe,C1BMHTF03,2019,0.09435607607814653
Globe,C1BMHTF03,2020,0.09435607607814653
Globe,C1BMHTF03,2021,0.09435607607814653
Globe,C1BMHTF03,2022,0.09435607607814653
Globe,C1BMHTF03,2023,0.09435607607814653
Globe,C1BMHTF03,2024,0.09435607607814653
Globe,C1BMHTF03,2025,0.09435607607814653
Globe,C1BMHTF03,2026,0.09435607607814653
Globe,C1BMHTF03,2027,0.09435607607814653
Globe,C1BMHTF03,2028,0.09435607607814653
Globe,C1BMHTF03,2029,0.09435607607814653
Globe,C1BMHTF03,2030,0.05
Globe,C1BMHTF03,2031,0.05
