REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,1,2010,0.0023616195430897985
Globe,ALUPLANT,CO2EQ,1,2011,0.002436355678849417
Globe,ALUPLANT,CO2EQ,1,2012,0.002509888685472986
Globe,ALUPLANT,CO2EQ,1,2013,0.002582355463414418
Globe,ALUPLANT,CO2EQ,1,2014,0.0026537104953761373
Globe,ALUPLANT,CO2EQ,1,2015,0.0027239977010693507
Globe,ALUPLANT,CO2EQ,1,2016,0.0027932375667686555
Globe,ALUPLANT,CO2EQ,1,2017,0.0028614410542164787
Globe,ALUPLANT,CO2EQ,1,2018,0.00292865507036556
Globe,ALUPLANT,CO2EQ,1,2019,0.0029508221668005236
Globe,ALUPLANT,CO2EQ,1,2020,0.002970150318514105
Globe,ALUPLANT,CO2EQ,1,2021,0.0029866510011749103
Globe,ALUPLANT,CO2EQ,1,2022,0.003000372296198855
Globe,ALUPLANT,CO2EQ,1,2023,0.0030591948806203712
Globe,ALUPLANT,CO2EQ,1,2024,0.0031172142647394687
Globe,ALUPLANT,CO2EQ,1,2025,0.0031744358405287635
Globe,ALUPLANT,WATER,1,2010,0.020992173716353767
Globe,ALUPLANT,WATER,1,2011,0.021927201109644752
Globe,ALUPLANT,WATER,1,2012,0.02258899816925687
Globe,ALUPLANT,WATER,1,2013,0.02352812755555359
Globe,ALUPLANT,WATER,1,2014,0.024178251180093698
Globe,ALUPLANT,WATER,1,2015,0.025121312132084014
Globe,ALUPLANT,WATER,1,2016,0.026070217289840783
Globe,ALUPLANT,WATER,1,2017,0.026706783172687133
Globe,ALUPLANT,WATER,1,2018,0.02765952010900807
Globe,ALUPLANT,WATER,1,2019,0.02786887601978273
Globe,ALUPLANT,WATER,1,2020,0.028381436376912556
Globe,ALUPLANT,WATER,1,2021,0.028870959678024135
Globe,ALUPLANT,WATER,1,2022,0.029003598863255597
Globe,ALUPLANT,WATER,1,2023,0.02991212772162141
Globe,ALUPLANT,WATER,1,2024,0.030479428366341474
Globe,ALUPLANT,WATER,1,2025,0.03139164331189555
Globe,C1BMCHP00,WATER,1,2010,0.0032108819904000004
Globe,C1BMCHP00,WATER,1,2011,0.005251345706880002
Globe,C1BMCHP00,WATER,1,2012,0.006373978115121427
Globe,C1BMCHP00,WATER,1,2013,0.006339452502321427
Globe,C1BMCHP00,WATER,1,2014,0.006505335419082882
Globe,C1BMCHP00,WATER,1,2015,0.008663186219082882
Globe,C1BMCHP00,WATER,1,2016,0.010852110070602881
Globe,C1BMCHP00,WATER,1,2017,0.011056000240489127
Globe,C1BMCHP00,WATER,1,2018,0.011313538613517832
Globe,C1BMCHP00,WATER,1,2019,0.01141366289063783
Globe,C1BMCHP00,WATER,1,2020,0.01153795509671783
Globe,C1BMCHP00,WATER,1,2021,0.009643218530206376
Globe,C1BMCHP00,WATER,1,2022,0.006893182996937355
Globe,C1BMCHP00,WATER,1,2023,0.003271912070292387
Globe,C1BMCHP00,WATER,1,2028,0.00015030769960823291
Globe,C1BMCHP00,WATER,1,2029,0.00030806054360977945
Globe,C1BMCHP00,WATER,1,2030,0.0004688969566492465
Globe,C1BMCHP00,WATER,1,2031,0.00043113204704620334
Globe,C1BMCHP00,WATER,1,2032,0.0003991233118558
Globe,C1BMCHP00,WATER,1,2033,0.00036605403997565136
Globe,C1BMCHP00,WATER,1,2034,0.0003388373555576799
Globe,C1BMCHP00,WATER,1,2035,7.292488706946299e-05
Globe,C1BMHTF03,WATER,1,2010,0.014734506979842183
Globe,C1BMHTF03,WATER,1,2011,0.014199183379842183
Globe,C1BMHTF03,WATER,1,2012,0.010521211363600687
Globe,C1BMHTF03,WATER,1,2013,0.011545564629250667
Globe,C1BMHTF03,WATER,1,2014,0.011891645434195752
Globe,C1BMHTF03,WATER,1,2015,0.005861228231101103
Globe,C1BMHTF03,WATER,1,2019,0.000458627656366838
Globe,C1BMHTF03,WATER,1,2020,0.0008051953363749057
Globe,C1BMHTF03,WATER,1,2047,0.002957846961610788
Globe,C1BMHTF03,WATER,1,2048,0.003339796990994233
Globe,C1BMHTF03,WATER,1,2049,0.003728138403746737
Globe,C1BMHTF03,WATER,1,2050,0.00413189976505316
Globe,C1BMHTF03,WATER,1,2051,0.004744621394937419
Globe,C1BMHTF03,WATER,1,2052,0.005326909906757487
