REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,90.06167328658675
Globe,ALUPLANT,2011,93.71577471787552
Globe,ALUPLANT,2012,97.37252593552752
Globe,ALUPLANT,2013,101.0358052196284
Globe,ALUPLANT,2014,104.70332702195235
Globe,ALUPLANT,2015,108.37545920268904
Globe,ALUPLANT,2016,112.05196642984319
Globe,ALUPLANT,2017,115.73193725147021
Globe,ALUPLANT,2018,119.41688671251248
Globe,ALUPLANT,2019,121.29452877372447
Globe,ALUPLANT,2020,123.06916849773812
Globe,ALUPLANT,2021,124.73814276429265
Globe,ALUPLANT,2022,126.30133855788995
Globe,ALUPLANT,2023,129.78702263140383
Globe,ALUPLANT,2024,133.27718860321704
Globe,ALUPLANT,2025,136.77127361936854
Globe,ALURCPLANT,2010,23.856704
Globe,ALURCPLANT,2011,24.803245999999998
Globe,ALURCPLANT,2012,25.750662
Globe,ALURCPLANT,2013,26.697203999999996
Globe,ALURCPLANT,2014,27.643746
Globe,ALURCPLANT,2015,28.590288
Globe,ALURCPLANT,2016,29.537704
Globe,ALURCPLANT,2017,30.484246
Globe,ALURCPLANT,2018,31.430788000000007
Globe,ALURCPLANT,2019,33.389422
Globe,ALURCPLANT,2020,35.407487999999994
Globe,ALURCPLANT,2021,37.484111999999996
Globe,ALURCPLANT,2022,39.620168
Globe,ALURCPLANT,2023,40.685574
Globe,ALURCPLANT,2024,41.750980000000006
Globe,ALURCPLANT,2025,42.815512
Globe,ALURCPLANT,2026,121.891536
Globe,ALURCPLANT,2027,124.85002599999999
Globe,ALURCPLANT,2028,127.808516
Globe,ALURCPLANT,2029,130.76788
Globe,ALURCPLANT,2030,133.72637
Globe,ALURCPLANT,2031,136.68486
Globe,ALURCPLANT,2032,139.64335
Globe,ALURCPLANT,2033,142.602714
Globe,ALURCPLANT,2034,145.561204
Globe,ALURCPLANT,2035,148.519694
Globe,ALURCPLANT,2036,151.478184
Globe,ALURCPLANT,2037,154.437548
Globe,ALURCPLANT,2038,157.396038
Globe,ALURCPLANT,2039,160.35452800000002
Globe,ALURCPLANT,2040,163.31301800000003
Globe,ALURCPLANT,2041,166.272382
Globe,ALURCPLANT,2042,169.23087199999998
Globe,ALURCPLANT,2043,172.18936200000002
Globe,ALURCPLANT,2044,175.148726
Globe,ALURCPLANT,2045,178.107216
Globe,ALURCPLANT,2046,181.06570600000003
Globe,ALURCPLANT,2047,184.02419600000002
Globe,ALURCPLANT,2048,186.98355999999998
Globe,ALURCPLANT,2049,189.94204999999997
Globe,ALURCPLANT,2050,192.90054
Globe,ALURCPLANT,2051,192.90054
Globe,ALURCPLANT,2052,192.90054
Globe,ALURCPLANT,2053,192.90054
Globe,ALURCPLANT,2054,192.90054
Globe,ALURCPLANT,2055,192.90054
Globe,ALURCPLANT,2056,192.90054
Globe,ALURCPLANT,2057,192.90054
Globe,ALURCPLANT,2058,192.90054
Globe,ALURCPLANT,2059,192.90054
Globe,ALURCPLANT,2060,192.90054000000003
Globe,C1BFRDF00,2010,29.898647980000003
Globe,C1BFRDF00,2011,31.12531388
Globe,C1BFRDF00,2012,32.35731311
Globe,C1BFRDF00,2013,30.229314439999996
Globe,C1BFRDF00,2014,28.202649040000008
Globe,C1BFRDF00,2015,26.27731691
Globe,C1BFRDF00,2016,24.261318170000003
Globe,C1BFRDF00,2017,22.38931934
Globe,C1BFRDF00,2018,20.645320429999998
Globe,C1BFRDF00,2019,19.02932144
Globe,C1BFRDF00,2020,17.530655709999998
Globe,C1BMBRFN1,2010,3.826042109188263e-05
Globe,C1BMCHP00,2010,2.2934871360000004e-05
Globe,C1BMCHP00,2011,3.750961219200001e-05
Globe,C1BMCHP00,2012,4.5528415108010196e-05
Globe,C1BMCHP00,2013,4.52818035880102e-05
Globe,C1BMCHP00,2014,4.646668156487773e-05
Globe,C1BMCHP00,2015,6.187990156487773e-05
Globe,C1BMCHP00,2016,7.751507193287774e-05
Globe,C1BMCHP00,2017,7.897143028920806e-05
Globe,C1BMCHP00,2018,8.081099009655595e-05
Globe,C1BMCHP00,2019,8.152616350455594e-05
Globe,C1BMCHP00,2020,8.241396497655594e-05
Globe,C1BMCHP00,2021,6.888013235861698e-05
Globe,C1BMCHP00,2022,4.92370214066954e-05
Globe,C1BMCHP00,2023,2.337080050208848e-05
Globe,C1BMCHP00,2028,1.0736264257730923e-06
Globe,C1BMCHP00,2029,2.200432454355568e-06
Globe,C1BMCHP00,2030,3.3492639760660466e-06
Globe,C1BMCHP00,2031,3.079514621758596e-06
Globe,C1BMCHP00,2032,2.8508807989700006e-06
Globe,C1BMCHP00,2033,2.6146717141117955e-06
Globe,C1BMCHP00,2034,2.4202668254119996e-06
Globe,C1BMCHP00,2035,5.208920504961643e-07
Globe,C1BMHTF03,2010,0.00010524647842744419
Globe,C1BMHTF03,2011,0.00010142273842744417
Globe,C1BMHTF03,2012,7.515150974000491e-05
Globe,C1BMHTF03,2013,8.246831878036191e-05
Globe,C1BMHTF03,2014,8.494032452996967e-05
Globe,C1BMHTF03,2015,4.186591593643646e-05
Globe,C1BMHTF03,2019,3.2759118311917006e-06
Globe,C1BMHTF03,2020,5.751395259820756e-06
Globe,C1BMHTF03,2047,2.1127478297219914e-05
Globe,C1BMHTF03,2048,2.385569279281595e-05
Globe,C1BMHTF03,2049,2.662956002676241e-05
Globe,C1BMHTF03,2050,2.951356975037972e-05
Globe,C1BMHTF03,2051,3.3890152820981566e-05
Globe,C1BMHTF03,2052,3.8049356476839205e-05
Globe,C1BMHTF03,2053,4.2055409106621074e-05
Globe,C1BMHTF03,2054,4.5983907826160305e-05
Globe,C1BMHTF03,2055,4.989036827984182e-05
Globe,C1BMHTF03,2056,5.152425365013273e-05
Globe,C1BMHTF03,2057,5.1970855591880126e-05
Globe,C1BMHTF03,2058,5.232037015498703e-05
Globe,C1BMHTF03,2059,5.2611632290909383e-05
Globe,C1BMHTF03,2060,5.2834933261783035e-05
Globe,C1BMIGPCS,2021,0.01526905680264
Globe,C1BMIGPCS,2022,0.03053811360528
Globe,C1BMIGPCS,2023,0.04580717040792
Globe,C1BMIGPCS,2024,0.060080639156644626
Globe,C1BMIGPCS,2025,0.060671372666038885
Globe,C1BMIGPCS,2026,0.061307885118331934
Globe,C1BMIGPCS,2027,0.06197673754192834
Globe,C1BMIGPCS,2028,0.062000000000000006
Globe,C1BMIGPCS,2029,0.06200000000000003
Globe,C1BMIGPCS,2030,0.062
Globe,C1BMIGPCS,2031,0.06200000000000001
Globe,C1BMIGPCS,2032,0.06200000000000002
Globe,C1BMIGPCS,2033,0.06200000000000002
Globe,C1BMIGPCS,2034,0.06199999999999999
Globe,C1BMIGPCS,2035,0.062000000000000006
Globe,C1BMIGPCS,2036,0.062000000000000006
Globe,C1BMIGPCS,2037,0.06199999999999999
Globe,C1BMIGPCS,2038,0.06199999999999999
Globe,C1BMIGPCS,2039,0.062
Globe,C1BMIGPCS,2040,0.062000000000000006
Globe,C1BMIGPCS,2041,0.062
Globe,C1BMIGPCS,2042,0.06200000000000001
Globe,C1BMIGPCS,2043,0.06200000000000001
Globe,C1BMIGPCS,2044,0.06200000000000001
Globe,C1BMIGPCS,2045,0.06200000000000001
Globe,C1BMIGPCS,2046,0.062
Globe,C1BMIGPCS,2047,0.06200000000000001
Globe,C1BMIGPCS,2048,0.062
Globe,C1BMIGPCS,2049,0.062
Globe,C1BMIGPCS,2050,0.06200000000000001
Globe,C1BMIGPCS,2051,0.06199999999999999
Globe,C1BMIGPCS,2052,0.062
Globe,C1BMIGPCS,2053,0.062
Globe,C1BMIGPCS,2054,0.06199999999999999
Globe,C1BMIGPCS,2055,0.061999999999999986
Globe,C1BMIGPCS,2056,0.06199999999999999
Globe,C1BMIGPCS,2057,0.061999999999999986
Globe,C1BMIGPCS,2058,0.061999999999999986
Globe,C1BMIGPCS,2059,0.06199999999999999
Globe,C1BMIGPCS,2060,0.062
Globe,C1BMLP000,2010,6.472425191489362e-05
