REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALURCPLANT,2037,0.08050097299031167
Globe,ALURCPLANT,2038,0.15709824480823717
Globe,ALURCPLANT,2039,0.23008233066572537
Globe,ALURCPLANT,2040,0.29959098386332755
Globe,ALURCPLANT,2041,0.3659534387508668
Globe,ALURCPLANT,2042,0.4288360986525267
Globe,ALURCPLANT,2043,0.4888802867079095
Globe,ALURCPLANT,2044,0.6877146455553199
Globe,ALURCPLANT,2045,0.7653091254233271
Globe,ALURCPLANT,2046,0.8411930384269246
Globe,ALURCPLANT,2047,0.9155678734845891
Globe,ALURCPLANT,2048,0.7718015022948521
Globe,ALURCPLANT,2049,0.8178036312960686
Globe,ALURCPLANT,2050,0.861587622914241
Globe,ALURCPLANT,2051,17.75821636836901
Globe,ALURCPLANT,2052,0.6937156482537704
Globe,ALURCPLANT,2053,0.7216425974102881
Globe,ALURCPLANT,2054,0.7484607375442833
Globe,ALURCPLANT,2055,0.7735702579734071
Globe,ALURCPLANT,2056,0.7976946066670902
Globe,ALURCPLANT,2057,0.8206701768515469
Globe,ALURCPLANT,2058,0.8428005797017245
Globe,ALURCPLANT,2059,0.8633911917069835
Globe,ALURCPLANT,2060,8.005505438950626
Globe,C1BMBRFH1,2054,1.9152640760718471
Globe,C1BMBRFH1,2055,2.3001668505952626
Globe,C1BMHTF03,2047,0.5869013353527579
Globe,C1BMHTF03,2048,0.31296710233426833
Globe,C1BMHTF03,2049,0.35542489548393774
Globe,C1BMHTF03,2050,2.5616483465841293
Globe,C1BMHTF03,2051,0.6699830053102669
Globe,C1BMHTF03,2052,0.6849162842614739
Globe,C1BMHTF03,2053,0.7039202378841098
Globe,C1BMHTF03,2054,0.7315957121533555
Globe,C1BMHTF03,2055,0.7666069012890497
Globe,C1BMHTF03,2056,0.33621598007214304
Globe,C1BMHTF03,2057,0.09595646511308624
Globe,C1BMHTF03,2058,0.07811952247380262
Globe,C1BMHTF03,2059,0.06749893418226947
Globe,C1BMHTF03,2060,0.05350107616756487
Globe,C1BMIGPCS,2051,36.610171945370254
Globe,C1BMIGPCS,2052,37.66463510453608
Globe,C1BMIGPCS,2053,38.66888573231294
Globe,C1BMIGPCS,2054,37.04162616049193
Globe,C1BMIGPCS,2055,1.5682757546528274
Globe,C1BMIGPCS,2056,1.7259727870261845
Globe,C1BMIGPCS,2057,1.8498573410421684
Globe,C1BMIGPCS,2058,0.06553618303702204
Globe,C1COCHP00,2022,1.3690481976129412
Globe,C1COCHP00,2023,0.5638150001893754
Globe,C1COCHP00,2039,6.901502376028136
Globe,C1COCHP00,2040,16.670730579444367
Globe,C1COCHP00,2041,17.190619385058994
Globe,C1COCHP00,2042,17.685751580882457
Globe,C1COCHP00,2043,18.157306053095216
Globe,C1COCHP00,2044,18.6064055504408
Globe,C1COCHP00,2045,19.034119357436527
Globe,C1COCHP00,2046,19.441465840289624
Globe,C1COCHP00,2047,19.829414871578276
Globe,C1COCHP00,2048,20.19889013947233
Globe,C1COCHP00,2049,20.550771346990345
Globe,C1COCHP00,2050,20.88589630653132
Globe,C1COCHP00,2051,21.205062934665676
Globe,C1COCHP00,2052,21.50903115193644
Globe,C1COCHP00,2053,21.798524692194327
Globe,C1COCHP00,2054,22.074232825773244
Globe,C1COCHP00,2055,22.33681200061027
Globe,C1COCHP00,2056,22.586887405217
Globe,C1COCHP00,2057,16.274853958365014
Globe,C1COCHP00,2059,12.71440176880056
