REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,29.002
Globe,ID,ALUPLANT,ALU,2011,30.15315
Globe,ID,ALUPLANT,ALU,2012,31.30374999999999
Globe,ID,ALUPLANT,ALU,2013,32.454899999999995
Globe,ID,ALUPLANT,ALU,2014,33.60599999999999
Globe,ID,ALUPLANT,ALU,2015,33.338580956248
Globe,ID,ALUPLANT,ALU,2016,32.913272799999994
Globe,ID,ALUPLANT,ALU,2017,33.968279399999986
Globe,ID,ALUPLANT,ALU,2018,35.023286
Globe,ID,ALUPLANT,ALU,2019,35.547581199999996
Globe,ID,ALUPLANT,ALU,2020,36.041170300000005
Globe,ID,ALUPLANT,ALU,2021,39.82499999999998
Globe,ID,ALUPLANT,ALU,2022,40.29549999999998
Globe,ID,ALUPLANT,ALU,2023,41.378499999999995
Globe,ID,ALUPLANT,ALU,2024,42.461999999999996
Globe,ID,ALUPLANT,ALU,2025,39.9138053
Globe,ID,ALURCPLANT,ALU,2010,12.5097568
Globe,ID,ALURCPLANT,ALU,2011,13.0060957
Globe,ID,ALURCPLANT,ALU,2012,13.5028929
Globe,ID,ALURCPLANT,ALU,2013,13.999231799999999
Globe,ID,ALURCPLANT,ALU,2014,14.4955707
Globe,ID,ALURCPLANT,ALU,2015,14.991909600000001
Globe,ID,ALURCPLANT,ALU,2016,15.4887068
Globe,ID,ALURCPLANT,ALU,2017,15.985045699999999
Globe,ID,ALURCPLANT,ALU,2018,16.481384600000002
Globe,ID,ALURCPLANT,ALU,2019,17.5084349
Globe,ID,ALURCPLANT,ALU,2020,18.566649599999998
Globe,ID,ALURCPLANT,ALU,2021,19.6555704
Globe,ID,ALURCPLANT,ALU,2022,20.7756556
Globe,ID,ALURCPLANT,ALU,2023,21.3343233
Globe,ID,ALURCPLANT,ALU,2024,21.892991000000002
Globe,ID,ALURCPLANT,ALU,2025,22.451200399999998
Globe,ID,ALURCPLANT,ALU,2026,63.916351199999994
Globe,ID,ALURCPLANT,ALU,2027,65.46769669999999
Globe,ID,ALURCPLANT,ALU,2028,67.0190422
Globe,ID,ALURCPLANT,ALU,2029,68.570846
Globe,ID,ALURCPLANT,ALU,2030,70.1221915
Globe,ID,ALURCPLANT,ALU,2031,71.673537
Globe,ID,ALURCPLANT,ALU,2032,73.2248825
Globe,ID,ALURCPLANT,ALU,2033,74.7766863
Globe,ID,ALURCPLANT,ALU,2034,76.32803179999999
Globe,ID,ALURCPLANT,ALU,2035,77.8793773
Globe,ID,ALURCPLANT,ALU,2036,79.4307228
Globe,ID,ALURCPLANT,ALU,2037,80.9825266
Globe,ID,ALURCPLANT,ALU,2038,82.5338721
Globe,ID,ALURCPLANT,ALU,2039,84.08521760000001
Globe,ID,ALURCPLANT,ALU,2040,85.6365631
Globe,ID,ALURCPLANT,ALU,2041,87.18836689999999
Globe,ID,ALURCPLANT,ALU,2042,88.73971239999999
Globe,ID,ALURCPLANT,ALU,2043,90.2910579
Globe,ID,ALURCPLANT,ALU,2044,91.8428617
Globe,ID,ALURCPLANT,ALU,2045,93.3942072
Globe,ID,ALURCPLANT,ALU,2046,94.94555270000001
Globe,ID,ALURCPLANT,ALU,2047,96.4968982
Globe,ID,ALURCPLANT,ALU,2048,98.04870199999999
Globe,ID,ALURCPLANT,ALU,2049,99.60004749999999
Globe,ID,ALURCPLANT,ALU,2050,101.151393
Globe,ID,ALURCPLANT,ALU,2051,101.15139300000001
Globe,ID,ALURCPLANT,ALU,2052,101.151393
Globe,ID,ALURCPLANT,ALU,2053,101.151393
Globe,ID,ALURCPLANT,ALU,2054,101.151393
Globe,ID,ALURCPLANT,ALU,2055,101.151393
Globe,ID,ALURCPLANT,ALU,2056,101.151393
Globe,ID,ALURCPLANT,ALU,2057,101.151393
Globe,ID,ALURCPLANT,ALU,2058,101.151393
Globe,ID,ALURCPLANT,ALU,2059,101.151393
Globe,ID,ALURCPLANT,ALU,2060,101.15139300000001
Globe,ID,ALURECYCLE,RCALU,2010,32.208270047999996
Globe,ID,ALURECYCLE,RCALU,2011,33.486716227
Globe,ID,ALURECYCLE,RCALU,2012,34.764485119
Globe,ID,ALURECYCLE,RCALU,2013,36.042855298000006
Globe,ID,ALURECYCLE,RCALU,2014,37.32130147699999
Globe,ID,ALURECYCLE,RCALU,2015,38.599671656000005
Globe,ID,ALURECYCLE,RCALU,2016,39.877440547999996
Globe,ID,ALURECYCLE,RCALU,2017,41.15588672700001
Globe,ID,ALURECYCLE,RCALU,2018,42.434256906
Globe,ID,ALURECYCLE,RCALU,2019,43.016412738999996
Globe,ID,ALURECYCLE,RCALU,2020,43.55760505600001
Globe,ID,ALURECYCLE,RCALU,2021,44.05858714400001
Globe,ID,ALURECYCLE,RCALU,2022,44.518605716
Globe,ID,ALURECYCLE,RCALU,2023,45.715124863
Globe,ID,ALURECYCLE,RCALU,2024,46.91179601000001
Globe,ID,ALURECYCLE,RCALU,2025,48.108992444
Globe,ID,ALURECYCLE,RCALU,2026,75915.38210983202
Globe,ID,ALURECYCLE,RCALU,2027,75913.346753337
Globe,ID,ALURECYCLE,RCALU,2028,75911.31139684201
