REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,2.8627773451278866
Globe,IN,ALUPLANT,1,2010,2.8627773451278866
Globe,ID,ALUPLANT,1,2011,2.9533731893827637
Globe,IN,ALUPLANT,1,2011,2.9533731893827637
Globe,ID,ALUPLANT,1,2012,3.0425105892222297
Globe,IN,ALUPLANT,1,2012,3.0425105892222297
Globe,ID,ALUPLANT,1,2013,3.130355496659658
Globe,IN,ALUPLANT,1,2013,3.130355496659658
Globe,ID,ALUPLANT,1,2014,3.2168527352003027
Globe,IN,ALUPLANT,1,2014,3.2168527352003027
Globe,ID,ALUPLANT,1,2015,3.1673000000000004
Globe,IN,ALUPLANT,1,2015,3.1673
Globe,IP,ALUPLANT,1,2015,1.4810183728930288
Globe,ID,ALUPLANT,1,2016,3.1035972964096175
Globe,IN,ALUPLANT,1,2016,3.1035972964096175
Globe,IP,ALUPLANT,1,2016,3.1035972964096175
Globe,ID,ALUPLANT,1,2017,3.179378949129421
Globe,IN,ALUPLANT,1,2017,3.179378949129421
Globe,IP,ALUPLANT,1,2017,3.179378949129421
Globe,ID,ALUPLANT,1,2018,3.254061189295067
Globe,IN,ALUPLANT,1,2018,3.254061189295067
Globe,IP,ALUPLANT,1,2018,3.254061189295064
Globe,ID,ALUPLANT,1,2019,3.2786912964450265
Globe,IN,ALUPLANT,1,2019,3.2786912964450265
Globe,IP,ALUPLANT,1,2019,3.278691296445028
Globe,ID,ALUPLANT,1,2020,3.300167020571228
Globe,IN,ALUPLANT,1,2020,3.300167020571228
Globe,IP,ALUPLANT,1,2020,3.300167020571229
Globe,ID,ALUPLANT,1,2021,3.620446336915304
Globe,IN,ALUPLANT,1,2021,3.620446336915304
Globe,ID,ALUPLANT,1,2022,3.6370794193503224
Globe,IN,ALUPLANT,1,2022,3.6370794193503224
Globe,ID,ALUPLANT,1,2023,3.7083847075185727
Globe,IN,ALUPLANT,1,2023,3.7083847075185727
Globe,ID,ALUPLANT,1,2024,3.778716348751993
Globe,IN,ALUPLANT,1,2024,3.778716348751993
Globe,ID,ALUPLANT,1,2025,3.527150933920848
Globe,IN,ALUPLANT,1,2025,3.527150933920848
Globe,IP,ALUPLANT,1,2025,3.5271509339208515
Globe,ID,ALURCPLANT,1,2010,27.296
Globe,IN,ALURCPLANT,1,2010,27.296000000000003
Globe,IP,ALURCPLANT,1,2010,27.296
Globe,ID,ALURCPLANT,1,2011,28.379
Globe,IN,ALURCPLANT,1,2011,28.379
Globe,IP,ALURCPLANT,1,2011,28.379
Globe,ID,ALURCPLANT,1,2012,29.463
Globe,IN,ALURCPLANT,1,2012,29.463
Globe,IP,ALURCPLANT,1,2012,29.463
Globe,ID,ALURCPLANT,1,2013,30.546
Globe,IN,ALURCPLANT,1,2013,30.546
Globe,IP,ALURCPLANT,1,2013,30.546
Globe,ID,ALURCPLANT,1,2014,31.629
Globe,IN,ALURCPLANT,1,2014,31.629
Globe,IP,ALURCPLANT,1,2014,31.629
Globe,ID,ALURCPLANT,1,2015,32.712
Globe,IN,ALURCPLANT,1,2015,32.712
Globe,IP,ALURCPLANT,1,2015,32.712
Globe,ID,ALURCPLANT,1,2016,33.796
Globe,IN,ALURCPLANT,1,2016,33.796
Globe,IP,ALURCPLANT,1,2016,33.796000000000035
Globe,ID,ALURCPLANT,1,2017,34.879
Globe,IN,ALURCPLANT,1,2017,34.879
Globe,IP,ALURCPLANT,1,2017,34.879000000000005
Globe,ID,ALURCPLANT,1,2018,35.962
Globe,IN,ALURCPLANT,1,2018,35.962
Globe,IP,ALURCPLANT,1,2018,35.96200000000003
Globe,ID,ALURCPLANT,1,2019,38.203
Globe,IN,ALURCPLANT,1,2019,38.203
Globe,IP,ALURCPLANT,1,2019,38.203
Globe,ID,ALURCPLANT,1,2020,40.512
Globe,IN,ALURCPLANT,1,2020,40.512
Globe,IP,ALURCPLANT,1,2020,40.512
Globe,ID,ALURCPLANT,1,2021,42.888
Globe,IN,ALURCPLANT,1,2021,42.888
Globe,IP,ALURCPLANT,1,2021,42.888
Globe,ID,ALURCPLANT,1,2022,45.332
Globe,IN,ALURCPLANT,1,2022,45.332
Globe,IP,ALURCPLANT,1,2022,45.332
Globe,ID,ALURCPLANT,1,2023,46.551
Globe,IN,ALURCPLANT,1,2023,46.551
Globe,IP,ALURCPLANT,1,2023,46.551000000000016
Globe,ID,ALURCPLANT,1,2024,47.77
Globe,IN,ALURCPLANT,1,2024,47.77
Globe,IP,ALURCPLANT,1,2024,47.77
Globe,ID,ALURCPLANT,1,2025,48.988
Globe,IN,ALURCPLANT,1,2025,48.988
Globe,IP,ALURCPLANT,1,2025,48.988
Globe,ID,ALURCPLANT,1,2026,139.464
Globe,IN,ALURCPLANT,1,2026,139.464
Globe,IP,ALURCPLANT,1,2026,139.4640000000001
Globe,ID,ALURCPLANT,1,2027,142.849
Globe,IN,ALURCPLANT,1,2027,142.849
Globe,IP,ALURCPLANT,1,2027,142.84900000000007
Globe,ID,ALURCPLANT,1,2028,146.234
Globe,IN,ALURCPLANT,1,2028,146.234
Globe,IP,ALURCPLANT,1,2028,146.234
Globe,ID,ALURCPLANT,1,2029,149.62
Globe,IN,ALURCPLANT,1,2029,149.62
Globe,IP,ALURCPLANT,1,2029,149.62
Globe,ID,ALURCPLANT,1,2030,153.005
Globe,IN,ALURCPLANT,1,2030,153.005
Globe,IP,ALURCPLANT,1,2030,153.005
Globe,ID,ALURCPLANT,1,2031,156.39
Globe,IN,ALURCPLANT,1,2031,156.39
Globe,IP,ALURCPLANT,1,2031,156.39
Globe,ID,ALURCPLANT,1,2032,159.775
Globe,IN,ALURCPLANT,1,2032,159.775
Globe,IP,ALURCPLANT,1,2032,159.775
Globe,ID,ALURCPLANT,1,2033,163.161
Globe,IN,ALURCPLANT,1,2033,163.161
Globe,IP,ALURCPLANT,1,2033,163.161
Globe,ID,ALURCPLANT,1,2034,166.546
Globe,IN,ALURCPLANT,1,2034,166.54600000000002
Globe,IP,ALURCPLANT,1,2034,166.546
Globe,ID,ALURCPLANT,1,2035,169.931
Globe,IN,ALURCPLANT,1,2035,169.931
Globe,IP,ALURCPLANT,1,2035,169.93100000000007
Globe,ID,ALURCPLANT,1,2036,173.316
Globe,IN,ALURCPLANT,1,2036,173.316
Globe,IP,ALURCPLANT,1,2036,173.31600000000006
Globe,ID,ALURCPLANT,1,2037,176.702
Globe,IN,ALURCPLANT,1,2037,176.702
Globe,IP,ALURCPLANT,1,2037,176.70200000000006
Globe,ID,ALURCPLANT,1,2038,180.087
Globe,IN,ALURCPLANT,1,2038,180.087
Globe,IP,ALURCPLANT,1,2038,180.087
Globe,ID,ALURCPLANT,1,2039,183.472
Globe,IN,ALURCPLANT,1,2039,183.472
Globe,IP,ALURCPLANT,1,2039,183.472
Globe,ID,ALURCPLANT,1,2040,186.857
Globe,IN,ALURCPLANT,1,2040,186.85700000000003
Globe,IP,ALURCPLANT,1,2040,186.857
Globe,ID,ALURCPLANT,1,2041,190.243
Globe,IN,ALURCPLANT,1,2041,190.243
Globe,IP,ALURCPLANT,1,2041,190.243
Globe,ID,ALURCPLANT,1,2042,193.628
Globe,IN,ALURCPLANT,1,2042,193.628
Globe,IP,ALURCPLANT,1,2042,193.62800000000007
Globe,ID,ALURCPLANT,1,2043,197.013
Globe,IN,ALURCPLANT,1,2043,197.013
Globe,IP,ALURCPLANT,1,2043,197.0130000000001
Globe,ID,ALURCPLANT,1,2044,200.399
Globe,IN,ALURCPLANT,1,2044,200.399
Globe,IP,ALURCPLANT,1,2044,200.39900000000017
Globe,ID,ALURCPLANT,1,2045,203.784
Globe,IN,ALURCPLANT,1,2045,203.784
Globe,IP,ALURCPLANT,1,2045,203.78400000000013
Globe,ID,ALURCPLANT,1,2046,207.169
Globe,IN,ALURCPLANT,1,2046,207.169
Globe,IP,ALURCPLANT,1,2046,207.16900000000012
Globe,ID,ALURCPLANT,1,2047,210.554
Globe,IN,ALURCPLANT,1,2047,210.554
Globe,IP,ALURCPLANT,1,2047,210.55400000000012
Globe,ID,ALURCPLANT,1,2048,213.94
Globe,IN,ALURCPLANT,1,2048,213.94
Globe,IP,ALURCPLANT,1,2048,213.94000000000003
Globe,ID,ALURCPLANT,1,2049,217.325
Globe,IN,ALURCPLANT,1,2049,217.325
Globe,IP,ALURCPLANT,1,2049,217.325
Globe,ID,ALURCPLANT,1,2050,220.71
Globe,IN,ALURCPLANT,1,2050,220.71
Globe,IP,ALURCPLANT,1,2050,220.7100000000001
Globe,ID,ALURCPLANT,1,2051,220.71000000000004
Globe,IN,ALURCPLANT,1,2051,220.71000000000004
Globe,IP,ALURCPLANT,1,2051,220.71000000000004
Globe,ID,ALURCPLANT,1,2052,220.71
Globe,IN,ALURCPLANT,1,2052,220.71
Globe,IP,ALURCPLANT,1,2052,220.71
Globe,ID,ALURCPLANT,1,2053,220.71
Globe,IN,ALURCPLANT,1,2053,220.71
Globe,IP,ALURCPLANT,1,2053,220.7100000000001
Globe,ID,ALURCPLANT,1,2054,220.71
Globe,IN,ALURCPLANT,1,2054,220.71
Globe,IP,ALURCPLANT,1,2054,220.71000000000004
Globe,ID,ALURCPLANT,1,2055,220.71
Globe,IN,ALURCPLANT,1,2055,220.71
Globe,IP,ALURCPLANT,1,2055,220.71
Globe,ID,ALURCPLANT,1,2056,220.71
Globe,IN,ALURCPLANT,1,2056,220.71
Globe,IP,ALURCPLANT,1,2056,220.71000000000004
Globe,ID,ALURCPLANT,1,2057,220.71
Globe,IN,ALURCPLANT,1,2057,220.71
Globe,IP,ALURCPLANT,1,2057,220.7100000000001
Globe,ID,ALURCPLANT,1,2058,220.71
Globe,IN,ALURCPLANT,1,2058,220.71000000000004
Globe,IP,ALURCPLANT,1,2058,220.71
Globe,ID,ALURCPLANT,1,2059,220.71
Globe,IN,ALURCPLANT,1,2059,220.71
Globe,IP,ALURCPLANT,1,2059,220.71000000000004
Globe,ID,ALURCPLANT,1,2060,220.71000000000004
Globe,IN,ALURCPLANT,1,2060,220.71000000000004
Globe,IP,ALURCPLANT,1,2060,220.71000000000024
Globe,ID,C1BFRDF00,1,2010,0.5606000000000001
Globe,IN,C1BFRDF00,1,2010,0.5606000000000001
Globe,IP,C1BFRDF00,1,2010,0.5605999999999999
Globe,ID,C1BFRDF00,1,2011,0.5836
Globe,IN,C1BFRDF00,1,2011,0.5836
Globe,IP,C1BFRDF00,1,2011,0.5836000000000001
Globe,ID,C1BFRDF00,1,2012,0.6067
Globe,IN,C1BFRDF00,1,2012,0.6067
Globe,IP,C1BFRDF00,1,2012,0.6067
Globe,ID,C1BFRDF00,1,2013,0.598595761929001
Globe,IN,C1BFRDF00,1,2013,0.598595761929001
Globe,IP,C1BFRDF00,1,2013,0.217351614099252
Globe,ID,C1BFRDF00,1,2014,0.5288
Globe,IN,C1BFRDF00,1,2014,0.5288
Globe,IP,C1BFRDF00,1,2014,0.5288000000000006
Globe,ID,C1BFRDF00,1,2015,0.5329207298627201
Globe,IN,C1BFRDF00,1,2015,0.5329207298627201
Globe,IP,C1BFRDF00,1,2015,0.05065778186847451
Globe,ID,C1BFRDF00,1,2016,0.5371041136810094
Globe,IN,C1BFRDF00,1,2016,0.45547716495743706
Globe,ID,C1BFRDF00,1,2017,0.5413558013972523
Globe,IN,C1BFRDF00,1,2017,0.3746380890675088
Globe,ID,C1BFRDF00,1,2018,0.5456753384749904
Globe,IN,C1BFRDF00,1,2018,0.2989679083065937
Globe,ID,C1BFRDF00,1,2019,0.5501572452827206
Globe,IN,C1BFRDF00,1,2019,0.22837210230619492
Globe,ID,C1BFRDF00,1,2020,0.5546181989154128
Globe,IN,C1BFRDF00,1,2020,0.16259759859713363
Globe,ID,C1BMBRFN1,1,2010,3.826042109188263
Globe,IN,C1BMBRFN1,1,2010,3.826042109188263
Globe,IP,C1BMBRFN1,1,2010,3.826042109188263
Globe,ID,C1BMCHP00,1,2010,2.4929208
Globe,IN,C1BMCHP00,1,2010,2.057761157844208
Globe,IP,C1BMCHP00,1,2010,2.4929208
Globe,ID,C1BMCHP00,1,2011,4.07713176
Globe,IN,C1BMCHP00,1,2011,3.365435183958108
Globe,IP,C1BMCHP00,1,2011,4.07713176
Globe,ID,C1BMCHP00,1,2012,4.948740772609804
Globe,IN,C1BMCHP00,1,2012,4.084897740079182
Globe,IP,C1BMCHP00,1,2012,4.948740772609804
Globe,ID,C1BMCHP00,1,2013,4.062771276016341
Globe,IN,C1BMCHP00,1,2013,4.921935172609803
Globe,IP,C1BMCHP00,1,2013,4.921935172609803
Globe,ID,C1BMCHP00,1,2014,4.1690808270625
Globe,IN,C1BMCHP00,1,2014,5.050726257051927
Globe,IP,C1BMCHP00,1,2014,5.050726257051927
Globe,ID,C1BMCHP00,1,2015,6.726076257051926
Globe,IN,C1BMCHP00,1,2015,5.551984830990061
Globe,IP,C1BMCHP00,1,2015,6.7260762570519255
Globe,ID,C1BMCHP00,1,2016,8.425551297051927
Globe,IN,C1BMCHP00,1,2016,6.954802652574174
Globe,IP,C1BMCHP00,1,2016,8.425551297051927
Globe,ID,C1BMCHP00,1,2017,8.583851118392177
Globe,IN,C1BMCHP00,1,2017,7.249181802512229
Globe,IP,C1BMCHP00,1,2017,7.684221118349106
Globe,ID,C1BMCHP00,1,2018,8.783803271364777
Globe,IN,C1BMCHP00,1,2018,7.250518825130472
Globe,IP,C1BMCHP00,1,2018,8.783803271364777
Globe,ID,C1BMCHP00,1,2019,8.861539511364773
Globe,IN,C1BMCHP00,1,2019,7.314685570912712
Globe,IP,C1BMCHP00,1,2019,8.861539511364775
Globe,ID,C1BMCHP00,1,2020,8.958039671364775
Globe,IN,C1BMCHP00,1,2020,7.394340841538938
Globe,IP,C1BMCHP00,1,2020,8.958039671364775
Globe,ID,C1BMCHP00,1,2021,9.043817591364773
Globe,IN,C1BMCHP00,1,2021,4.339902349158629
Globe,IP,C1BMCHP00,1,2021,9.043817591364775
Globe,ID,C1BMCHP00,1,2022,6.393162116456667
Globe,IN,C1BMCHP00,1,2022,2.769353836372741
Globe,IP,C1BMCHP00,1,2022,8.687303111364773
Globe,ID,C1BMCHP00,1,2023,3.567346369454562
Globe,IP,C1BMCHP00,1,2023,8.419247111364774
Globe,IP,C1BMCHP00,1,2028,1.2873218534449546
Globe,IP,C1BMCHP00,1,2029,2.6384082186517595
Globe,IP,C1BMCHP00,1,2030,4.015904048040823
