REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,50.122335585777556
Globe,ALURCPLANT,7304.18
Globe,ALURECYCLE,3501293.2727
Globe,C1BFRDF00,5.286499999999999
Globe,C1BMBRFN1,3.826042109188263
Globe,C1BMCHP00,82.04364093118735
Globe,C1BMHTF03,107.23801332599879
Globe,C1BMIGPCS,384.13725408044905
Globe,C1BMLP000,59.014470587234044
Globe,C1CO00I00,3184.176321420243
Globe,C1COBRFH1,196.58882560118101
Globe,C1COCHP00,1045.2918920585498
Globe,C1COHTF03,732.3327604713403
Globe,C1COIGP00,2.26524475584
Globe,C1COLP000,12.344100190808016
Globe,C1COSCP00,210.11361829808214
Globe,C1COSCPCS,384.627510972
Globe,C1COSF000,147.54005791735162
Globe,C1ELEFF00,7538.601854706504
Globe,C1ELHGP00,42.229205201894935
Globe,C1ELMHP00,43763.804583044905
Globe,C1ELRDF00,62.09
Globe,C1ELRLF00,431.65
Globe,C1ENDA1CS,437.30092034675204
Globe,C1GOCVP00,123.05417840639997
Globe,C1GOHTF03,1845.250384832
Globe,C1HFGCPCH,24.079900637468814
Globe,C1HFMRF00,4508.126402276675
Globe,C1HPASF01,2991.8360000000002
Globe,C1HPINF0I,454.22423773795026
Globe,C1HTOOTFI,4077.710864927996
Globe,C1HTOOTFR,851.8900611357535
Globe,C1HYDMP00,1097.8401234616706
Globe,C1HYMIP00,98.01302797440002
Globe,C1LFAVF00,247.945
Globe,C1LFRDF00,1639.4935
Globe,C1LFRLF00,479.34
Globe,C1MHMRF00,6560.259997723324
Globe,C1NG00I00,7960.8799999999965
Globe,C1NGBRFN1,1270.0687656449236
Globe,C1NGCCP00,6.768355299002192
Globe,C1NGCCPCH,200.2172342474351
Globe,C1NGCCPCS,377.579752923007
Globe,C1NGGCP00,0.033878785927395676
Globe,C1NGGCPCH,4.1181477998092255
Globe,C1NGHTF03,1516.6805375951687
Globe,C1NGLP000,18.25995492465548
Globe,C1NU00I00,7021.237585149489
Globe,C1NULWP00,2596.639888465919
Globe,C1OCCVP00,42.6297545784
Globe,C1OI00I00,9031.387234877111
Globe,C1OIHTF03,1264.9102437703482
Globe,C1OIRFP00,9031.38723487711
Globe,C1SOC1P00,258.92128224
Globe,C1SOTHF00,94.5940055089536
Globe,C1SOV1P00,844.1704573991294
Globe,C1SOV2P00,480.9494214177081
Globe,C1WDOFP00,129.234194459496
Globe,C1WDONP00,1555.2401802336
Globe,CEMCSPLANT,73154.7206
Globe,CEMPLANT,345.2607903371872
Globe,FERTPLANT,0.0225650344735552
Globe,LA,295965.33389468316
Globe,LA1,60841.525022567504
Globe,LA1_PROD,60841.525022567504
Globe,LA1_i,49231.81387282455
Globe,LA1_i_PROD,49231.81387282454
Globe,LA2,185891.9949992911
Globe,LA2_PROD,185891.9949992911
Globe,LF,168478.20335676277
Globe,LF1,72596.77472905265
Globe,LF2,95881.42862771012
Globe,LF2_PROD,95881.42862771012
Globe,LO,198899.99999999994
Globe,LandRes,663456.0
Globe,MFOOFACTOR,333.88122027607005
Globe,PAPELPLANT,240.12143882594214
Globe,PAPPLANT,107.95989832537069
Globe,PETAPLANT,0.0004624901251705802
Globe,PETBELPLANT,1489.1274814738028
Globe,PETBPLANT,1466.210718710478
Globe,STEHGPLANT,13724.491690615854
Globe,STEPLANT,1430.3879803513162
Globe,VFOOFACTOR,4225.927429586399
Globe,XALUMINE,46.14362767705766
Globe,XCEMMINE,2420.7972068570593
Globe,XPHOMINE,7.22081103153772e-05
Globe,XPOTMINE,1.579552413148876e-05
Globe,XSTEMINE,2407.134349961289
