VALUE,C1_F_HEA_I,C1_P_HCO,C1_P_LFO,C1_P_GAS
2010,3.674739905820476e-06,1.9445063154631105e-06,1.0881620099011265e-07,1.7350864569538371e-06
2011,3.6885155202314423e-06,1.951795748159852e-06,1.0922412374517122e-07,1.7415908307634845e-06
2012,3.702286055388624e-06,1.9590824931449963e-06,1.0963189609363919e-07,1.7480928063232758e-06
2013,3.7161669553229997e-06,1.966427638183412e-06,1.1004293655796979e-07,1.7546468923548665e-06
2014,3.7300410762863685e-06,1.9737691960966775e-06,1.1045377628377454e-07,1.7611977775882807e-06
2015,3.7508599182348268e-06,1.984785586558839e-06,1.110702627148976e-07,1.7710277224660172e-06
2016,3.7745120549897084e-06,1.9973012286104623e-06,1.1177064851985982e-07,1.782195452213751e-06
2017,3.798092994709997e-06,2.0097791964084085e-06,1.1246892604205246e-07,1.793329565157666e-06
2018,3.8215224914931774e-06,2.0221770274469688e-06,1.1316271904411431e-07,1.8043921719281072e-06
2019,3.844899793498819e-06,2.034547239367671e-06,1.1385496645722327e-07,1.8154301341103733e-06
2020,3.868117365541094e-06,2.046832929409138e-06,1.1454248395522439e-07,1.8263926772688953e-06
2021,3.86586078582838e-06,2.045638849388463e-06,1.1447566223780708e-07,1.8253271975345705e-06
2022,3.863100829171896e-06,2.0441784050341733e-06,1.1439393454933032e-07,1.824024040429802e-06
2023,3.86003626318259e-06,2.0425567751846923e-06,1.1430318678562833e-07,1.8225770572198985e-06
2024,3.856434014906198e-06,2.040650628163997e-06,1.1419651720288065e-07,1.8208761988301512e-06
2025,3.852487704135272e-06,2.038562418817618e-06,1.1407965925999919e-07,1.819012885902148e-06
2026,3.847803651500993e-06,2.0360838298119336e-06,1.139409553446302e-07,1.8168012365071736e-06
2027,3.842735310678596e-06,2.033401892861114e-06,1.1379087190804661e-07,1.814408139377704e-06
2028,3.837055131778068e-06,2.0303961988451805e-06,1.1362267075511041e-07,1.8117261532410057e-06
2029,3.830944252691103e-06,2.0271625977517223e-06,1.134417157313548e-07,1.808840805212134e-06
2030,3.824163664294056e-06,2.0235746167521066e-06,1.1324092931143007e-07,1.805639243360298e-06
2031,3.8058063161699865e-06,2.0138607375994982e-06,1.126973325034083e-07,1.7969715316495426e-06
2032,3.7867500738593255e-06,2.003777035222798e-06,1.1213304007821956e-07,1.7879738260156587e-06
2033,3.767279379395811e-06,1.993474023493781e-06,1.1155647491811042e-07,1.7787804302551532e-06
2034,3.747151419186372e-06,1.9828232164304967e-06,1.1096044683998655e-07,1.769276696096938e-06
2035,3.726392057837168e-06,1.9718383004138365e-06,1.1034572174517825e-07,1.7594748359231163e-06
2036,3.704969472524647e-06,1.960502436243487e-06,1.0971135729794134e-07,1.7493598240851845e-06
2037,3.682849601477066e-06,1.9487975999689186e-06,1.0905634486291802e-07,1.7389155777799067e-06
2038,3.6598476792138495e-06,1.9366260220464182e-06,1.083752131746076e-07,1.7280548570688717e-06
2039,3.6363230236550622e-06,1.9241778372835452e-06,1.0767860233598646e-07,1.7169473195803262e-06
2040,3.6118424617378915e-06,1.9112238300683342e-06,1.0695368524955258e-07,1.705388435814478e-06
2041,3.580838239314425e-06,1.8948177964840349e-06,1.0603558987811407e-07,1.6907493027563435e-06
2042,3.549028455425516e-06,1.8779854961714257e-06,1.050936402637686e-07,1.675729811135494e-06
2043,3.5164525065137628e-06,1.8607477759478049e-06,1.0412900301186124e-07,1.6603485626042229e-06
2044,3.4829690686251014e-06,1.8430298535623883e-06,1.031374932450444e-07,1.6445388288266429e-06
2045,3.448543721266878e-06,1.8248135152457504e-06,1.0211809170553586e-07,1.6282843576237759e-06
2046,3.413115600873762e-06,1.8060665547492309e-06,1.0106899610470357e-07,1.611556411302443e-06
2047,3.376725512931858e-06,1.7868105644922839e-06,9.999141477241329e-08,1.5943742568170735e-06
2048,3.3390023604841003e-06,1.7668491767332055e-06,9.887435880547697e-08,1.5765626748811557e-06
2049,3.300339400131869e-06,1.746390485096191e-06,9.772947329728157e-08,1.558307347807083e-06
2050,3.2604479269858495e-06,1.7252817199989118e-06,9.654820913412993e-08,1.5394719590237939e-06
