REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.47011386
Globe,ALUPLANT,2012,0.81963942
Globe,ALUPLANT,2013,1.02507825
Globe,ALUPLANT,2014,1.21691361
Globe,ALUPLANT,2015,1.3244758699999999
Globe,ALUPLANT,2016,1.55520223
Globe,ALUPLANT,2017,1.82494617
Globe,ALUPLANT,2018,2.35534246
Globe,ALUPLANT,2019,2.80503356
Globe,ALUPLANT,2020,3.07969399
Globe,ALUPLANT,2021,3.157222635
Globe,ALUPLANT,2022,3.425003595
Globe,ALUPLANT,2023,3.5635066550000003
Globe,ALUPLANT,2024,3.7694111350000004
Globe,ALUPLANT,2025,3.9413858250000002
Globe,ALUPLANT,2026,3.9413858250000002
Globe,ALUPLANT,2027,4.184311975
Globe,ALUPLANT,2028,4.4533405649999995
Globe,ALUPLANT,2029,4.627196525
Globe,ALUPLANT,2030,4.798268025
Globe,ALUPLANT,2031,4.908217015
Globe,ALUPLANT,2032,5.015416745
Globe,ALUPLANT,2033,5.251210935
Globe,ALUPLANT,2034,5.4806461849999994
Globe,ALUPLANT,2035,5.650901745
Globe,ALUPLANT,2036,5.598478825
Globe,ALUPLANT,2037,5.586075385
Globe,ALUPLANT,2038,5.677060125000001
Globe,ALUPLANT,2039,5.696773845
Globe,ALUPLANT,2040,5.707889835
Globe,ALUPLANT,2041,5.718866205
Globe,ALUPLANT,2042,5.729684825
Globe,ALUPLANT,2043,5.740389805
Globe,ALUPLANT,2044,5.750942245
Globe,ALUPLANT,2045,5.761385785
Globe,ALUPLANT,2046,5.771702148
Globe,ALUPLANT,2047,5.7818733380000005
Globe,ALUPLANT,2048,5.791942298
Globe,ALUPLANT,2049,5.801870698
Globe,ALUPLANT,2050,5.811701038000001
Globe,ALUPLANT,2051,5.811701038000001
Globe,ALUPLANT,2052,5.811701038
Globe,ALUPLANT,2053,5.811701038000001
Globe,ALUPLANT,2054,5.811701038000001
Globe,ALUPLANT,2055,5.811701038000001
Globe,ALUPLANT,2056,5.811701038
Globe,ALUPLANT,2057,5.811701038000001
Globe,ALUPLANT,2058,5.811701038000001
Globe,ALUPLANT,2059,5.811701038000001
Globe,ALUPLANT,2060,5.811701038000001
Globe,ALUPLANT,2061,5.811701038000001
Globe,ALUPLANT,2062,5.811701038000001
Globe,ALUPLANT,2063,5.811701038000001
Globe,ALUPLANT,2064,5.811701038000001
Globe,ALUPLANT,2065,5.811701038000001
Globe,ALUPLANT,2066,5.811701038000001
Globe,ALUPLANT,2067,5.811701038000001
Globe,ALUPLANT,2068,5.811701038
Globe,ALUPLANT,2069,5.811701038000001
Globe,ALUPLANT,2070,5.811701038000001
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2021,0.010530077
Globe,C1BMBRFH1,2022,0.010530077
Globe,C1BMBRFH1,2023,0.0121643509
Globe,C1BMBRFH1,2024,0.0121643509
Globe,C1BMBRFH1,2025,0.0121643509
Globe,C1BMBRFH1,2026,0.0121643509
Globe,C1BMBRFH1,2027,0.0121643509
Globe,C1BMBRFH1,2028,0.0121643509
Globe,C1BMBRFH1,2029,0.0121643509
Globe,C1BMBRFH1,2030,0.0121643509
Globe,C1BMBRFH1,2031,0.0121643509
Globe,C1BMBRFH1,2032,0.0121643509
Globe,C1BMBRFH1,2033,0.0121643509
Globe,C1BMBRFH1,2034,0.0121643509
Globe,C1BMBRFH1,2035,0.0121643509
Globe,C1BMBRFH1,2036,0.0016342739
Globe,C1BMBRFH1,2037,0.0016342739
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.10500000000000001
Globe,C1BMBRFN1,2016,0.14500000000000002
Globe,C1BMBRFN1,2017,0.18500000000000003
Globe,C1BMBRFN1,2018,0.22500000000000003
Globe,C1BMBRFN1,2019,0.275
Globe,C1BMBRFN1,2020,0.325
Globe,C1BMBRFN1,2021,0.375
Globe,C1BMBRFN1,2022,0.425
Globe,C1BMBRFN1,2023,0.475
Globe,C1BMBRFN1,2024,0.525
Globe,C1BMBRFN1,2025,0.505
Globe,C1BMBRFN1,2026,0.555
Globe,C1BMBRFN1,2027,0.6050000000000001
Globe,C1BMBRFN1,2028,0.6465183760000001
Globe,C1BMBRFN1,2029,0.6523543013
Globe,C1BMBRFN1,2030,0.6565536753
Globe,C1BMBRFN1,2031,0.6578249513
