REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.829088831743
Globe,CO2EQ,2011,36.0267008384286
Globe,CO2EQ,2012,36.28565686751502
Globe,CO2EQ,2013,36.543814956595604
Globe,CO2EQ,2014,36.79934555207865
Globe,CO2EQ,2015,37.083082924312485
Globe,CO2EQ,2016,37.378667343670244
Globe,CO2EQ,2017,37.67442316254892
Globe,CO2EQ,2018,37.97028117490134
Globe,CO2EQ,2019,38.26629811236749
Globe,CO2EQ,2020,38.57632130400385
Globe,CO2EQ,2021,38.16136031757277
Globe,CO2EQ,2022,38.18389959622117
Globe,CO2EQ,2023,38.649263402729076
Globe,CO2EQ,2024,39.054536768607974
Globe,CO2EQ,2025,39.86720307228913
Globe,CO2EQ,2026,39.89379037544707
Globe,CO2EQ,2027,40.344010670216846
Globe,CO2EQ,2028,40.8601064875563
Globe,CO2EQ,2029,41.4768582273289
Globe,CO2EQ,2030,41.90951442707752
Globe,CO2EQ,2031,42.41554031443797
Globe,CO2EQ,2032,42.721985696882285
Globe,CO2EQ,2033,43.0284309604266
Globe,CO2EQ,2034,43.216479900996404
Globe,CO2EQ,2035,43.64132140145477
Globe,CO2EQ,2036,43.947766700811634
Globe,CO2EQ,2037,44.25421156805195
Globe,CO2EQ,2038,44.560657740839744
Globe,CO2EQ,2039,44.867102513365694
Globe,CO2EQ,2040,45.17354759129954
Globe,CO2EQ,2041,45.31583524860532
Globe,CO2EQ,2042,45.38713396391111
Globe,CO2EQ,2043,45.15050023266193
Globe,CO2EQ,2044,45.38583651464622
Globe,CO2EQ,2045,45.88133809886549
Globe,CO2EQ,2046,46.33027810117362
Globe,CO2EQ,2047,46.80372221934086
Globe,CO2EQ,2048,47.03660382308562
Globe,CO2EQ,2049,47.103483724219345
Globe,CO2EQ,2050,47.23962203946009
Globe,CO2EQ,2051,47.1878782205758
Globe,CO2EQ,2052,46.89538510040273
Globe,CO2EQ,2053,46.62995535382116
Globe,CO2EQ,2054,46.36393190737328
Globe,CO2EQ,2055,46.025481932668
Globe,CO2EQ,2056,45.729964517888604
Globe,CO2EQ,2057,45.504017538504556
Globe,CO2EQ,2058,45.271674512412375
Globe,CO2EQ,2059,44.92807458683047
Globe,CO2EQ,2060,43.24252173578068
Globe,CO2EQ,2061,42.97767715735093
Globe,CO2EQ,2062,42.8078095166183
Globe,CO2EQ,2063,42.63971148584872
Globe,CO2EQ,2064,42.477950731168974
Globe,CO2EQ,2065,42.38082367051523
Globe,CO2EQ,2066,42.30075463876796
Globe,CO2EQ,2067,42.20978404312833
Globe,CO2EQ,2068,42.152179665498444
Globe,CO2EQ,2069,42.09876833385643
Globe,CO2EQ,2070,42.10810333026314
Globe,WATER,2010,21.8933824421552
Globe,WATER,2011,21.986832310272618
Globe,WATER,2012,22.06505710891805
Globe,WATER,2013,22.119106559135464
Globe,WATER,2014,22.190250664980297
Globe,WATER,2015,22.246367031779112
Globe,WATER,2016,22.30493493229223
Globe,WATER,2017,22.3666196471818
Globe,WATER,2018,22.393311340163127
Globe,WATER,2019,22.41169828954359
Globe,WATER,2020,22.869387385433104
Globe,WATER,2021,24.01992284157276
Globe,WATER,2022,25.248515653482233
Globe,WATER,2023,25.997131792705535
Globe,WATER,2024,26.810946227750996
Globe,WATER,2025,27.846434784664226
Globe,WATER,2026,29.221552914268756
Globe,WATER,2027,30.293373262000912
Globe,WATER,2028,31.41687887805191
Globe,WATER,2029,32.60586323347305
Globe,WATER,2030,33.85042153171061
Globe,WATER,2031,35.12869293197794
Globe,WATER,2032,36.45301901806012
Globe,WATER,2033,37.84504038281677
Globe,WATER,2034,39.29731248583471
Globe,WATER,2035,40.837890701108634
Globe,WATER,2036,42.436414970045774
Globe,WATER,2037,44.11372947069651
Globe,WATER,2038,45.87543561146623
Globe,WATER,2039,47.71622340732641
Globe,WATER,2040,49.63734553376081
Globe,WATER,2041,51.65723195800534
Globe,WATER,2042,53.77266469645003
Globe,WATER,2043,55.9667526796669
Globe,WATER,2044,58.28967683446116
Globe,WATER,2045,60.72565508380538
Globe,WATER,2046,63.25790584153848
Globe,WATER,2047,65.91140587440812
Globe,WATER,2048,68.70937149486943
Globe,WATER,2049,71.62523514738132
Globe,WATER,2050,74.68516873231576
Globe,WATER,2051,77.87699375916662
Globe,WATER,2052,81.23085064114122
Globe,WATER,2053,84.75274476627888
Globe,WATER,2054,88.45118934529512
Globe,WATER,2055,92.33622659307234
Globe,WATER,2056,94.79295707673677
Globe,WATER,2057,94.96694726792333
Globe,WATER,2058,95.13814994322505
Globe,WATER,2059,95.32095774349837
Globe,WATER,2060,95.41016308668273
Globe,WATER,2061,95.4953732339717
Globe,WATER,2062,95.56127211176934
Globe,WATER,2063,95.63602141285934
Globe,WATER,2064,95.70929176642017
Globe,WATER,2065,95.78209742722166
Globe,WATER,2066,95.83905330934431
Globe,WATER,2067,95.89790776002111
Globe,WATER,2068,95.95773300804998
Globe,WATER,2069,96.02107440413559
Globe,WATER,2070,96.0876917069199
