REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.7066783012999998
Globe,C1BMBRFH1,2022,2.8244983012999993
Globe,C1BMBRFH1,2023,1.96993753021
Globe,C1BMBRFH1,2024,1.08775753021
Globe,C1BMBRFH1,2025,0.20557753021
Globe,C1BMBRFH1,2026,0.20557753021
Globe,C1BMBRFH1,2027,0.20557753021
Globe,C1BMBRFH1,2028,0.20557753021
Globe,C1BMBRFH1,2029,0.20557753021
Globe,C1BMBRFH1,2030,0.20557753021
Globe,C1BMBRFH1,2031,0.20557753021
Globe,C1BMBRFH1,2032,0.20557753021
Globe,C1BMBRFH1,2033,0.20557753021
Globe,C1BMBRFH1,2034,0.20557753021
Globe,C1BMBRFH1,2035,0.20557753021
Globe,C1BMBRFH1,2036,0.027619228909999998
Globe,C1BMBRFH1,2037,0.027619228909999998
Globe,C1BMBRFN1,2010,1.183
Globe,C1BMBRFN1,2011,1.183
Globe,C1BMBRFN1,2012,1.183
Globe,C1BMBRFN1,2013,1.183
Globe,C1BMBRFN1,2014,1.183
Globe,C1BMBRFN1,2015,1.7745
Globe,C1BMBRFN1,2016,2.4505
Globe,C1BMBRFN1,2017,3.1265
Globe,C1BMBRFN1,2018,3.8025
Globe,C1BMBRFN1,2019,4.6475
Globe,C1BMBRFN1,2020,5.4925
Globe,C1BMBRFN1,2021,6.3374999999999995
Globe,C1BMBRFN1,2022,7.182499999999999
Globe,C1BMBRFN1,2023,8.027499999999998
Globe,C1BMBRFN1,2024,8.8725
Globe,C1BMBRFN1,2025,8.5345
Globe,C1BMBRFN1,2026,9.3795
Globe,C1BMBRFN1,2027,10.2245
Globe,C1BMBRFN1,2028,10.926160554400001
Globe,C1BMBRFN1,2029,11.02478769197
Globe,C1BMBRFN1,2030,11.095757112569999
Globe,C1BMBRFN1,2031,11.117241676969998
Globe,C1BMBRFN1,2032,11.236264439269998
Globe,C1BMBRFN1,2033,11.281042594769998
Globe,C1BMBRFN1,2034,11.25618979277
Globe,C1BMBRFN1,2035,11.241777084070002
Globe,C1BMBRFN1,2036,11.213064254470002
Globe,C1BMBRFN1,2037,11.213064254470002
Globe,C1BMBRFN1,2038,11.21306425447
Globe,C1BMBRFN1,2039,11.213064254470002
Globe,C1BMBRFN1,2040,11.213064254470002
Globe,C1BMBRFN1,2041,11.21306425447
Globe,C1BMBRFN1,2042,11.203035895870002
Globe,C1BMBRFN1,2043,11.233432320370001
Globe,C1BMBRFN1,2044,11.27151150008
Globe,C1BMBRFN1,2045,11.27892128818
Globe,C1BMBRFN1,2046,11.29093646148
Globe,C1BMBRFN1,2047,11.307646015379998
Globe,C1BMBRFN1,2048,11.391110028479998
Globe,C1BMBRFN1,2049,11.415962830479998
Globe,C1BMBRFN1,2050,11.430375539179998
Globe,C1BMBRFN1,2051,11.459088368780003
Globe,C1BMBRFN1,2052,11.459088368780003
Globe,C1BMBRFN1,2053,11.45908836878
Globe,C1BMBRFN1,2054,11.45908836878
Globe,C1BMBRFN1,2055,11.45908836878
Globe,C1BMBRFN1,2056,11.45908836878
Globe,C1BMBRFN1,2057,11.469116727380001
Globe,C1BMBRFN1,2058,11.58205974848
Globe,C1BMBRFN1,2059,11.996921316900002
Globe,C1BMBRFN1,2060,12.172042108200001
Globe,C1BMBRFN1,2061,12.172321482100001
Globe,C1BMBRFN1,2062,12.1661300488
Globe,C1BMBRFN1,2063,12.2068878802
Globe,C1BMBRFN1,2064,12.2068878802
Globe,C1BMBRFN1,2065,12.2068878802
Globe,C1BMBRFN1,2066,12.206887880200002
Globe,C1BMBRFN1,2067,12.0645328258
Globe,C1BMBRFN1,2068,12.0454791236
Globe,C1BMBRFN1,2069,12.0263538499
Globe,C1BMBRFN1,2070,11.422481512
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.2032
Globe,C1BMCHP00,2017,2.1222000000000003
Globe,C1BMCHP00,2018,2.0493
Globe,C1BMCHP00,2019,1.9683
Globe,C1BMCHP00,2020,2.6973000000000003
Globe,C1BMCHP00,2021,3.4263000000000003
Globe,C1BMCHP00,2022,4.1634
Globe,C1BMCHP00,2023,4.4678983509
Globe,C1BMCHP00,2024,5.1968983509
Globe,C1BMCHP00,2025,5.9339983509
Globe,C1BMCHP00,2026,5.8978352205
Globe,C1BMCHP00,2027,5.816835220500001
Globe,C1BMCHP00,2028,5.7358352205
Globe,C1BMCHP00,2029,5.6629352205
Globe,C1BMCHP00,2030,5.581935220499999
Globe,C1BMCHP00,2031,5.5009352205
Globe,C1BMCHP00,2032,5.428035220499999
Globe,C1BMCHP00,2033,5.3470352205
Globe,C1BMCHP00,2034,5.2660352205
Globe,C1BMCHP00,2035,5.1850352205000005
Globe,C1BMCHP00,2036,5.112135220499999
Globe,C1BMCHP00,2037,5.0311352204999995
Globe,C1BMCHP00,2038,4.9501352205
Globe,C1BMCHP00,2039,4.8772352205
Globe,C1BMCHP00,2040,4.7962352205
Globe,C1BMCHP00,2041,4.715235220499999
Globe,C1BMCHP00,2042,4.6342352205
Globe,C1BMCHP00,2043,4.5613352205
Globe,C1BMCHP00,2044,4.4803352205
Globe,C1BMCHP00,2045,4.4803352205
Globe,C1BMCHP00,2046,4.4803352205
Globe,C1BMCHP00,2047,4.4803352205
Globe,C1BMCHP00,2048,4.4803352205
Globe,C1BMCHP00,2049,4.4803352205
Globe,C1BMCHP00,2050,4.4803352205
Globe,C1BMCHP00,2051,4.4803352205
Globe,C1BMCHP00,2052,4.628607381000001
Globe,C1BMCHP00,2053,4.8011192289
Globe,C1BMCHP00,2054,4.981220477100001
Globe,C1BMCHP00,2055,5.1862889061
Globe,C1BMCHP00,2056,5.2644221541
Globe,C1BMCHP00,2057,5.116886259299999
Globe,C1BMCHP00,2058,4.7313879084
Globe,C1BMCHP00,2059,3.9213879084000003
Globe,C1BMCHP00,2060,3.1113879084000002
Globe,C1BMCHP00,2061,3.0665510388
Globe,C1BMCHP00,2062,3.0665510388
Globe,C1BMCHP00,2063,3.0665510388
Globe,C1BMCHP00,2064,3.0665510388
Globe,C1BMCHP00,2065,3.0665510388
Globe,C1BMCHP00,2066,3.0665510388
Globe,C1BMCHP00,2067,3.0665510388
Globe,C1BMCHP00,2068,3.0665510388
Globe,C1BMCHP00,2069,3.0665510388
Globe,C1BMCHP00,2070,4.4178469038
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53246
Globe,C1BMHTF03,2015,7.06121
Globe,C1BMHTF03,2016,6.5899600000000005
Globe,C1BMHTF03,2017,6.11871
Globe,C1BMHTF03,2018,5.64746
Globe,C1BMHTF03,2019,5.17621
Globe,C1BMHTF03,2020,4.70873
Globe,C1BMHTF03,2021,4.237480000000001
Globe,C1BMHTF03,2022,3.76623
Globe,C1BMHTF03,2023,3.2949800000000002
Globe,C1BMHTF03,2024,2.82373
Globe,C1BMHTF03,2025,2.35248
Globe,C1BMHTF03,2026,1.8812300000000002
Globe,C1BMHTF03,2027,1.41375
Globe,C1BMHTF03,2028,0.9425000000000001
Globe,C1BMHTF03,2029,0.47125000000000006
Globe,C1BMSCP00,2010,6.249458596799999
Globe,C1BMSCP00,2011,5.976855346679999
Globe,C1BMSCP00,2012,5.71755709656
Globe,C1BMSCP00,2013,5.460463846439999
Globe,C1BMSCP00,2014,5.194685596319999
Globe,C1BMSCP00,2015,4.9420548462
Globe,C1BMSCP00,2016,4.69162909608
Globe,C1BMSCP00,2017,4.4326758459599995
Globe,C1BMSCP00,2018,4.1867125958399996
Globe,C1BMSCP00,2019,3.9429543457199996
Globe,C1BMSCP00,2020,3.7014010955999996
Globe,C1BMSCP00,2021,3.4515303454799997
Globe,C1BMSCP00,2022,3.21443959536
Globe,C1BMSCP00,2023,2.9795538452400003
Globe,C1BMSCP00,2024,2.7365080951200005
Globe,C1BMSCP00,2025,2.506084845
Globe,C1BMSCP00,2026,2.27786659488
Globe,C1BMSCP00,2027,2.04164584476
Globe,C1BMSCP00,2028,1.81789009464
Globe,C1BMSCP00,2029,1.59633934452
Globe,C1BMSCP00,2030,1.3769935943999998
Globe,C1BMSCP00,2031,1.1498553442800001
Globe,C1BMSCP00,2032,0.93497209416
Globe,C1BMSCP00,2033,0.72229384404
Globe,C1BMSCP00,2034,0.50198059392
Globe,C1COBRFH1,2010,1.2135500000000001
Globe,C1COBRFH1,2011,1.27985
Globe,C1COBRFH1,2012,1.3468
Globe,C1COBRFH1,2013,1.4131
Globe,C1COBRFH1,2014,1.4794
Globe,C1COBRFH1,2015,1.6757000000000002
Globe,C1COBRFH1,2016,1.8720000000000003
Globe,C1COBRFH1,2017,2.0683000000000002
Globe,C1COBRFH1,2018,2.26525
Globe,C1COBRFH1,2019,2.4615500000000003
Globe,C1COBRFH1,2020,2.78785
Globe,C1COBRFH1,2021,3.11415
Globe,C1COBRFH1,2022,3.44045
Globe,C1COBRFH1,2023,3.7674
Globe,C1COBRFH1,2024,4.093700000000001
Globe,C1COBRFH1,2025,4.160000000000001
Globe,C1COBRFH1,2026,4.420000000000001
Globe,C1COBRFH1,2027,4.6800000000000015
Globe,C1COBRFH1,2028,4.940000000000001
Globe,C1COBRFH1,2029,5.200000000000002
Globe,C1COBRFH1,2030,5.460000000000001
Globe,C1COBRFH1,2031,5.720000000000001
Globe,C1COBRFH1,2032,5.98
Globe,C1COBRFH1,2033,6.24
Globe,C1COBRFH1,2034,6.499999999999999
Globe,C1COBRFH1,2035,6.629999999999999
Globe,C1COBRFH1,2036,6.759999999999999
Globe,C1COBRFH1,2037,6.889999999999999
Globe,C1COBRFH1,2038,7.019999999999999
Globe,C1COBRFH1,2039,7.1499999999999995
Globe,C1COBRFH1,2040,7.279999999999999
Globe,C1COBRFH1,2041,7.409999999999999
Globe,C1COBRFH1,2042,7.539999999999999
Globe,C1COBRFH1,2043,7.670000000000001
Globe,C1COBRFH1,2044,7.8
Globe,C1COBRFH1,2045,7.8
Globe,C1COBRFH1,2046,7.8
Globe,C1COBRFH1,2047,7.8
Globe,C1COBRFH1,2048,7.8
Globe,C1COBRFH1,2049,7.8
Globe,C1COBRFH1,2050,7.8
Globe,C1COBRFH1,2051,7.8
Globe,C1COBRFH1,2052,7.8
Globe,C1COBRFH1,2053,7.8
Globe,C1COBRFH1,2054,7.8
Globe,C1COBRFH1,2055,7.8
Globe,C1COBRFH1,2056,7.8
Globe,C1COBRFH1,2057,7.8
Globe,C1COBRFH1,2058,7.8
Globe,C1COBRFH1,2059,7.8
Globe,C1COBRFH1,2060,7.8
Globe,C1COBRFH1,2061,7.8
Globe,C1COBRFH1,2062,7.8
Globe,C1COBRFH1,2063,7.8
Globe,C1COBRFH1,2064,7.8
Globe,C1COBRFH1,2065,7.8
Globe,C1COBRFH1,2066,7.8
Globe,C1COBRFH1,2067,7.8
Globe,C1COBRFH1,2068,7.8
Globe,C1COBRFH1,2069,7.8
Globe,C1COBRFH1,2070,7.8
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.384500000000001
Globe,C1COCHP00,2012,10.1325
Globe,C1COCHP00,2013,9.87
Globe,C1COCHP00,2014,9.6075
Globe,C1COCHP00,2015,9.344999999999999
Globe,C1COCHP00,2016,9.093
Globe,C1COCHP00,2017,8.830499999999999
Globe,C1COCHP00,2018,8.568000000000001
Globe,C1COCHP00,2019,8.316
Globe,C1COCHP00,2020,8.0535
Globe,C1COCHP00,2021,7.791
Globe,C1COCHP00,2022,7.5285
Globe,C1COCHP00,2023,7.2765
Globe,C1COCHP00,2024,7.014
Globe,C1COCHP00,2025,6.751499999999999
Globe,C1COCHP00,2026,6.489
Globe,C1COCHP00,2027,6.237
Globe,C1COCHP00,2028,5.9745
Globe,C1COCHP00,2029,5.712
Globe,C1COCHP00,2030,5.4495000000000005
Globe,C1COCHP00,2031,5.197500000000001
Globe,C1COCHP00,2032,4.935
Globe,C1COCHP00,2033,4.672499999999999
Globe,C1COCHP00,2034,4.41
Globe,C1COCHP00,2035,4.158
Globe,C1COCHP00,2036,3.8955
Globe,C1COCHP00,2037,3.633
Globe,C1COCHP00,2038,3.381
Globe,C1COCHP00,2039,3.1185
Globe,C1COCHP00,2040,2.856
Globe,C1COCHP00,2041,2.5935
Globe,C1COCHP00,2042,2.3415
Globe,C1COCHP00,2043,2.079
Globe,C1COCHP00,2044,1.8165
Globe,C1COCHP00,2045,1.554
Globe,C1COCHP00,2046,1.302
Globe,C1COCHP00,2047,1.0395
Globe,C1COCHP00,2048,0.777
Globe,C1COCHP00,2049,0.5145
Globe,C1COCHP00,2050,0.2625
Globe,C1COCHP00,2051,0.2625
Globe,C1COCHP00,2052,0.2625
Globe,C1COCHP00,2053,0.2625
Globe,C1COCHP00,2054,0.2625
Globe,C1COCHP00,2055,0.2625
Globe,C1COCHP00,2056,0.2625
Globe,C1COCHP00,2057,0.2625
Globe,C1COCHP00,2058,0.2625
Globe,C1COCHP00,2059,0.2625
Globe,C1COCHP00,2060,0.2625
Globe,C1COCHP00,2061,0.2625
Globe,C1COCHP00,2062,0.2625
Globe,C1COCHP00,2063,0.2625
Globe,C1COCHP00,2064,0.2625
Globe,C1COCHP00,2065,0.2625
Globe,C1COCHP00,2066,0.2625
Globe,C1COCHP00,2067,0.2625
Globe,C1COCHP00,2068,0.2625
Globe,C1COCHP00,2069,0.2625
Globe,C1COCHP00,2070,0.2625
Globe,C1COHTF03,2010,6.697236000000001
Globe,C1COHTF03,2011,6.763847999999999
Globe,C1COHTF03,2012,6.829914
Globe,C1COHTF03,2013,6.896526000000001
Globe,C1COHTF03,2014,6.963138000000001
Globe,C1COHTF03,2015,7.029750000000001
Globe,C1COHTF03,2016,7.205016
Globe,C1COHTF03,2017,7.380828
Globe,C1COHTF03,2018,7.55664
Globe,C1COHTF03,2019,7.731906
Globe,C1COHTF03,2020,7.907718000000001
Globe,C1COHTF03,2021,8.13813
Globe,C1COHTF03,2022,8.367996
Globe,C1COHTF03,2023,8.598408000000001
Globe,C1COHTF03,2024,8.82882
Globe,C1COHTF03,2025,9.059232000000002
Globe,C1COHTF03,2026,8.2992
Globe,C1COHTF03,2027,9.1182
Globe,C1COHTF03,2028,9.937199999999999
Globe,C1COHTF03,2029,10.756199999999998
Globe,C1COHTF03,2030,11.193
Globe,C1COHTF03,2031,11.6298
Globe,C1COHTF03,2032,12.066599999999998
Globe,C1COHTF03,2033,12.503399999999997
Globe,C1COHTF03,2034,12.940199999999997
Globe,C1COHTF03,2035,13.376999999999999
Globe,C1COHTF03,2036,13.7046
Globe,C1COHTF03,2037,14.0322
Globe,C1COHTF03,2038,14.3598
Globe,C1COHTF03,2039,14.687399999999997
Globe,C1COHTF03,2040,15.014999999999997
Globe,C1COHTF03,2041,15.287999999999998
Globe,C1COHTF03,2042,15.560999999999998
Globe,C1COHTF03,2043,15.833999999999998
Globe,C1COHTF03,2044,16.106999999999996
Globe,C1COHTF03,2045,16.38
Globe,C1COHTF03,2046,16.38
Globe,C1COHTF03,2047,16.38
Globe,C1COHTF03,2048,16.38
Globe,C1COHTF03,2049,16.38
Globe,C1COHTF03,2050,16.38
Globe,C1COHTF03,2051,16.38
Globe,C1COHTF03,2052,16.38
Globe,C1COHTF03,2053,16.38
Globe,C1COHTF03,2054,16.38
Globe,C1COHTF03,2055,16.38
Globe,C1COHTF03,2056,16.38
Globe,C1COHTF03,2057,16.38
Globe,C1COHTF03,2058,16.38
Globe,C1COHTF03,2059,16.38
Globe,C1COHTF03,2060,16.38
Globe,C1COHTF03,2061,16.38
