REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,2010,0.0034729699294979996
Globe,ALUPLANT,CO2EQ,2011,0.0035828584438229996
Globe,ALUPLANT,CO2EQ,2012,0.0036910386945414
Globe,ALUPLANT,CO2EQ,2013,0.0037975899522959995
Globe,ALUPLANT,CO2EQ,2014,0.003902508458262
Globe,ALUPLANT,CO2EQ,2015,0.004005868397058
Globe,ALUPLANT,CO2EQ,2016,0.00410769198
Globe,ALUPLANT,CO2EQ,2017,0.00420799158
Globe,ALUPLANT,CO2EQ,2018,0.0043068321935459996
Globe,ALUPLANT,CO2EQ,2019,0.004404217389983999
Globe,ALUPLANT,CO2EQ,2020,0.004500207738359999
Globe,ALUPLANT,CO2EQ,2021,0.00451206094671
Globe,ALUPLANT,CO2EQ,2022,0.004523726447784
Globe,ALUPLANT,CO2EQ,2023,0.004535245187605799
Globe,ALUPLANT,CO2EQ,2024,0.004546583472833999
Globe,ALUPLANT,CO2EQ,2025,0.004557781785851999
Globe,ALUPLANT,CO2EQ,2026,0.004568824798092
Globe,ALUPLANT,CO2EQ,2027,0.004579697471561999
Globe,ALUPLANT,CO2EQ,2028,0.004590439525414799
Globe,ALUPLANT,CO2EQ,2029,0.004601017468709999
Globe,ALUPLANT,CO2EQ,2030,0.004611470695919999
Globe,ALUPLANT,CO2EQ,2031,0.004621783828723199
Globe,ALUPLANT,CO2EQ,2032,0.004631941736801999
Globe,ALUPLANT,CO2EQ,2033,0.004641983069165999
Globe,ALUPLANT,CO2EQ,2034,0.004651874772228
Globe,ALUPLANT,CO2EQ,2035,0.004661654848398
Globe,ALUPLANT,CO2EQ,2036,0.004671308162442599
Globe,ALUPLANT,CO2EQ,2037,0.0046808196190848
Globe,ALUPLANT,CO2EQ,2038,0.00469022658594894
Globe,ALUPLANT,CO2EQ,2039,0.004699496578571999
Globe,ALUPLANT,CO2EQ,2040,0.004708666611612
Globe,ALUPLANT,CO2EQ,2041,0.004717721483028
Globe,ALUPLANT,CO2EQ,2042,0.004726646178912
Globe,ALUPLANT,CO2EQ,2043,0.004735477161612
Globe,ALUPLANT,CO2EQ,2044,0.004744182258467999
Globe,ALUPLANT,CO2EQ,2045,0.004752797601852
Globe,ALUPLANT,CO2EQ,2046,0.004761307930373999
Globe,ALUPLANT,CO2EQ,2047,0.004769698560102
Globe,ALUPLANT,CO2EQ,2048,0.004778004880961999
Globe,ALUPLANT,CO2EQ,2049,0.004786195215258
Globe,ALUPLANT,CO2EQ,2050,0.00479430462294
Globe,ALUPLANT,CO2EQ,2051,0.00479430462294
Globe,ALUPLANT,CO2EQ,2052,0.00479430462294
Globe,ALUPLANT,CO2EQ,2053,0.00479430462294
Globe,ALUPLANT,CO2EQ,2054,0.00479430462294
Globe,ALUPLANT,CO2EQ,2055,0.00479430462294
Globe,ALUPLANT,CO2EQ,2056,0.00479430462294
Globe,ALUPLANT,CO2EQ,2057,0.00479430462294
Globe,ALUPLANT,CO2EQ,2058,0.00479430462294
Globe,ALUPLANT,CO2EQ,2059,0.00479430462294
Globe,ALUPLANT,CO2EQ,2060,0.00479430462294
Globe,ALUPLANT,CO2EQ,2061,0.00479430462294
Globe,ALUPLANT,CO2EQ,2062,0.00479430462294
Globe,ALUPLANT,CO2EQ,2063,0.00479430462294
Globe,ALUPLANT,CO2EQ,2064,0.00479430462294
Globe,ALUPLANT,CO2EQ,2065,0.00479430462294
Globe,ALUPLANT,CO2EQ,2066,0.00479430462294
Globe,ALUPLANT,CO2EQ,2067,0.00479430462294
Globe,ALUPLANT,CO2EQ,2068,0.00479430462294
Globe,ALUPLANT,CO2EQ,2069,0.00479430462294
Globe,ALUPLANT,CO2EQ,2070,0.00479430462294
Globe,ALUPLANT,WATER,2010,0.030870843817759997
Globe,ALUPLANT,WATER,2011,0.032245725994407
Globe,ALUPLANT,WATER,2012,0.033219348250872596
Globe,ALUPLANT,WATER,2013,0.03460026400980801
Globe,ALUPLANT,WATER,2014,0.035556188175276005
Globe,ALUPLANT,WATER,2015,0.036943008550646
Globe,ALUPLANT,WATER,2016,0.03833845847999999
Globe,ALUPLANT,WATER,2017,0.03927458808
Globe,ALUPLANT,WATER,2018,0.04067563738349
Globe,ALUPLANT,WATER,2019,0.041595386460960004
Globe,ALUPLANT,WATER,2020,0.04300198505543999
Globe,ALUPLANT,WATER,2021,0.043616589151529994
Globe,ALUPLANT,WATER,2022,0.043729355661911995
Globe,ALUPLANT,WATER,2023,0.04434461961214559
Globe,ALUPLANT,WATER,2024,0.044455482845488
Globe,ALUPLANT,WATER,2025,0.045071397660091994
Globe,ALUPLANT,WATER,2026,0.04568824798091999
Globe,ALUPLANT,WATER,2027,0.04579697471561999
Globe,ALUPLANT,WATER,2028,0.04641444409030521
Globe,ALUPLANT,WATER,2029,0.046521398850290004
