REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.44363768914485
Globe,ALUPLANT,2011,137.8165608994884
Globe,ALUPLANT,2012,143.19569167408088
Globe,ALUPLANT,2013,148.58252128766935
Globe,ALUPLANT,2014,153.97524903013598
Globe,ALUPLANT,2015,159.37521005325792
Globe,ALUPLANT,2016,164.781752495514
Globe,ALUPLANT,2017,170.19380913880804
Globe,ALUPLANT,2018,175.61261400995141
Globe,ALUPLANT,2019,181.03682388775565
Globe,ALUPLANT,2020,186.4675077035763
Globe,ALUPLANT,2021,188.44747878960615
Globe,ALUPLANT,2022,190.42742088289302
Globe,ALUPLANT,2023,192.40883530805314
Globe,ALUPLANT,2024,194.39013621530637
Globe,ALUPLANT,2025,196.37283851575089
Globe,ALUPLANT,2026,198.35623931524387
Globe,ALUPLANT,2027,200.33947651980924
Globe,ALUPLANT,2028,202.32413213149346
Globe,ALUPLANT,2029,204.3085385549818
Globe,ALUPLANT,2030,206.29439777479763
Globe,ALUPLANT,2031,208.28084230087197
Globe,ALUPLANT,2032,210.26704660814607
Globe,ALUPLANT,2033,212.25457268243602
Globe,ALUPLANT,2034,214.24188588497066
Globe,ALUPLANT,2035,216.23054936595136
Globe,ALUPLANT,2036,218.2197455811138
Globe,ALUPLANT,2037,220.20858687966876
Globe,ALUPLANT,2038,222.1988070321575
Globe,ALUPLANT,2039,224.1887010313475
Globe,ALUPLANT,2040,226.179911273978
Globe,ALUPLANT,2041,228.17155114409744
Globe,ALUPLANT,2042,230.16288027972055
Globe,ALUPLANT,2043,232.15550505411852
Globe,ALUPLANT,2044,234.14774482514682
Globe,ALUPLANT,2045,236.14121739101154
Globe,ALUPLANT,2046,238.1351761315907
Globe,ALUPLANT,2047,240.12872511886312
Globe,ALUPLANT,2048,242.12353922974006
Globe,ALUPLANT,2049,244.11786611625453
Globe,ALUPLANT,2050,246.11349701657025
Globe,ALUPLANT,2051,246.11349701657025
Globe,ALUPLANT,2052,246.11349701657025
Globe,ALUPLANT,2053,246.11349701657025
Globe,ALUPLANT,2054,246.11349701657025
Globe,ALUPLANT,2055,246.11349701657025
Globe,ALUPLANT,2056,246.11349701657025
Globe,ALUPLANT,2057,246.11349701657025
Globe,ALUPLANT,2058,246.11349701657025
Globe,ALUPLANT,2059,246.11349701657025
Globe,ALUPLANT,2060,246.11349701657025
Globe,ALUPLANT,2061,246.11349701657025
Globe,ALUPLANT,2062,246.11349701657025
Globe,ALUPLANT,2063,246.11349701657025
Globe,ALUPLANT,2064,246.11349701657025
Globe,ALUPLANT,2065,246.11349701657025
Globe,ALUPLANT,2066,246.11349701657025
Globe,ALUPLANT,2067,246.11349701657025
Globe,ALUPLANT,2068,246.11349701657025
Globe,ALUPLANT,2069,246.11349701657025
Globe,ALUPLANT,2070,246.11349701657025
Globe,C1BFRDF00,2010,4366417.950465604
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331270026677
Globe,C1BFRDF00,2014,28.20266501077332
Globe,C1BFRDF00,2015,26.277331677453333
Globe,C1BFRDF00,2016,24.261331946066655
Globe,C1BFRDF00,2017,22.389331833093337
Globe,C1BFRDF00,2018,20.64533209078666
Globe,C1BFRDF00,2019,19.029332077173336
Globe,C1BFRDF00,2020,17.5306655398
Globe,C1BFRDF00,2022,27.714338534520394
Globe,C1BFRDF00,2023,1.9972634046323625
Globe,C1BFRDF00,2024,2.253683045214134
Globe,C1BFRDF00,2025,16.033551903182943
Globe,C1BFRDF00,2026,8.019335611927492
Globe,C1BFRDF00,2027,0.13357874457079458
Globe,C1BFRDF00,2030,0.43403703313401704
