REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.619311607204
Globe,ALUPLANT,2011,27.873091315862002
Globe,ALUPLANT,2012,44.81669159154
Globe,ALUPLANT,2013,26.565747072725998
Globe,ALUPLANT,2014,25.015868083008005
Globe,ALUPLANT,2015,14.143727279084002
Globe,ALUPLANT,2016,30.59062371424
Globe,ALUPLANT,2017,36.057913281924
Globe,ALUPLANT,2018,71.478962101108
Globe,ALUPLANT,2019,61.093189112489995
Globe,ALUPLANT,2020,37.613784576994995
Globe,ALUPLANT,2021,10.7018293227295
Globe,ALUPLANT,2022,37.255749068592
Globe,ALUPLANT,2023,19.420663617998002
Globe,ALUPLANT,2024,29.096135573871997
Globe,ALUPLANT,2025,24.489127066124002
Globe,ALUPLANT,2027,35.122457107920006
Globe,ALUPLANT,2028,39.189771345326
Globe,ALUPLANT,2029,25.51544840152
Globe,ALUPLANT,2030,25.29338316805
Globe,ALUPLANT,2031,16.376165402267
Globe,ALUPLANT,2032,16.083593570846997
Globe,ALUPLANT,2033,35.634279066655
Globe,ALUPLANT,2034,34.923509522275005
Globe,ALUPLANT,2035,64.560439788768
Globe,ALUPLANT,2036,25.757065176664
Globe,ALUPLANT,2037,52.41810707244
Globe,ALUPLANT,2038,46.413291174032004
Globe,ALUPLANT,2039,33.354562655256004
Globe,ALUPLANT,2040,18.8412165561
Globe,ALUPLANT,2041,38.636036368862
Globe,ALUPLANT,2042,45.153766462656
Globe,ALUPLANT,2043,87.67501754898899
Globe,ALUPLANT,2044,75.07552456140199
Globe,ALUPLANT,2045,46.817464611243004
Globe,ALUPLANT,2046,14.520999434920002
Globe,ALUPLANT,2047,46.249319890165005
Globe,ALUPLANT,2048,24.883406483276
Globe,ALUPLANT,2049,36.383898246272
Globe,ALUPLANT,2050,30.84595041495
Globe,ALUPLANT,2052,41.21606523975
Globe,ALUPLANT,2053,45.64473572235
Globe,ALUPLANT,2054,29.4972714534
Globe,ALUPLANT,2055,29.024846047499995
Globe,ALUPLANT,2056,18.65449538835
Globe,ALUPLANT,2057,18.18804219045
Globe,ALUPLANT,2058,40.006021246349995
Globe,ALUPLANT,2059,38.92713169125
Globe,ALUPLANT,2060,71.4497048496
Globe,ALUPLANT,2061,28.3042380729
Globe,ALUPLANT,2062,57.1978244898
Globe,ALUPLANT,2063,50.29270500405
Globe,ALUPLANT,2064,35.8924746582
Globe,ALUPLANT,2065,20.13554528625
Globe,ALUPLANT,2066,41.00849368545
Globe,ALUPLANT,2067,47.6016467424
Globe,ALUPLANT,2068,91.80594697455
Globe,ALUPLANT,2069,78.0872202141
Globe,ALUPLANT,2070,48.372165070049995
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.1266053
Globe,C1BFRDF00,2012,2.13585141
Globe,C1BFRDF00,2022,43.784388043068
Globe,C1BMBRFH1,2021,8.1587036596
Globe,C1BMBRFH1,2023,1.26623541772
Globe,C1BMBRFN1,2010,54.236000000000004
Globe,C1BMBRFN1,2015,27.118000000000002
Globe,C1BMBRFN1,2016,30.991999999999997
Globe,C1BMBRFN1,2017,30.991999999999997
Globe,C1BMBRFN1,2018,30.991999999999997
Globe,C1BMBRFN1,2019,38.74
Globe,C1BMBRFN1,2020,38.74
Globe,C1BMBRFN1,2021,38.74
Globe,C1BMBRFN1,2022,38.74
Globe,C1BMBRFN1,2023,38.74
Globe,C1BMBRFN1,2024,38.74
Globe,C1BMBRFN1,2025,38.74
Globe,C1BMBRFN1,2026,38.74
Globe,C1BMBRFN1,2027,38.74
Globe,C1BMBRFN1,2028,32.1684377248
Globe,C1BMBRFN1,2029,4.52167492244
Globe,C1BMBRFN1,2030,30.3716749752
Globe,C1BMBRFN1,2031,31.9769846448
Globe,C1BMBRFN1,2032,36.4487358716
Globe,C1BMBRFN1,2033,33.044906206
Globe,C1BMBRFN1,2034,37.600594615999995
Globe,C1BMBRFN1,2035,38.079232739599995
Globe,C1BMBRFN1,2036,37.4236271968
Globe,C1BMBRFN1,2037,38.74
Globe,C1BMBRFN1,2038,38.74
Globe,C1BMBRFN1,2039,38.74
Globe,C1BMBRFN1,2040,38.74
Globe,C1BMBRFN1,2041,38.74
Globe,C1BMBRFN1,2042,38.280238328799996
Globe,C1BMBRFN1,2043,33.561996878799995
Globe,C1BMBRFN1,2044,6.26745885376
Globe,C1BMBRFN1,2045,30.7113852604
Globe,C1BMBRFN1,2046,32.5278341284
Globe,C1BMBRFN1,2047,37.2148046504
Globe,C1BMBRFN1,2048,36.8714101912
Globe,C1BMBRFN1,2049,38.74
Globe,C1BMBRFN1,2050,38.74
Globe,C1BMBRFN1,2051,38.74
Globe,C1BMBRFN1,2052,38.74
Globe,C1BMBRFN1,2053,38.74
Globe,C1BMBRFN1,2054,38.74
Globe,C1BMBRFN1,2055,38.74
Globe,C1BMBRFN1,2056,38.74
Globe,C1BMBRFN1,2057,38.74
Globe,C1BMBRFN1,2058,38.74
Globe,C1BMBRFN1,2059,25.2872661444
Globe,C1BMBRFN1,2060,38.74
Globe,C1BMBRFN1,2061,32.5406423472
Globe,C1BMBRFN1,2062,36.9309512468
Globe,C1BMBRFN1,2063,38.74
Globe,C1BMBRFN1,2064,38.74
Globe,C1BMBRFN1,2065,38.74
Globe,C1BMBRFN1,2066,38.74
Globe,C1BMBRFN1,2067,32.2135682752
Globe,C1BMBRFN1,2068,37.8664610376
Globe,C1BMBRFN1,2069,37.8631797596
Globe,C1BMBRFN1,2070,11.0547758932
Globe,C1BMCHP00,2020,44.375625
Globe,C1BMCHP00,2021,44.375625
Globe,C1BMCHP00,2022,44.375625
Globe,C1BMCHP00,2023,21.11942007118125
Globe,C1BMCHP00,2024,44.375625
Globe,C1BMCHP00,2025,44.375625
Globe,C1BMCHP00,2026,2.45637544635
Globe,C1BMCHP00,2052,8.12304912628125
Globe,C1BMCHP00,2053,9.45101366724375
Globe,C1BMCHP00,2054,9.866796854512499
Globe,C1BMCHP00,2055,55.6102419193125
Globe,C1BMCHP00,2056,48.65613328800001
Globe,C1BMCHP00,2057,36.292911985574996
Globe,C1BMCHP00,2070,74.0303686040625
Globe,C1BMLP000,2011,289.8502584072
Globe,C1BMLP000,2012,31.947063859590003
Globe,C1BMSCP00,2010,8.272688129999999
Globe,C1COBRFH1,2010,5.98
Globe,C1COBRFH1,2011,2.99
Globe,C1COBRFH1,2012,2.99
Globe,C1COBRFH1,2013,2.99
Globe,C1COBRFH1,2014,2.99
Globe,C1COBRFH1,2015,5.98
Globe,C1COBRFH1,2016,5.98
Globe,C1COBRFH1,2017,5.98
Globe,C1COBRFH1,2018,5.98
Globe,C1COBRFH1,2019,5.98
Globe,C1COBRFH1,2020,8.969999999999999
Globe,C1COBRFH1,2021,8.969999999999999
Globe,C1COBRFH1,2022,8.969999999999999
Globe,C1COBRFH1,2023,8.969999999999999
Globe,C1COBRFH1,2024,8.969999999999999
Globe,C1COBRFH1,2025,8.969999999999999
Globe,C1COBRFH1,2026,8.969999999999999
Globe,C1COBRFH1,2027,8.969999999999999
Globe,C1COBRFH1,2028,8.969999999999999
Globe,C1COBRFH1,2029,8.969999999999999
Globe,C1COBRFH1,2030,11.96
Globe,C1COBRFH1,2031,11.96
Globe,C1COBRFH1,2032,11.96
Globe,C1COBRFH1,2033,11.96
Globe,C1COBRFH1,2034,11.96
Globe,C1COBRFH1,2035,11.96
Globe,C1COBRFH1,2036,11.96
Globe,C1COBRFH1,2037,11.96
Globe,C1COBRFH1,2038,11.96
Globe,C1COBRFH1,2039,11.96
Globe,C1COBRFH1,2040,11.96
Globe,C1COBRFH1,2041,11.96
Globe,C1COBRFH1,2042,11.96
Globe,C1COBRFH1,2043,11.96
Globe,C1COBRFH1,2044,11.96
Globe,C1COBRFH1,2045,11.96
Globe,C1COBRFH1,2046,11.96
Globe,C1COBRFH1,2047,11.96
Globe,C1COBRFH1,2048,11.96
Globe,C1COBRFH1,2049,11.96
Globe,C1COBRFH1,2050,11.96
Globe,C1COBRFH1,2051,11.96
Globe,C1COBRFH1,2052,11.96
Globe,C1COBRFH1,2053,11.96
Globe,C1COBRFH1,2054,11.96
Globe,C1COBRFH1,2055,11.96
Globe,C1COBRFH1,2056,11.96
Globe,C1COBRFH1,2057,11.96
Globe,C1COBRFH1,2058,11.96
Globe,C1COBRFH1,2059,11.96
Globe,C1COBRFH1,2060,11.96
Globe,C1COBRFH1,2061,11.96
Globe,C1COBRFH1,2062,11.96
Globe,C1COBRFH1,2063,11.96
Globe,C1COBRFH1,2064,11.96
Globe,C1COBRFH1,2065,11.96
Globe,C1COBRFH1,2066,11.96
Globe,C1COBRFH1,2067,11.96
Globe,C1COBRFH1,2068,11.96
Globe,C1COBRFH1,2069,11.96
Globe,C1COBRFH1,2070,11.96
Globe,C1COHTF03,2010,10.920000000000002
Globe,C1COHTF03,2011,10.920000000000002
Globe,C1COHTF03,2012,10.920000000000002
Globe,C1COHTF03,2013,10.920000000000002
Globe,C1COHTF03,2014,10.920000000000002
Globe,C1COHTF03,2015,10.920000000000002
Globe,C1COHTF03,2016,14.04
Globe,C1COHTF03,2017,14.04
Globe,C1COHTF03,2018,14.04
Globe,C1COHTF03,2019,14.04
Globe,C1COHTF03,2020,14.04
Globe,C1COHTF03,2021,15.600000000000001
Globe,C1COHTF03,2022,15.600000000000001
Globe,C1COHTF03,2023,15.600000000000001
Globe,C1COHTF03,2024,15.600000000000001
Globe,C1COHTF03,2025,15.600000000000001
Globe,C1COHTF03,2026,23.4
Globe,C1COHTF03,2027,23.4
Globe,C1COHTF03,2028,23.4
Globe,C1COHTF03,2029,23.4
Globe,C1COHTF03,2030,23.4
Globe,C1COHTF03,2031,23.4
Globe,C1COHTF03,2032,23.4
Globe,C1COHTF03,2033,23.4
Globe,C1COHTF03,2034,23.4
Globe,C1COHTF03,2035,23.4
Globe,C1COHTF03,2036,23.4
Globe,C1COHTF03,2037,23.4
Globe,C1COHTF03,2038,23.4
Globe,C1COHTF03,2039,23.4
Globe,C1COHTF03,2040,23.4
Globe,C1COHTF03,2041,23.4
Globe,C1COHTF03,2042,23.4
Globe,C1COHTF03,2043,23.4
Globe,C1COHTF03,2044,23.4
Globe,C1COHTF03,2045,23.4
Globe,C1COHTF03,2046,23.4
Globe,C1COHTF03,2047,23.4
Globe,C1COHTF03,2048,23.4
Globe,C1COHTF03,2049,23.4
Globe,C1COHTF03,2050,23.4
Globe,C1COHTF03,2051,23.4
Globe,C1COHTF03,2052,23.4
Globe,C1COHTF03,2053,23.4
Globe,C1COHTF03,2054,23.4
Globe,C1COHTF03,2055,23.4
Globe,C1COHTF03,2056,23.4
Globe,C1COHTF03,2057,23.4
Globe,C1COHTF03,2058,23.4
Globe,C1COHTF03,2059,23.4
Globe,C1COHTF03,2060,23.4
Globe,C1COHTF03,2061,23.4
Globe,C1COHTF03,2062,23.4
Globe,C1COHTF03,2063,23.4
Globe,C1COHTF03,2064,23.4
Globe,C1COHTF03,2065,23.4
Globe,C1COHTF03,2066,23.4
Globe,C1COHTF03,2067,23.4
Globe,C1COHTF03,2068,23.4
Globe,C1COHTF03,2069,23.4
Globe,C1COHTF03,2070,23.4
Globe,C1COIGP00,2010,13.492119299999999
Globe,C1COLP000,2039,3.9720314199999995
Globe,C1COLP000,2040,31.655165819999997
Globe,C1COLP000,2042,48.44
Globe,C1COLP000,2043,47.76
Globe,C1COLP000,2044,47.08
Globe,C1COLP000,2045,46.4
Globe,C1COLP000,2046,45.72
Globe,C1COLP000,2047,45.04
Globe,C1COLP000,2048,44.36
Globe,C1COLP000,2049,43.68
Globe,C1COLP000,2050,43.0
Globe,C1COLP000,2051,42.823501125
Globe,C1COLP000,2065,6.2618088875
Globe,C1COLP000,2066,43.0
Globe,C1COLP000,2067,43.0
Globe,C1COLP000,2068,43.0
Globe,C1COLP000,2069,43.0
Globe,C1COLP000,2070,43.0
Globe,C1COSCP00,2011,111.826576
Globe,C1COSCP00,2012,111.826576
Globe,C1COSCP00,2013,167.739864
Globe,C1COSCP00,2014,167.739864
Globe,C1COSCP00,2015,167.739864
Globe,C1COSCP00,2016,167.739864
Globe,C1COSCP00,2017,167.739864
Globe,C1COSCP00,2018,223.653152
Globe,C1COSCP00,2019,220.20394513321202
Globe,C1COSCP00,2022,223.653152
Globe,C1COSCP00,2024,150.3980893430176
Globe,C1COSCP00,2025,223.653152
Globe,C1COSCP00,2026,223.653152
Globe,C1COSCP00,2027,145.7943094226668
Globe,C1COSCP00,2028,142.8287776580584
Globe,C1COSCP00,2029,206.6177234523052
Globe,C1COSCP00,2030,214.80213442288803
Globe,C1COSCP00,2031,279.56644
Globe,C1COSCP00,2032,153.98487085492962
Globe,C1COSCP00,2033,154.3461210173688
Globe,C1COSCP00,2034,79.9404691285936
Globe,C1COSCP00,2035,279.56644
Globe,C1COSCP00,2036,263.3535602190664
Globe,C1COSCP00,2037,264.674061546098
Globe,C1COSCP00,2038,265.9125380796336
Globe,C1COSCP00,2039,251.3516806929412
Globe,C1COSCP00,2040,143.052903277342
Globe,C1COSCP00,2041,223.0993923869768
Globe,C1COSCP00,2042,182.99556979499042
Globe,C1COSCP00,2044,174.8103984036908
Globe,C1COSCP00,2045,122.91478207824602
Globe,C1COSCP00,2046,126.2634680358676
Globe,C1COSCP00,2047,85.822927236552
Globe,C1COSCP00,2048,185.6306596188476
Globe,C1COSCP00,2049,16.768648358394643
Globe,C1COSCP00,2067,44.2593484781056
Globe,C1COSCP00,2068,101.7693913828232
Globe,C1COSCP00,2069,168.30043944283042
Globe,C1COSCP00,2070,217.95205982432722
Globe,C1ELRDF00,2020,52.875520132382
Globe,C1ELRDF00,2021,416.0666
Globe,C1ELRDF00,2022,416.0666
Globe,C1ELRDF00,2026,152.124989287231
Globe,C1ELRDF00,2027,151.57832562249
Globe,C1ELRDF00,2028,120.85826872678798
Globe,C1ELRDF00,2029,118.02020147586701
Globe,C1ELRDF00,2030,116.173140375823
Globe,C1ELRDF00,2031,149.372311384628
Globe,C1ELRDF00,2032,232.41559328654
Globe,C1ELRDF00,2033,865.8462860714601
Globe,C1ELRDF00,2034,868.70915713274
Globe,C1ELRDF00,2035,497.75819801715994
Globe,C1ELRDF00,2036,451.28147846416
Globe,C1ELRDF00,2037,440.63260749377
Globe,C1ELRDF00,2038,593.55328878784
Globe,C1ELRDF00,2039,644.73705299996
Globe,C1ELRDF00,2040,535.5004730430201
Globe,C1ELRDF00,2041,598.06030942901
Globe,C1ELRDF00,2042,704.00453357682
Globe,C1ELRDF00,2043,737.20369418396
Globe,C1ELRDF00,2044,788.23216153763
Globe,C1ELRDF00,2045,1151.42322892325
Globe,C1ELRDF00,2046,1144.6143822275699
Globe,C1ELRDF00,2047,728.54778222757
Globe,C1ELRDF00,2048,853.4103882507401
Globe,C1ELRDF00,2049,886.04297016533
Globe,C1ELRDF00,2050,980.7769246793699
Globe,C1ELRDF00,2051,644.73705299996
Globe,C1ELRDF00,2052,524.00534341156
Globe,C1ELRDF00,2053,609.55543906047
Globe,C1ELRDF00,2054,704.00453357682
Globe,C1ELRDF00,2055,737.20369418396
Globe,C1ELRDF00,2056,778.17189998626
Globe,C1ELRDF00,2057,1144.15883090723
Globe,C1ELRDF00,2058,1156.4213745790598
Globe,C1ELRDF00,2059,734.06544944347
Globe,C1ELRDF00,2060,853.4103882507401
Globe,C1ELRDF00,2061,839.41463594329
Globe,C1ELRDF00,2062,1027.40527970474
Globe,C1ELRDF00,2063,630.45737684467
Globe,C1ELRDF00,2064,538.28501956685
Globe,C1ELRDF00,2065,609.55543906047
Globe,C1ELRDF00,2066,704.00453357682
