REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,0.15934419
Globe,ALUPLANT,2048,0.16738066
Globe,ALUPLANT,2049,0.35844013
Globe,ALUPLANT,2050,0.39568631
Globe,ALUPLANT,2052,0.75680151
Globe,ALUPLANT,2053,0.95547066
Globe,ALUPLANT,2054,0.68968453
Globe,ALUPLANT,2055,0.74632267
Globe,ALUPLANT,2056,0.52109701
Globe,ALUPLANT,2057,0.54653721
Globe,ALUPLANT,2058,1.28274
Globe,ALUPLANT,2059,1.3228281
Globe,ALUPLANT,2060,2.5585636
Globe,ALUPLANT,2061,1.0628077
Globe,ALUPLANT,2062,2.242537
Globe,ALUPLANT,2063,2.0511895
Globe,ALUPLANT,2064,1.5178287
Globe,ALUPLANT,2065,0.88032245
Globe,ALUPLANT,2066,1.8487964
Globe,ALUPLANT,2067,2.2078484
Globe,ALUPLANT,2068,4.371656
Globe,ALUPLANT,2069,3.8103616
Globe,ALUPLANT,2070,2.4146382
Globe,C1BMBRFN1,2057,0.18123415
Globe,C1BMBRFN1,2058,0.3538381
Globe,C1BMBRFN1,2059,0.33826634
Globe,C1BMBRFN1,2060,0.67477968
Globe,C1BMBRFN1,2061,0.69204006
Globe,C1BMBRFN1,2062,0.92077913
Globe,C1BMBRFN1,2063,1.1011229
Globe,C1BMBRFN1,2064,1.2299226
Globe,C1BMBRFN1,2065,1.352589
Globe,C1BMBRFN1,2066,1.4694141
Globe,C1BMBRFN1,2067,1.3143836
Globe,C1BMBRFN1,2068,1.6486084
Globe,C1BMBRFN1,2069,1.7470994
Globe,C1BMBRFN1,2070,0.53752072
Globe,C1BMCHP00,2052,0.274127
Globe,C1BMCHP00,2053,0.33178121
Globe,C1BMCHP00,2054,0.35914362
Globe,C1BMCHP00,2055,2.0926943
Globe,C1BMCHP00,2056,1.8881021
Globe,C1BMCHP00,2057,1.448911
Globe,C1BMCHP00,2070,3.7327376
Globe,C1CO00I00,2022,1.0373474e-06
Globe,C1CO00I00,2023,2.0252972e-06
Globe,C1CO00I00,2024,2.9662019e-06
Globe,C1CO00I00,2025,3.8623016e-06
Globe,C1CO00I00,2026,4.7157298e-06
Globe,C1CO00I00,2027,5.5285186e-06
Globe,C1CO00I00,2028,6.3026032e-06
Globe,C1CO00I00,2029,7.0398266e-06
Globe,C1CO00I00,2030,7.7419441e-06
Globe,C1CO00I00,2031,8.4106275e-06
Globe,C1CO00I00,2032,9.0474688e-06
Globe,C1CO00I00,2033,9.6539843e-06
Globe,C1CO00I00,2034,1.0231618e-05
Globe,C1CO00I00,2035,1.0781746e-05
Globe,C1CO00I00,2036,1.1305677e-05
Globe,C1CO00I00,2037,1.1804658e-05
Globe,C1CO00I00,2038,1.2279879e-05
Globe,C1CO00I00,2039,1.273247e-05
Globe,C1CO00I00,2040,1.7551346e-05
Globe,C1CO00I00,2041,1.8098698e-05
Globe,C1CO00I00,2042,1.8619985e-05
Globe,C1CO00I00,2043,1.9116449e-05
Globe,C1CO00I00,2044,1.9589271e-05
Globe,C1CO00I00,2045,2.0039579e-05
Globe,C1CO00I00,2046,2.0468443e-05
Globe,C1CO00I00,2047,2.0876885e-05
Globe,C1CO00I00,2048,2.1265877e-05
Globe,C1CO00I00,2049,2.1636346e-05
Globe,C1CO00I00,2050,2.1989174e-05
Globe,C1CO00I00,2051,2.23252e-05
Globe,C1CO00I00,2052,2.2645225e-05
Globe,C1CO00I00,2053,2.2950011e-05
Globe,C1CO00I00,2054,2.3240283e-05
Globe,C1CO00I00,2055,2.3516733e-05
Globe,C1CO00I00,2056,2.3780018e-05
Globe,C1CO00I00,2057,2.4030766e-05
Globe,C1CO00I00,2058,2.4269574e-05
Globe,C1CO00I00,2059,2.449701e-05
Globe,C1CO00I00,2060,2.4713615e-05
Globe,C1CO00I00,2061,2.4919906e-05
Globe,C1CO00I00,2062,2.5116374e-05
Globe,C1CO00I00,2063,2.5303486e-05
Globe,C1CO00I00,2064,2.5481688e-05
Globe,C1CO00I00,2065,2.5651404e-05
Globe,C1CO00I00,2066,2.5813038e-05
Globe,C1CO00I00,2067,2.5966976e-05
Globe,C1CO00I00,2068,2.6113583e-05
Globe,C1CO00I00,2069,2.6253209e-05
Globe,C1CO00I00,2070,2.6386186e-05
Globe,C1COBRFH1,2057,0.055951482
Globe,C1COBRFH1,2058,0.10923861
Globe,C1COBRFH1,2059,0.15998825
Globe,C1COBRFH1,2060,0.20832124
Globe,C1COBRFH1,2061,0.25435267
Globe,C1COBRFH1,2062,0.29819212
Globe,C1COBRFH1,2063,0.33994397
Globe,C1COBRFH1,2064,0.37970765
Globe,C1COBRFH1,2065,0.41757781
Globe,C1COBRFH1,2066,0.45364464
Globe,C1COBRFH1,2067,0.48799399
Globe,C1COBRFH1,2068,0.52070766
Globe,C1COBRFH1,2069,0.55186354
Globe,C1COBRFH1,2070,0.58153581
Globe,C1COHTF03,2052,0.091176777
Globe,C1COHTF03,2053,0.1780118
Globe,C1COHTF03,2054,0.26071183
Globe,C1COHTF03,2055,0.33947376
Globe,C1COHTF03,2056,0.41448512
Globe,C1COHTF03,2057,0.48592451
Globe,C1COHTF03,2058,0.55396202
Globe,C1COHTF03,2059,0.61875966
Globe,C1COHTF03,2060,0.68047169
Globe,C1COHTF03,2061,0.73924505
Globe,C1COHTF03,2062,0.79521968
Globe,C1COHTF03,2063,0.84852886
Globe,C1COHTF03,2064,0.8992995
Globe,C1COHTF03,2065,0.94765249
Globe,C1COHTF03,2066,0.99370296
Globe,C1COHTF03,2067,1.0375605
Globe,C1COHTF03,2068,1.0793297
