REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.65000016197405
Globe,ID,ALUPLANT,ALU,2011,43.603867134616635
Globe,ID,ALUPLANT,ALU,2012,45.908982654833295
Globe,ID,ALUPLANT,ALU,2013,46.74922136777704
Globe,ID,ALUPLANT,ALU,2014,47.45498927295302
Globe,ID,ALUPLANT,ALU,2015,47.27983913095498
Globe,ID,ALUPLANT,ALU,2016,48.40175011412109
Globe,ID,ALUPLANT,ALU,2017,49.95323370078187
Globe,ID,ALUPLANT,ALU,2018,54.32642912684487
Globe,ID,ALUPLANT,ALU,2019,57.88365044158416
Globe,ID,ALUPLANT,ALU,2020,59.57625015581988
Globe,ID,ALUPLANT,ALU,2021,59.11768263560565
Globe,ID,ALUPLANT,ALU,2022,60.75440014814708
Globe,ID,ALUPLANT,ALU,2023,60.966775855190214
Globe,ID,ALUPLANT,ALU,2024,61.9325497150619
Globe,ID,ALUPLANT,ALU,2025,62.52162485752402
Globe,ID,ALUPLANT,ALU,2026,61.15430346760896
Globe,ID,ALUPLANT,ALU,2027,62.548449091775396
Globe,ID,ALUPLANT,ALU,2028,64.25727300866411
Globe,ID,ALUPLANT,ALU,2029,64.87792487795333
Globe,ID,ALUPLANT,ALU,2030,65.46699992744472
Globe,ID,ALUPLANT,ALU,2031,65.33860270347881
Globe,ID,ALUPLANT,ALU,2032,65.1689973185543
Globe,ID,ALUPLANT,ALU,2033,66.52754380272492
Globe,ID,ALUPLANT,ALU,2034,67.82330042913485
Globe,ID,ALUPLANT,ALU,2035,68.41237470848976
Globe,ID,ALUPLANT,ALU,2036,68.22006030458913
Globe,ID,ALUPLANT,ALU,2037,68.51053609026344
Globe,ID,ALUPLANT,ALU,2038,70.07496954726655
Globe,ID,ALUPLANT,ALU,2039,70.76867464414272
Globe,ID,ALUPLANT,ALU,2040,71.3577497582636
Globe,ID,ALUPLANT,ALU,2041,71.94682519000467
Globe,ID,ALUPLANT,ALU,2042,72.53590003594671
Globe,ID,ALUPLANT,ALU,2043,73.12497524754798
Globe,ID,ALUPLANT,ALU,2044,73.71404966935168
Globe,ID,ALUPLANT,ALU,2045,74.30312535286446
Globe,ID,ALUPLANT,ALU,2046,74.89219953949609
Globe,ID,ALUPLANT,ALU,2047,75.48127466337415
Globe,ID,ALUPLANT,ALU,2048,76.07035026508038
Globe,ID,ALUPLANT,ALU,2049,76.65942516385067
Globe,ID,ALUPLANT,ALU,2050,77.2484995873776
Globe,ID,ALUPLANT,ALU,2051,77.2484995873776
Globe,ID,ALUPLANT,ALU,2052,77.2484995873776
Globe,ID,ALUPLANT,ALU,2053,77.2484995873776
Globe,ID,ALUPLANT,ALU,2054,77.2484995873776
Globe,ID,ALUPLANT,ALU,2055,77.2484995873776
Globe,ID,ALUPLANT,ALU,2056,77.2484995873776
Globe,ID,ALUPLANT,ALU,2057,77.2484995873776
Globe,ID,ALUPLANT,ALU,2058,77.2484995873776
Globe,ID,ALUPLANT,ALU,2059,77.2484995873776
Globe,ID,ALUPLANT,ALU,2060,77.2484995873776
Globe,ID,ALUPLANT,ALU,2061,77.2484995873776
Globe,ID,ALUPLANT,ALU,2062,77.2484995873776
Globe,ID,ALUPLANT,ALU,2063,77.2484995873776
Globe,ID,ALUPLANT,ALU,2064,77.2484995873776
Globe,ID,ALUPLANT,ALU,2065,77.2484995873776
Globe,ID,ALUPLANT,ALU,2066,77.2484995873776
Globe,ID,ALUPLANT,ALU,2067,77.2484995873776
Globe,ID,ALUPLANT,ALU,2068,77.2484995873776
Globe,ID,ALUPLANT,ALU,2069,77.2484995873776
Globe,ID,ALUPLANT,ALU,2070,77.2484995873776
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.097953957641
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.26746388
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.27805061
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.24254079271999998
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.27056462780799995
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.266734138076
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.26284348271999997
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.113796549952
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.0923515747
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.125330989356
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.16888686809200001
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.23815279020399996
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.0295223280571
Globe,ID,C1BFRDF00,C1_F_RD,2024,0.0422565597388
Globe,ID,C1BFRDF00,C1_F_RD,2025,0.11957316480399999
Globe,ID,C1BFRDF00,C1_F_RD,2026,0.04495915713029999
Globe,ID,C1BFRDF00,C1_F_RD,2027,0.0025046016172399995
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,10.3926825719
