REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.3000003239481
Globe,ALUPLANT,ALU,2011,88.68530077380277
Globe,ALUPLANT,ALU,2012,92.07049954287218
Globe,ALUPLANT,ALU,2013,95.45579908647312
Globe,ALUPLANT,ALU,2014,98.84099978265625
Globe,ALUPLANT,ALU,2015,102.22620072101166
Globe,ALUPLANT,ALU,2016,105.61149926712
Globe,ALUPLANT,ALU,2017,108.99680056902001
Globe,ALUPLANT,ALU,2018,112.38200072147892
Globe,ALUPLANT,ALU,2019,115.76730088316832
Globe,ALUPLANT,ALU,2020,119.15250031163976
Globe,ALUPLANT,ALU,2021,120.33064936749342
Globe,ALUPLANT,ALU,2022,121.50880029629415
Globe,ALUPLANT,ALU,2023,122.68694889898012
Globe,ALUPLANT,ALU,2024,123.8650994301238
Globe,ALUPLANT,ALU,2025,125.04324971504803
Globe,ALUPLANT,ALU,2026,126.22139975528832
Globe,ALUPLANT,ALU,2027,127.39955082973556
Globe,ALUPLANT,ALU,2028,128.57770105803237
Globe,ALUPLANT,ALU,2029,129.75584975590667
Globe,ALUPLANT,ALU,2030,130.93399985488944
Globe,ALUPLANT,ALU,2031,132.1121501494431
Globe,ALUPLANT,ALU,2032,133.29029939879328
Globe,ALUPLANT,ALU,2033,134.46844977170412
Globe,ALUPLANT,ALU,2034,135.6466008582697
Globe,ALUPLANT,ALU,2035,136.82474941697953
Globe,ALUPLANT,ALU,2036,138.0028999403209
Globe,ALUPLANT,ALU,2037,139.18105082707382
Globe,ALUPLANT,ALU,2038,140.35919967482067
Globe,ALUPLANT,ALU,2039,141.53734928828544
Globe,ALUPLANT,ALU,2040,142.7154995165272
Globe,ALUPLANT,ALU,2041,143.89365038000935
Globe,ALUPLANT,ALU,2042,145.07180007189342
Globe,ALUPLANT,ALU,2043,146.24995049509596
Globe,ALUPLANT,ALU,2044,147.42809933870336
Globe,ALUPLANT,ALU,2045,148.6062507057289
Globe,ALUPLANT,ALU,2046,149.78439907899218
Globe,ALUPLANT,ALU,2047,150.9625493267483
Globe,ALUPLANT,ALU,2048,152.14070053016076
Globe,ALUPLANT,ALU,2049,153.31885032770134
Globe,ALUPLANT,ALU,2050,154.4969991747552
Globe,ALUPLANT,ALU,2051,154.4969991747552
Globe,ALUPLANT,ALU,2052,154.4969991747552
Globe,ALUPLANT,ALU,2053,154.4969991747552
Globe,ALUPLANT,ALU,2054,154.4969991747552
Globe,ALUPLANT,ALU,2055,154.4969991747552
Globe,ALUPLANT,ALU,2056,154.4969991747552
Globe,ALUPLANT,ALU,2057,154.4969991747552
Globe,ALUPLANT,ALU,2058,154.4969991747552
Globe,ALUPLANT,ALU,2059,154.4969991747552
Globe,ALUPLANT,ALU,2060,154.4969991747552
Globe,ALUPLANT,ALU,2061,154.4969991747552
Globe,ALUPLANT,ALU,2062,154.4969991747552
Globe,ALUPLANT,ALU,2063,154.4969991747552
Globe,ALUPLANT,ALU,2064,154.4969991747552
Globe,ALUPLANT,ALU,2065,154.4969991747552
Globe,ALUPLANT,ALU,2066,154.4969991747552
Globe,ALUPLANT,ALU,2067,154.4969991747552
Globe,ALUPLANT,ALU,2068,154.4969991747552
Globe,ALUPLANT,ALU,2069,154.4969991747552
Globe,ALUPLANT,ALU,2070,154.4969991747552
Globe,C1BFRDF00,C1_F_RD,2010,0.12395882240299999
Globe,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,C1BFRDF00,C1_F_RD,2012,0.6066999999999999
Globe,C1BFRDF00,C1_F_RD,2013,0.566799996738
Globe,C1BFRDF00,C1_F_RD,2014,0.528800002002
Globe,C1BFRDF00,C1_F_RD,2015,0.492699999746
Globe,C1BFRDF00,C1_F_RD,2016,0.45490000242
Globe,C1BFRDF00,C1_F_RD,2017,0.419799998108
Globe,C1BFRDF00,C1_F_RD,2018,0.387100000896
