REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.2099667
Globe,IN,ALUPLANT,1,2010,4.2099667
Globe,ID,ALUPLANT,1,2011,4.2708139
Globe,IN,ALUPLANT,1,2011,4.2708139
Globe,IP,ALUPLANT,1,2011,0.79527345
Globe,ID,ALUPLANT,1,2012,4.4620394
Globe,IN,ALUPLANT,1,2012,4.4620394
Globe,IP,ALUPLANT,1,2012,0.13487759
Globe,ID,ALUPLANT,1,2013,4.5090782
Globe,IN,ALUPLANT,1,2013,4.5090782
Globe,IP,ALUPLANT,1,2013,1.0374498
Globe,ID,ALUPLANT,1,2014,4.5425136
Globe,IN,ALUPLANT,1,2014,4.5425136
Globe,IP,ALUPLANT,1,2014,2.0677763
Globe,ID,ALUPLANT,1,2015,4.4917759
Globe,IN,ALUPLANT,1,2015,4.4917759
Globe,IP,ALUPLANT,1,2015,4.0024352
Globe,ID,ALUPLANT,1,2016,4.5641022
Globe,IN,ALUPLANT,1,2016,4.5641022
Globe,IP,ALUPLANT,1,2016,4.5641022
Globe,ID,ALUPLANT,1,2017,4.6755462
Globe,IN,ALUPLANT,1,2017,4.6755462
Globe,IP,ALUPLANT,1,2017,4.6755462
Globe,ID,ALUPLANT,1,2018,5.0475425
Globe,IN,ALUPLANT,1,2018,5.0475425
Globe,IP,ALUPLANT,1,2018,1.9039766
Globe,ID,ALUPLANT,1,2019,5.3388336
Globe,IN,ALUPLANT,1,2019,5.3388336
Globe,ID,ALUPLANT,1,2020,5.455194
Globe,IN,ALUPLANT,1,2020,5.455194
Globe,ID,ALUPLANT,1,2021,5.3743226
Globe,IN,ALUPLANT,1,2021,5.3743226
Globe,IP,ALUPLANT,1,2021,1.0467261
Globe,ID,ALUPLANT,1,2022,5.4837036
Globe,IN,ALUPLANT,1,2022,5.4837036
Globe,ID,ALUPLANT,1,2023,5.4639066
Globe,IN,ALUPLANT,1,2023,5.4639066
Globe,IP,ALUPLANT,1,2023,0.37103753
Globe,ID,ALUPLANT,1,2024,5.5114111
Globe,IN,ALUPLANT,1,2024,5.5114111
Globe,ID,ALUPLANT,1,2025,5.5249858
Globe,IN,ALUPLANT,1,2025,5.5249858
Globe,ID,ALUPLANT,1,2026,5.3666858
Globe,IN,ALUPLANT,1,2026,5.3666858
Globe,IP,ALUPLANT,1,2026,1.886904
Globe,ID,ALUPLANT,1,2027,5.451212
Globe,IN,ALUPLANT,1,2027,5.451212
Globe,IP,ALUPLANT,1,2027,1.1027797
Globe,ID,ALUPLANT,1,2028,5.5618406
Globe,IN,ALUPLANT,1,2028,5.5618406
Globe,IP,ALUPLANT,1,2028,0.03003918
Globe,ID,ALUPLANT,1,2029,5.5773965
Globe,IN,ALUPLANT,1,2029,5.5773965
Globe,ID,ALUPLANT,1,2030,5.590068
Globe,IN,ALUPLANT,1,2030,5.590068
Globe,ID,ALUPLANT,1,2031,5.541717
Globe,IN,ALUPLANT,1,2031,5.541717
Globe,IP,ALUPLANT,1,2031,0.66879572
Globe,ID,ALUPLANT,1,2032,5.4905167
Globe,IN,ALUPLANT,1,2032,5.4905167
Globe,IP,ALUPLANT,1,2032,1.3668384
Globe,ID,ALUPLANT,1,2033,5.5679109
Globe,IN,ALUPLANT,1,2033,5.5679109
Globe,IP,ALUPLANT,1,2033,0.650022
Globe,ID,ALUPLANT,1,2034,5.6390462
Globe,IN,ALUPLANT,1,2034,5.6390462
Globe,ID,ALUPLANT,1,2035,5.6509017
Globe,IN,ALUPLANT,1,2035,5.6509017
Globe,ID,ALUPLANT,1,2036,5.5984788
Globe,IN,ALUPLANT,1,2036,5.5984788
Globe,IP,ALUPLANT,1,2036,0.70475701
Globe,ID,ALUPLANT,1,2037,5.5860754
Globe,IN,ALUPLANT,1,2037,5.5860754
Globe,IP,ALUPLANT,1,2037,0.96779348
Globe,ID,ALUPLANT,1,2038,5.6770601
Globe,IN,ALUPLANT,1,2038,5.6770601
Globe,IP,ALUPLANT,1,2038,0.093160499
Globe,ID,ALUPLANT,1,2039,5.6967738
Globe,IN,ALUPLANT,1,2039,5.6967738
Globe,ID,ALUPLANT,1,2040,5.7078898
Globe,IN,ALUPLANT,1,2040,5.7078898
Globe,ID,ALUPLANT,1,2041,5.7188662
Globe,IN,ALUPLANT,1,2041,5.7188662
Globe,ID,ALUPLANT,1,2042,5.7296848
Globe,IN,ALUPLANT,1,2042,5.7296848
Globe,ID,ALUPLANT,1,2043,5.7403898
Globe,IN,ALUPLANT,1,2043,5.7403898
Globe,ID,ALUPLANT,1,2044,5.7509422
Globe,IN,ALUPLANT,1,2044,5.7509422
Globe,ID,ALUPLANT,1,2045,5.7613858
Globe,IN,ALUPLANT,1,2045,5.7613858
Globe,ID,ALUPLANT,1,2046,5.7717021
Globe,IN,ALUPLANT,1,2046,5.7717021
Globe,ID,ALUPLANT,1,2047,5.7818733
Globe,IN,ALUPLANT,1,2047,5.7818733
Globe,ID,ALUPLANT,1,2048,5.7919423
Globe,IN,ALUPLANT,1,2048,5.7919423
Globe,ID,ALUPLANT,1,2049,5.8018707
Globe,IN,ALUPLANT,1,2049,5.8018707
Globe,ID,ALUPLANT,1,2050,5.811701
Globe,IN,ALUPLANT,1,2050,5.811701
Globe,ID,ALUPLANT,1,2051,5.811701
Globe,IN,ALUPLANT,1,2051,5.811701
Globe,ID,ALUPLANT,1,2052,5.811701
Globe,IN,ALUPLANT,1,2052,5.811701
Globe,ID,ALUPLANT,1,2053,5.811701
Globe,IN,ALUPLANT,1,2053,5.811701
Globe,ID,ALUPLANT,1,2054,5.811701
Globe,IN,ALUPLANT,1,2054,5.811701
Globe,ID,ALUPLANT,1,2055,5.811701
Globe,IN,ALUPLANT,1,2055,5.811701
Globe,ID,ALUPLANT,1,2056,5.811701
Globe,IN,ALUPLANT,1,2056,5.811701
Globe,ID,ALUPLANT,1,2057,5.811701
Globe,IN,ALUPLANT,1,2057,5.811701
Globe,ID,ALUPLANT,1,2058,5.811701
