REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,93.0613139035
Globe,ID,ALUPLANT,ALU,2011,95.14262957586001
Globe,ID,ALUPLANT,ALU,2012,100.17233832606
Globe,ID,ALUPLANT,ALU,2013,102.00571976386
Globe,ID,ALUPLANT,ALU,2014,103.54568900928
Globe,ID,ALUPLANT,ALU,2015,103.16351545048
Globe,ID,ALUPLANT,ALU,2016,105.61149926712
Globe,ID,ALUPLANT,ALU,2017,108.99680056902001
Globe,ID,ALUPLANT,ALU,2018,118.53901184124999
Globe,ID,ALUPLANT,ALU,2019,126.3007864752
Globe,ID,ALUPLANT,ALU,2020,129.99399990359998
Globe,ID,ALUPLANT,ALU,2021,128.99341618068001
Globe,ID,ALUPLANT,ALU,2022,132.56469593748
Globe,ID,ALUPLANT,ALU,2023,133.02809481821998
Globe,ID,ALUPLANT,ALU,2024,135.13539104312002
Globe,ID,ALUPLANT,ALU,2025,136.42073937928
Globe,ID,ALUPLANT,ALU,2026,133.4372757312
Globe,ID,ALUPLANT,ALU,2027,136.479269238
Globe,ID,ALUPLANT,ALU,2028,140.20788350134
Globe,ID,ALUPLANT,ALU,2029,141.5621315251
Globe,ID,ALUPLANT,ALU,2030,142.84747965839998
Globe,ID,ALUPLANT,ALU,2031,142.5673198854
Globe,ID,ALUPLANT,ALU,2032,142.19724485829
Globe,ID,ALUPLANT,ALU,2033,145.16156186499
Globe,ID,ALUPLANT,ALU,2034,147.98887285432
Globe,ID,ALUPLANT,ALU,2035,149.2742193072
Globe,ID,ALUPLANT,ALU,2036,148.85459372591998
Globe,ID,ALUPLANT,ALU,2037,149.48840517186
Globe,ID,ALUPLANT,ALU,2038,152.90196279133
Globe,ID,ALUPLANT,ALU,2039,154.41561126803998
Globe,ID,ALUPLANT,ALU,2040,155.70095954236
Globe,ID,ALUPLANT,ALU,2041,156.98630850972
Globe,ID,ALUPLANT,ALU,2042,158.27165619888
Globe,ID,ALUPLANT,ALU,2043,159.5570046859
Globe,ID,ALUPLANT,ALU,2044,160.8423514496
Globe,ID,ALUPLANT,ALU,2045,162.12770096632
Globe,ID,ALUPLANT,ALU,2046,163.41304721688
Globe,ID,ALUPLANT,ALU,2047,164.69839551248998
Globe,ID,ALUPLANT,ALU,2048,165.98374485070997
Globe,ID,ALUPLANT,ALU,2049,167.26909265514
Globe,ID,ALUPLANT,ALU,2050,168.5544394226
Globe,ID,ALUPLANT,ALU,2051,168.5544394226
Globe,ID,ALUPLANT,ALU,2052,168.5544394226
Globe,ID,ALUPLANT,ALU,2053,168.5544394226
Globe,ID,ALUPLANT,ALU,2054,168.5544394226
Globe,ID,ALUPLANT,ALU,2055,168.5544394226
Globe,ID,ALUPLANT,ALU,2056,168.5544394226
Globe,ID,ALUPLANT,ALU,2057,168.5544394226
Globe,ID,ALUPLANT,ALU,2058,168.5544394226
Globe,ID,ALUPLANT,ALU,2059,168.5544394226
Globe,ID,ALUPLANT,ALU,2060,168.5544394226
Globe,ID,ALUPLANT,ALU,2061,168.5544394226
Globe,ID,ALUPLANT,ALU,2062,168.5544394226
Globe,ID,ALUPLANT,ALU,2063,168.5544394226
Globe,ID,ALUPLANT,ALU,2064,168.5544394226
Globe,ID,ALUPLANT,ALU,2065,168.5544394226
Globe,ID,ALUPLANT,ALU,2066,168.5544394226
Globe,ID,ALUPLANT,ALU,2067,168.5544394226
Globe,ID,ALUPLANT,ALU,2068,168.5544394226
Globe,ID,ALUPLANT,ALU,2069,168.5544394226
Globe,ID,ALUPLANT,ALU,2070,168.5544394226
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.21373327
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.6067
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.5292184
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.59036576
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.58200772
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.5735184
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.24830144
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.201509
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.27346932
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.36850724
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.51964388
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.064417037
Globe,ID,C1BFRDF00,C1_F_RD,2024,0.092202836
Globe,ID,C1BFRDF00,C1_F_RD,2025,0.26090588
Globe,ID,C1BFRDF00,C1_F_RD,2026,0.098099841
Globe,ID,C1BFRDF00,C1_F_RD,2027,0.0054649828
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,22.676593
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2011,17.573043
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2012,18.371185
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2013,18.336064
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2014,14.828933
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2015,13.006123
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2016,11.118339
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2017,12.268963
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2018,11.520101
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2019,9.8739216
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2020,8.2277424
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2021,6.9167933
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2022,3.3885255
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2023,3.6759734
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2024,2.0297942
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2025,0.38361496
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2026,0.38361496
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2027,0.38361496
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2028,0.38361496
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2029,0.38361496
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2030,0.38361496
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2031,0.38361496
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2010,2.20752
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2011,2.20752
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2012,2.20752
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2013,2.20752
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2014,2.20752
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2015,3.31128
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2016,4.57272
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2017,5.83416
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2018,7.0956
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2019,8.6724
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2020,10.2492
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2021,11.826
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2022,13.4028
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2023,14.9796
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2024,16.5564
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2025,15.92568
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2026,17.50248
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2027,19.07928
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2028,20.388604
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2029,20.572645
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2030,20.705077
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2031,20.745168
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2032,20.967268
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2033,21.050826
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2034,21.00445
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2035,20.977555
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2036,20.923976
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2037,20.923976
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2038,20.923976
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2039,20.923976
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2040,20.923976
