REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,3.1252408
Globe,ALUPLANT,2048,3.2828613
Globe,ALUPLANT,2049,7.0301384
Globe,ALUPLANT,2050,7.760653
Globe,ALUPLANT,2052,14.843258
Globe,ALUPLANT,2053,18.739785
Globe,ALUPLANT,2054,13.526883
Globe,ALUPLANT,2055,14.637735
Globe,ALUPLANT,2056,10.220351
Globe,ALUPLANT,2057,10.719314
Globe,ALUPLANT,2058,25.158565
Globe,ALUPLANT,2059,25.94482
Globe,ALUPLANT,2060,50.181479
Globe,ALUPLANT,2061,20.845002
Globe,ALUPLANT,2062,43.983205
Globe,ALUPLANT,2063,40.230277
Globe,ALUPLANT,2064,29.769394
Globe,ALUPLANT,2065,17.265892
Globe,ALUPLANT,2066,36.260713
Globe,ALUPLANT,2067,43.30285
Globe,ALUPLANT,2068,85.741924
Globe,ALUPLANT,2069,74.733176
Globe,ALUPLANT,2070,47.35865
Globe,C1BMBRFN1,2057,3.5545716
Globe,C1BMBRFN1,2058,6.939878
Globe,C1BMBRFN1,2059,6.6344669
Globe,C1BMBRFN1,2060,13.234552
Globe,C1BMBRFN1,2061,13.573082
Globe,C1BMBRFN1,2062,18.059375
Globe,C1BMBRFN1,2063,21.596483
Globe,C1BMBRFN1,2064,24.12265
Globe,C1BMBRFN1,2065,26.528524
Globe,C1BMBRFN1,2066,28.819833
Globe,C1BMBRFN1,2067,25.779196
Globe,C1BMBRFN1,2068,32.334396
Globe,C1BMBRFN1,2069,34.266113
Globe,C1BMBRFN1,2070,10.542472
Globe,C1BMCHP00,2052,5.3764926
Globe,C1BMCHP00,2053,6.5072731
Globe,C1BMCHP00,2054,7.043936
Globe,C1BMCHP00,2055,41.044318
Globe,C1BMCHP00,2056,37.031621
Globe,C1BMCHP00,2057,28.417701
Globe,C1BMCHP00,2070,73.210724
Globe,C1CO00I00,2022,2.0345645e-05
Globe,C1CO00I00,2023,3.9722449e-05
Globe,C1CO00I00,2024,5.8176548e-05
Globe,C1CO00I00,2025,7.5751881e-05
Globe,C1CO00I00,2026,9.2490293e-05
Globe,C1CO00I00,2027,0.00010843164
Globe,C1CO00I00,2028,0.00012361387
Globe,C1CO00I00,2029,0.00013807314
Globe,C1CO00I00,2030,0.00015184387
Globe,C1CO00I00,2031,0.00016495886
Globe,C1CO00I00,2032,0.00017744932
Globe,C1CO00I00,2033,0.000189345
Globe,C1CO00I00,2034,0.00020067421
Globe,C1CO00I00,2035,0.00021146394
Globe,C1CO00I00,2036,0.00022173988
Globe,C1CO00I00,2037,0.00023152648
Globe,C1CO00I00,2038,0.00024084705
Globe,C1CO00I00,2039,0.00024972379
Globe,C1CO00I00,2040,0.0003442371
Globe,C1CO00I00,2041,0.00035497238
Globe,C1CO00I00,2042,0.00036519646
Globe,C1CO00I00,2043,0.00037493368
Globe,C1CO00I00,2044,0.00038420722
Globe,C1CO00I00,2045,0.00039303917
Globe,C1CO00I00,2046,0.00040145054
Globe,C1CO00I00,2047,0.00040946138
Globe,C1CO00I00,2048,0.00041709074
Globe,C1CO00I00,2049,0.0004243568
Globe,C1CO00I00,2050,0.00043127686
Globe,C1CO00I00,2051,0.0004378674
Globe,C1CO00I00,2052,0.00044414409
Globe,C1CO00I00,2053,0.0004501219
Globe,C1CO00I00,2054,0.00045581505
Globe,C1CO00I00,2055,0.0004612371
Globe,C1CO00I00,2056,0.00046640095
Globe,C1CO00I00,2057,0.00047131891
Globe,C1CO00I00,2058,0.00047600268
Globe,C1CO00I00,2059,0.00048046341
Globe,C1CO00I00,2060,0.00048471173
Globe,C1CO00I00,2061,0.00048875774
Globe,C1CO00I00,2062,0.00049261109
Globe,C1CO00I00,2063,0.00049628095
Globe,C1CO00I00,2064,0.00049977605
Globe,C1CO00I00,2065,0.00050310471
Globe,C1CO00I00,2066,0.00050627487
Globe,C1CO00I00,2067,0.00050929407
Globe,C1CO00I00,2068,0.0005121695
Globe,C1CO00I00,2069,0.000514908
Globe,C1CO00I00,2070,0.0005175161
Globe,C1COBRFH1,2057,1.0973845
Globe,C1COBRFH1,2058,2.1425127
Globe,C1COBRFH1,2059,3.1378728
Globe,C1COBRFH1,2060,4.0858348
Globe,C1COBRFH1,2061,4.9886558
Globe,C1COBRFH1,2062,5.8484853
Globe,C1COBRFH1,2063,6.6673705
Globe,C1COBRFH1,2064,7.4472612
Globe,C1COBRFH1,2065,8.1900142
