REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,310.7986741368208
Globe,C1BFRDF00,6.34748359458064
Globe,C1BMBRFH1,168.31840495046492
Globe,C1BMBRFN1,1082.68888464708
Globe,C1BMCHP00,75.35405317190231
Globe,C1BMHTF03,55.391685304951
Globe,C1BMLP000,64.97292742603682
Globe,C1BMSCP00,5.217489611555
Globe,C1CO00I00,13250.097581132
Globe,C1COBRFH1,1756.693400666301
Globe,C1COCHP00,51.72581621649395
Globe,C1COHTF03,4403.355662595099
Globe,C1COIGP00,3.4425895933505997
Globe,C1COLP000,748.1806622648861
Globe,C1COSCP00,2662.1689144250004
Globe,C1ELEFF00,8269.673200654599
Globe,C1ELRDF00,1411.9330920175455
Globe,C1ELRLF00,1018.5200031636799
Globe,C1GOCVP00,116.65171437101107
Globe,C1GOHTF03,369.54547735588426
Globe,C1HFGCP00,11.266958022996002
Globe,C1HFGCPCH,31.537451359312996
Globe,C1HFMRF00,14203.639999632196
Globe,C1HTOOTFI,6516.335032563194
Globe,C1HTOOTFR,463.73191507486007
Globe,C1HYDMP00,1340.1735449368011
Globe,C1HYMIP00,44.84430307868702
Globe,C1LFAVF00,333.34720005182993
Globe,C1LFBRFH1,141.69570798799
Globe,C1LFBRFN1,129.43704431412002
Globe,C1LFCCP00,33.791292536289994
Globe,C1LFRDF00,718.7260652958877
Globe,C1LFRLF00,145.37000015275
Globe,C1NG00I00,7716.251241905899
Globe,C1NGBRFH1,338.0613567494501
Globe,C1NGBRFN1,968.1989832835444
Globe,C1NGCCP00,1073.1739377647473
Globe,C1NGCCPCH,1083.5112191693702
Globe,C1NGGCP00,49.039185701816976
Globe,C1NGGCPCH,257.87532665797994
Globe,C1NGHTF03,641.454505142375
Globe,C1NGLP000,122.765437954914
Globe,C1NU00I00,1028.0565993076318
Globe,C1NULWP00,378.26573238601515
Globe,C1OCCVP00,0.09886536033449991
Globe,C1OI00I00,8566.837113316
Globe,C1OIHTF03,196.23758189376
Globe,C1OIRFP00,8456.342290249788
Globe,C1SOC1P00,361.54159941174026
Globe,C1SOTHF00,117.30895115348785
Globe,C1SOV1P00,261.05923487130536
Globe,C1SOV2P00,308.01702931218796
Globe,C1WDOFP00,472.9348877650001
Globe,C1WDONP00,795.7155287
Globe,CEMPLANT,532.4038456710397
Globe,DUMMYM,109.47009999999992
Globe,FERTPLANT,0.026954356336429994
Globe,LA,358093.30106498
Globe,LA1,60999.567046852004
Globe,LA1_PROD,60999.567046852004
Globe,LA1_i,70609.64523707399
Globe,LA1_i_PROD,70609.64523707399
Globe,LA2,226484.08915686002
Globe,LA2_PROD,226484.08915686002
Globe,LF,197501.96564762996
Globe,LF1,78385.00002682197
Globe,LF2,119116.96550663002
Globe,LF2_PROD,119116.96550663002
Globe,LO,237900.0001716
Globe,LandRes,793547.0035495599
Globe,MFOOFACTOR,406.9469899443401
Globe,PAPPLANT,412.9568418240804
Globe,PETAPLANT,0.0005425797868484801
Globe,PETBPLANT,3645.8461918478006
Globe,STEPLANT,1541.8302135565589
Globe,VFOOFACTOR,5189.699514356402
Globe,XALUMINE,341.3633432289105
Globe,XCEMMINE,2518.191531695802
Globe,XPHOMINE,9.254813578984998e-05
Globe,XPOTMINE,2.0355495527699993e-05
Globe,XSTEMINE,2439.891163911499
