REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.61931211282694
Globe,ALUPLANT,2011,10.653080009069992
Globe,ALUPLANT,2012,30.490373123818944
Globe,ALUPLANT,2013,21.089145675603458
Globe,ALUPLANT,2014,35.857651663902985
Globe,ALUPLANT,2015,35.91667736722715
Globe,ALUPLANT,2016,36.001511651196395
Globe,ALUPLANT,2017,36.05791380580858
Globe,ALUPLANT,2018,36.14711244332148
Globe,ALUPLANT,2019,46.61366804995808
Globe,ALUPLANT,2020,88.1132689098287
Globe,ALUPLANT,2021,10.915257101786377
Globe,ALUPLANT,2022,10.832783920745376
Globe,ALUPLANT,2023,30.156765451155664
Globe,ALUPLANT,2025,4.115480300103366
Globe,ALUPLANT,2026,24.47512512175803
Globe,ALUPLANT,2027,24.648236759289926
Globe,ALUPLANT,2028,35.46905874465082
Globe,ALUPLANT,2029,53.274886494809124
Globe,ALUPLANT,2030,18.617910934367114
Globe,ALUPLANT,2031,17.491683136951437
Globe,ALUPLANT,2033,25.624220096112815
Globe,ALUPLANT,2034,25.76860687545827
Globe,ALUPLANT,2035,64.40885879112224
Globe,ALUPLANT,2036,27.5684978598425
Globe,ALUPLANT,2037,55.586269107270645
Globe,ALUPLANT,2038,11.747438383894291
Globe,ALUPLANT,2039,30.05462350221682
Globe,ALUPLANT,2040,44.98164717953476
Globe,ALUPLANT,2041,45.01332155278104
Globe,ALUPLANT,2042,45.008554060087135
Globe,ALUPLANT,2043,49.427018859994966
Globe,ALUPLANT,2044,109.19916000117017
Globe,ALUPLANT,2045,129.69815966916454
Globe,ALUPLANT,2046,14.77658392656525
Globe,ALUPLANT,2047,14.648142875885915
Globe,ALUPLANT,2048,37.707146266426605
Globe,ALUPLANT,2049,1.6736753848405097
Globe,ALUPLANT,2050,6.571340827920279
Globe,ALUPLANT,2051,28.93976106927913
Globe,ALUPLANT,2052,28.9246088676017
Globe,ALUPLANT,2053,41.31118292205044
Globe,ALUPLANT,2054,61.58871926753356
Globe,ALUPLANT,2055,21.36455985368836
Globe,ALUPLANT,2056,19.925209253661386
Globe,ALUPLANT,2058,28.76789205328683
Globe,ALUPLANT,2059,28.722713354487574
Globe,ALUPLANT,2060,71.281948595491
Globe,C1BFRDF00,2010,51.83369266000001
Globe,C1BFRDF00,2011,2.126605300000012
Globe,C1BFRDF00,2012,2.135851409999988
Globe,C1BMBRFH1,2022,70.84368942507925
Globe,C1BMBRFH1,2025,6.636310574920738
Globe,C1BMBRFH1,2037,70.84368942507925
Globe,C1BMBRFH1,2040,6.636310574920738
Globe,C1BMBRFH1,2052,70.84368942507925
Globe,C1BMBRFH1,2055,6.636310574920738
Globe,C1BMBRFN1,2017,30.730931701680447
Globe,C1BMBRFN1,2018,58.14271477873671
Globe,C1BMCHP00,2019,71.3143439980746
Globe,C1BMCHP00,2020,251.32045613437086
Globe,C1BMCHP00,2021,147.16770504695523
Globe,C1BMCHP00,2022,266.25374999999997
Globe,C1BMCHP00,2023,246.00183360330692
Globe,C1BMCHP00,2024,250.20790923967536
Globe,C1BMCHP00,2025,213.46968513564528
Globe,C1BMCHP00,2026,97.85060451562998
