REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2037,0.3119546150637993
Globe,ALUPLANT,2038,0.12871573090111044
Globe,ALUPLANT,2039,0.4822937992680367
Globe,ALUPLANT,2040,0.9398990539358381
Globe,ALUPLANT,2041,1.1483906638306012
Globe,ALUPLANT,2042,1.34618118365055
Globe,ALUPLANT,2043,1.6853265443424184
Globe,ALUPLANT,2044,4.158923563240318
Globe,ALUPLANT,2045,5.432297244951309
Globe,ALUPLANT,2046,0.6723603929841809
Globe,ALUPLANT,2047,0.7169837952741396
Globe,ALUPLANT,2048,1.9693818610510547
Globe,ALUPLANT,2049,0.09264355918867273
Globe,ALUPLANT,2050,0.3833034712675775
Globe,ALUPLANT,2051,1.7700729910477524
Globe,ALUPLANT,2052,1.847228395311287
Globe,ALUPLANT,2053,2.744488414550452
Globe,ALUPLANT,2054,4.2424186707042155
Globe,ALUPLANT,2055,1.521476762181157
Globe,ALUPLANT,2056,1.4632251481002545
Globe,ALUPLANT,2058,2.2313936622161266
Globe,ALUPLANT,2059,2.282993566578961
Globe,ALUPLANT,2060,5.79600955048558
Globe,C1BMBRFH1,2052,2.877127701689716
Globe,C1BMBRFH1,2055,0.3774208841606249
Globe,C1BMCHP00,2027,0.3810410569419381
Globe,C1BMCHP00,2028,0.7303167696516254
Globe,C1BMCHP00,2029,1.0520876186958803
Globe,C1BMCHP00,2030,1.355739241056542
Globe,C1BMCHP00,2031,1.5006535518943207
Globe,C1BMCHP00,2032,3.8892496555936007
Globe,C1BMCHP00,2033,7.169079433331768
Globe,C1BMCHP00,2034,2.7905893563309814
Globe,C1BMCHP00,2035,9.598824797978125
Globe,C1BMCHP00,2036,2.7197606561842496
Globe,C1BMCHP00,2037,2.1400962600909534
Globe,C1BMCHP00,2038,2.399664866328395
Globe,C1BMCHP00,2039,2.494461464399375
Globe,C1BMCHP00,2040,2.453086371040821
Globe,C1BMCHP00,2041,1.8236007794957985
Globe,C1BMCHP00,2042,2.5573150494298877
Globe,C1BMCHP00,2043,7.610785520753944
Globe,C1BMCHP00,2044,2.281653349221198
Globe,C1BMCHP00,2045,1.9088946043951869
Globe,C1BMCHP00,2046,1.920474082394208
Globe,C1BMCHP00,2047,1.7418530797656853
Globe,C1BMCHP00,2048,0.31829920525992333
Globe,C1BMCHP00,2057,11.077924382798152
Globe,C1BMHTF03,2046,0.002625593365778769
Globe,C1BMHTF03,2047,0.3816884463451313
Globe,C1BMHTF03,2048,0.4386403011241938
Globe,C1BMHTF03,2049,0.489948607931096
Globe,C1BMHTF03,2050,0.5388136620329079
Globe,C1BMIGPCS,2054,3.85113046901626
Globe,C1BMIGPCS,2055,14.442893785915274
Globe,C1BMIGPCS,2056,8.693787485113976
Globe,C1BMIGPCS,2057,7.629656664474046
Globe,C1BMIGPCS,2058,14.436652345943351
Globe,C1BMIGPCS,2059,16.376873301429466
Globe,C1BMIGPCS,2060,14.483997078793971
Globe,C1CO00I00,2012,4.781501389622469e-07
Globe,C1CO00I00,2013,9.334466340521412e-07
Globe,C1CO00I00,2016,8.617424844349106e-08
Globe,C1CO00I00,2047,1.3227182268305618e-07
Globe,C1CO00I00,2048,3.953257867713613e-05
Globe,C1CO00I00,2049,3.9903047676712825e-05
Globe,C1CO00I00,2050,4.0255875295357306e-05
Globe,C1CO00I00,2051,4.059190159882823e-05
Globe,C1CO00I00,2052,4.091192664975294e-05
Globe,C1CO00I00,2053,4.121671241253837e-05
Globe,C1CO00I00,2054,4.1506984567572116e-05
Globe,C1CO00I00,2055,4.178343423903281e-05
Globe,C1CO00I00,2056,4.204671964042396e-05
Globe,C1CO00I00,2057,4.229746764174884e-05
Globe,C1CO00I00,2058,4.253627526205829e-05
Globe,C1CO00I00,2059,4.276371109092439e-05
Globe,C1CO00I00,2060,4.2980316642225486e-05
Globe,C1COHTF03,2042,0.0626347859451465
Globe,C1COHTF03,2043,0.15829862406898418
Globe,C1COHTF03,2044,0.2652757238366017
Globe,C1COHTF03,2045,0.4708210842256379
Globe,C1COHTF03,2046,0.6751525797716652
Globe,C1COHTF03,2047,0.4728354303196796
Globe,C1COHTF03,2048,0.35731674293748544
Globe,C1COHTF03,2052,0.6665535904577895
Globe,C1COHTF03,2053,1.0156084715437772
Globe,C1COHTF03,2054,1.3096849494310092
Globe,C1COHTF03,2055,1.5436260489102414
Globe,C1COHTF03,2056,1.6186374092655131
Globe,C1COHTF03,2057,1.6900768000800506
Globe,C1COHTF03,2058,0.06205454132195533
Globe,C1COSCP00,2033,7.370979609043944
Globe,C1COSCP00,2034,1.939349687802839
Globe,C1COSCP00,2036,2.1085464134276184
Globe,C1COSCP00,2037,6.930274140799589
Globe,C1COSCP00,2038,9.351319443824028
Globe,C1COSCP00,2039,9.59478612497319
Globe,C1COSCP00,2040,8.860402284947126
Globe,C1COSCP00,2041,13.092710872594536
Globe,C1COSCP00,2042,4.2381122314142425
Globe,C1COSCP00,2043,2.1980501561205847
Globe,C1ELRDF00,2050,5.600038294054334
Globe,C1ELRDF00,2051,2.688230454762686
Globe,C1ELRDF00,2052,8.956150035928054
Globe,C1ELRDF00,2053,9.88662739332057
Globe,C1ELRDF00,2054,11.922392246118966
Globe,C1ELRDF00,2055,15.070002988854526
Globe,C1ELRDF00,2056,11.821880334112024
Globe,C1ELRDF00,2057,17.768522765329827
Globe,C1ELRDF00,2058,96.1144710550516
Globe,C1ELRDF00,2059,23.547149047713464
Globe,C1ELRDF00,2060,26.7562342160768
Globe,C1GOCVP00,2032,7.45908070504175
Globe,C1GOCVP00,2033,0.5542130641167933
Globe,C1GOCVP00,2034,0.571057759550616
Globe,C1GOCVP00,2035,0.601762047903375
Globe,C1GOCVP00,2036,0.7572050727443488
Globe,C1GOCVP00,2037,0.7718003085559266
Globe,C1GOCVP00,2038,0.8224529287839051
Globe,C1GOCVP00,2039,0.8527655216013499
Globe,C1GOCVP00,2040,0.8816346576179662
Globe,C1GOCVP00,2041,1.3420476790013585
Globe,C1GOCVP00,2042,1.358432572515503
Globe,C1GOCVP00,2043,1.4175155589014372
Globe,C1GOCVP00,2044,1.4525761302835918
Globe,C1GOCVP00,2045,1.4859671506475427
Globe,C1GOCVP00,2046,1.2240065503409183
Globe,C1GOCVP00,2047,1.2484312598456744
Globe,C1GOCVP00,2048,1.271692887945443
Globe,C1GOCVP00,2049,1.2938468194690365
Globe,C1GOCVP00,2050,1.314945801872454
Globe,C1GOHTF03,2053,8.635442069155605
Globe,C1GOHTF03,2054,8.832653512795412
Globe,C1GOHTF03,2055,20.048842297312518
Globe,C1GOHTF03,2056,27.985560091292065
Globe,C1GOHTF03,2057,21.964927781894122
Globe,C1GOHTF03,2059,35.89305711866659
Globe,C1GOHTF03,2060,36.21654387410771
Globe,C1HPASF01,2042,0.6080276523684474
Globe,C1HPASF01,2043,1.2005273332919153
Globe,C1HPASF01,2044,1.4583579251681604
Globe,C1HPASF01,2045,1.94039141825866
Globe,C1HPASF01,2046,0.7288127164193307
Globe,C1HPASF01,2047,2.7176927947771174
Globe,C1HPASF01,2048,2.914546999795952
Globe,C1HPASF01,2049,5.678824317711687
Globe,C1HPASF01,2050,3.3715019692043824
Globe,C1HPASF01,2051,8.557347174608845
Globe,C1HPASF01,2052,2.2036946795226324
Globe,C1HPASF01,2053,2.7829420557483946
Globe,C1HPASF01,2054,3.1115662267258
Globe,C1HPASF01,2055,3.5332215319546423
Globe,C1HPASF01,2056,4.408268108208304
Globe,C1HPASF01,2057,5.027925894981959
