REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.209966684011597
Globe,IN,ALUPLANT,1,2010,4.209966684011597
Globe,ID,ALUPLANT,1,2011,4.135362834350105
Globe,IN,ALUPLANT,1,2011,4.135362834350105
Globe,IP,ALUPLANT,1,2011,2.283935464865881
Globe,ID,ALUPLANT,1,2012,4.214857378352626
Globe,IN,ALUPLANT,1,2012,4.214857378352626
Globe,IP,ALUPLANT,1,2012,2.8515090217040084
Globe,ID,ALUPLANT,1,2013,4.2195444318216975
Globe,IN,ALUPLANT,1,2013,4.2195444318216975
Globe,IP,ALUPLANT,1,2013,4.2195444318216975
Globe,ID,ALUPLANT,1,2014,4.336120518714794
Globe,IN,ALUPLANT,1,2014,4.336120518714794
Globe,IP,ALUPLANT,1,2014,4.336120518714794
Globe,ID,ALUPLANT,1,2015,4.450964854226898
Globe,IN,ALUPLANT,1,2015,4.450964854226898
Globe,IP,ALUPLANT,1,2015,4.450964854226896
Globe,ID,ALUPLANT,1,2016,4.564102231672113
Globe,IN,ALUPLANT,1,2016,4.564102231672114
Globe,IP,ALUPLANT,1,2016,4.5641022316721065
Globe,ID,ALUPLANT,1,2017,4.675546175591217
Globe,IN,ALUPLANT,1,2017,4.675546175591216
Globe,IP,ALUPLANT,1,2017,4.675546175591216
Globe,ID,ALUPLANT,1,2018,4.785369073218507
Globe,IN,ALUPLANT,1,2018,4.785369073218507
Globe,IP,ALUPLANT,1,2018,4.785369073218496
Globe,ID,ALUPLANT,1,2019,4.970080178808756
Globe,IN,ALUPLANT,1,2019,4.970080178808756
Globe,IP,ALUPLANT,1,2019,4.0527499823941895
Globe,ID,ALUPLANT,1,2020,5.455193985732105
Globe,IN,ALUPLANT,1,2020,5.455193985732105
Globe,ID,ALUPLANT,1,2021,5.375868793170008
Globe,IN,ALUPLANT,1,2021,5.375868793170008
Globe,IP,ALUPLANT,1,2021,1.0297331226958788
Globe,ID,ALUPLANT,1,2022,5.295330958078545
Globe,IN,ALUPLANT,1,2022,5.295330958078545
Globe,IP,ALUPLANT,1,2022,2.07029198235764
Globe,ID,ALUPLANT,1,2023,5.352101069833969
Globe,IN,ALUPLANT,1,2023,5.352101069833964
Globe,IP,ALUPLANT,1,2023,1.5998264289536663
Globe,ID,ALUPLANT,1,2024,5.193701069833966
Globe,IN,ALUPLANT,1,2024,5.193701069833966
Globe,IP,ALUPLANT,1,2024,3.4917630322808866
Globe,ID,ALUPLANT,1,2025,5.064201995820441
Globe,IN,ALUPLANT,1,2025,5.064201995820441
Globe,IP,ALUPLANT,1,2025,5.064201995820441
Globe,ID,ALUPLANT,1,2026,5.076472007722008
Globe,IN,ALUPLANT,1,2026,5.076472007722007
Globe,IP,ALUPLANT,1,2026,5.076472007722007
Globe,ID,ALUPLANT,1,2027,5.088552713038964
Globe,IN,ALUPLANT,1,2027,5.088552713038964
Globe,IP,ALUPLANT,1,2027,5.08855271303896
Globe,ID,ALUPLANT,1,2028,5.173639483569394
Globe,IN,ALUPLANT,1,2028,5.173639483569394
Globe,IP,ALUPLANT,1,2028,4.296527205775829
Globe,ID,ALUPLANT,1,2029,5.378341394791738
Globe,IN,ALUPLANT,1,2029,5.378341394791738
Globe,IP,ALUPLANT,1,2029,2.1876968711140177
Globe,ID,ALUPLANT,1,2030,5.345863416739034
Globe,IN,ALUPLANT,1,2030,5.345863416739034
Globe,IP,ALUPLANT,1,2030,2.683907993952386
Globe,ID,ALUPLANT,1,2031,5.305001952993778
Globe,IN,ALUPLANT,1,2031,5.3050019529937735
Globe,IP,ALUPLANT,1,2031,3.2703905194834535
Globe,ID,ALUPLANT,1,2032,5.146601952993781
Globe,IN,ALUPLANT,1,2032,5.146601952993781
Globe,IP,ALUPLANT,1,2032,5.146601952993761
Globe,ID,ALUPLANT,1,2033,5.157758974496664
Globe,IN,ALUPLANT,1,2033,5.157758974496664
Globe,IP,ALUPLANT,1,2033,5.157758974496664
Globe,ID,ALUPLANT,1,2034,5.1687497142160375
Globe,IN,ALUPLANT,1,2034,5.168749714216038
Globe,IP,ALUPLANT,1,2034,5.168749714216038
Globe,ID,ALUPLANT,1,2035,5.1796165202907325
Globe,IN,ALUPLANT,1,2035,5.1796165202907325
Globe,IP,ALUPLANT,1,2035,5.1796165202907325
Globe,ID,ALUPLANT,1,2036,5.274376980468029
Globe,IN,ALUPLANT,1,2036,5.274376980468029
Globe,IP,ALUPLANT,1,2036,4.266768161409576
Globe,ID,ALUPLANT,1,2037,5.394080292281563
Globe,IN,ALUPLANT,1,2037,5.394080292281563
Globe,IP,ALUPLANT,1,2037,3.0778976146362758
Globe,ID,ALUPLANT,1,2038,5.306019541322519
Globe,IN,ALUPLANT,1,2038,5.306019541322519
