REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,93.06131355007636
Globe,ID,ALUPLANT,ALU,2011,92.12513200595103
Globe,ID,ALUPLANT,ALU,2012,94.62312665827862
Globe,ID,ALUPLANT,ALU,2013,95.45579999999998
Globe,ID,ALUPLANT,ALU,2014,98.84099999999998
Globe,ID,ALUPLANT,ALU,2015,102.2262
Globe,ID,ALUPLANT,ALU,2016,105.61150000000002
Globe,ID,ALUPLANT,ALU,2017,108.99680000000001
Globe,ID,ALUPLANT,ALU,2018,112.38200000000003
Globe,ID,ALUPLANT,ALU,2019,117.57718679007873
Globe,ID,ALUPLANT,ALU,2020,129.99399956360463
Globe,ID,ALUPLANT,ALU,2021,129.0305275999079
Globe,ID,ALUPLANT,ALU,2022,128.01091917987816
Globe,ID,ALUPLANT,ALU,2023,130.3059991169267
Globe,ID,ALUPLANT,ALU,2024,127.345395271473
Globe,ID,ALUPLANT,ALU,2025,125.04325
Globe,ID,ALUPLANT,ALU,2026,126.2214
Globe,ID,ALUPLANT,ALU,2027,127.39955000000002
Globe,ID,ALUPLANT,ALU,2028,130.42176037735248
Globe,ID,ALUPLANT,ALU,2029,136.509834277767
Globe,ID,ALUPLANT,ALU,2030,136.60712457866592
Globe,ID,ALUPLANT,ALU,2031,136.47754124310853
Globe,ID,ALUPLANT,ALU,2032,133.29030000000006
Globe,ID,ALUPLANT,ALU,2033,134.46845
Globe,ID,ALUPLANT,ALU,2034,135.6466
Globe,ID,ALUPLANT,ALU,2035,136.82475
Globe,ID,ALUPLANT,ALU,2036,140.23724490747614
Globe,ID,ALUPLANT,ALU,2037,144.3504432937177
Globe,ID,ALUPLANT,ALU,2038,142.90861611230181
Globe,ID,ALUPLANT,ALU,2039,141.53734999999998
Globe,ID,ALUPLANT,ALU,2040,142.7155
Globe,ID,ALUPLANT,ALU,2041,143.89365
Globe,ID,ALUPLANT,ALU,2042,145.07180000000002
Globe,ID,ALUPLANT,ALU,2043,147.0007665193321
Globe,ID,ALUPLANT,ALU,2044,157.03969492303088
Globe,ID,ALUPLANT,ALU,2045,162.12770019637793
Globe,ID,ALUPLANT,ALU,2046,163.41304822168885
Globe,ID,ALUPLANT,ALU,2047,164.69839624699978
Globe,ID,ALUPLANT,ALU,2048,165.98374427231073
Globe,ID,ALUPLANT,ALU,2049,167.26909229762165
Globe,ID,ALUPLANT,ALU,2050,168.5544403229326
Globe,ID,ALUPLANT,ALU,2051,168.5544403229326
Globe,ID,ALUPLANT,ALU,2052,168.5544403229326
Globe,ID,ALUPLANT,ALU,2053,168.5544403229326
Globe,ID,ALUPLANT,ALU,2054,168.5544403229326
Globe,ID,ALUPLANT,ALU,2055,168.5544403229326
Globe,ID,ALUPLANT,ALU,2056,168.5544403229326
Globe,ID,ALUPLANT,ALU,2057,168.5544403229326
Globe,ID,ALUPLANT,ALU,2058,168.5544403229326
Globe,ID,ALUPLANT,ALU,2059,168.5544403229326
Globe,ID,ALUPLANT,ALU,2060,168.5544403229326
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.5606000000000001
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836000000000001
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.6067000000000001
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.5292184043534128
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.4560306979810094
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.38714034373726386
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.4190628801630464
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.3731542532054392
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.32895517374606115
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.5472310975356701
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.18195794076018065
Globe,ID,C1BFRDF00,C1_F_RD,2021,0.5289899550125515
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.046099999999999884
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.02310000000000301
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,14.076223268425956
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2011,14.707146359400554
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2012,14.305078647180595
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2013,15.34630449132638
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2014,16.239887479875787
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2015,16.202229981131065
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2016,14.812459200000001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2017,13.166279999999999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2018,11.5201008
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2019,9.8739216
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2020,8.2277424
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2021,6.584716800000001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2022,7.82202571268624
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2023,6.175846512686241
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2024,4.529667312686241
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2025,3.1536
