REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.2698035376848527
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.2264173195715813
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.265991623749939
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.265279306401206
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.3245465127572955
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.38270830962416
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.439781924860413
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738197073622
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.550735706359514
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.645389786213285
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.8994246930286427
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.853145596336705
Globe,ID,ALUPLANT,C1_F_CLS,2022,2.8063506618600123
Globe,ID,ALUPLANT,C1_F_CLS,2023,2.8323425903582757
Globe,ID,ALUPLANT,C1_F_CLS,2024,2.7445438122398516
Globe,ID,ALUPLANT,C1_F_CLS,2025,2.672232531336568
Globe,ID,ALUPLANT,C1_F_CLS,2026,2.6748235597007723
Globe,ID,ALUPLANT,C1_F_CLS,2027,2.6772962129910334
Globe,ID,ALUPLANT,C1_F_CLS,2028,2.7181060173197538
Globe,ID,ALUPLANT,C1_F_CLS,2029,2.821531679121694
Globe,ID,ALUPLANT,C1_F_CLS,2030,2.8004038215416593
Globe,ID,ALUPLANT,C1_F_CLS,2031,2.7749404215719853
Globe,ID,ALUPLANT,C1_F_CLS,2032,2.6881473990779465
Globe,ID,ALUPLANT,C1_F_CLS,2033,2.6900240353897606
Globe,ID,ALUPLANT,C1_F_CLS,2034,2.691802151168285
Globe,ID,ALUPLANT,C1_F_CLS,2035,2.6934990032650665
Globe,ID,ALUPLANT,C1_F_CLS,2036,2.7387413446159456
Globe,ID,ALUPLANT,C1_F_CLS,2037,2.796765902584483
Globe,ID,ALUPLANT,C1_F_CLS,2038,2.7470483549921187
Globe,ID,ALUPLANT,C1_F_CLS,2039,2.699380404979746
Globe,ID,ALUPLANT,C1_F_CLS,2040,2.7006452805353725
Globe,ID,ALUPLANT,C1_F_CLS,2041,2.701823360456602
Globe,ID,ALUPLANT,C1_F_CLS,2042,2.702916860584076
Globe,ID,ALUPLANT,C1_F_CLS,2043,2.717823133672185
Globe,ID,ALUPLANT,C1_F_CLS,2044,2.8812190966658235
Globe,ID,ALUPLANT,C1_F_CLS,2045,2.951938182784089
Globe,ID,ALUPLANT,C1_F_CLS,2046,2.952808584218595
Globe,ID,ALUPLANT,C1_F_CLS,2047,2.9535890422509987
Globe,ID,ALUPLANT,C1_F_CLS,2048,2.9543017906085214
Globe,ID,ALUPLANT,C1_F_CLS,2049,2.9549217505476966
Globe,ID,ALUPLANT,C1_F_CLS,2050,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2051,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2052,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2053,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2054,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2055,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2056,2.9554824423266925
Globe,ID,ALUPLANT,C1_F_CLS,2057,2.9554824423266925
