REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2037,3.7561737002448674
Globe,ALUPLANT,2038,1.5498364822064523
Globe,ALUPLANT,2039,5.807188600916457
Globe,ALUPLANT,2040,11.317108120220638
Globe,ALUPLANT,2041,13.827507594991223
Globe,ALUPLANT,2042,16.20905770782899
Globe,ALUPLANT,2043,20.29262891619315
Globe,ALUPLANT,2044,50.076641136971475
Globe,ALUPLANT,2045,65.40904047605035
Globe,ALUPLANT,2046,8.095736697778879
Globe,ALUPLANT,2047,8.633036811331326
Globe,ALUPLANT,2048,23.712873588058308
Globe,ALUPLANT,2049,1.1154997673312288
Globe,ALUPLANT,2050,4.615268851507094
Globe,ALUPLANT,2051,21.313041370224887
Globe,ALUPLANT,2052,22.242051829862362
Globe,ALUPLANT,2053,33.04575314987035
Globe,ALUPLANT,2054,51.08198650328659
Globe,ALUPLANT,2055,18.319751411498714
Globe,ALUPLANT,2056,17.61835713732601
Globe,ALUPLANT,2058,26.86769736423086
Globe,ALUPLANT,2059,27.488999933077906
Globe,ALUPLANT,2060,69.78841661133802
Globe,C1BMBRFH1,2052,34.64283226943984
Globe,C1BMBRFH1,2055,4.544437974470651
Globe,C1BMCHP00,2027,4.588027641476316
Globe,C1BMCHP00,2028,8.793576086227159
Globe,C1BMCHP00,2029,12.667944799888627
Globe,C1BMCHP00,2030,16.324144076551168
Globe,C1BMCHP00,2031,18.06902393045765
Globe,C1BMCHP00,2032,46.82955970066158
Globe,C1BMCHP00,2033,86.32123495573202
Globe,C1BMCHP00,2034,33.600843976262304
Globe,C1BMCHP00,2035,115.5772395034128
Globe,C1BMCHP00,2036,32.748011904330056
Globe,C1BMCHP00,2037,25.768406364182283
Globe,C1BMCHP00,2038,28.89381219271568
Globe,C1BMCHP00,2039,30.035236205545488
Globe,C1BMCHP00,2040,29.537048231994294
Globe,C1BMCHP00,2041,21.95755714749493
Globe,C1BMCHP00,2042,30.792041752433878
Globe,C1BMCHP00,2043,91.63971626261679
Globe,C1BMCHP00,2044,27.472862684424573
Globe,C1BMCHP00,2045,22.98456045634116
Globe,C1BMCHP00,2046,23.12398628504253
Globe,C1BMCHP00,2047,20.973251915405427
Globe,C1BMCHP00,2048,3.832567450113382
Globe,C1BMCHP00,2057,133.38673707859007
Globe,C1BMHTF03,2046,0.031614165240218206
Globe,C1BMHTF03,2047,4.595822708234966
Globe,C1BMHTF03,2048,5.2815668798912485
Globe,C1BMHTF03,2049,5.899358389700347
Globe,C1BMHTF03,2050,6.487731256185208
Globe,C1BMIGPCS,2054,46.370575351071956
Globe,C1BMIGPCS,2055,173.9035589615818
Globe,C1BMIGPCS,2056,104.67989358139349
Globe,C1BMIGPCS,2057,91.86693935954223
Globe,C1BMIGPCS,2058,173.82840721981515
Globe,C1BMIGPCS,2059,197.19016105753425
Globe,C1BMIGPCS,2060,174.39847424813027
Globe,C1CO00I00,2012,5.757295741148465e-06
Globe,C1CO00I00,2013,1.1239416017909148e-05
Globe,C1CO00I00,2016,1.037604286045295e-06
Globe,C1CO00I00,2047,1.5926545646517774e-06
Globe,C1CO00I00,2048,0.00047600267846510647
Globe,C1CO00I00,2049,0.00048046341039779933
Globe,C1CO00I00,2050,0.00048471172652417375
Globe,C1CO00I00,2051,0.0004887577418826254
Globe,C1CO00I00,2052,0.0004926110898430555
Globe,C1CO00I00,2053,0.0004962809450434656
Globe,C1CO00I00,2054,0.000499776045234332
Globe,C1CO00I00,2055,0.000503104712082776
Globe,C1CO00I00,2056,0.0005062748709860562
Globe,C1CO00I00,2057,0.0005092940699415609
Globe,C1CO00I00,2058,0.0005121694975182324
Globe,C1CO00I00,2059,0.0005149079999722048
Globe,C1CO00I00,2060,0.0005175160975474173
Globe,C1COHTF03,2042,0.7541710374745074
Globe,C1COHTF03,2043,1.9060372881204648
Globe,C1COHTF03,2044,3.194123917623981
Globe,C1COHTF03,2045,5.66904828039628
Globe,C1COHTF03,2046,8.12935677605589
Globe,C1COHTF03,2047,5.693302557961889
Globe,C1COHTF03,2048,4.30236863847791
Globe,C1COHTF03,2052,8.025818325429471
Globe,C1COHTF03,2053,12.2287077874403
Globe,C1COHTF03,2054,15.76961495393551
Globe,C1COHTF03,2055,18.586445873685
Globe,C1COHTF03,2056,19.489640394235497
Globe,C1COHTF03,2057,20.349825651902545
Globe,C1COHTF03,2058,0.7471844455534568
Globe,C1COSCP00,2033,88.75226848902275
Globe,C1COSCP00,2034,23.351263104132386
Globe,C1COSCP00,2036,25.388521924071203
Globe,C1COSCP00,2037,83.44583540729064
Globe,C1COSCP00,2038,112.59708451595327
Globe,C1COSCP00,2039,115.52861077156372
Globe,C1COSCP00,2040,106.68606402729904
Globe,C1COSCP00,2041,157.6463173480921
Globe,C1COSCP00,2042,51.03013365924584
Globe,C1COSCP00,2043,26.46621588384175
Globe,C1ELRDF00,2050,67.4287718301238
Globe,C1ELRDF00,2051,32.36836400805233
Globe,C1ELRDF00,2052,107.83894065333841
Globe,C1ELRDF00,2053,119.04260429459057
Globe,C1ELRDF00,2054,143.5547802032571
Globe,C1ELRDF00,2055,181.454436497983
Globe,C1ELRDF00,2056,142.3445394111323
Globe,C1ELRDF00,2057,213.94669185991833
Globe,C1ELRDF00,2058,1157.292218023756
Globe,C1ELRDF00,2059,283.525800542103
Globe,C1ELRDF00,2060,322.16565624286596
Globe,C1GOCVP00,2032,89.81307350286114
Globe,C1GOCVP00,2033,6.673151911350562
Globe,C1GOCVP00,2034,6.8759750109999125
Globe,C1GOCVP00,2035,7.245678278161966
Globe,C1GOCVP00,2036,9.117331953408172
Globe,C1GOCVP00,2037,9.293069827627823
Globe,C1GOCVP00,2038,9.902966366295514
Globe,C1GOCVP00,2039,10.267953317694943
Globe,C1GOCVP00,2040,10.615559938075377
Globe,C1GOCVP00,2041,16.159287129984012
Globe,C1GOCVP00,2042,16.356573860576393
Globe,C1GOCVP00,2043,17.067978497271334
Globe,C1GOCVP00,2044,17.49013476546526
Globe,C1GOCVP00,2045,17.892188354221314
Globe,C1GOCVP00,2046,14.737981075797613
Globe,C1GOCVP00,2047,15.032073379766645
Globe,C1GOCVP00,2048,15.312161288308593
Globe,C1GOCVP00,2049,15.578911677396214
Globe,C1GOCVP00,2050,15.832959667003411
Globe,C1GOHTF03,2053,103.97736986040972
Globe,C1GOHTF03,2054,106.35194745028019
Globe,C1GOHTF03,2055,241.40349435805203
Globe,C1GOHTF03,2056,336.96768608483416
Globe,C1GOHTF03,2057,264.4746385471977
Globe,C1GOHTF03,2059,432.18003728827495
Globe,C1GOHTF03,2060,436.0750668358167
Globe,C1HPASF01,2042,7.321120979027378
Globe,C1HPASF01,2043,14.455273228812336
Globe,C1HPASF01,2044,17.559752026556865
Globe,C1HPASF01,2045,23.36380634071857
Globe,C1HPASF01,2046,8.775466127527691
Globe,C1HPASF01,2047,32.72311326120009
Globe,C1HPASF01,2048,35.09338942308068
Globe,C1HPASF01,2049,68.37741620247293
Globe,C1HPASF01,2050,40.59547900728867
Globe,C1HPASF01,2051,103.03704721456604
Globe,C1HPASF01,2052,26.534180290615645
Globe,C1HPASF01,2053,33.508764590546825
Globe,C1HPASF01,2054,37.4656525757996
Globe,C1HPASF01,2055,42.542707030484905
Globe,C1HPASF01,2056,53.07894139759346
Globe,C1HPASF01,2057,60.540098147446706
Globe,C1HPASF01,2058,45.3449081272807
Globe,C1HPASF01,2059,131.29937575811715
Globe,C1HPASF01,2060,45.86734641564229
Globe,C1HYDMP00,2030,422.6055515110185
Globe,C1HYDMP00,2031,424.633915403172
Globe,C1HYDMP00,2032,426.565690538556
Globe,C1HYDMP00,2033,428.405476381779
Globe,C1HYDMP00,2034,430.157653375326
Globe,C1HYDMP00,2035,431.82639336917845
Globe,C1HYDMP00,2036,321.3054830292178
Globe,C1HYDMP00,2037,83.21646621271366
Globe,C1HYDMP00,2038,83.78319096364214
Globe,C1HYDMP00,2039,83.75495414747816
Globe,C1HYDMP00,2040,84.005122758287
Globe,C1HYDMP00,2041,78.66629079767179
Globe,C1HYDMP00,2042,78.87817916571872
Globe,C1HYDMP00,2043,79.07997761147796
Globe,C1HYDMP00,2044,79.27216660743974
Globe,C1HYDMP00,2045,79.45520374644963
Globe,C1HYDMP00,2046,65.66464547649278
Globe,C1HYDMP00,2047,65.80155009530823
Globe,C1HYDMP00,2048,65.93193544656053
Globe,C1HYDMP00,2049,66.056111971563
Globe,C1HYDMP00,2050,66.17437532870817
Globe,C1LFRDF00,2058,808.6465263157105
Globe,C1NG00I00,2012,8.772624608839465e-06
Globe,C1NG00I00,2013,1.7127505188686555e-05
Globe,C1NG00I00,2014,2.5084534312350518e-05
Globe,C1NG00I00,2015,3.266071493134041e-05
Globe,C1NG00I00,2016,4.4305030225530293e-05
Globe,C1NG00I00,2017,0.0001445755177233952
Globe,C1NG00I00,2018,3.124016286669427e-05
Globe,C1NG00I00,2019,3.45444873521091e-05
Globe,C1NG00I00,2020,3.818074815810648e-05
Globe,C1NG00I00,2021,3.630864739707049e-05
Globe,C1NG00I00,2056,0.000396546428552609
Globe,C1NG00I00,2057,0.0005092940699415609
Globe,C1NG00I00,2058,0.0005121694975182324
Globe,C1NG00I00,2059,0.0005149079999722048
Globe,C1NG00I00,2060,0.0005175160975474173
Globe,C1NGCCP00,2032,2.212327464126518
Globe,C1NGCCP00,2034,18.6288846657853
Globe,C1NGCCP00,2035,3.9213748256227143
Globe,C1NGCCP00,2045,12.696455835984738
Globe,C1NGCCP00,2046,71.60013514401093
Globe,C1NGCCP00,2047,48.79956282694499
Globe,C1NGCCP00,2048,73.15089455651027
Globe,C1NGCCP00,2049,88.0286300116748
Globe,C1NGCCP00,2050,91.0087112049098
Globe,C1NGCCP00,2051,63.68749091716569
Globe,C1NGCCP00,2052,24.74725813424305
Globe,C1NGCCP00,2056,67.76998442481502
Globe,C1NGCCP00,2058,54.9274653007341
Globe,C1NGHTF03,2057,10.521043710915427
Globe,C1NGHTF03,2058,14.112699804549004
Globe,C1NGHTF03,2059,2.5416473510153104
Globe,C1NGHTF03,2060,3.0418552072257596
Globe,C1NGLP000,2051,6.538266282498753
Globe,C1NGLP000,2055,4.675492345088865
Globe,C1NGLP000,2056,5.259010109951382
Globe,C1NULWP00,2042,195.7974250086946
Globe,C1NULWP00,2043,6.433646243926585
Globe,C1NULWP00,2044,351.6322338956634
Globe,C1NULWP00,2045,355.60143929796305
Globe,C1NULWP00,2046,142.0421908846133
Globe,C1NULWP00,2047,340.663450754426
Globe,C1NULWP00,2048,446.2045285972762
Globe,C1NULWP00,2049,420.1569912249968
Globe,C1NULWP00,2050,264.9274063881134
Globe,C1OI00I00,2012,3.1337509529791768e-06
Globe,C1OI00I00,2013,6.118275670102174e-06
Globe,C1OI00I00,2014,8.959188456230823e-06
Globe,C1OI00I00,2015,1.1667732060217613e-05
Globe,C1OI00I00,2031,0.00023522940549293222
Globe,C1OI00I00,2032,0.00027389734728075916
Globe,C1OI00I00,2033,0.0002812002610668537
Globe,C1OI00I00,2034,0.00028815541705361035
Globe,C1OI00I00,2035,0.0002947793751362359
Globe,C1OI00I00,2036,0.0003010879066434981
Globe,C1OI00I00,2037,0.0003070960318885099
Globe,C1OI00I00,2038,0.0003128180559313781
Globe,C1OI00I00,2039,0.0003182676026388717
Globe,C1OI00I00,2040,0.000323457647122199
Globe,C1OI00I00,2041,0.00032840054663012995
Globe,C1OI00I00,2042,0.0003331080699710162
Globe,C1OI00I00,2043,0.0003375914255337651
Globe,C1OI00I00,2044,0.0003418612879744784
Globe,C1OI00I00,2045,0.00034592782363230076
Globe,C1OI00I00,2046,0.0003498007147349883
Globe,C1OI00I00,2047,0.00035348918245183415
Globe,C1OI00I00,2048,0.00035700200884882985
Globe,C1OI00I00,2049,0.0003603475577983496
Globe,C1OI00I00,2050,0.0003635337948931303
Globe,C1OI00I00,2051,0.000366568306411969
Globe,C1OI00I00,2052,0.0003694583173822917
Globe,C1OI00I00,2053,0.000372210708782599
Globe,C1OI00I00,2054,0.0003748320339257488
Globe,C1OI00I00,2055,0.00037732853406208196
Globe,C1OI00I00,2056,0.0003797061532395421
Globe,C1OI00I00,2057,0.0003819705524561706
Globe,C1OI00I00,2058,0.00038412712313867423
Globe,C1OI00I00,2059,0.0003861809999791536
Globe,C1OI00I00,2060,0.0003881370731605629
Globe,C1SOC1P00,2036,34.9990657922831
Globe,C1SOC1P00,2037,70.20214621861422
Globe,C1SOC1P00,2038,79.0148790172735
Globe,C1SOC1P00,2039,87.1216842194419
Globe,C1SOC1P00,2040,94.56184070290159
Globe,C1SOC1P00,2041,101.37248724278273
Globe,C1SOC1P00,2042,107.58873726310992
Globe,C1SOC1P00,2043,61.475198935344494
Globe,C1SOC1P00,2044,64.42656713464429
Globe,C1SOC1P00,2045,66.94393394966018
Globe,C1SOC1P00,2046,103.352412472012
Globe,C1SOC1P00,2047,106.36597848102942
Globe,C1SOC1P00,2048,108.84606778331086
Globe,C1SOC1P00,2049,111.38681739329613
Globe,C1SOC1P00,2050,113.43152414653855
Globe,C1SOTHF00,2042,0.0809303807951829
Globe,C1SOTHF00,2043,0.1580069339334525
Globe,C1SOTHF00,2044,0.2314131750175185
Globe,C1SOTHF00,2045,0.30132388081186795
Globe,C1SOTHF00,2046,0.367905505377915
Globe,C1SOTHF00,2047,0.43131657639319504
Globe,C1SOTHF00,2048,0.491708072598228
