TIMESLICE,YEAR,MODE_OF_OPERATION,REGION,TECHNOLOGY,VALUE
ID,2010,1,Globe,ALUPLANT,1.929427731282515
ID,2010,1,Globe,C1BFRDF00,0.25692298
ID,2010,1,Globe,C1BMBRFH1,6.4511331239196155
ID,2010,1,Globe,C1BMCHP00,0.33463842984
ID,2010,1,Globe,C1BMHTF03,3.6089013153600003
ID,2010,1,Globe,C1BMLP000,2.9663124652595747
ID,2010,1,Globe,C1CO00I00,63.81717508
ID,2010,1,Globe,C1COBRFH1,3.27648349296
ID,2010,1,Globe,C1COCHP00,0.9019331755075922
ID,2010,1,Globe,C1COHTF03,18.88422290208
ID,2010,1,Globe,C1COIGP00,0.0108397116
ID,2010,1,Globe,C1COSCP00,12.954967048125484
ID,2010,1,Globe,C1ELEFF00,34.91310427820938
ID,2010,1,Globe,C1GOCVP00,0.130654657152
ID,2010,1,Globe,C1GOHTF03,0.25003601424
ID,2010,1,Globe,C1HFGCPCH,0.22113011664000004
ID,2010,1,Globe,C1HFMRF00,39.4138
ID,2010,1,Globe,C1HTOOTFI,34.82072756256514
ID,2010,1,Globe,C1HTOOTFR,11.352818529666926
ID,2010,1,Globe,C1HYDMP00,5.4574334668799995
ID,2010,1,Globe,C1HYMIP00,0.4168519492896
ID,2010,1,Globe,C1LFBRFH1,1.7212438016414944
ID,2010,1,Globe,C1LFCCP00,0.23335214572800003
ID,2010,1,Globe,C1LFRDF00,8.306870820000002
ID,2010,1,Globe,C1LFRLF00,5.965365158170285
ID,2010,1,Globe,C1NG00I00,49.512623819999995
ID,2010,1,Globe,C1NGBRFH1,8.891454101759999
ID,2010,1,Globe,C1NGBRFN1,3.5410636366439636
ID,2010,1,Globe,C1NGCCP00,3.95307717768
ID,2010,1,Globe,C1NGCCPCH,0.9778376835203008
ID,2010,1,Globe,C1NGGCP00,1.159993670688
ID,2010,1,Globe,C1NGGCPCH,2.1094078773600002
ID,2010,1,Globe,C1NGHTF03,10.013002928639999
ID,2010,1,Globe,C1NU00I00,14.538280165951102
ID,2010,1,Globe,C1NULWP00,5.229597181996799
ID,2010,1,Globe,C1OI00I00,76.78614848
ID,2010,1,Globe,C1OIHTF03,7.427370388319999
ID,2010,1,Globe,C1OIRFP00,29.58314772785006
ID,2010,2,Globe,C1OIRFP00,29.31601077881487
ID,2010,1,Globe,C1SOC1P00,0.007804592351999999
ID,2010,1,Globe,C1SOTHF00,0.464806833408
ID,2010,1,Globe,C1SOV1P00,0.12140476992000002
ID,2010,1,Globe,C1SOV2P00,0.09249887232
ID,2010,1,Globe,C1WDOFP00,0.0052030615680000005
ID,2010,1,Globe,C1WDONP00,0.5944786900415999
ID,2010,1,Globe,CEMPLANT,4.974638248479997
ID,2010,1,Globe,FERTPLANT,0.00018917855780787706
ID,2010,1,Globe,LA,2522.822233209156
ID,2010,1,Globe,LA1,738.922233209156
ID,2010,1,Globe,LA1_i,183.9
ID,2010,1,Globe,LA1_i_PROD,183.9
ID,2010,1,Globe,LA1_PROD,738.922233209156
ID,2010,1,Globe,LA2,1600.0
ID,2010,1,Globe,LA2_PROD,1600.0
ID,2010,1,Globe,LandRes,6139.847733209155
ID,2010,1,Globe,LF,1833.2000000000005
ID,2010,1,Globe,LF1,588.9154999999998
ID,2010,1,Globe,LF2,1244.2845000000002
ID,2010,1,Globe,LF2_PROD,1244.2844999999998
ID,2010,1,Globe,LO,1783.825500000001
ID,2010,1,Globe,MFOOFACTOR,2.7433012411553186
ID,2010,1,Globe,PAPPLANT,3.037274524075636
ID,2010,1,Globe,PETAPLANT,4.6621117165056045e-06
ID,2010,1,Globe,PETBPLANT,18.331562167906483
ID,2010,1,Globe,STEPLANT,13.090302198976481
ID,2010,1,Globe,VFOOFACTOR,32.02232935803095
ID,2010,1,Globe,XALUMINE,1.6627808188192714
ID,2010,1,Globe,XCEMMINE,20.644748731191996
ID,2010,1,Globe,XPHOMINE,6.053713849852065e-07
ID,2010,1,Globe,XPOTMINE,1.3242499046551394e-07
ID,2010,1,Globe,XSTEMINE,20.14512421458187
ID,2011,1,Globe,ALUPLANT,1.8952367869826532
ID,2011,1,Globe,C1BFRDF00,0.26746388000000004
ID,2011,1,Globe,C1BMBRFH1,6.740285176513273
ID,2011,1,Globe,C1BMCHP00,0.32551192720800004
ID,2011,1,Globe,C1BMHTF03,3.2038292793600003
ID,2011,1,Globe,C1BMLP000,3.0648526669016167
ID,2011,1,Globe,C1CO00I00,64.32295496
ID,2011,1,Globe,C1COBRFH1,4.29108049872
ID,2011,1,Globe,C1COCHP00,1.092487849139376
ID,2011,1,Globe,C1COHTF03,19.902018000050948
ID,2011,1,Globe,C1COIGP00,0.0108397116
ID,2011,1,Globe,C1COSCP00,15.934830385945348
ID,2011,1,Globe,C1ELEFF00,36.08297392622878
ID,2011,1,Globe,C1ELRLF00,3.0300000000000002
ID,2011,1,Globe,C1GOCVP00,0.09943426944
ID,2011,1,Globe,C1GOHTF03,0.09333962207999999
ID,2011,1,Globe,C1HFGCPCH,0.403454065752
