REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.64999999999999
Globe,ID,ALUPLANT,ALU,2011,42.22094799832736
Globe,ID,ALUPLANT,ALU,2012,43.36577894748909
Globe,ID,ALUPLANT,ALU,2013,43.74739313999999
Globe,ID,ALUPLANT,ALU,2014,45.29883029999999
Globe,ID,ALUPLANT,ALU,2015,46.85026746
Globe,ID,ALUPLANT,ALU,2016,48.40175045000001
Globe,ID,ALUPLANT,ALU,2017,49.953233440000005
Globe,ID,ALUPLANT,ALU,2018,51.50467060000001
Globe,ID,ALUPLANT,ALU,2019,53.88562470589308
Globe,ID,ALUPLANT,ALU,2020,59.57625
Globe,ID,ALUPLANT,ALU,2021,59.13469079903779
Globe,ID,ALUPLANT,ALU,2022,58.66740426013816
Globe,ID,ALUPLANT,ALU,2023,59.719239395287495
Globe,ID,ALUPLANT,ALU,2024,58.36239465291607
Globe,ID,ALUPLANT,ALU,2025,57.307321475
Globe,ID,ALUPLANT,ALU,2026,57.847267620000004
Globe,ID,ALUPLANT,ALU,2027,58.387213765000006
Globe,ID,ALUPLANT,ALU,2028,59.772292780940646
Globe,ID,ALUPLANT,ALU,2029,62.562457049500615
Globe,ID,ALUPLANT,ALU,2030,62.607045194402595
Globe,ID,ALUPLANT,ALU,2031,62.547657151716635
Globe,ID,ALUPLANT,ALU,2032,61.08694449000002
Globe,ID,ALUPLANT,ALU,2033,61.62689063499999
Globe,ID,ALUPLANT,ALU,2034,62.16683678
Globe,ID,ALUPLANT,ALU,2035,62.706782925
Globe,ID,ALUPLANT,ALU,2036,64.27072934109631
Globe,ID,ALUPLANT,ALU,2037,66.1558081615108
Globe,ID,ALUPLANT,ALU,2038,65.49501876426791
Globe,ID,ALUPLANT,ALU,2039,64.86656750499999
Globe,ID,ALUPLANT,ALU,2040,65.40651365
Globe,ID,ALUPLANT,ALU,2041,65.946459795
Globe,ID,ALUPLANT,ALU,2042,66.48640594000001
Globe,ID,ALUPLANT,ALU,2043,67.37045129580991
Globe,ID,ALUPLANT,ALU,2044,71.97129218322505
Globe,ID,ALUPLANT,ALU,2045,74.303125
Globe,ID,ALUPLANT,ALU,2046,74.89219999999999
Globe,ID,ALUPLANT,ALU,2047,75.481275
Globe,ID,ALUPLANT,ALU,2048,76.07035
Globe,ID,ALUPLANT,ALU,2049,76.659425
Globe,ID,ALUPLANT,ALU,2050,77.2485
Globe,ID,ALUPLANT,ALU,2051,77.2485
Globe,ID,ALUPLANT,ALU,2052,77.2485
Globe,ID,ALUPLANT,ALU,2053,77.2485
Globe,ID,ALUPLANT,ALU,2054,77.2485
Globe,ID,ALUPLANT,ALU,2055,77.2485
Globe,ID,ALUPLANT,ALU,2056,77.2485
Globe,ID,ALUPLANT,ALU,2057,77.2485
Globe,ID,ALUPLANT,ALU,2058,77.2485
Globe,ID,ALUPLANT,ALU,2059,77.2485
Globe,ID,ALUPLANT,ALU,2060,77.2485
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.25692298
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.26746388000000004
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.27805061000000003
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.2425407947151691
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.20899886888469663
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.17742641953478802
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.19205651797872414
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.17101659424405277
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.15076015612781982
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.2507960120005976
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.0833913242503908
Globe,ID,C1BFRDF00,C1_F_RD,2021,0.24243609638225236
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.021127629999999946
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.01058673000000138
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,6.4511331239196155
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2011,6.740285176513273
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2012,6.5560175440028665
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2013,7.03321134837488
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2014,7.4427404320270725
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2015,7.425482000352367
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2016,6.788550051360001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2017,6.034106123999999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2018,5.2796621966399995
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2019,4.52521826928
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2020,3.77077434192
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2021,3.0177757094400004
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2022,3.5848343841241035
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2023,2.8303904567641043
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2024,2.075946529404104
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2025,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2026,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2027,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2028,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2029,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2030,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2031,1.4452948799999996
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2032,1.4452948800000007
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2033,1.445294879999999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2034,1.4452948799999998
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2017,0.5732480413793036
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2018,1.6578294556669722
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2019,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2020,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2021,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2022,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2023,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2024,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2025,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2026,1.6578294556669722
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2027,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2028,1.6578294556669722
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2029,1.6578294556669722
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2030,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2031,1.6578294556669717
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2032,1.084581414287668
Globe,ID,C1BMCHP00,C1_S_ELC,2010,0.33463842984
Globe,ID,C1BMCHP00,C1_S_ELC,2011,0.32551192720800004
Globe,ID,C1BMCHP00,C1_S_ELC,2012,0.382063701528
Globe,ID,C1BMCHP00,C1_S_ELC,2013,0.369778695048
