REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.29999999999998
Globe,ALUPLANT,ALU,2011,88.68529999999998
Globe,ALUPLANT,ALU,2012,92.07050000000001
Globe,ALUPLANT,ALU,2013,95.45579999999998
Globe,ALUPLANT,ALU,2014,98.84099999999998
Globe,ALUPLANT,ALU,2015,102.22619999999999
Globe,ALUPLANT,ALU,2016,105.61150000000002
Globe,ALUPLANT,ALU,2017,108.99680000000001
Globe,ALUPLANT,ALU,2018,112.382
Globe,ALUPLANT,ALU,2019,115.7673
Globe,ALUPLANT,ALU,2020,119.1525
Globe,ALUPLANT,ALU,2021,120.33065000000003
Globe,ALUPLANT,ALU,2022,121.50879999999995
Globe,ALUPLANT,ALU,2023,122.68694999999997
Globe,ALUPLANT,ALU,2024,123.86510000000001
Globe,ALUPLANT,ALU,2025,125.04325
Globe,ALUPLANT,ALU,2026,126.22139999999999
Globe,ALUPLANT,ALU,2027,127.39955
Globe,ALUPLANT,ALU,2028,128.5777
Globe,ALUPLANT,ALU,2029,129.75584999999998
Globe,ALUPLANT,ALU,2030,130.93399999999994
Globe,ALUPLANT,ALU,2031,132.11214999999996
Globe,ALUPLANT,ALU,2032,133.2903
Globe,ALUPLANT,ALU,2033,134.46844999999996
Globe,ALUPLANT,ALU,2034,135.6466
Globe,ALUPLANT,ALU,2035,136.82475
Globe,ALUPLANT,ALU,2036,138.0029
Globe,ALUPLANT,ALU,2037,139.18104999999997
Globe,ALUPLANT,ALU,2038,140.35919999999996
Globe,ALUPLANT,ALU,2039,141.53734999999998
Globe,ALUPLANT,ALU,2040,142.7155
Globe,ALUPLANT,ALU,2041,143.89364999999998
Globe,ALUPLANT,ALU,2042,145.07180000000002
Globe,ALUPLANT,ALU,2043,146.24995000000004
Globe,ALUPLANT,ALU,2044,147.42809999999997
Globe,ALUPLANT,ALU,2045,148.60625
Globe,ALUPLANT,ALU,2046,149.78439999999998
Globe,ALUPLANT,ALU,2047,150.96255
