REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_F_CLS,ID,2.2698035376848527
Globe,ALUPLANT,1,2010,C1_F_CLS,IN,2.2698035376848527
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,1.0369147942720565
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,1.0369147942720565
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.8710000072551594
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.8710000072551594
Globe,ALUPLANT,1,2010,XALU,ID,362.8149288281195
Globe,ALUPLANT,1,2010,XALU,IN,362.8149288281195
Globe,ALUPLANT,1,2011,C1_F_CLS,ID,2.2264173195715813
Globe,ALUPLANT,1,2011,C1_F_CLS,IN,2.2264173195715813
Globe,ALUPLANT,1,2011,C1_F_CLS,IP,1.2296365952518173
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,1.0198259639419138
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,1.0198259639419138
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.5632436089260398
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.8573599642688012
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.8573599642688012
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.4735146363178539
Globe,ALUPLANT,1,2011,XALU,ID,359.46951589800864
Globe,ALUPLANT,1,2011,XALU,IN,359.46951589800864
Globe,ALUPLANT,1,2011,XALU,IP,198.53280323506533
Globe,ALUPLANT,1,2012,C1_F_CLS,ID,2.265991623749939
Globe,ALUPLANT,1,2012,C1_F_CLS,IN,2.265991623749939
Globe,ALUPLANT,1,2012,C1_F_CLS,IP,1.533028280248509
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,1.0407452284349654
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IN,1.0407452284349654
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IP,0.7041031621662189
Globe,ALUPLANT,1,2012,C1_P_HCO,ID,0.8756745540691632
Globe,ALUPLANT,1,2012,C1_P_HCO,IN,0.8756745540691632
Globe,ALUPLANT,1,2012,C1_P_HCO,IP,0.5924266628402031
Globe,ALUPLANT,1,2012,XALU,ID,369.5228686462422
Globe,ALUPLANT,1,2012,XALU,IN,369.5228686462422
Globe,ALUPLANT,1,2012,XALU,IP,249.99607319632295
Globe,ALUPLANT,1,2013,C1_F_CLS,ID,2.265279306401206
Globe,ALUPLANT,1,2013,C1_F_CLS,IN,2.265279306401206
Globe,ALUPLANT,1,2013,C1_F_CLS,IP,2.265279306401206
Globe,ALUPLANT,1,2013,C1_F_HEA_I,ID,1.0432148480570056
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IN,1.0432148480570056
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IP,1.0432148480570056
Globe,ALUPLANT,1,2013,C1_P_HCO,ID,0.8784796138942547
Globe,ALUPLANT,1,2013,C1_P_HCO,IN,0.8784796138942547
Globe,ALUPLANT,1,2013,C1_P_HCO,IP,0.8784796138942547
Globe,ALUPLANT,1,2013,XALU,ID,373.08051491448697
Globe,ALUPLANT,1,2013,XALU,IN,373.08051491448697
Globe,ALUPLANT,1,2013,XALU,IP,373.08051491448697
Globe,ALUPLANT,1,2014,C1_F_CLS,ID,2.3245465127572955
Globe,ALUPLANT,1,2014,C1_F_CLS,IN,2.3245465127572955
Globe,ALUPLANT,1,2014,C1_F_CLS,IP,2.3245465127572955
Globe,ALUPLANT,1,2014,C1_F_HEA_I,ID,1.0733849538052536
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IN,1.0733849538052536
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IP,1.0733849538052536
Globe,ALUPLANT,1,2014,C1_P_HCO,ID,0.90463615157843
Globe,ALUPLANT,1,2014,C1_P_HCO,IN,0.90463615157843
Globe,ALUPLANT,1,2014,C1_P_HCO,IP,0.90463615157843
Globe,ALUPLANT,1,2014,XALU,ID,386.6215138101672
Globe,ALUPLANT,1,2014,XALU,IN,386.6215138101672
