REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.85885546256503
Globe,ALUPLANT,2011,3.980953791735121
Globe,ALUPLANT,2012,4.101154125408131
Globe,ALUPLANT,2013,4.2195444318216975
Globe,ALUPLANT,2014,4.336120518714794
Globe,ALUPLANT,2015,4.450964854226898
Globe,ALUPLANT,2016,4.564102231672113
Globe,ALUPLANT,2017,4.675546175591216
Globe,ALUPLANT,2018,4.785369073218506
Globe,ALUPLANT,2019,4.893574840427781
Globe,ALUPLANT,2020,5.000230807322048
Globe,ALUPLANT,2021,5.013401078252466
Globe,ALUPLANT,2022,5.026362707503422
Globe,ALUPLANT,2023,5.039161364784548
Globe,ALUPLANT,2024,5.05175943750204
Globe,ALUPLANT,2025,5.064201995820441
Globe,ALUPLANT,2026,5.076472007722008
Globe,ALUPLANT,2027,5.088552713038964
Globe,ALUPLANT,2028,5.100488319601411
Globe,ALUPLANT,2029,5.1122416415170155
Globe,ALUPLANT,2030,5.123856334478628
Globe,ALUPLANT,2031,5.135315359439014
Globe,ALUPLANT,2032,5.146601952993779
Globe,ALUPLANT,2033,5.157758974496664
Globe,ALUPLANT,2034,5.1687497142160375
Globe,ALUPLANT,2035,5.1796165202907325
Globe,ALUPLANT,2036,5.190342404958554
Globe,ALUPLANT,2037,5.200910656965946
Globe,ALUPLANT,2038,5.211362885350105
Globe,ALUPLANT,2039,5.2216628913369085
Globe,ALUPLANT,2040,5.23185180840378
Globe,ALUPLANT,2041,5.24191274507661
Globe,ALUPLANT,2042,5.251829085077345
Globe,ALUPLANT,2043,5.261641272867911
Globe,ALUPLANT,2044,5.271313644164758
Globe,ALUPLANT,2045,5.280886199201149
Globe,ALUPLANT,2046,5.290342177389731
Globe,ALUPLANT,2047,5.299665090415056
Globe,ALUPLANT,2048,5.3088942936802335
Globe,ALUPLANT,2049,5.317994672253401
Globe,ALUPLANT,2050,5.327005165054167
Globe,ALUPLANT,2051,5.327005165054167
Globe,ALUPLANT,2052,5.327005165054167
Globe,ALUPLANT,2053,5.327005165054167
Globe,ALUPLANT,2054,5.327005165054167
Globe,ALUPLANT,2055,5.327005165054167
Globe,ALUPLANT,2056,5.327005165054167
Globe,ALUPLANT,2057,5.327005165054167
Globe,ALUPLANT,2058,5.327005165054167
Globe,ALUPLANT,2059,5.327005165054167
Globe,ALUPLANT,2060,5.327005165054167
Globe,C1BFRDF00,2010,0.5606000000000001
