REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,257.52862307709785
Globe,C1BFRDF00,5.985364216765705
Globe,C1BMBRFH1,203.2949169576519
Globe,C1BMBRFN1,54.260182926040954
Globe,C1BMCHP00,567.0317384047162
Globe,C1BMHTF03,121.30226034408787
Globe,C1BMIGPCS,31.851503491427447
Globe,C1BMLP000,66.43465664980803
Globe,C1BMSCP00,9.85887217438868
Globe,C1CO00I00,5534.0809279133755
Globe,C1COBRFH1,153.9056995634249
Globe,C1COCHP00,41.90786709934914
Globe,C1COHTF03,3248.434196194554
Globe,C1COIGP00,0.6363917495999998
Globe,C1COLP000,29.346684250261298
Globe,C1COSCP00,843.7366101618932
Globe,C1ELEFF00,5700.577395598465
Globe,C1ELRDF00,414.09773323947513
Globe,C1ELRLF00,760.5448515552876
Globe,C1GOCVP00,78.39768867839997
Globe,C1GOHTF03,78.84614132946356
Globe,C1HFGCP00,11.309665103847323
Globe,C1HFGCPCH,94.63561281139036
Globe,C1HFMRF00,7839.400000000002
Globe,C1HPASF01,1871.17855552489
Globe,C1HTOOTFI,3935.09045438387
Globe,C1HTOOTFR,1389.7442048170085
Globe,C1HYDMP00,968.5879168089602
Globe,C1HYMIP00,31.881763226879993
Globe,C1LFBRFH1,34.28268789851964
Globe,C1LFCCP00,38.071026743869545
Globe,C1LFRDF00,1009.1569025437592
Globe,C1LFRLF00,150.44514844471215
Globe,C1NG00I00,3855.392903142211
Globe,C1NGBRFH1,77.20395701781531
Globe,C1NGBRFN1,189.48448978569476
Globe,C1NGCCP00,1373.925486037516
Globe,C1NGCCPCH,35.31309064776707
Globe,C1NGGCP00,30.193078712517213
Globe,C1NGGCPCH,150.55214288616588
Globe,C1NGHTF03,251.44788699839017
Globe,C1NGLP000,22.132465108835284
Globe,C1NU00I00,1212.044696702606
Globe,C1NULWP00,447.14521016379507
Globe,C1OI00I00,6393.988899999999
Globe,C1OIHTF03,252.99635856707457
Globe,C1OIRFP00,6052.205306290458
Globe,C1SOC1P00,222.60458232
Globe,C1SOTHF00,94.5940055089537
Globe,C1SOV1P00,184.96668207578992
Globe,C1SOV2P00,196.2515613752485
Globe,C1WDOFP00,287.2001535655056
Globe,C1WDONP00,460.9291794624001
Globe,CEMPLANT,461.2079489003051
Globe,FERTPLANT,0.015716525642172994
Globe,LA,211306.97956842356
Globe,LA1,38361.94681528065
Globe,LA1_PROD,38361.94681528065
Globe,LA1_i,38304.03192702662
Globe,LA1_i_PROD,38304.03192702662
Globe,LA2,134641.0008261163
Globe,LA2_PROD,134641.0008261163
Globe,LF,253132.07476567422
Globe,LF1,65869.04455368886
Globe,LF2,187263.0302119853
Globe,LF2_PROD,187263.03021198531
Globe,LO,198900.0
Globe,LandRes,663456.0
Globe,MFOOFACTOR,293.50423384758165
Globe,PAPPLANT,342.35767439245774
Globe,PETAPLANT,0.0003309056485280305
Globe,PETBPLANT,2955.337610140408
Globe,STEPLANT,1306.1218512844525
Globe,VFOOFACTOR,3797.513321492005
Globe,XALUMINE,269.4753363057499
Globe,XCEMMINE,2154.3804995381547
Globe,XPHOMINE,5.029288205495361e-05
Globe,XPOTMINE,1.100156794952109e-05
Globe,XSTEMINE,2016.658581000461
