REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.37993789
Globe,ALUPLANT,2012,0.68115463
Globe,ALUPLANT,2013,0.95734849
Globe,ALUPLANT,2014,1.20262158
Globe,ALUPLANT,2015,1.31688374
Globe,ALUPLANT,2016,1.55520223
Globe,ALUPLANT,2017,1.82494617
Globe,ALUPLANT,2018,2.22789569
Globe,ALUPLANT,2019,2.80503355
Globe,ALUPLANT,2020,3.07969398
Globe,ALUPLANT,2021,3.07969398
Globe,ALUPLANT,2022,3.56462788
Globe,ALUPLANT,2023,3.633379578
Globe,ALUPLANT,2024,3.741699678
Globe,ALUPLANT,2025,3.9451301979999998
Globe,ALUPLANT,2026,4.183773348
Globe,ALUPLANT,2027,4.438741748
Globe,ALUPLANT,2028,4.737389838
Globe,ALUPLANT,2029,5.035515278
Globe,ALUPLANT,2030,5.195763478
Globe,ALUPLANT,2031,5.445528368
Globe,ALUPLANT,2032,5.694147858
Globe,ALUPLANT,2033,5.958085888
Globe,ALUPLANT,2034,6.252247498
Globe,ALUPLANT,2035,6.432892927999999
Globe,ALUPLANT,2036,6.518500538
Globe,ALUPLANT,2037,6.602984198000001
Globe,ALUPLANT,2038,6.686406787999999
Globe,ALUPLANT,2039,6.768746908000001
Globe,ALUPLANT,2040,6.850067078
Globe,ALUPLANT,2041,6.930369448
Globe,ALUPLANT,2042,7.009640468
Globe,ALUPLANT,2043,7.087956668
Globe,ALUPLANT,2044,7.1652781580000005
Globe,ALUPLANT,2045,7.900590228
Globe,ALUPLANT,2046,7.982925861
Globe,ALUPLANT,2047,8.064240381000001
Globe,ALUPLANT,2048,8.144600603
Globe,ALUPLANT,2049,8.223974993
Globe,ALUPLANT,2050,8.302430063000001
Globe,ALUPLANT,2051,8.302430063000001
Globe,ALUPLANT,2052,8.302430063
Globe,ALUPLANT,2053,8.302430063
Globe,ALUPLANT,2054,8.302430063
Globe,ALUPLANT,2055,8.302430063
Globe,ALUPLANT,2056,8.302430063
Globe,ALUPLANT,2057,8.302430063
Globe,ALUPLANT,2058,8.302430063000001
Globe,ALUPLANT,2059,8.302430063
Globe,ALUPLANT,2060,8.302430063
Globe,ALUPLANT,2061,8.302430063
Globe,ALUPLANT,2062,8.302430063
Globe,ALUPLANT,2063,8.302430063000001
Globe,ALUPLANT,2064,8.302430063
Globe,ALUPLANT,2065,8.302430063
Globe,ALUPLANT,2066,8.302430063
Globe,ALUPLANT,2067,8.302430063000001
Globe,ALUPLANT,2068,8.302430063
Globe,ALUPLANT,2069,8.302430063
Globe,ALUPLANT,2070,8.302430063
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2023,0.061952905
Globe,C1BMBRFH1,2024,0.14341009
Globe,C1BMBRFH1,2025,0.24077693499999997
Globe,C1BMBRFH1,2026,0.24710642259999996
Globe,C1BMBRFH1,2027,0.24710642259999996
Globe,C1BMBRFH1,2028,0.24710642259999996
Globe,C1BMBRFH1,2029,0.24710642259999996
Globe,C1BMBRFH1,2030,0.24710642259999996
Globe,C1BMBRFH1,2031,0.24710642259999996
Globe,C1BMBRFH1,2032,0.24710642259999996
Globe,C1BMBRFH1,2033,0.24710642259999996
Globe,C1BMBRFH1,2034,0.25467049389999996
Globe,C1BMBRFH1,2035,0.25467049389999996
Globe,C1BMBRFH1,2036,0.25467049389999996
Globe,C1BMBRFH1,2037,0.25467049389999996
Globe,C1BMBRFH1,2038,0.1927175889
Globe,C1BMBRFH1,2039,0.1112604039
Globe,C1BMBRFH1,2040,0.0138935589
Globe,C1BMBRFH1,2041,0.0075640713
Globe,C1BMBRFH1,2042,0.0075640713
Globe,C1BMBRFH1,2043,0.0075640713
Globe,C1BMBRFH1,2044,0.0075640713
Globe,C1BMBRFH1,2045,0.0075640713
Globe,C1BMBRFH1,2046,0.0075640713
Globe,C1BMBRFH1,2047,0.0075640713
Globe,C1BMBRFH1,2048,0.0075640713
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.07
Globe,C1BMBRFN1,2016,0.07
Globe,C1BMBRFN1,2017,0.07
Globe,C1BMBRFN1,2018,0.07
Globe,C1BMBRFN1,2019,0.119619653
Globe,C1BMBRFN1,2020,0.169619653
Globe,C1BMBRFN1,2021,0.21961965300000003
Globe,C1BMBRFN1,2022,0.269619653
Globe,C1BMBRFN1,2023,0.319619653
Globe,C1BMBRFN1,2024,0.369619653
Globe,C1BMBRFN1,2025,0.349619653
Globe,C1BMBRFN1,2026,0.399619653
Globe,C1BMBRFN1,2027,0.449619653
Globe,C1BMBRFN1,2028,0.499619653
Globe,C1BMBRFN1,2029,0.549619653
Globe,C1BMBRFN1,2030,0.5996196530000001
Globe,C1BMBRFN1,2031,0.6496196530000001
Globe,C1BMBRFN1,2032,0.6996196530000002
Globe,C1BMBRFN1,2033,0.7496196530000002
Globe,C1BMBRFN1,2034,0.7500000000000002
Globe,C1BMBRFN1,2035,0.7500000000000002
Globe,C1BMBRFN1,2036,0.7500000000000002
Globe,C1BMBRFN1,2037,0.7500000000000002
Globe,C1BMBRFN1,2038,0.7500000000000002
Globe,C1BMBRFN1,2039,0.7500000000000002
Globe,C1BMBRFN1,2040,0.7500000000000002
Globe,C1BMBRFN1,2041,0.7500000000000002
Globe,C1BMBRFN1,2042,0.7500000000000002
Globe,C1BMBRFN1,2043,0.7500000000000002
Globe,C1BMBRFN1,2044,0.7000000000000002
Globe,C1BMBRFN1,2045,0.6500000000000001
Globe,C1BMBRFN1,2046,0.6000000000000001
Globe,C1BMBRFN1,2047,0.55
Globe,C1BMBRFN1,2048,0.5
Globe,C1BMBRFN1,2049,0.45
Globe,C1BMBRFN1,2050,0.4
Globe,C1BMBRFN1,2051,0.35
Globe,C1BMBRFN1,2052,0.3
Globe,C1BMBRFN1,2053,0.25
Globe,C1BMBRFN1,2054,0.2
Globe,C1BMBRFN1,2055,0.15000000000000002
Globe,C1BMBRFN1,2056,0.1
Globe,C1BMBRFN1,2057,0.05
Globe,C1BMCHP00,2016,0.002
Globe,C1BMCHP00,2017,0.004
Globe,C1BMCHP00,2018,0.006
Globe,C1BMCHP00,2019,0.008
Globe,C1BMCHP00,2020,0.018000000000000002
Globe,C1BMCHP00,2021,0.018000000000000002
Globe,C1BMCHP00,2022,0.018000000000000002
Globe,C1BMCHP00,2023,0.018000000000000002
Globe,C1BMCHP00,2024,0.018000000000000002
Globe,C1BMCHP00,2025,0.018000000000000002
Globe,C1BMCHP00,2026,0.018000000000000002
Globe,C1BMCHP00,2027,0.018000000000000002
Globe,C1BMCHP00,2028,0.018000000000000002
Globe,C1BMCHP00,2029,0.018000000000000002
Globe,C1BMCHP00,2030,0.018000000000000002
Globe,C1BMCHP00,2031,0.018000000000000002
Globe,C1BMCHP00,2032,0.018000000000000002
Globe,C1BMCHP00,2033,0.018000000000000002
Globe,C1BMCHP00,2034,0.018000000000000002
Globe,C1BMCHP00,2035,0.018000000000000002
Globe,C1BMCHP00,2036,0.018000000000000002
Globe,C1BMCHP00,2037,0.018000000000000002
Globe,C1BMCHP00,2038,0.018000000000000002
