REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.619311607204
Globe,ALUPLANT,2011,16.408939091388998
Globe,ALUPLANT,2012,38.62246222790999
Globe,ALUPLANT,2013,35.715235663092
Globe,ALUPLANT,2014,31.984297700652004
Globe,ALUPLANT,2015,15.024719909744
Globe,ALUPLANT,2016,31.59721867816
Globe,ALUPLANT,2017,36.057913281924
Globe,ALUPLANT,2018,54.303572652704
Globe,ALUPLANT,2019,78.407583394374
Globe,ALUPLANT,2020,37.613784576994995
Globe,ALUPLANT,2022,67.46773815902999
Globe,ALUPLANT,2023,9.6402462156734
Globe,ALUPLANT,2024,15.30659417889
Globe,ALUPLANT,2025,28.968424675791997
Globe,ALUPLANT,2026,34.24295332213
Globe,ALUPLANT,2027,36.86353524672
Globe,ALUPLANT,2028,43.504485377626
Globe,ALUPLANT,2029,43.75348582528
Globe,ALUPLANT,2030,23.69312904014
Globe,ALUPLANT,2031,37.200806940736996
Globe,ALUPLANT,2032,37.301351700710995
Globe,ALUPLANT,2033,39.887502814735
Globe,ALUPLANT,2034,44.77583888231101
Globe,ALUPLANT,2035,66.153266082027
Globe,ALUPLANT,2036,33.145636964248
Globe,ALUPLANT,2037,59.97139809480001
Globe,ALUPLANT,2038,56.307880661519995
Globe,ALUPLANT,2039,51.654185116922
Globe,ALUPLANT,2040,31.050416012004
Globe,ALUPLANT,2041,50.931353298484005
Globe,ALUPLANT,2042,56.170502563896
Globe,ALUPLANT,2043,77.979821497604
Globe,ALUPLANT,2044,106.756259969155
Globe,ALUPLANT,2045,165.84950317275
Globe,ALUPLANT,2046,13.6102859739825
Globe,ALUPLANT,2047,94.219829973902
Globe,ALUPLANT,2048,24.973830986896
Globe,ALUPLANT,2049,31.640486035055996
Globe,ALUPLANT,2050,47.82611862735
Globe,ALUPLANT,2051,40.489390044749996
Globe,ALUPLANT,2052,43.259213585999994
Globe,ALUPLANT,2053,50.67012818985
Globe,ALUPLANT,2054,50.5814527776
Globe,ALUPLANT,2055,27.188510853
Globe,ALUPLANT,2056,42.376360061849994
