REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,0.32461846
Globe,ALUPLANT,2048,0.16798891
Globe,ALUPLANT,2049,0.31170986
Globe,ALUPLANT,2050,0.61350485
Globe,ALUPLANT,2051,0.63415707
Globe,ALUPLANT,2052,0.79431743
Globe,ALUPLANT,2053,1.0606659999999999
Globe,ALUPLANT,2054,1.1826601
Globe,ALUPLANT,2055,0.69910457
Globe,ALUPLANT,2056,1.1837466
Globe,ALUPLANT,2057,1.2675386999999998
Globe,ALUPLANT,2058,1.4358448
Globe,ALUPLANT,2059,1.6960133999999998
Globe,ALUPLANT,2060,2.6216881
Globe,ALUPLANT,2061,1.3676806000000001
Globe,ALUPLANT,2062,2.5656798
Globe,ALUPLANT,2063,2.488471
Globe,ALUPLANT,2064,2.3505691000000004
Globe,ALUPLANT,2065,1.4507757
Globe,ALUPLANT,2066,2.4371471000000002
Globe,ALUPLANT,2067,2.7465251
Globe,ALUPLANT,2068,3.8882337
Globe,ALUPLANT,2069,5.4182765999999996
Globe,ALUPLANT,2070,8.5537852
Globe,C1BMIGPCS,2042,0.15642395
Globe,C1BMIGPCS,2043,0.08721344800000001
Globe,C1BMIGPCS,2051,4.647138
Globe,C1BMIGPCS,2064,0.09551488300000001
Globe,C1BMIGPCS,2065,9.4121618
Globe,C1BMIGPCS,2066,3.7505542000000003
Globe,C1BMIGPCS,2067,0.019784926
Globe,C1BMIGPCS,2068,7.3388686000000005
Globe,C1BMIGPCS,2069,10.035822999999999
Globe,C1BMIGPCS,2070,9.891968199999999
Globe,C1CO00I00,2046,6.1348035000000005e-06
Globe,C1CO00I00,2047,2.0876885000000002e-05
Globe,C1CO00I00,2048,2.1265877e-05
Globe,C1CO00I00,2049,2.1636345999999997e-05
Globe,C1CO00I00,2050,2.1989174e-05
Globe,C1CO00I00,2051,2.23252e-05
Globe,C1CO00I00,2052,2.2645225e-05
Globe,C1CO00I00,2053,2.2950011e-05
Globe,C1CO00I00,2054,2.3240283e-05
Globe,C1CO00I00,2055,2.3516732999999998e-05
Globe,C1CO00I00,2056,2.3780018e-05
Globe,C1CO00I00,2057,2.4030765999999997e-05
Globe,C1CO00I00,2058,2.4269573999999998e-05
Globe,C1CO00I00,2059,2.449701e-05
Globe,C1CO00I00,2060,2.4713615e-05
Globe,C1CO00I00,2061,5.4813883e-06
Globe,C1CO00I00,2062,2.0498971e-06
Globe,C1CO00I00,2063,7.122687400000001e-06
Globe,C1CO00I00,2064,6.335658599999999e-06
Globe,C1CO00I00,2065,2.8242086e-06
Globe,C1CO00I00,2068,4.1193464e-06
Globe,C1CO00I00,2069,5.571233900000001e-06
Globe,C1CO00I00,2070,4.1624208e-06
Globe,C1COSCPCS,2039,0.09322109599999999
Globe,C1COSCPCS,2040,0.2579687
Globe,C1COSCPCS,2041,3.4282123999999996
Globe,C1COSCPCS,2042,2.9991349
Globe,C1COSCPCS,2043,2.375651
Globe,C1COSCPCS,2044,2.3475709
Globe,C1COSCPCS,2045,3.5145218999999996
Globe,C1COSCPCS,2046,2.6837402000000004
Globe,C1COSCPCS,2047,1.7621883000000003
Globe,C1COSCPCS,2048,4.693187200000001
Globe,C1COSCPCS,2049,0.57161888
Globe,C1COSCPCS,2061,6.758900099999999
Globe,C1COSCPCS,2064,13.993714
Globe,C1ELRDF00,2060,3.4212992
Globe,C1ELRDF00,2061,6.4456913
Globe,C1ELRDF00,2062,12.572595
Globe,C1ELRDF00,2063,15.61689
Globe,C1ELRDF00,2064,47.797475
Globe,C1ELRDF00,2065,4.3248774
Globe,C1ELRDF00,2066,4.7637152
Globe,C1ELRDF00,2067,3.8160392999999995
Globe,C1ELRDF00,2068,6.7431399
Globe,C1ELRDF00,2069,25.093947
Globe,C1ELRDF00,2070,54.494103
Globe,C1GOCVP00,2035,1.3729779
Globe,C1GOCVP00,2036,1.3475263000000002
Globe,C1GOCVP00,2037,0.22190511
Globe,C1GOCVP00,2038,0.25914566
Globe,C1GOCVP00,2039,0.28945825
Globe,C1GOCVP00,2041,0.85632065
Globe,C1GOCVP00,2042,0.54029582
Globe,C1GOCVP00,2043,0.58596673
Globe,C1GOCVP00,2044,0.6210273000000001
Globe,C1GOCVP00,2045,0.65441832
Globe,C1GOCVP00,2046,0.55340265
Globe,C1GOCVP00,2047,0.57782736
Globe,C1GOCVP00,2048,0.60108899
Globe,C1GOCVP00,2049,0.62324292
Globe,C1GOCVP00,2050,0.77321029
Globe,C1GOHTF03,2047,1.3862837
Globe,C1GOHTF03,2048,3.1104905
Globe,C1GOHTF03,2049,9.0764773
Globe,C1GOHTF03,2050,12.295506
Globe,C1GOHTF03,2051,5.960253400000001
Globe,C1GOHTF03,2052,2.4709595
Globe,C1GOHTF03,2053,2.8378648999999996
Globe,C1GOHTF03,2054,3.1835941
Globe,C1GOHTF03,2055,5.1992633
Globe,C1GOHTF03,2056,7.937752099999999
Globe,C1GOHTF03,2057,0.24810395
Globe,C1GOHTF03,2060,4.310319799999999
Globe,C1GOHTF03,2064,0.126395
Globe,C1GOHTF03,2066,13.024928
Globe,C1GOHTF03,2067,19.262518
Globe,C1GOHTF03,2068,9.932469300000001
Globe,C1GOHTF03,2069,29.807036
Globe,C1GOHTF03,2070,30.316046999999998
Globe,C1HYDMP00,2010,1.7772292
Globe,C1HYDMP00,2018,8.2039864
Globe,C1HYDMP00,2019,11.778880000000001
Globe,C1HYDMP00,2020,16.892051000000002
