REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.12907121
Globe,ALUPLANT,2012,0.30121674
Globe,ALUPLANT,2013,0.27619386
Globe,ALUPLANT,2014,0.24527309
Globe,ALUPLANT,2015,0.11426216
Globe,ALUPLANT,2016,0.23831849
Globe,ALUPLANT,2017,0.26974394
Globe,ALUPLANT,2018,0.40294952
Globe,ALUPLANT,2019,0.57713786
Globe,ALUPLANT,2020,0.27466043
Globe,ALUPLANT,2022,0.4849339
Globe,ALUPLANT,2023,0.068751698
Globe,ALUPLANT,2024,0.1083201
Globe,ALUPLANT,2025,0.20343052
Globe,ALUPLANT,2026,0.23864315
Globe,ALUPLANT,2027,0.2549684
Globe,ALUPLANT,2028,0.29864809
Globe,ALUPLANT,2029,0.29812544
Globe,ALUPLANT,2030,0.1602482
Globe,ALUPLANT,2031,0.24976489
Globe,ALUPLANT,2032,0.24861949
Globe,ALUPLANT,2033,0.26393803
Globe,ALUPLANT,2034,0.29416161
Globe,ALUPLANT,2035,0.43151211
Globe,ALUPLANT,2036,0.21467882
Globe,ALUPLANT,2037,0.38570040000000005
Globe,ALUPLANT,2038,0.35961645
Globe,ALUPLANT,2039,0.32761321
Globe,ALUPLANT,2040,0.19558233
Globe,ALUPLANT,2041,0.31862086
Globe,ALUPLANT,2042,0.34901496
Globe,ALUPLANT,2043,0.48126572
Globe,ALUPLANT,2044,0.65445935
Globe,ALUPLANT,2045,1.0099725
Globe,ALUPLANT,2046,0.08233563299999999
Globe,ALUPLANT,2047,0.56624842
Globe,ALUPLANT,2048,0.14911192
Globe,ALUPLANT,2049,0.18769449
Globe,ALUPLANT,2050,0.28188559
Globe,ALUPLANT,2051,0.23864315
Globe,ALUPLANT,2052,0.2549684
Globe,ALUPLANT,2053,0.29864809
Globe,ALUPLANT,2054,0.29812544
Globe,ALUPLANT,2055,0.1602482
Globe,ALUPLANT,2056,0.24976489
Globe,ALUPLANT,2057,0.24861949
Globe,ALUPLANT,2058,0.26393803
Globe,ALUPLANT,2059,0.29416161
Globe,ALUPLANT,2060,0.43151211
Globe,ALUPLANT,2061,0.21467882
Globe,ALUPLANT,2062,0.38570040000000005
Globe,ALUPLANT,2063,0.35961645
Globe,ALUPLANT,2064,0.32761321
Globe,ALUPLANT,2065,0.19558233
Globe,ALUPLANT,2066,0.31862086
Globe,ALUPLANT,2067,0.34901496
Globe,ALUPLANT,2068,0.48126572
Globe,ALUPLANT,2069,0.65445935
Globe,ALUPLANT,2070,1.0099725
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354388
Globe,C1BMBRFH1,2023,0.061952905
Globe,C1BMBRFH1,2024,0.081457185
Globe,C1BMBRFH1,2025,0.097366845
Globe,C1BMBRFH1,2026,0.0063294876
Globe,C1BMBRFH1,2034,0.0075640713
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2019,0.049619653
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2021,0.05
Globe,C1BMBRFN1,2022,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.05
Globe,C1BMBRFN1,2029,0.05
Globe,C1BMBRFN1,2030,0.05
Globe,C1BMBRFN1,2031,0.05
Globe,C1BMBRFN1,2032,0.05
Globe,C1BMBRFN1,2033,0.05
Globe,C1BMBRFN1,2034,0.05
Globe,C1BMBRFN1,2035,0.05
Globe,C1BMBRFN1,2036,0.05
Globe,C1BMBRFN1,2037,0.05
Globe,C1BMBRFN1,2038,0.05
Globe,C1BMBRFN1,2039,0.05
Globe,C1BMBRFN1,2040,0.05
Globe,C1BMBRFN1,2041,0.05
Globe,C1BMBRFN1,2042,0.05
Globe,C1BMBRFN1,2043,0.05
Globe,C1BMCHP00,2016,0.002
Globe,C1BMCHP00,2017,0.002
Globe,C1BMCHP00,2018,0.002
Globe,C1BMCHP00,2019,0.002
Globe,C1BMCHP00,2020,0.01
Globe,C1BMIGPCS,2021,0.064691023
Globe,C1BMIGPCS,2034,0.0007356672200000001
Globe,C1BMIGPCS,2035,0.073329978
Globe,C1BMIGPCS,2036,0.0148304
Globe,C1BMIGPCS,2037,0.013938347
Globe,C1BMIGPCS,2038,0.053873027999999996
Globe,C1BMIGPCS,2039,0.072409349
Globe,C1BMIGPCS,2040,0.070226233
Globe,C1BMIGPCS,2041,0.019319263
Globe,C1BMIGPCS,2042,0.017654925
Globe,C1BMIGPCS,2043,0.0050417526
Globe,C1BMIGPCS,2051,0.064691023
Globe,C1BMIGPCS,2064,0.00076116419
Globe,C1BMIGPCS,2065,0.07332066200000001
Globe,C1BMIGPCS,2066,0.028604622000000003
Globe,C1BMIGPCS,2067,0.00014794296000000001
Globe,C1BMIGPCS,2068,0.053873027999999996
Globe,C1BMIGPCS,2069,0.072409349
Globe,C1BMIGPCS,2070,0.070226233
Globe,C1BMLP000,2011,3.2314376
Globe,C1BMLP000,2012,0.35616647
Globe,C1BMSCP00,2010,0.0030014288
Globe,C1CO00I00,2010,142.35853999999998
Globe,C1CO00I00,2011,1.1437932
Globe,C1CO00I00,2012,0.42440302
Globe,C1CO00I00,2013,1.4637499
Globe,C1CO00I00,2014,1.2929058999999998
Globe,C1CO00I00,2015,0.57251778
Globe,C1CO00I00,2018,0.8202858000000001
Globe,C1CO00I00,2019,1.1035
Globe,C1CO00I00,2020,0.8203
Globe,C1CO00I00,2046,1.5585445
Globe,C1CO00I00,2047,5.2
Globe,C1CO00I00,2048,5.2
Globe,C1CO00I00,2049,5.2
Globe,C1CO00I00,2050,5.2
Globe,C1CO00I00,2051,5.2
Globe,C1CO00I00,2052,5.2
Globe,C1CO00I00,2053,5.2
Globe,C1CO00I00,2054,5.2
Globe,C1CO00I00,2055,5.2
Globe,C1CO00I00,2056,5.2
Globe,C1CO00I00,2057,5.2
Globe,C1CO00I00,2058,5.2
Globe,C1CO00I00,2059,5.2
Globe,C1CO00I00,2060,5.2
Globe,C1CO00I00,2061,1.1437932
Globe,C1CO00I00,2062,0.42440302
Globe,C1CO00I00,2063,1.4637499
Globe,C1CO00I00,2064,1.2929058999999998
Globe,C1CO00I00,2065,0.57251778
Globe,C1CO00I00,2068,0.8202858000000001
Globe,C1CO00I00,2069,1.1035
Globe,C1CO00I00,2070,0.8203
Globe,C1COBRFH1,2010,0.04
Globe,C1COBRFH1,2011,0.02
Globe,C1COBRFH1,2012,0.02
Globe,C1COBRFH1,2013,0.02
Globe,C1COBRFH1,2014,0.02
Globe,C1COBRFH1,2015,0.04
Globe,C1COBRFH1,2016,0.04
Globe,C1COBRFH1,2017,0.04
Globe,C1COBRFH1,2018,0.04
Globe,C1COBRFH1,2019,0.04
Globe,C1COBRFH1,2020,0.06
Globe,C1COBRFH1,2021,0.06
Globe,C1COBRFH1,2022,0.06
Globe,C1COBRFH1,2039,0.0022917966000000002
Globe,C1COBRFH1,2040,0.02492146
Globe,C1COBRFH1,2050,0.052084229
Globe,C1COBRFH1,2051,0.029559769
Globe,C1COHTF03,2010,0.07
Globe,C1COHTF03,2011,0.07
Globe,C1COHTF03,2012,0.07
Globe,C1COHTF03,2013,0.07
Globe,C1COHTF03,2014,0.07
Globe,C1COHTF03,2015,0.07
Globe,C1COHTF03,2016,0.09
Globe,C1COHTF03,2017,0.09
Globe,C1COHTF03,2018,0.09
Globe,C1COHTF03,2019,0.09
Globe,C1COHTF03,2020,0.09
Globe,C1COHTF03,2021,0.1
Globe,C1COHTF03,2022,0.1
Globe,C1COHTF03,2023,0.1
Globe,C1COHTF03,2024,0.1
Globe,C1COHTF03,2025,0.1
Globe,C1COHTF03,2026,0.15
Globe,C1COHTF03,2027,0.047409586
Globe,C1COHTF03,2028,0.028589536000000002
Globe,C1COHTF03,2030,0.039923772999999996
Globe,C1COHTF03,2031,0.075199316
Globe,C1COHTF03,2032,0.15
Globe,C1COHTF03,2033,0.15
Globe,C1COHTF03,2034,0.15
Globe,C1COHTF03,2035,0.15
Globe,C1COHTF03,2036,0.15
Globe,C1COHTF03,2037,0.15
Globe,C1COHTF03,2038,0.15
Globe,C1COHTF03,2039,0.15
Globe,C1COHTF03,2040,0.1464043
Globe,C1COIGP00,2010,0.003
Globe,C1COSCP00,2011,0.04
Globe,C1COSCP00,2012,0.020386158999999997
Globe,C1COSCPCS,2021,0.058443410999999994
Globe,C1COSCPCS,2039,0.0019172043
Globe,C1COSCPCS,2040,0.004824287
Globe,C1COSCPCS,2041,0.059014057
Globe,C1COSCPCS,2042,0.04799379
Globe,C1COSCPCS,2043,0.035628063
Globe,C1COSCPCS,2044,0.033219306000000004
Globe,C1COSCPCS,2045,0.04719471
Globe,C1COSCPCS,2046,0.03436846
Globe,C1COSCPCS,2047,0.021612999
Globe,C1COSCPCS,2048,0.055333729000000005
Globe,C1COSCPCS,2049,0.0064999504
Globe,C1COSCPCS,2061,0.058443410999999994
Globe,C1COSCPCS,2064,0.11623755
Globe,C1ELRDF00,2022,2.0
Globe,C1ELRDF00,2028,0.12593944
Globe,C1ELRDF00,2029,0.30451698
Globe,C1ELRDF00,2030,0.30471953
Globe,C1ELRDF00,2031,0.35227638
Globe,C1ELRDF00,2032,0.30960361
Globe,C1ELRDF00,2033,0.39559562
Globe,C1ELRDF00,2034,2.7829539
Globe,C1ELRDF00,2035,0.12302349
Globe,C1ELRDF00,2036,0.16637102
Globe,C1ELRDF00,2037,0.359
Globe,C1ELRDF00,2038,0.359
Globe,C1ELRDF00,2039,0.359
Globe,C1ELRDF00,2040,0.48493944
