REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.65000016197405
Globe,ID,ALUPLANT,ALU,2011,42.68319430391071
Globe,ID,ALUPLANT,ALU,2012,44.48414174438368
Globe,ID,ALUPLANT,ALU,2013,46.04701337802136
Globe,ID,ALUPLANT,ALU,2014,47.30568279499573
Globe,ID,ALUPLANT,ALU,2015,47.19992463774751
Globe,ID,ALUPLANT,ALU,2016,48.40175011412111
Globe,ID,ALUPLANT,ALU,2017,49.95323370078187
Globe,ID,ALUPLANT,ALU,2018,52.95472605596569
Globe,ID,ALUPLANT,ALU,2019,57.88365044158415
Globe,ID,ALUPLANT,ALU,2020,59.576250155819885
Globe,ID,ALUPLANT,ALU,2021,58.26486610204236
Globe,ID,ALUPLANT,ALU,2022,62.30130917375615
Globe,ID,ALUPLANT,ALU,2023,61.74642526012875
Globe,ID,ALUPLANT,ALU,2024,61.6211525742872
Globe,ID,ALUPLANT,ALU,2025,62.563997088076455
Globe,ID,ALUPLANT,ALU,2026,63.91635166636609
Globe,ID,ALUPLANT,ALU,2027,65.4678346142483
Globe,ID,ALUPLANT,ALU,2028,67.53896242242041
Globe,ID,ALUPLANT,ALU,2029,69.62760986675697
Globe,ID,ALUPLANT,ALU,2030,70.1221915762153
Globe,ID,ALUPLANT,ALU,2031,71.67367468435586
Globe,ID,ALUPLANT,ALU,2032,73.22511191935666
Globe,ID,ALUPLANT,ALU,2033,74.97355854149367
Globe,ID,ALUPLANT,ALU,2034,77.1036902194173
Globe,ID,ALUPLANT,ALU,2035,77.87951426130512
Globe,ID,ALUPLANT,ALU,2036,79.43095135155185
Globe,ID,ALUPLANT,ALU,2037,80.98243488398658
Globe,ID,ALUPLANT,ALU,2038,82.53387222210945
Globe,ID,ALUPLANT,ALU,2039,84.08535496260176
Globe,ID,ALUPLANT,ALU,2040,85.63679241829692
Globe,ID,ALUPLANT,ALU,2041,87.18827569678761
Globe,ID,ALUPLANT,ALU,2042,88.73971262711056
