REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.2099667
Globe,IN,ALUPLANT,1,2010,4.2099667
Globe,ID,ALUPLANT,1,2011,4.1806379
Globe,IN,ALUPLANT,1,2011,4.1806379
Globe,IP,ALUPLANT,1,2011,1.7863441000000002
Globe,ID,ALUPLANT,1,2012,4.3235546
Globe,IN,ALUPLANT,1,2012,4.3235546
Globe,IP,ALUPLANT,1,2012,1.6568817999999998
Globe,ID,ALUPLANT,1,2013,4.4413485
Globe,IN,ALUPLANT,1,2013,4.4413485
Globe,IP,ALUPLANT,1,2013,1.7818273
Globe,ID,ALUPLANT,1,2014,4.528221599999999
Globe,IN,ALUPLANT,1,2014,4.528221599999999
Globe,IP,ALUPLANT,1,2014,2.2248514
Globe,ID,ALUPLANT,1,2015,4.4841837
Globe,IN,ALUPLANT,1,2015,4.4841837
Globe,IP,ALUPLANT,1,2015,4.085875700000001
Globe,ID,ALUPLANT,1,2016,4.564102200000001
Globe,IN,ALUPLANT,1,2016,4.564102200000001
Globe,IP,ALUPLANT,1,2016,4.564102200000001
Globe,ID,ALUPLANT,1,2017,4.6755462
Globe,IN,ALUPLANT,1,2017,4.6755462
Globe,IP,ALUPLANT,1,2017,4.6755462
Globe,ID,ALUPLANT,1,2018,4.9200957
Globe,IN,ALUPLANT,1,2018,4.9200957
Globe,IP,ALUPLANT,1,2018,3.3046686000000003
Globe,ID,ALUPLANT,1,2019,5.338833599999999
Globe,IN,ALUPLANT,1,2019,5.338833599999999
Globe,ID,ALUPLANT,1,2020,5.4551940000000005
Globe,IN,ALUPLANT,1,2020,5.4551940000000005
Globe,ID,ALUPLANT,1,2021,5.296794
Globe,IN,ALUPLANT,1,2021,5.296794
Globe,IP,ALUPLANT,1,2021,3.0014076000000003
Globe,ID,ALUPLANT,1,2022,5.6233279000000005
Globe,IN,ALUPLANT,1,2022,5.6233279000000005
Globe,IP,ALUPLANT,1,2022,0.65490698
Globe,ID,ALUPLANT,1,2023,5.5337796
Globe,IN,ALUPLANT,1,2023,5.5337796
Globe,IP,ALUPLANT,1,2023,2.8639781
Globe,ID,ALUPLANT,1,2024,5.483699700000001
Globe,IN,ALUPLANT,1,2024,5.483699700000001
Globe,IP,ALUPLANT,1,2024,4.6218345
Globe,ID,ALUPLANT,1,2025,5.5287302
Globe,IN,ALUPLANT,1,2025,5.5287302
Globe,IP,ALUPLANT,1,2025,5.3177852
Globe,ID,ALUPLANT,1,2026,5.609073400000001
Globe,IN,ALUPLANT,1,2026,5.609073400000001
Globe,IP,ALUPLANT,1,2026,5.609073400000001
Globe,ID,ALUPLANT,1,2027,5.7056417999999995
Globe,IN,ALUPLANT,1,2027,5.7056417999999995
Globe,IP,ALUPLANT,1,2027,5.7056417999999995
Globe,ID,ALUPLANT,1,2028,5.8458899
Globe,IN,ALUPLANT,1,2028,5.8458899
Globe,IP,ALUPLANT,1,2028,5.3065345
Globe,ID,ALUPLANT,1,2029,5.9857153
Globe,IN,ALUPLANT,1,2029,5.9857153
Globe,IP,ALUPLANT,1,2029,4.8963235
Globe,ID,ALUPLANT,1,2030,5.9875635
Globe,IN,ALUPLANT,1,2030,5.9875635
Globe,IP,ALUPLANT,1,2030,5.9875635
Globe,ID,ALUPLANT,1,2031,6.0790284
Globe,IN,ALUPLANT,1,2031,6.0790284
Globe,IP,ALUPLANT,1,2031,6.0790284
Globe,ID,ALUPLANT,1,2032,6.1692479
Globe,IN,ALUPLANT,1,2032,6.1692479
Globe,IP,ALUPLANT,1,2032,6.1692479
Globe,ID,ALUPLANT,1,2033,6.2747859
Globe,IN,ALUPLANT,1,2033,6.2747859
Globe,IP,ALUPLANT,1,2033,6.0771292
Globe,ID,ALUPLANT,1,2034,6.4106475
Globe,IN,ALUPLANT,1,2034,6.4106475
Globe,IP,ALUPLANT,1,2034,5.6373773
Globe,ID,ALUPLANT,1,2035,6.432892900000001
Globe,IN,ALUPLANT,1,2035,6.432892900000001
Globe,IP,ALUPLANT,1,2035,6.432892900000001
Globe,ID,ALUPLANT,1,2036,6.5185005
Globe,IN,ALUPLANT,1,2036,6.5185005
Globe,IP,ALUPLANT,1,2036,6.5185005
Globe,ID,ALUPLANT,1,2037,6.602984200000001
Globe,IN,ALUPLANT,1,2037,6.602984200000001
Globe,IP,ALUPLANT,1,2037,6.602984200000001
Globe,ID,ALUPLANT,1,2038,6.6864068
Globe,IN,ALUPLANT,1,2038,6.6864068
Globe,IP,ALUPLANT,1,2038,6.6864068
Globe,ID,ALUPLANT,1,2039,6.7687469
Globe,IN,ALUPLANT,1,2039,6.7687469
Globe,IP,ALUPLANT,1,2039,6.7687469
Globe,ID,ALUPLANT,1,2040,6.8500671
Globe,IN,ALUPLANT,1,2040,6.8500671
Globe,IP,ALUPLANT,1,2040,6.8500671
Globe,ID,ALUPLANT,1,2041,6.9303695
Globe,IN,ALUPLANT,1,2041,6.9303695
Globe,IP,ALUPLANT,1,2041,6.9303695
Globe,ID,ALUPLANT,1,2042,7.0096405
Globe,IN,ALUPLANT,1,2042,7.0096405
Globe,IP,ALUPLANT,1,2042,7.0096405
Globe,ID,ALUPLANT,1,2043,7.087956699999999
Globe,IN,ALUPLANT,1,2043,7.087956699999999
Globe,IP,ALUPLANT,1,2043,7.087956699999999
Globe,ID,ALUPLANT,1,2044,7.1652782
Globe,IN,ALUPLANT,1,2044,7.1652782
Globe,IP,ALUPLANT,1,2044,7.1652782
Globe,ID,ALUPLANT,1,2045,7.9005902
Globe,IN,ALUPLANT,1,2045,7.9005902
Globe,ID,ALUPLANT,1,2046,7.982925900000001
Globe,IN,ALUPLANT,1,2046,7.982925900000001
Globe,ID,ALUPLANT,1,2047,8.064240400000001
Globe,IN,ALUPLANT,1,2047,8.064240400000001
Globe,ID,ALUPLANT,1,2048,8.144600599999999
Globe,IN,ALUPLANT,1,2048,8.144600599999999
Globe,ID,ALUPLANT,1,2049,8.223975
