REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.269803546305
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.2507927357915
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.3244294240519996
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.3843557076190005
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.4275297893223997
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.4004911550188
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.4397819079298
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738327366
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.6225487707796
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.8416635884368
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.8994247006120006
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.811178073208
Globe,ID,ALUPLANT,C1_F_CLS,2022,2.9801782171793
Globe,ID,ALUPLANT,C1_F_CLS,2023,2.9284872318791995
Globe,ID,ALUPLANT,C1_F_CLS,2024,2.8977898183689006
Globe,ID,ALUPLANT,C1_F_CLS,2025,2.9173505933642
Globe,ID,ALUPLANT,C1_F_CLS,2026,2.9554544289004
Globe,ID,ALUPLANT,C1_F_CLS,2027,3.0019720822937996
Globe,ID,ALUPLANT,C1_F_CLS,2028,3.0712902521024
Globe,ID,ALUPLANT,C1_F_CLS,2029,3.140166103533
Globe,ID,ALUPLANT,C1_F_CLS,2030,3.1365552016575
Globe,ID,ALUPLANT,C1_F_CLS,2031,3.179818175472
Globe,ID,ALUPLANT,C1_F_CLS,2032,3.2222907168884998
Globe,ID,ALUPLANT,C1_F_CLS,2033,3.2726083113591002
Globe,ID,ALUPLANT,C1_F_CLS,2034,3.33856264764
Globe,ID,ALUPLANT,C1_F_CLS,2035,3.3452265329651003
Globe,ID,ALUPLANT,C1_F_CLS,2036,3.384757458627
Globe,ID,ALUPLANT,C1_F_CLS,2037,3.4235680718896
Globe,ID,ALUPLANT,C1_F_CLS,2038,3.4617065877164004
Globe,ID,ALUPLANT,C1_F_CLS,2039,3.4991578599302002
Globe,ID,ALUPLANT,C1_F_CLS,2040,3.5359566865503003
Globe,ID,ALUPLANT,C1_F_CLS,2041,3.5720995602765
Globe,ID,ALUPLANT,C1_F_CLS,2042,3.6075955990109994
Globe,ID,ALUPLANT,C1_F_CLS,2043,3.6424796842599
Globe,ID,ALUPLANT,C1_F_CLS,2044,3.6767263680442004
Globe,ID,ALUPLANT,C1_F_CLS,2045,4.0479937984131995
Globe,ID,ALUPLANT,C1_F_CLS,2046,4.0840728733659
Globe,ID,ALUPLANT,C1_F_CLS,2047,4.1195043089744
Globe,ID,ALUPLANT,C1_F_CLS,2048,4.1543245726426
Globe,ID,ALUPLANT,C1_F_CLS,2049,4.188511587374999
Globe,ID,ALUPLANT,C1_F_CLS,2050,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2051,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2052,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2053,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2054,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2055,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2056,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2057,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2058,4.222117752200001
