REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_F_CLS,ID,2.269803546305
Globe,ALUPLANT,1,2010,C1_F_CLS,IN,2.269803546305
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,1.03691479821
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,1.03691479821
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.8710000105629999
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.8710000105629999
Globe,ALUPLANT,1,2010,XALU,ID,362.81493020600004
Globe,ALUPLANT,1,2010,XALU,IN,362.81493020600004
Globe,ALUPLANT,1,2011,C1_F_CLS,ID,2.2507927357915
Globe,ALUPLANT,1,2011,C1_F_CLS,IN,2.2507927357915
Globe,ALUPLANT,1,2011,C1_F_CLS,IP,0.9617408682785001
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,1.0309912931568999
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,1.0309912931568999
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.4405321048451
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.8667465719796
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.8667465719796
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.3703520041884001
Globe,ALUPLANT,1,2011,XALU,ID,363.40508493592495
Globe,ALUPLANT,1,2011,XALU,IN,363.40508493592495
Globe,ALUPLANT,1,2011,XALU,IP,155.279300650575
Globe,ALUPLANT,1,2012,C1_F_CLS,ID,2.3244294240519996
Globe,ALUPLANT,1,2012,C1_F_CLS,IN,2.3244294240519996
Globe,ALUPLANT,1,2012,C1_F_CLS,IP,0.8907727933159999
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,1.0675850724957998
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IN,1.0675850724957998
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IP,0.4091222247014
Globe,ALUPLANT,1,2012,C1_P_HCO,ID,0.8982573801413999
Globe,ALUPLANT,1,2012,C1_P_HCO,IN,0.8982573801413999
Globe,ALUPLANT,1,2012,C1_P_HCO,IP,0.34423210588619996
Globe,ALUPLANT,1,2012,XALU,ID,379.05251711389997
Globe,ALUPLANT,1,2012,XALU,IN,379.05251711389997
Globe,ALUPLANT,1,2012,XALU,IP,145.26131272869998
Globe,ALUPLANT,1,2013,C1_F_CLS,ID,2.3843557076190005
Globe,ALUPLANT,1,2013,C1_F_CLS,IN,2.3843557076190005
Globe,ALUPLANT,1,2013,C1_F_CLS,IP,0.9565811133142001
Globe,ALUPLANT,1,2013,C1_F_HEA_I,ID,1.098052355049
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IN,1.098052355049
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IP,0.44052829068820004
Globe,ALUPLANT,1,2013,C1_P_HCO,ID,0.9246576682605
Globe,ALUPLANT,1,2013,C1_P_HCO,IN,0.9246576682605
Globe,ALUPLANT,1,2013,C1_P_HCO,IP,0.3709639710689
Globe,ALUPLANT,1,2013,XALU,ID,392.691820661625
Globe,ALUPLANT,1,2013,XALU,IN,392.691820661625
Globe,ALUPLANT,1,2013,XALU,IP,157.54426984092498
Globe,ALUPLANT,1,2014,C1_F_CLS,ID,2.4275297893223997
Globe,ALUPLANT,1,2014,C1_F_CLS,IN,2.4275297893223997
Globe,ALUPLANT,1,2014,C1_F_CLS,IP,1.1927183621746
Globe,ALUPLANT,1,2014,C1_F_HEA_I,ID,1.1209386159719998
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IN,1.1209386159719998
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IP,0.550750839813
Globe,ALUPLANT,1,2014,C1_P_HCO,ID,0.9447138159647999
Globe,ALUPLANT,1,2014,C1_P_HCO,IN,0.9447138159647999
Globe,ALUPLANT,1,2014,C1_P_HCO,IP,0.4641662978792
Globe,ALUPLANT,1,2014,XALU,ID,403.7498225207999
Globe,ALUPLANT,1,2014,XALU,IN,403.7498225207999
Globe,ALUPLANT,1,2014,XALU,IP,198.3744253782
Globe,ALUPLANT,1,2015,C1_F_CLS,ID,2.4004911550188
Globe,ALUPLANT,1,2015,C1_F_CLS,IN,2.4004911550188
Globe,ALUPLANT,1,2015,C1_F_CLS,IP,2.1872673232268003
Globe,ALUPLANT,1,2015,C1_F_HEA_I,ID,1.1114318351472
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IN,1.1114318351472
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IP,1.0127088074992001
Globe,ALUPLANT,1,2015,C1_P_HCO,ID,0.9374724126894
Globe,ALUPLANT,1,2015,C1_P_HCO,IN,0.9374724126894
Globe,ALUPLANT,1,2015,C1_P_HCO,IP,0.8542013455934001
Globe,ALUPLANT,1,2015,XALU,ID,403.167351237375
Globe,ALUPLANT,1,2015,XALU,IN,403.167351237375
Globe,ALUPLANT,1,2015,XALU,IP,367.35597684237507
Globe,ALUPLANT,1,2016,C1_F_CLS,ID,2.4397819079298
Globe,ALUPLANT,1,2016,C1_F_CLS,IN,2.4397819079298
Globe,ALUPLANT,1,2016,C1_F_CLS,IP,2.4397819079298
Globe,ALUPLANT,1,2016,C1_F_HEA_I,ID,1.1326641147696002
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IN,1.1326641147696002
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IP,1.1326641147696002
Globe,ALUPLANT,1,2016,C1_P_HCO,ID,0.9561611544912001
Globe,ALUPLANT,1,2016,C1_P_HCO,IN,0.9561611544912001
Globe,ALUPLANT,1,2016,C1_P_HCO,IP,0.9561611544912001
Globe,ALUPLANT,1,2016,XALU,ID,413.7564028899001
Globe,ALUPLANT,1,2016,XALU,IN,413.7564028899001
Globe,ALUPLANT,1,2016,XALU,IP,413.7564028899001
Globe,ALUPLANT,1,2017,C1_F_CLS,ID,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_CLS,IN,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_CLS,IP,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_HEA_I,ID,1.1617750442298
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IN,1.1617750442298
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IP,1.1617750442298
Globe,ALUPLANT,1,2017,C1_P_HCO,ID,0.9815420893122001
Globe,ALUPLANT,1,2017,C1_P_HCO,IN,0.9815420893122001
Globe,ALUPLANT,1,2017,C1_P_HCO,IP,0.9815420893122001
Globe,ALUPLANT,1,2017,XALU,ID,427.34609156655
Globe,ALUPLANT,1,2017,XALU,IN,427.34609156655
Globe,ALUPLANT,1,2017,XALU,IP,427.34609156655
Globe,ALUPLANT,1,2018,C1_F_CLS,ID,2.6225487707796
Globe,ALUPLANT,1,2018,C1_F_CLS,IN,2.6225487707796
Globe,ALUPLANT,1,2018,C1_F_CLS,IP,1.7614808945208
Globe,ALUPLANT,1,2018,C1_F_HEA_I,ID,1.224070609203
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IN,1.224070609203
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IP,0.8221685009940001
Globe,ALUPLANT,1,2018,C1_P_HCO,ID,1.0350159319305
Globe,ALUPLANT,1,2018,C1_P_HCO,IN,1.0350159319305
Globe,ALUPLANT,1,2018,C1_P_HCO,IP,0.6951866100390001
Globe,ALUPLANT,1,2018,XALU,ID,453.36713837220003
Globe,ALUPLANT,1,2018,XALU,IN,453.36713837220003
Globe,ALUPLANT,1,2018,XALU,IP,304.5119928156
Globe,ALUPLANT,1,2019,C1_F_CLS,ID,2.8416635884368
Globe,ALUPLANT,1,2019,C1_F_CLS,IN,2.8416635884368
Globe,ALUPLANT,1,2019,C1_F_HEA_I,ID,1.3299087885935998
Globe,ALUPLANT,1,2019,C1_F_HEA_I,IN,1.3299087885935998
Globe,ALUPLANT,1,2019,C1_P_HCO,ID,1.1254261228799998
Globe,ALUPLANT,1,2019,C1_P_HCO,IN,1.1254261228799998
Globe,ALUPLANT,1,2019,XALU,ID,495.93359606279995
Globe,ALUPLANT,1,2019,XALU,IN,495.93359606279995
Globe,ALUPLANT,1,2020,C1_F_CLS,ID,2.8994247006120006
Globe,ALUPLANT,1,2020,C1_F_CLS,IN,2.8994247006120006
Globe,ALUPLANT,1,2020,C1_F_HEA_I,ID,1.3605963011220001
Globe,ALUPLANT,1,2020,C1_F_HEA_I,IN,1.3605963011220001
Globe,ALUPLANT,1,2020,C1_P_HCO,ID,1.152322449396
Globe,ALUPLANT,1,2020,C1_P_HCO,IN,1.152322449396
Globe,ALUPLANT,1,2020,XALU,ID,510.81072817500007
Globe,ALUPLANT,1,2020,XALU,IN,510.81072817500007
Globe,ALUPLANT,1,2021,C1_F_CLS,ID,2.811178073208
Globe,ALUPLANT,1,2021,C1_F_CLS,IN,2.811178073208
Globe,ALUPLANT,1,2021,C1_F_CLS,IP,1.5929430583632
Globe,ALUPLANT,1,2021,C1_F_HEA_I,ID,1.322736584856
Globe,ALUPLANT,1,2021,C1_F_HEA_I,IN,1.322736584856
Globe,ALUPLANT,1,2021,C1_F_HEA_I,IP,0.7495235115024
Globe,ALUPLANT,1,2021,C1_P_HCO,ID,1.121161792392
Globe,ALUPLANT,1,2021,C1_P_HCO,IN,1.121161792392
Globe,ALUPLANT,1,2021,C1_P_HCO,IP,0.6353019438768001
Globe,ALUPLANT,1,2021,XALU,ID,499.92863230050006
Globe,ALUPLANT,1,2021,XALU,IN,499.92863230050006
Globe,ALUPLANT,1,2021,XALU,IP,283.28260386270006
Globe,ALUPLANT,1,2022,C1_F_CLS,ID,2.9801782171793
Globe,ALUPLANT,1,2022,C1_F_CLS,IN,2.9801782171793
Globe,ALUPLANT,1,2022,C1_F_CLS,IP,0.34707908746966
Globe,ALUPLANT,1,2022,C1_F_HEA_I,ID,1.4060287914765002
Globe,ALUPLANT,1,2022,C1_F_HEA_I,IN,1.4060287914765002
Globe,ALUPLANT,1,2022,C1_F_HEA_I,IP,0.1637496667443
Globe,ALUPLANT,1,2022,C1_P_HCO,ID,1.1927247175737001
