TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
ID,2010,ALUPLANT,1,Globe,1.9294277386099998
ID,2010,C1BFRDF00,1,Globe,0.05813013496299999
ID,2010,C1BFRDF00,2,Globe,0.198792845037
ID,2010,C1BMBRFH1,1,Globe,10.716906906899998
ID,2010,C1BMBRFN1,1,Globe,1.011706416
ID,2010,C1BMLP000,1,Globe,0.6711433193599999
ID,2010,C1CO00I00,1,Globe,65.24291888199998
ID,2010,C1COBRFH1,1,Globe,2.69836554096
ID,2010,C1COCHP00,1,Globe,1.0720474772399997
ID,2010,C1COHTF03,1,Globe,17.5934257184
ID,2010,C1COIGP00,1,Globe,0.029167646479
ID,2010,C1COSCP00,1,Globe,12.2963856107
ID,2010,C1ELEFF00,1,Globe,34.9874955198
ID,2010,C1ELRLF00,1,Globe,1.42000001976
ID,2010,C1GOCVP00,1,Globe,0.142217016192
ID,2010,C1GOHTF03,1,Globe,2.13200142574
ID,2010,C1HFGCPCH,1,Globe,0.07660062863999999
ID,2010,C1HFMRF00,1,Globe,39.4138
ID,2010,C1HTOOTFI,1,Globe,38.341666270699996
ID,2010,C1HTOOTFR,1,Globe,2.21195360228
ID,2010,C1HYDMP00,1,Globe,5.5649632043
ID,2010,C1HYMIP00,1,Globe,0.48200584248000006
ID,2010,C1LFBRFH1,1,Globe,7.242372827
ID,2010,C1LFBRFN1,1,Globe,0.7226474399999999
ID,2010,C1LFCCP00,1,Globe,0.282699678528
ID,2010,C1LFRDF00,1,Globe,8.5066777042
ID,2010,C1LFRLF00,1,Globe,3.171436
ID,2010,C1NG00I00,1,Globe,50.38178977
ID,2010,C1NGBRFH1,1,Globe,9.6141014501
ID,2010,C1NGBRFN1,1,Globe,0.7226474399999999
ID,2010,C1NGCCP00,1,Globe,5.056364320999999
ID,2010,C1NGCCPCH,1,Globe,1.09379917435
ID,2010,C1NGGCP00,1,Globe,1.15999368902
ID,2010,C1NGGCPCH,1,Globe,1.07963527536
ID,2010,C1NGHTF03,1,Globe,9.1458260923
ID,2010,C1NU00I00,1,Globe,16.2682356862
ID,2010,C1NULWP00,1,Globe,5.8518832942
ID,2010,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2010,C1OI00I00,1,Globe,76.78614848
ID,2010,C1OIHTF03,1,Globe,6.7423006152
ID,2010,C1OIRFP00,1,Globe,13.4070884931
ID,2010,C1OIRFP00,2,Globe,51.908840786999995
ID,2010,C1SOC1P00,1,Globe,0.042925257935999994
ID,2010,C1SOTHF00,1,Globe,0.46480685174
ID,2010,C1SOV1P00,1,Globe,0.121910623128
ID,2010,C1SOV2P00,1,Globe,0.09307699027199999
ID,2010,C1WDOFP00,1,Globe,0.022373164742399997
ID,2010,C1WDONP00,1,Globe,0.75568688279
ID,2010,CEMPLANT,1,Globe,5.4272729272
ID,2010,FERTPLANT,1,Globe,0.000195487328789
ID,2010,LA,1,Globe,2554.49999217
ID,2010,LA1,1,Globe,770.6000106199999
ID,2010,LA1_i,1,Globe,183.900001565
ID,2010,LA1_i_PROD,1,Globe,183.900001565
ID,2010,LA1_PROD,1,Globe,770.6000106199999
ID,2010,LA2,1,Globe,1600.0000029
ID,2010,LA2_PROD,1,Globe,1600.0000029
ID,2010,LandRes,1,Globe,6171.5255458
ID,2010,LF,1,Globe,1833.2
ID,2010,LF1,1,Globe,588.9155
ID,2010,LF2,1,Globe,1244.2845
