REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,394.082540545492
Globe,C1BFRDF00,10.701917401156399
Globe,C1BMBRFH1,283.59286206251
Globe,C1BMBRFN1,569.0077647311499
Globe,C1BMCHP00,26.714724092427996
Globe,C1BMHTF03,51.003046157275
Globe,C1BMIGPCS,354.29103972180997
Globe,C1BMLP000,108.38380421826001
Globe,C1BMSCP00,7.498500206143001
Globe,C1CO00I00,6102.049938545731
Globe,C1COBRFH1,241.1998199260492
Globe,C1COCHP00,51.42872979788397
Globe,C1COHTF03,2094.1242171693
Globe,C1COIGP00,2.9043760350018015
Globe,C1COSCP00,676.517194765746
Globe,C1COSCPCS,284.41256476238283
Globe,C1ELEFF00,6714.054616931699
Globe,C1ELRDF00,550.7942258581677
Globe,C1ELRLF00,1018.5200006888593
Globe,C1GOCVP00,106.73645462374506
Globe,C1GOHTF03,1594.1656822956602
Globe,C1HFGCP00,16.753659953189004
Globe,C1HFGCPCH,143.96761528123096
Globe,C1HFMRF00,9930.1793164511
Globe,C1HTOOTFI,5810.255770186301
Globe,C1HTOOTFR,429.39980173652094
Globe,C1HYDMP00,1267.6706406511987
Globe,C1HYMIP00,44.84430307868702
Globe,C1LFAVF00,2.2206878342959997
Globe,C1LFBRFH1,149.91281868191425
Globe,C1LFBRFN1,267.8069971789989
Globe,C1LFCCP00,77.93107245618792
Globe,C1LFRDF00,1200.1198325929602
Globe,C1LFRLF00,145.36999909512002
Globe,C1NG00I00,7685.0254978427
Globe,C1NGBRFH1,540.39102922972
Globe,C1NGBRFN1,857.1423289958502
Globe,C1NGCCP00,895.3836134531111
Globe,C1NGCCPCH,357.03707571501
Globe,C1NGCCPCS,263.221570305438
Globe,C1NGGCP00,114.77355686684099
Globe,C1NGGCPCH,328.85154087111795
Globe,C1NGHTF03,1211.3616158364232
Globe,C1NGLP000,7.217280613060002
Globe,C1NU00I00,1140.7517292692437
Globe,C1NULWP00,419.73028054269014
Globe,C1OCCVP00,1.2654761965714998
Globe,C1OI00I00,8565.486662837538
Globe,C1OIHTF03,351.256140714596
Globe,C1OIRFP00,7876.785476797183
Globe,C1SOC1P00,330.6018749930112
Globe,C1SOTHF00,117.30895115348787
Globe,C1SOV1P00,270.5834227153954
Globe,C1SOV2P00,255.96039610096847
Globe,C1WDOFP00,378.227846928
Globe,C1WDONP00,578.6738054200001
Globe,CEMPLANT,704.4856909367405
Globe,DUMMYH_I,14.0424509
Globe,DUMMYH_R,111.69917960000001
Globe,FERTPLANT,0.01594623478119178
Globe,LA,233230.22065052198
Globe,LA1,34661.82892036601
Globe,LA1_PROD,34661.82892036601
Globe,LA1_i,43198.36453760919
Globe,LA1_i_PROD,43198.36453760919
Globe,LA2,155370.02674474797
Globe,LA2_PROD,155370.02674474797
Globe,LF,321883.2163227301
Globe,LF1,157901.138706238
Globe,LF2,163982.0776781066
Globe,LF2_PROD,163982.0776781066
Globe,LO,237900.00012577
Globe,LandRes,793542.0029425405
Globe,MFOOFACTOR,351.06136164926
Globe,PAPPLANT,420.8639688101395
Globe,PETAPLANT,0.0003332732654366339
Globe,PETBPLANT,3645.8462081174494
Globe,STEPLANT,1904.1896743615298
Globe,VFOOFACTOR,4600.573840954015
Globe,XALUMINE,439.7421409848041
Globe,XCEMMINE,3379.151696851798
Globe,XPHOMINE,5.595466063745547e-05
Globe,XPOTMINE,1.2292487489837499e-05
Globe,XSTEMINE,3020.4553571573815
