REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.0402509652715815
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.0315383108132443
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.0652860050430313
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.0927502208017879
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.1125369024464558
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.100145096345116
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.1181520484042273
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.1438131475431836
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.2019141016482906
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.3023344225805853
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.32880634029048
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.2883629109512265
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.365815676933273
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.342125698370237
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.3280570737584672
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.3370217769388129
Globe,ID,ALUPLANT,C1_F_CLS,2026,1.3544847647650533
Globe,ID,ALUPLANT,C1_F_CLS,2027,1.3758038053152484
Globe,ID,ALUPLANT,C1_F_CLS,2028,1.40757232253853
Globe,ID,ALUPLANT,C1_F_CLS,2029,1.439138125249174
Globe,ID,ALUPLANT,C1_F_CLS,2030,1.4374832489196323
Globe,ID,ALUPLANT,C1_F_CLS,2031,1.4573106698188176
Globe,ID,ALUPLANT,C1_F_CLS,2032,1.4767758355499994
Globe,ID,ALUPLANT,C1_F_CLS,2033,1.4998363890958757
Globe,ID,ALUPLANT,C1_F_CLS,2034,1.530063261413412
Globe,ID,ALUPLANT,C1_F_CLS,2035,1.5331173200579054
Globe,ID,ALUPLANT,C1_F_CLS,2036,1.551234343288754
Globe,ID,ALUPLANT,C1_F_CLS,2037,1.5690212473470035
Globe,ID,ALUPLANT,C1_F_CLS,2038,1.5865001291504262
