REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.37993789
Globe,ALUPLANT,2012,0.7355408299999999
Globe,ALUPLANT,2013,1.0128125899999998
Globe,ALUPLANT,2014,1.2591396699999997
Globe,ALUPLANT,2015,1.3745056499999997
Globe,ALUPLANT,2016,1.5552022199999997
Globe,ALUPLANT,2017,1.8249461599999999
Globe,ALUPLANT,2018,2.22789568
Globe,ALUPLANT,2019,2.80503354
Globe,ALUPLANT,2020,3.07969397
Globe,ALUPLANT,2021,3.07969397
Globe,ALUPLANT,2022,3.5951427700000003
Globe,ALUPLANT,2023,3.6639385790000003
Globe,ALUPLANT,2024,3.7726716290000004
Globe,ALUPLANT,2025,3.9761372190000004
Globe,ALUPLANT,2026,4.263774539
Globe,ALUPLANT,2027,4.469848459
Globe,ALUPLANT,2028,4.768541849
Globe,ALUPLANT,2029,5.066712779
Globe,ALUPLANT,2030,5.195763489000001
Globe,ALUPLANT,2031,5.445528379000001
Globe,ALUPLANT,2032,5.694147869000001
Globe,ALUPLANT,2033,5.941601329000001
Globe,ALUPLANT,2034,6.187756769
Globe,ALUPLANT,2035,6.432892939
Globe,ALUPLANT,2036,6.5185005490000005
Globe,ALUPLANT,2037,6.602984209000001
Globe,ALUPLANT,2038,6.686406799
Globe,ALUPLANT,2039,6.768746919
Globe,ALUPLANT,2040,6.850067099
Globe,ALUPLANT,2041,6.930369469
Globe,ALUPLANT,2042,7.009640489
Globe,ALUPLANT,2043,7.087956689
Globe,ALUPLANT,2044,7.1652781789999995
Globe,ALUPLANT,2045,7.900590249
Globe,ALUPLANT,2046,7.982925882
Globe,ALUPLANT,2047,8.064240402
Globe,ALUPLANT,2048,8.144600623
Globe,ALUPLANT,2049,8.223975012999999
Globe,ALUPLANT,2050,8.302430073
Globe,ALUPLANT,2051,8.302430073
Globe,ALUPLANT,2052,8.302430073
Globe,ALUPLANT,2053,8.302430073
Globe,ALUPLANT,2054,8.302430073
Globe,ALUPLANT,2055,8.302430073
Globe,ALUPLANT,2056,8.302430073
Globe,ALUPLANT,2057,8.302430073
Globe,ALUPLANT,2058,8.302430073
Globe,ALUPLANT,2059,8.302430073000002
Globe,ALUPLANT,2060,8.302430073
Globe,ALUPLANT,2061,8.302430073
Globe,ALUPLANT,2062,8.302430073
Globe,ALUPLANT,2063,8.302430073
Globe,ALUPLANT,2064,8.302430073
Globe,ALUPLANT,2065,8.302430073
Globe,ALUPLANT,2066,8.302430073
Globe,ALUPLANT,2067,8.302430073
Globe,ALUPLANT,2068,8.302430073
Globe,ALUPLANT,2069,8.302430073
Globe,ALUPLANT,2070,8.302430073
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964386
Globe,C1BFRDF00,2023,0.49664386
Globe,C1BFRDF00,2024,0.47354386
Globe,C1BFRDF00,2025,0.47354386
Globe,C1BFRDF00,2026,0.47354386
Globe,C1BFRDF00,2027,0.47354386
Globe,C1BFRDF00,2028,0.47354386
Globe,C1BFRDF00,2029,0.47354386
Globe,C1BFRDF00,2030,0.47354386
Globe,C1BFRDF00,2031,0.47354386
Globe,C1BFRDF00,2032,0.473543835199861
Globe,C1BFRDF00,2033,0.473543835199861
Globe,C1BFRDF00,2034,1.6080600000000028e-09
Globe,C1BFRDF00,2035,1.6080600000000028e-09
Globe,C1BFRDF00,2036,-1.9887326999999996e-08
Globe,C1BFRDF00,2037,-1.9887326999999996e-08
Globe,C1BFRDF00,2038,-1.9887326999999996e-08
Globe,C1BFRDF00,2039,-1.9887326999999996e-08
Globe,C1BFRDF00,2040,1.9613437000000005e-08
Globe,C1BFRDF00,2041,1.9613437000000005e-08
Globe,C1BFRDF00,2042,-2.3618277999999993e-08
Globe,C1BFRDF00,2043,1.6281299000000008e-08
Globe,C1BFRDF00,2044,4.1081438e-08
Globe,C1BFRDF00,2045,1.165265000000006e-09
Globe,C1BFRDF00,2046,-8.496542999999993e-09
Globe,C1BFRDF00,2047,-8.496542999999993e-09
Globe,C1BFRDF00,2048,-8.509542999999995e-09
Globe,C1BFRDF00,2049,-8.509542999999995e-09
Globe,C1BFRDF00,2050,-8.509542999999995e-09
Globe,C1BFRDF00,2051,-8.509542999999995e-09
Globe,C1BFRDF00,2052,-8.52982099999999e-09
Globe,C1BFRDF00,2053,-8.52982099999999e-09
Globe,C1BFRDF00,2054,-1.0233756999999996e-08
Globe,C1BFRDF00,2055,-8.532465999999996e-09
Globe,C1BFRDF00,2056,-8.532465999999996e-09
Globe,C1BFRDF00,2057,-8.512864000000001e-09
Globe,C1BFRDF00,2058,-9.308435999999996e-09
Globe,C1BFRDF00,2059,8.110670000000029e-10
Globe,C1BFRDF00,2060,7.826760000000004e-10
Globe,C1BFRDF00,2061,7.826760000000004e-10
Globe,C1BFRDF00,2062,7.826760000000004e-10
Globe,C1BFRDF00,2063,7.826760000000004e-10
Globe,C1BFRDF00,2064,-3.8697810000000006e-08
Globe,C1BFRDF00,2065,-3.8697810000000006e-08
Globe,C1BFRDF00,2066,6.237840999999995e-09
Globe,C1BFRDF00,2067,-3.5363027e-08
Globe,C1BFRDF00,2068,4.154629999999994e-09
Globe,C1BFRDF00,2069,2.687977799999999e-08
Globe,C1BFRDF00,2070,-1.1195036000000004e-08
Globe,C1BMBRFH1,2023,0.1
Globe,C1BMBRFH1,2024,0.143310447
Globe,C1BMBRFH1,2025,0.20138768
Globe,C1BMBRFH1,2026,0.20138768
Globe,C1BMBRFH1,2027,0.20138768
Globe,C1BMBRFH1,2028,0.20138768
Globe,C1BMBRFH1,2029,0.20138768
Globe,C1BMBRFH1,2030,0.20138768
Globe,C1BMBRFH1,2031,0.20138768
Globe,C1BMBRFH1,2032,0.20138768
Globe,C1BMBRFH1,2033,0.20138768
Globe,C1BMBRFH1,2034,0.20138768
Globe,C1BMBRFH1,2035,0.20138768
Globe,C1BMBRFH1,2036,0.20138768
Globe,C1BMBRFH1,2037,0.20138768
Globe,C1BMBRFH1,2038,0.10138768000000001
Globe,C1BMBRFH1,2039,0.058077233
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.07
Globe,C1BMBRFN1,2016,0.07
Globe,C1BMBRFN1,2017,0.07
Globe,C1BMBRFN1,2018,0.07
Globe,C1BMBRFN1,2019,0.12000000000000001
Globe,C1BMBRFN1,2020,0.17
Globe,C1BMBRFN1,2021,0.22000000000000003
Globe,C1BMBRFN1,2022,0.27
Globe,C1BMBRFN1,2023,0.32
Globe,C1BMBRFN1,2024,0.37
Globe,C1BMBRFN1,2025,0.35
Globe,C1BMBRFN1,2026,0.4
Globe,C1BMBRFN1,2027,0.45
Globe,C1BMBRFN1,2028,0.48737350700000004
Globe,C1BMBRFN1,2029,0.5373735070000001
Globe,C1BMBRFN1,2030,0.5873735070000001
Globe,C1BMBRFN1,2031,0.6373735070000002
Globe,C1BMBRFN1,2032,0.6873735070000002
Globe,C1BMBRFN1,2033,0.7373735070000003
Globe,C1BMBRFN1,2034,0.7373735070000002
Globe,C1BMBRFN1,2035,0.7373735070000002
Globe,C1BMBRFN1,2036,0.7373735070000002
Globe,C1BMBRFN1,2037,0.7373735070000002
Globe,C1BMBRFN1,2038,0.7373735070000002
Globe,C1BMBRFN1,2039,0.7373735070000002
Globe,C1BMBRFN1,2040,0.7373735070000002
Globe,C1BMBRFN1,2041,0.7373735070000002
Globe,C1BMBRFN1,2042,0.6931755531000001
Globe,C1BMBRFN1,2043,0.6558020461000001
Globe,C1BMBRFN1,2044,0.6058020461000001
Globe,C1BMBRFN1,2045,0.5558020461000001
