REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.82908963592544
Globe,CO2EQ,2011,36.02504792285717
Globe,CO2EQ,2012,36.28445191208641
Globe,CO2EQ,2013,36.542451441819516
Globe,CO2EQ,2014,36.67419035991906
Globe,CO2EQ,2015,36.77583030533268
Globe,CO2EQ,2016,36.87754028689469
Globe,CO2EQ,2017,36.97917998587396
Globe,CO2EQ,2018,37.080890106714726
Globe,CO2EQ,2019,37.18253016325718
Globe,CO2EQ,2020,37.28424011217582
Globe,CO2EQ,2021,36.79535995237573
Globe,CO2EQ,2022,36.25047979323765
Globe,CO2EQ,2023,35.75682061291092
Globe,CO2EQ,2024,35.328720078671815
Globe,CO2EQ,2025,34.839839752068904
Globe,CO2EQ,2026,34.29462465508395
Globe,CO2EQ,2027,33.75870011576483
Globe,CO2EQ,2028,33.16870609070269
Globe,CO2EQ,2029,32.4132155833513
Globe,CO2EQ,2030,31.835462559387253
Globe,CO2EQ,2031,31.418923405762367
Globe,CO2EQ,2032,30.822673577463405
Globe,CO2EQ,2033,30.443431287485144
Globe,CO2EQ,2034,29.822725760344078
Globe,CO2EQ,2035,29.209250286453905
Globe,CO2EQ,2036,28.572040053376426
Globe,CO2EQ,2037,27.934830041768716
Globe,CO2EQ,2038,27.297620434231305
Globe,CO2EQ,2039,26.660410323863474
Globe,CO2EQ,2040,26.023199727367867
Globe,CO2EQ,2041,25.277839564141093
Globe,CO2EQ,2042,24.532479705283837
Globe,CO2EQ,2043,23.787190267105423
Globe,CO2EQ,2044,23.041829895761104
Globe,CO2EQ,2045,22.296540123792386
Globe,CO2EQ,2046,21.551179600300667
Globe,CO2EQ,2047,20.805889837008948
Globe,CO2EQ,2048,20.06052980115418
Globe,CO2EQ,2049,19.315169881964668
Globe,CO2EQ,2050,18.569880154951555
Globe,CO2EQ,2051,18.02899006900239
Globe,CO2EQ,2052,17.48810028787377
Globe,CO2EQ,2053,16.94728001371732
Globe,CO2EQ,2054,16.406390063673125
Globe,CO2EQ,2055,15.865499925847352
Globe,CO2EQ,2056,15.324679746740017
Globe,CO2EQ,2057,14.783790220924583
Globe,CO2EQ,2058,14.242900028513537
Globe,CO2EQ,2059,13.70207992194169
Globe,CO2EQ,2060,13.161189995257269
Globe,CO2EQ,2061,12.626880257749868
Globe,CO2EQ,2062,12.092569934934028
Globe,CO2EQ,2063,11.558260208583691
Globe,CO2EQ,2064,11.023950196256079
Globe,CO2EQ,2065,10.489640124304863
Globe,CO2EQ,2066,9.955330057066533
Globe,CO2EQ,2067,9.421019750235583
Globe,CO2EQ,2068,8.88663989993513
Globe,CO2EQ,2069,8.352330044286592
Globe,CO2EQ,2070,7.8180200757760145
Globe,WATER,2010,21.89341635597023
Globe,WATER,2011,21.98089787953323
Globe,WATER,2012,22.04899728301979
Globe,WATER,2013,22.11148370059931
Globe,WATER,2014,22.182726611760305
Globe,WATER,2015,22.239676718649562
Globe,WATER,2016,22.297299653739945
Globe,WATER,2017,22.356020415357484
Globe,WATER,2018,22.67284590845219
Globe,WATER,2019,22.991817159427804
Globe,WATER,2020,23.41080854413902
Globe,WATER,2021,24.123472274661687
Globe,WATER,2022,24.937686675863457
Globe,WATER,2023,25.695864851003343
Globe,WATER,2024,26.516275429728704
Globe,WATER,2025,27.3961801789749
Globe,WATER,2026,28.306802945452965
Globe,WATER,2027,29.28376181989629
Globe,WATER,2028,30.31014386115809
Globe,WATER,2029,31.387542982294832
Globe,WATER,2030,32.51598473253512
Globe,WATER,2031,33.68959874941887
Globe,WATER,2032,34.9368776453394
Globe,WATER,2033,36.246292311593706
Globe,WATER,2034,38.07403836674369
Globe,WATER,2035,39.974601586983866
Globe,WATER,2036,41.943913839528946
Globe,WATER,2037,44.0085157295473
Globe,WATER,2038,46.06723605824404
Globe,WATER,2039,47.88999529899742
Globe,WATER,2040,49.90761963050004
Globe,WATER,2041,51.985529034687026
Globe,WATER,2042,54.156540491835955
Globe,WATER,2043,56.4247187895522
Globe,WATER,2044,57.048369673575344
Globe,WATER,2045,56.36094769352728
Globe,WATER,2046,55.90276336644918
Globe,WATER,2047,55.51137117159574
Globe,WATER,2048,55.081615650357165
Globe,WATER,2049,54.443826290010875
Globe,WATER,2050,54.02063497231414
Globe,WATER,2051,54.15001906479671
Globe,WATER,2052,54.24146128218846
Globe,WATER,2053,54.33197998755618
Globe,WATER,2054,54.42836627572521
Globe,WATER,2055,54.52476695400181
Globe,WATER,2056,54.63436835358264
Globe,WATER,2057,54.73529456323218
Globe,WATER,2058,54.850791224053985
Globe,WATER,2059,54.96979471527493
Globe,WATER,2060,55.092843894747254
Globe,WATER,2061,55.12103178035606
Globe,WATER,2062,55.156575416576906
Globe,WATER,2063,55.26082414017149
Globe,WATER,2064,55.29720669639231
Globe,WATER,2065,55.32145363006602
Globe,WATER,2066,55.348255980976695
Globe,WATER,2067,55.3818621659813
Globe,WATER,2068,55.41874926563772
Globe,WATER,2069,55.44268767371115
Globe,WATER,2070,55.45242423714384
