REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.52872
Globe,C1BMBRFH1,2022,2.6465399999999994
Globe,C1BMBRFH1,2023,3.4543600000000003
Globe,C1BMBRFH1,2024,3.3041265543
Globe,C1BMBRFH1,2025,3.403451792
Globe,C1BMBRFH1,2026,3.403451792
Globe,C1BMBRFH1,2027,3.403451792
Globe,C1BMBRFH1,2028,3.403451792
Globe,C1BMBRFH1,2029,3.403451792
Globe,C1BMBRFH1,2030,3.403451792
Globe,C1BMBRFH1,2031,3.403451792
Globe,C1BMBRFH1,2032,3.403451792
Globe,C1BMBRFH1,2033,3.403451792
Globe,C1BMBRFH1,2034,3.403451792
Globe,C1BMBRFH1,2035,3.403451792
Globe,C1BMBRFH1,2036,3.403451792
Globe,C1BMBRFH1,2037,3.403451792
Globe,C1BMBRFH1,2038,1.713451792
Globe,C1BMBRFH1,2039,0.9815052376999999
Globe,C1BMBRFN1,2010,1.183
Globe,C1BMBRFN1,2011,1.183
Globe,C1BMBRFN1,2012,1.183
Globe,C1BMBRFN1,2013,1.183
Globe,C1BMBRFN1,2014,1.183
Globe,C1BMBRFN1,2015,1.183
Globe,C1BMBRFN1,2016,1.183
Globe,C1BMBRFN1,2017,1.183
Globe,C1BMBRFN1,2018,1.183
Globe,C1BMBRFN1,2019,2.028
Globe,C1BMBRFN1,2020,2.8729999999999998
Globe,C1BMBRFN1,2021,3.718
Globe,C1BMBRFN1,2022,4.563
Globe,C1BMBRFN1,2023,5.4079999999999995
Globe,C1BMBRFN1,2024,6.252999999999999
Globe,C1BMBRFN1,2025,5.914999999999999
Globe,C1BMBRFN1,2026,6.76
Globe,C1BMBRFN1,2027,7.6049999999999995
Globe,C1BMBRFN1,2028,8.2366122683
Globe,C1BMBRFN1,2029,9.0816122683
Globe,C1BMBRFN1,2030,9.926612268300001
Globe,C1BMBRFN1,2031,10.771612268300002
Globe,C1BMBRFN1,2032,11.616612268300003
Globe,C1BMBRFN1,2033,12.461612268300003
Globe,C1BMBRFN1,2034,12.461612268300001
Globe,C1BMBRFN1,2035,12.461612268300001
Globe,C1BMBRFN1,2036,12.461612268300001
Globe,C1BMBRFN1,2037,12.461612268300001
Globe,C1BMBRFN1,2038,12.461612268300001
Globe,C1BMBRFN1,2039,12.461612268300001
Globe,C1BMBRFN1,2040,12.461612268300001
Globe,C1BMBRFN1,2041,12.461612268300001
Globe,C1BMBRFN1,2042,11.714666847390001
Globe,C1BMBRFN1,2043,11.083054579090001
Globe,C1BMBRFN1,2044,10.23805457909
Globe,C1BMBRFN1,2045,9.39305457909
Globe,C1BMBRFN1,2046,8.54805457909
Globe,C1BMBRFN1,2047,7.70305457909
Globe,C1BMBRFN1,2048,6.85805457909
Globe,C1BMBRFN1,2049,6.013054579089999
Globe,C1BMBRFN1,2050,5.16805457909
Globe,C1BMBRFN1,2051,4.32305457909
Globe,C1BMBRFN1,2052,3.47805457909
Globe,C1BMBRFN1,2053,2.6330545790900004
Globe,C1BMBRFN1,2054,1.78805457909
Globe,C1BMBRFN1,2055,0.94305457909
Globe,C1BMBRFN1,2056,0.09805457909
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.3651999999999997
Globe,C1BMCHP00,2017,2.4462
Globe,C1BMCHP00,2018,2.5353000000000003
Globe,C1BMCHP00,2019,2.6163
Globe,C1BMCHP00,2020,3.3453000000000004
Globe,C1BMCHP00,2021,3.2640935741973
Globe,C1BMCHP00,2022,3.1911935741973
Globe,C1BMCHP00,2023,3.1101935741973
Globe,C1BMCHP00,2024,3.0291935741973
Globe,C1BMCHP00,2025,2.9564999995787997
Globe,C1BMCHP00,2026,2.8754999995788
Globe,C1BMCHP00,2027,2.7944999995788002
Globe,C1BMCHP00,2028,2.7134999995788003
Globe,C1BMCHP00,2029,2.6405999995788
Globe,C1BMCHP00,2030,2.5595999995788
Globe,C1BMCHP00,2031,2.4785999995788
Globe,C1BMCHP00,2032,2.4056999995788004
Globe,C1BMCHP00,2033,2.3246999995788005
Globe,C1BMCHP00,2034,2.2436999995788
Globe,C1BMCHP00,2035,2.1626999995788
Globe,C1BMCHP00,2036,2.0897999995788004
Globe,C1BMCHP00,2037,2.0087999995788004
Globe,C1BMCHP00,2038,1.9277999995788002
Globe,C1BMCHP00,2039,1.8548999995788003
Globe,C1BMCHP00,2040,1.7738999995788003
Globe,C1BMCHP00,2041,1.6928999995788
Globe,C1BMCHP00,2042,1.6118999995788001
Globe,C1BMCHP00,2043,1.5389999995788002
Globe,C1BMCHP00,2044,1.4579999995788002
Globe,C1BMCHP00,2045,1.4579999995788002
Globe,C1BMCHP00,2046,1.4579999995788002
Globe,C1BMCHP00,2047,1.4579999995788002
Globe,C1BMCHP00,2048,1.4579999995788002
Globe,C1BMCHP00,2049,1.4579999995788002
Globe,C1BMCHP00,2050,1.4579999995788002
Globe,C1BMCHP00,2051,1.2959999995788
Globe,C1BMCHP00,2052,1.1339999995788
Globe,C1BMCHP00,2053,0.9719999995788
Globe,C1BMCHP00,2054,0.8099999995788
Globe,C1BMCHP00,2055,-4.2120000001848765e-10
Globe,C1BMCHP00,2056,0.00020642538149999998
Globe,C1BMCHP00,2057,0.00020642538149999998
Globe,C1BMCHP00,2058,0.00020642538149999998
Globe,C1BMCHP00,2059,0.00020642538149999998
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53243082557112
Globe,C1BMHTF03,2015,7.061180825571119
Globe,C1BMHTF03,2016,6.58993082557112
Globe,C1BMHTF03,2017,6.118680825571119
Globe,C1BMHTF03,2018,5.647430825571119
Globe,C1BMHTF03,2019,5.1761808255711195
Globe,C1BMHTF03,2020,4.708700825571119
Globe,C1BMHTF03,2021,4.237450825571119
Globe,C1BMHTF03,2022,3.7662008255711195
Globe,C1BMHTF03,2023,3.2949508255711195
Globe,C1BMHTF03,2024,2.823700825571119
Globe,C1BMHTF03,2025,2.352450825571119
Globe,C1BMHTF03,2026,1.881230002683863
Globe,C1BMHTF03,2027,1.413750002683863
Globe,C1BMHTF03,2028,0.942500002683863
Globe,C1BMHTF03,2029,0.4712500026838631
Globe,C1BMHTF03,2030,2.68386300000008e-09
Globe,C1BMHTF03,2031,2.68386300000008e-09
Globe,C1BMHTF03,2032,2.68386300000008e-09
Globe,C1BMHTF03,2033,2.68386300000008e-09
Globe,C1BMHTF03,2034,2.9177112744000004e-05
Globe,C1BMHTF03,2035,2.9177112744000004e-05
Globe,C1BMHTF03,2036,2.9177112744000004e-05
Globe,C1BMHTF03,2037,4.857645000001966e-09
Globe,C1BMHTF03,2038,2.9177112744000004e-05
Globe,C1BMHTF03,2039,4.474236000000244e-09
Globe,C1BMHTF03,2040,4.474236000000244e-09
Globe,C1BMHTF03,2041,4.474236000000244e-09
Globe,C1BMHTF03,2042,4.474236000000244e-09
Globe,C1BMHTF03,2043,2.9181047493000002e-05
Globe,C1BMHTF03,2044,2.9181047493000002e-05
Globe,C1BMHTF03,2045,2.9181047493000002e-05
Globe,C1BMHTF03,2046,3.934748999999163e-09
Globe,C1BMHTF03,2047,3.934748999999163e-09
Globe,C1BMHTF03,2048,3.934748999999163e-09
Globe,C1BMHTF03,2049,3.934748999999163e-09
Globe,C1BMHTF03,2050,3.934748999999163e-09
Globe,C1BMHTF03,2051,3.934748999999163e-09
Globe,C1BMHTF03,2052,3.934748999999163e-09
Globe,C1BMHTF03,2053,3.934748999999163e-09
Globe,C1BMHTF03,2054,3.934748999999163e-09
Globe,C1BMHTF03,2055,3.934748999999163e-09
Globe,C1BMHTF03,2056,3.934748999999163e-09
Globe,C1BMHTF03,2057,2.9176189847999998e-05
Globe,C1BMHTF03,2058,3.934748999999163e-09
Globe,C1BMHTF03,2059,2.9176573257000002e-05
Globe,C1BMHTF03,2060,3.652752999998085e-09
Globe,C1BMHTF03,2061,3.652752999998085e-09
Globe,C1BMHTF03,2062,3.652752999998085e-09
Globe,C1BMHTF03,2063,3.599595999996857e-09
Globe,C1BMHTF03,2064,3.599595999996857e-09
Globe,C1BMHTF03,2065,3.599595999996857e-09
Globe,C1BMHTF03,2066,3.599595999996857e-09
Globe,C1BMHTF03,2067,3.599595999996857e-09
Globe,C1BMHTF03,2068,3.599595999996857e-09
Globe,C1BMHTF03,2069,3.599595999996857e-09
Globe,C1BMHTF03,2070,3.599595999996857e-09
Globe,C1BMIGPCS,2021,5.907162710577801
Globe,C1BMIGPCS,2022,5.8948531653319005
Globe,C1BMIGPCS,2023,5.882543620086
Globe,C1BMIGPCS,2024,5.8702271864544
Globe,C1BMIGPCS,2025,5.8579176412085
Globe,C1BMIGPCS,2026,5.8454007591348764
Globe,C1BMIGPCS,2027,5.833091650494034
Globe,C1BMIGPCS,2028,5.820782541853193
Globe,C1BMIGPCS,2029,5.80847343321235
Globe,C1BMIGPCS,2030,5.796157436430131
Globe,C1BMIGPCS,2031,5.796157436430131
Globe,C1BMIGPCS,2032,5.796157436430131
Globe,C1BMIGPCS,2033,5.796157436430131
Globe,C1BMIGPCS,2034,7.450263006026532
Globe,C1BMIGPCS,2035,12.925564292991933
Globe,C1BMIGPCS,2036,13.617288010988311
Globe,C1BMIGPCS,2037,14.52364352704731
Globe,C1BMIGPCS,2038,21.48002895832641
Globe,C1BMIGPCS,2039,25.05479467290931
Globe,C1BMIGPCS,2040,28.584266635629213
Globe,C1BMIGPCS,2041,29.49612746262071
Globe,C1BMIGPCS,2042,33.80594479035581
Globe,C1BMIGPCS,2043,34.16784583106017
Globe,C1BMIGPCS,2044,34.16784583106017
Globe,C1BMIGPCS,2045,34.16784583106017
Globe,C1BMIGPCS,2046,34.16784583106017
Globe,C1BMIGPCS,2047,34.16784583106017
Globe,C1BMIGPCS,2048,34.16784583106017
Globe,C1BMIGPCS,2049,34.16784583106017
Globe,C1BMIGPCS,2050,34.16784583106017
Globe,C1BMIGPCS,2051,34.16784583106017
Globe,C1BMIGPCS,2052,34.16784583106017
Globe,C1BMIGPCS,2053,34.16784583106017
Globe,C1BMIGPCS,2054,34.16784583106017
Globe,C1BMIGPCS,2055,34.16784583106017
Globe,C1BMIGPCS,2056,34.168051421223346
Globe,C1BMIGPCS,2057,34.168051421223346
Globe,C1BMIGPCS,2058,34.168051421223346
Globe,C1BMIGPCS,2059,34.168051421223346
Globe,C1BMIGPCS,2060,34.168051421223346
Globe,C1BMIGPCS,2061,34.168051421223346
Globe,C1BMIGPCS,2062,34.168051421223346
Globe,C1BMIGPCS,2063,34.90997453754706
Globe,C1BMIGPCS,2064,34.16978592444366
Globe,C1BMIGPCS,2065,34.16836333695226
Globe,C1BMIGPCS,2066,34.16836333695226
Globe,C1BMIGPCS,2067,34.16784583351726
Globe,C1BMIGPCS,2068,34.16784583351726
Globe,C1BMIGPCS,2069,34.16784591766416
Globe,C1BMIGPCS,2070,34.16784591766416
Globe,C1BMSCP00,2010,6.249458596799999
Globe,C1BMSCP00,2011,5.976855346679999
Globe,C1BMSCP00,2012,5.71755709656
Globe,C1BMSCP00,2013,5.460463846439999
Globe,C1BMSCP00,2014,5.194685596319999
Globe,C1BMSCP00,2015,4.9420548462
Globe,C1BMSCP00,2016,4.69162909608
Globe,C1BMSCP00,2017,4.4326758459599995
Globe,C1BMSCP00,2018,4.1867125958399996
Globe,C1BMSCP00,2019,3.9429543457199996
Globe,C1BMSCP00,2020,3.7014010955999996
Globe,C1BMSCP00,2021,3.4515303454799997
Globe,C1BMSCP00,2022,3.21443959536
Globe,C1BMSCP00,2023,2.9795538452400003
Globe,C1BMSCP00,2024,2.7365080951200005
Globe,C1BMSCP00,2025,2.506084845
Globe,C1BMSCP00,2026,2.27786659488
Globe,C1BMSCP00,2027,2.04164584476
Globe,C1BMSCP00,2028,1.81789009464
Globe,C1BMSCP00,2029,1.59633934452
Globe,C1BMSCP00,2030,1.3769935943999998
Globe,C1BMSCP00,2031,1.1498553442800001
Globe,C1BMSCP00,2032,0.93497209416
Globe,C1BMSCP00,2033,0.72229384404
Globe,C1BMSCP00,2034,0.50198059392
Globe,C1COBRFH1,2010,1.2135500000000001
Globe,C1COBRFH1,2011,1.27985
Globe,C1COBRFH1,2012,1.3468
Globe,C1COBRFH1,2013,1.4131
Globe,C1COBRFH1,2014,1.4794
Globe,C1COBRFH1,2015,1.6757000000000002
Globe,C1COBRFH1,2016,1.8720000000000003
Globe,C1COBRFH1,2017,2.0683000000000002
Globe,C1COBRFH1,2018,2.26525
Globe,C1COBRFH1,2019,2.4615500000000003
Globe,C1COBRFH1,2020,2.78785
Globe,C1COBRFH1,2021,3.11415
Globe,C1COBRFH1,2022,3.44045
Globe,C1COBRFH1,2023,3.3773999999999997
Globe,C1COBRFH1,2024,3.3137000000000003
Globe,C1COBRFH1,2025,2.9899999999999998
Globe,C1COBRFH1,2026,2.86
Globe,C1COBRFH1,2027,2.73
Globe,C1COBRFH1,2028,2.6
Globe,C1COBRFH1,2029,2.47
Globe,C1COBRFH1,2030,2.21
Globe,C1COBRFH1,2031,1.95
Globe,C1COBRFH1,2032,1.69
Globe,C1COBRFH1,2033,1.43
Globe,C1COBRFH1,2034,1.17
Globe,C1COBRFH1,2035,0.78
Globe,C1COBRFH1,2036,0.39
Globe,C1COBRFH1,2040,0.04652605425
Globe,C1COBRFH1,2041,0.04652605425
Globe,C1COBRFH1,2042,0.04652605425
Globe,C1COBRFH1,2043,0.04652605425
Globe,C1COBRFH1,2044,0.04652605425
Globe,C1COBRFH1,2045,0.24892710375000002
Globe,C1COBRFH1,2046,0.41128313525000004
Globe,C1COBRFH1,2047,0.41128313525000004
Globe,C1COBRFH1,2048,0.41128313525000004
Globe,C1COBRFH1,2049,0.4369419509
Globe,C1COBRFH1,2050,0.9569419508999999
Globe,C1COBRFH1,2051,0.9569419508999999
Globe,C1COBRFH1,2052,0.9569345012896499
Globe,C1COBRFH1,2053,0.9569345012896499
Globe,C1COBRFH1,2054,0.9569345012896499
Globe,C1COBRFH1,2055,0.9104084470396501
Globe,C1COBRFH1,2056,0.9104084470396501
Globe,C1COBRFH1,2057,0.9104084470396501
Globe,C1COBRFH1,2058,0.9104084470396501
Globe,C1COBRFH1,2059,0.9104084470396501
Globe,C1COBRFH1,2060,0.70800739753965
Globe,C1COBRFH1,2061,0.5456513660396499
Globe,C1COBRFH1,2062,0.5456513660396499
Globe,C1COBRFH1,2063,0.5456513660396499
Globe,C1COBRFH1,2064,0.51999255038965
Globe,C1COBRFH1,2067,7.44961035e-06
Globe,C1COBRFH1,2068,7.44961035e-06
Globe,C1COBRFH1,2069,7.44961035e-06
Globe,C1COBRFH1,2070,7.44961035e-06
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.384500000000001
Globe,C1COCHP00,2012,10.1325
Globe,C1COCHP00,2013,9.87
Globe,C1COCHP00,2014,9.6075
Globe,C1COCHP00,2015,9.344999999999999
Globe,C1COCHP00,2016,9.093
Globe,C1COCHP00,2017,8.830499999999999
Globe,C1COCHP00,2018,8.568000000000001
Globe,C1COCHP00,2019,8.316
Globe,C1COCHP00,2020,8.0535
Globe,C1COCHP00,2021,7.791
Globe,C1COCHP00,2022,7.5285
Globe,C1COCHP00,2023,7.2765
Globe,C1COCHP00,2024,7.014
Globe,C1COCHP00,2025,6.751499999999999
Globe,C1COCHP00,2026,6.489
Globe,C1COCHP00,2027,6.237
Globe,C1COCHP00,2028,5.9745
Globe,C1COCHP00,2029,5.712
Globe,C1COCHP00,2030,5.4495000000000005
Globe,C1COCHP00,2031,5.197500000000001
