REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.44363768914485
Globe,ALUPLANT,2011,137.81655988203656
Globe,ALUPLANT,2012,143.19569112429434
Globe,ALUPLANT,2013,148.58252262576065
Globe,ALUPLANT,2014,153.9752500769681
Globe,ALUPLANT,2015,159.3752100468127
Globe,ALUPLANT,2016,164.781752495514
Globe,ALUPLANT,2017,170.19380913880804
Globe,ALUPLANT,2018,175.6126131262679
Globe,ALUPLANT,2019,181.03682388775565
Globe,ALUPLANT,2020,186.4675077035763
Globe,ALUPLANT,2021,191.9040546252138
Globe,ALUPLANT,2022,197.3453127087923
Globe,ALUPLANT,2023,202.792883864272
Globe,ALUPLANT,2024,208.24515918964255
Globe,ALUPLANT,2025,213.70349960418034
Globe,ALUPLANT,2026,219.16691477299068
Globe,ALUPLANT,2027,224.6346545544588
Globe,ALUPLANT,2028,230.1080846128941
Globe,ALUPLANT,2029,235.5855462092257
Globe,ALUPLANT,2030,241.068587233425
Globe,ALUPLANT,2031,246.556455732252
Globe,ALUPLANT,2032,252.04776927092902
Globe,ALUPLANT,2033,257.544619082224
Globe,ALUPLANT,2034,263.044772435328
Globe,ALUPLANT,2035,268.55037747627597
Globe,ALUPLANT,2036,274.06005429171
Globe,ALUPLANT,2037,279.572926191838
Globe,ALUPLANT,2038,285.090800702116
Globe,ALUPLANT,2039,290.611748466015
Globe,ALUPLANT,2040,296.137511322243
Globe,ALUPLANT,2041,301.66720270685
Globe,ALUPLANT,2042,307.19945761184
Globe,ALUPLANT,2043,312.736668386142
Globe,ALUPLANT,2044,318.276212032568
Globe,ALUPLANT,2045,323.8205273348463
Globe,ALUPLANT,2046,329.3682578042164
Globe,ALUPLANT,2047,334.918402017566
Globe,ALUPLANT,2048,340.4729226816822
Globe,ALUPLANT,2049,346.02963971489817
Globe,ALUPLANT,2050,351.5907100236717
Globe,ALUPLANT,2051,351.5907100236717
Globe,ALUPLANT,2052,351.5907100236717
Globe,ALUPLANT,2053,351.5907100236717
Globe,ALUPLANT,2054,351.5907100236717
Globe,ALUPLANT,2055,351.5907100236717
Globe,ALUPLANT,2056,351.5907100236717
Globe,ALUPLANT,2057,351.5907100236717
Globe,ALUPLANT,2058,351.5907100236717
Globe,ALUPLANT,2059,351.5907100236717
Globe,ALUPLANT,2060,351.5907100236717
Globe,ALUPLANT,2061,351.5907100236717
Globe,ALUPLANT,2062,351.5907100236717
Globe,ALUPLANT,2063,351.5907100236717
Globe,ALUPLANT,2064,351.5907100236717
Globe,ALUPLANT,2065,351.5907100236717
Globe,ALUPLANT,2066,351.5907100236717
Globe,ALUPLANT,2067,351.5907100236717
Globe,ALUPLANT,2068,351.5907100236717
Globe,ALUPLANT,2069,351.5907100236717
Globe,ALUPLANT,2070,351.5907100236717
Globe,C1BFRDF00,2010,4359743.397190871
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331270026677
Globe,C1BFRDF00,2014,28.20266496629333
Globe,C1BFRDF00,2015,26.277331632973333
Globe,C1BFRDF00,2016,24.261331901586658
Globe,C1BFRDF00,2017,22.389332033039995
Globe,C1BFRDF00,2018,20.645331877240007
Globe,C1BFRDF00,2019,19.02933220293333
Globe,C1BFRDF00,2020,17.530665387373343
Globe,C1BFRDF00,2022,27.714337467853795
Globe,C1BFRDF00,2023,12.76494624155081
Globe,C1BFRDF00,2024,12.064660707771992
Globe,C1BFRDF00,2025,25.255670954853798
Globe,C1BFRDF00,2026,25.255670954853798
Globe,C1BFRDF00,2027,25.093507764989
Globe,C1BFRDF00,2028,24.542073132786996
Globe,C1BFRDF00,2029,23.980992101187898
Globe,C1BFRDF00,2030,23.410009736874297
Globe,C1BFRDF00,2031,22.828862039862695
Globe,C1BFRDF00,2032,22.237273810170297
Globe,C1BFRDF00,2033,21.6349623811481
Globe,C1BFRDF00,2036,-1.1009127260729504e-06
Globe,C1BFRDF00,2037,-1.1475389114948134e-06
Globe,C1BFRDF00,2038,-1.1473652646096664e-06
Globe,C1BFRDF00,2039,-9.272286156642078e-07
Globe,C1BFRDF00,2040,1.7815066819038252e-06
Globe,C1BFRDF00,2041,8.81597905662794e-07
Globe,C1BFRDF00,2042,-1.3338198844922519e-06
Globe,C1BFRDF00,2043,8.836949335903964e-07
Globe,C1BFRDF00,2046,-2.4583171355285024e-07
Globe,C1BFRDF00,2061,-1.0347106422105807e-07
Globe,C1BMBRFH1,2010,0.000226014539826
Globe,C1BMBRFH1,2011,0.00017369456592479998
Globe,C1BMBRFH1,2012,0.0001559592825652
Globe,C1BMBRFH1,2013,0.0001448260875186
Globe,C1BMBRFH1,2014,0.000130894682673
Globe,C1BMBRFH1,2015,0.00011480652626700002
Globe,C1BMBRFH1,2016,0.00011552319798720001
Globe,C1BMBRFH1,2017,0.0001158591043928
Globe,C1BMBRFH1,2018,0.00011520101
Globe,C1BMBRFH1,2019,9.873921600000001e-05
Globe,C1BMBRFH1,2020,8.227742400000001e-05
Globe,C1BMBRFH1,2021,6.5847168e-05
Globe,C1BMBRFH1,2022,4.9385376000000004e-05
Globe,C1BMBRFH1,2023,6.445958400000001e-05
Globe,C1BMBRFH1,2024,6.1656174e-05
Globe,C1BMBRFH1,2025,6.3509619e-05
Globe,C1BMBRFH1,2026,6.3509619e-05
Globe,C1BMBRFH1,2027,6.3509619e-05
Globe,C1BMBRFH1,2028,6.3509619e-05
Globe,C1BMBRFH1,2029,6.3509619e-05
Globe,C1BMBRFH1,2030,6.3509619e-05
Globe,C1BMBRFH1,2031,6.3509619e-05
Globe,C1BMBRFH1,2032,6.3509619e-05
Globe,C1BMBRFH1,2033,6.30943104354e-05
Globe,C1BMBRFH1,2034,6.3509619e-05
Globe,C1BMBRFH1,2035,6.3509619e-05
Globe,C1BMBRFH1,2036,6.3509619e-05
Globe,C1BMBRFH1,2037,6.18193105842e-05
Globe,C1BMBRFH1,2038,2.49843835301e-05
Globe,C1BMBRFH1,2039,1.67877453176e-05
Globe,C1BMBRFH1,2070,-1.0692813246e-14
Globe,C1BMBRFN1,2010,2.20752e-05
Globe,C1BMBRFN1,2011,2.20752e-05
Globe,C1BMBRFN1,2012,2.20752e-05
Globe,C1BMBRFN1,2013,2.20752e-05
Globe,C1BMBRFN1,2014,2.20752e-05
Globe,C1BMBRFN1,2015,2.20752e-05
Globe,C1BMBRFN1,2016,2.20752e-05
Globe,C1BMBRFN1,2017,2.20752e-05
Globe,C1BMBRFN1,2018,2.20752e-05
Globe,C1BMBRFN1,2019,3.7843200000000004e-05
Globe,C1BMBRFN1,2020,5.36112e-05
Globe,C1BMBRFN1,2021,6.937920000000001e-05
Globe,C1BMBRFN1,2022,8.51472e-05
Globe,C1BMBRFN1,2023,0.0001009152
Globe,C1BMBRFN1,2024,0.0001166832
Globe,C1BMBRFN1,2025,0.00011037600000000002
Globe,C1BMBRFN1,2026,0.000126144
Globe,C1BMBRFN1,2027,0.00014191199999999998
Globe,C1BMBRFN1,2028,0.00015369811
Globe,C1BMBRFN1,2029,0.00016946611
Globe,C1BMBRFN1,2030,0.00018523411000000004
Globe,C1BMBRFN1,2031,0.00020100211000000006
Globe,C1BMBRFN1,2032,0.00021677011000000002
Globe,C1BMBRFN1,2033,0.00023253811
Globe,C1BMBRFN1,2034,0.00023253811
Globe,C1BMBRFN1,2035,0.00023253811
Globe,C1BMBRFN1,2036,0.00023253811
Globe,C1BMBRFN1,2037,0.00023253811
Globe,C1BMBRFN1,2038,0.00023253811
Globe,C1BMBRFN1,2039,0.00023253811
Globe,C1BMBRFN1,2040,0.00023253811
Globe,C1BMBRFN1,2041,0.00023253811
Globe,C1BMBRFN1,2042,0.00021859983996664
Globe,C1BMBRFN1,2043,0.00020681373000000004
