REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.619311607204
Globe,ALUPLANT,2011,16.408939091388998
Globe,ALUPLANT,2012,45.59594237120999
Globe,ALUPLANT,2013,35.85462128347199
Globe,ALUPLANT,2014,32.121740947824
Globe,ALUPLANT,2015,15.169864954532002
Globe,ALUPLANT,2016,23.95747403688
Globe,ALUPLANT,2017,36.057913281924
Globe,ALUPLANT,2018,54.303572652704
Globe,ALUPLANT,2019,78.407583394374
Globe,ALUPLANT,2020,37.613784576994995
Globe,ALUPLANT,2022,71.71320601176001
Globe,ALUPLANT,2023,9.6464313851047
Globe,ALUPLANT,2024,15.364947689145
Globe,ALUPLANT,2025,28.973418629763998
Globe,ALUPLANT,2026,41.273136574263994
Globe,ALUPLANT,2027,29.794332212736002
Globe,ALUPLANT,2028,43.511084292046
Globe,ALUPLANT,2029,43.76016202866
Globe,ALUPLANT,2030,19.080495910417003
Globe,ALUPLANT,2031,37.200806940736996
Globe,ALUPLANT,2032,37.301351700710995
Globe,ALUPLANT,2033,37.39628041577
Globe,ALUPLANT,2034,37.468574915144
Globe,ALUPLANT,2035,76.040064121245
Globe,ALUPLANT,2036,33.145636964248
Globe,ALUPLANT,2037,68.4277451742
Globe,ALUPLANT,2038,56.47665565656
Globe,ALUPLANT,2039,51.82036582304001
Globe,ALUPLANT,2040,31.225658738208
Globe,ALUPLANT,2041,41.720523959636004
Globe,ALUPLANT,2042,56.170502563896
Globe,ALUPLANT,2043,77.979821497604
Globe,ALUPLANT,2044,106.756259969155
Globe,ALUPLANT,2045,165.84950317275
Globe,ALUPLANT,2046,13.610285973982501
Globe,ALUPLANT,2047,99.297298781092
Globe,ALUPLANT,2048,24.981218697314
Globe,ALUPLANT,2049,31.710098833535998
Globe,ALUPLANT,2050,47.83206708225
Globe,ALUPLANT,2051,48.801985897799995
Globe,ALUPLANT,2052,34.9635316368
Globe,ALUPLANT,2053,50.67781401435
Globe,ALUPLANT,2054,50.589170838449995
Globe,ALUPLANT,2055,21.89538871215
