REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.12907121
Globe,ALUPLANT,2012,0.35560294
Globe,ALUPLANT,2013,0.27727176
Globe,ALUPLANT,2014,0.24632708
Globe,ALUPLANT,2015,0.11536598
Globe,ALUPLANT,2016,0.18069657
Globe,ALUPLANT,2017,0.26974394
Globe,ALUPLANT,2018,0.40294952
Globe,ALUPLANT,2019,0.57713786
Globe,ALUPLANT,2020,0.27466043
Globe,ALUPLANT,2022,0.5154488
Globe,ALUPLANT,2023,0.068795809
Globe,ALUPLANT,2024,0.10873305
Globe,ALUPLANT,2025,0.20346559
Globe,ALUPLANT,2026,0.28763732
Globe,ALUPLANT,2027,0.20607392
Globe,ALUPLANT,2028,0.29869339
Globe,ALUPLANT,2029,0.29817093
Globe,ALUPLANT,2030,0.12905071
Globe,ALUPLANT,2031,0.24976489
Globe,ALUPLANT,2032,0.24861949
Globe,ALUPLANT,2033,0.24745346
Globe,ALUPLANT,2034,0.24615544
Globe,ALUPLANT,2035,0.49600285
Globe,ALUPLANT,2036,0.21467882
Globe,ALUPLANT,2037,0.4400866
Globe,ALUPLANT,2038,0.36069435
Globe,ALUPLANT,2039,0.3286672
Globe,ALUPLANT,2040,0.19668616
Globe,ALUPLANT,2041,0.26099894
Globe,ALUPLANT,2042,0.34901496
Globe,ALUPLANT,2043,0.48126572
Globe,ALUPLANT,2044,0.65445935
Globe,ALUPLANT,2045,1.0099725
Globe,ALUPLANT,2046,0.082335633
Globe,ALUPLANT,2047,0.59676332
Globe,ALUPLANT,2048,0.14915603
Globe,ALUPLANT,2049,0.18810744
Globe,ALUPLANT,2050,0.28192065
Globe,ALUPLANT,2051,0.28763732
Globe,ALUPLANT,2052,0.20607392
Globe,ALUPLANT,2053,0.29869339
Globe,ALUPLANT,2054,0.29817093
Globe,ALUPLANT,2055,0.12905071
Globe,ALUPLANT,2056,0.24976489
Globe,ALUPLANT,2057,0.24861949
Globe,ALUPLANT,2058,0.24745346
Globe,ALUPLANT,2059,0.24615544
Globe,ALUPLANT,2060,0.49600285
Globe,ALUPLANT,2061,0.21467882
Globe,ALUPLANT,2062,0.4400866
Globe,ALUPLANT,2063,0.36069435
Globe,ALUPLANT,2064,0.3286672
Globe,ALUPLANT,2065,0.19668616
Globe,ALUPLANT,2066,0.26099894
Globe,ALUPLANT,2067,0.34901496
Globe,ALUPLANT,2068,0.48126572
Globe,ALUPLANT,2069,0.65445935
Globe,ALUPLANT,2070,1.0099725
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354386
Globe,C1BFRDF00,2032,-2.4800139e-08
Globe,C1BFRDF00,2034,2.6408199e-08
Globe,C1BFRDF00,2036,-2.1495387e-08
Globe,C1BFRDF00,2040,3.9500764e-08
Globe,C1BFRDF00,2042,-4.3231715e-08
Globe,C1BFRDF00,2043,3.9899577e-08
Globe,C1BFRDF00,2045,-3.9916173e-08
Globe,C1BFRDF00,2046,1.6746391e-08
Globe,C1BFRDF00,2048,-2.1508387e-08
Globe,C1BFRDF00,2052,3.9480486e-08
Globe,C1BFRDF00,2054,-4.4935651e-08
Globe,C1BFRDF00,2055,4.1600868e-08
Globe,C1BFRDF00,2057,-3.9896571e-08
Globe,C1BFRDF00,2058,1.5950819e-08
Globe,C1BFRDF00,2059,1.0119503e-08
Globe,C1BFRDF00,2060,-2.1536778e-08
Globe,C1BFRDF00,2068,3.9517657e-08
Globe,C1BFRDF00,2069,-1.7171423e-08
Globe,C1BFRDF00,2070,-2.2123995e-08
Globe,C1BMBRFH1,2023,0.1
Globe,C1BMBRFH1,2024,0.043310447
Globe,C1BMBRFH1,2025,0.058077233
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2019,0.05
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2021,0.05
Globe,C1BMBRFN1,2022,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.037373507
Globe,C1BMBRFN1,2029,0.05
Globe,C1BMBRFN1,2030,0.05
Globe,C1BMBRFN1,2031,0.05
Globe,C1BMBRFN1,2032,0.05
Globe,C1BMBRFN1,2033,0.05
Globe,C1BMBRFN1,2034,0.05
Globe,C1BMBRFN1,2035,0.05
Globe,C1BMBRFN1,2036,0.05
Globe,C1BMBRFN1,2037,0.05
Globe,C1BMBRFN1,2038,0.05
Globe,C1BMBRFN1,2039,0.05
Globe,C1BMBRFN1,2040,0.05
Globe,C1BMBRFN1,2041,0.05
Globe,C1BMBRFN1,2042,0.0058020461
Globe,C1BMCHP00,2016,0.002
Globe,C1BMCHP00,2017,0.002
Globe,C1BMCHP00,2018,0.002
Globe,C1BMCHP00,2019,0.002
Globe,C1BMCHP00,2020,0.01
Globe,C1BMCHP00,2021,-2.5484667e-06
Globe,C1BMCHP00,2025,2.5484615e-06
Globe,C1BMHTF03,2014,-7.7385753e-07
Globe,C1BMHTF03,2026,7.7392872e-07
Globe,C1BMHTF03,2037,-7.7379987e-07
Globe,C1BMHTF03,2038,7.7379987e-07
Globe,C1BMHTF03,2039,-7.7381004e-07
Globe,C1BMHTF03,2043,7.7391441e-07
Globe,C1BMHTF03,2060,-7.7381752e-07
Globe,C1BMHTF03,2063,7.73913e-07
Globe,C1BMIGPCS,2021,0.068883857
Globe,C1BMIGPCS,2026,-2.4432292e-06
Globe,C1BMIGPCS,2034,0.019657356
Globe,C1BMIGPCS,2035,0.065068366
Globe,C1BMIGPCS,2036,0.0082204302
Globe,C1BMIGPCS,2037,0.01077111
Globe,C1BMIGPCS,2038,0.082669539
Globe,C1BMIGPCS,2039,0.042482441
Globe,C1BMIGPCS,2040,0.041944171
Globe,C1BMIGPCS,2041,0.010836535
Globe,C1BMIGPCS,2042,0.051217779
Globe,C1BMIGPCS,2043,0.0043008244
Globe,C1BMIGPCS,2051,0.068883857
Globe,C1BMIGPCS,2063,0.0088169988
Globe,C1BMIGPCS,2064,0.01086097
Globe,C1BMIGPCS,2065,0.06505146
Globe,C1BMIGPCS,2066,0.0082204302
Globe,C1BMIGPCS,2067,0.01076496
Globe,C1BMIGPCS,2068,0.082669539
Globe,C1BMIGPCS,2069,0.042482442
Globe,C1BMIGPCS,2070,0.041944171
Globe,C1BMLP000,2011,3.2314376
Globe,C1BMLP000,2012,0.35616647
Globe,C1BMLP000,2014,-9.9492705e-08
Globe,C1BMLP000,2019,-2.8817815e-08
Globe,C1BMLP000,2037,1.2918782e-07
Globe,C1BMLP000,2040,-1.2476294e-07
Globe,C1BMLP000,2041,1.1289679e-08
Globe,C1BMLP000,2042,1.3722959e-08
Globe,C1BMLP000,2043,-2.9212995e-08
Globe,C1BMLP000,2046,-8.2632307e-08
Globe,C1BMLP000,2047,8.5156658e-08
Globe,C1BMLP000,2061,-1.5667514e-08
Globe,C1BMLP000,2062,1.2916125e-07
Globe,C1BMSCP00,2010,0.0030014288
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,4.0130816
Globe,C1CO00I00,2012,0.76573249
Globe,C1CO00I00,2013,1.4725515
Globe,C1CO00I00,2014,1.4031239
Globe,C1CO00I00,2015,0.45844101
Globe,C1CO00I00,2018,0.71566956
Globe,C1CO00I00,2019,1.1035
Globe,C1CO00I00,2020,0.8203
Globe,C1CO00I00,2047,3.6476
Globe,C1CO00I00,2048,5.2
Globe,C1CO00I00,2049,5.2
Globe,C1CO00I00,2050,5.2
Globe,C1CO00I00,2051,5.2
Globe,C1CO00I00,2052,5.2
Globe,C1CO00I00,2053,5.2
Globe,C1CO00I00,2054,5.2
Globe,C1CO00I00,2055,5.2
Globe,C1CO00I00,2056,5.2
Globe,C1CO00I00,2057,5.2
Globe,C1CO00I00,2058,5.2
Globe,C1CO00I00,2059,5.2
Globe,C1CO00I00,2060,5.2
Globe,C1CO00I00,2061,4.0130816
Globe,C1CO00I00,2062,0.76573249
Globe,C1CO00I00,2063,1.4725515
Globe,C1CO00I00,2064,1.4031239
Globe,C1CO00I00,2065,0.45844101
Globe,C1CO00I00,2068,0.71566956
Globe,C1CO00I00,2069,1.1035
Globe,C1CO00I00,2070,0.8203
Globe,C1COBRFH1,2010,0.04
Globe,C1COBRFH1,2011,0.02
Globe,C1COBRFH1,2012,0.02
Globe,C1COBRFH1,2013,0.02
Globe,C1COBRFH1,2014,0.02
Globe,C1COBRFH1,2015,0.04
Globe,C1COBRFH1,2016,0.04
Globe,C1COBRFH1,2017,0.04
Globe,C1COBRFH1,2018,0.04
Globe,C1COBRFH1,2019,0.04
Globe,C1COBRFH1,2020,0.06
Globe,C1COBRFH1,2021,0.06
Globe,C1COBRFH1,2022,0.06
Globe,C1COBRFH1,2040,0.0071578545
Globe,C1COBRFH1,2045,0.031138623
Globe,C1COBRFH1,2046,0.024977851
Globe,C1COBRFH1,2049,0.0039475101
Globe,C1COBRFH1,2050,0.08
Globe,C1COBRFH1,2052,-1.1460939e-06
Globe,C1COBRFH1,2065,1.1460939e-06
Globe,C1COHTF03,2010,0.07
Globe,C1COHTF03,2011,0.07
Globe,C1COHTF03,2012,0.07
Globe,C1COHTF03,2013,0.07
Globe,C1COHTF03,2014,0.07
Globe,C1COHTF03,2015,0.07
Globe,C1COHTF03,2016,0.09
Globe,C1COHTF03,2017,0.09
Globe,C1COHTF03,2018,0.09
Globe,C1COHTF03,2019,0.09
Globe,C1COHTF03,2020,0.09
Globe,C1COHTF03,2021,0.1
Globe,C1COHTF03,2022,0.1
Globe,C1COHTF03,2023,0.1
