REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.65000016197405
Globe,ID,ALUPLANT,ALU,2011,42.68319430391071
Globe,ID,ALUPLANT,ALU,2012,45.043709889941134
Globe,ID,ALUPLANT,ALU,2013,46.62205407899313
Globe,ID,ALUPLANT,ALU,2014,47.89611929456454
Globe,ID,ALUPLANT,ALU,2015,47.80644618981423
Globe,ID,ALUPLANT,ALU,2016,48.40175011412109
Globe,ID,ALUPLANT,ALU,2017,49.95323370078187
Globe,ID,ALUPLANT,ALU,2018,52.95472605596569
Globe,ID,ALUPLANT,ALU,2019,57.88365044158416
Globe,ID,ALUPLANT,ALU,2020,59.57625015581988
Globe,ID,ALUPLANT,ALU,2021,58.26486610204236
Globe,ID,ALUPLANT,ALU,2022,62.639386243618326
Globe,ID,ALUPLANT,ALU,2023,62.08740541219775
Globe,ID,ALUPLANT,ALU,2024,61.96918844055018
Globe,ID,ALUPLANT,ALU,2025,62.91487726987842
Globe,ID,ALUPLANT,ALU,2026,64.82797903657152
Globe,ID,ALUPLANT,ALU,2027,65.82475998082057
Globe,ID,ALUPLANT,ALU,2028,67.89886891969864
Globe,ID,ALUPLANT,ALU,2029,69.99050840936194
Globe,ID,ALUPLANT,ALU,2030,70.1221915762153
Globe,ID,ALUPLANT,ALU,2031,71.67367468435586
Globe,ID,ALUPLANT,ALU,2032,73.22511191935666
Globe,ID,ALUPLANT,ALU,2033,74.77659419197968
Globe,ID,ALUPLANT,ALU,2034,76.32803207336678
Globe,ID,ALUPLANT,ALU,2035,77.8795142613051
Globe,ID,ALUPLANT,ALU,2036,79.43095135155185
Globe,ID,ALUPLANT,ALU,2037,80.98243488398657
Globe,ID,ALUPLANT,ALU,2038,82.53387222210945
Globe,ID,ALUPLANT,ALU,2039,84.08535496260176
Globe,ID,ALUPLANT,ALU,2040,85.63679241829692
Globe,ID,ALUPLANT,ALU,2041,87.18827569678761
Globe,ID,ALUPLANT,ALU,2042,88.73971262711056
