REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.2099667
Globe,IN,ALUPLANT,1,2010,4.2099667
Globe,ID,ALUPLANT,1,2011,4.1806379
Globe,IN,ALUPLANT,1,2011,4.1806379
Globe,IP,ALUPLANT,1,2011,1.7863441
Globe,ID,ALUPLANT,1,2012,4.3779408
Globe,IN,ALUPLANT,1,2012,4.3779408
Globe,IP,ALUPLANT,1,2012,1.0591553
Globe,ID,ALUPLANT,1,2013,4.4968126
Globe,IN,ALUPLANT,1,2013,4.4968126
Globe,IP,ALUPLANT,1,2013,1.1722542
Globe,ID,ALUPLANT,1,2014,4.5847397
Globe,IN,ALUPLANT,1,2014,4.5847397
Globe,IP,ALUPLANT,1,2014,1.6036946
Globe,ID,ALUPLANT,1,2015,4.5418057
Globe,IN,ALUPLANT,1,2015,4.5418057
Globe,IP,ALUPLANT,1,2015,3.4525873
Globe,ID,ALUPLANT,1,2016,4.5641022
Globe,IN,ALUPLANT,1,2016,4.5641022
Globe,IP,ALUPLANT,1,2016,4.5641022
Globe,ID,ALUPLANT,1,2017,4.6755462
Globe,IN,ALUPLANT,1,2017,4.6755462
Globe,IP,ALUPLANT,1,2017,4.6755462
Globe,ID,ALUPLANT,1,2018,4.9200957
Globe,IN,ALUPLANT,1,2018,4.9200957
Globe,IP,ALUPLANT,1,2018,3.3046686
Globe,ID,ALUPLANT,1,2019,5.3388336
Globe,IN,ALUPLANT,1,2019,5.3388336
Globe,ID,ALUPLANT,1,2020,5.455194
Globe,IN,ALUPLANT,1,2020,5.455194
Globe,ID,ALUPLANT,1,2021,5.296794
Globe,IN,ALUPLANT,1,2021,5.296794
Globe,IP,ALUPLANT,1,2021,3.0014076
Globe,ID,ALUPLANT,1,2022,5.6538428
Globe,IN,ALUPLANT,1,2022,5.6538428
Globe,IP,ALUPLANT,1,2022,0.31953583
Globe,ID,ALUPLANT,1,2023,5.5643386
Globe,IN,ALUPLANT,1,2023,5.5643386
Globe,IP,ALUPLANT,1,2023,2.5281221
Globe,ID,ALUPLANT,1,2024,5.5146716
Globe,IN,ALUPLANT,1,2024,5.5146716
Globe,IP,ALUPLANT,1,2024,4.28144
Globe,ID,ALUPLANT,1,2025,5.5597372
Globe,IN,ALUPLANT,1,2025,5.5597372
Globe,IP,ALUPLANT,1,2025,4.9770053
Globe,ID,ALUPLANT,1,2026,5.6890746
Globe,IN,ALUPLANT,1,2026,5.6890746
Globe,IP,ALUPLANT,1,2026,4.7298276
Globe,ID,ALUPLANT,1,2027,5.7367485
Globe,IN,ALUPLANT,1,2027,5.7367485
Globe,IP,ALUPLANT,1,2027,5.3637663
Globe,ID,ALUPLANT,1,2028,5.8770419
Globe,IN,ALUPLANT,1,2028,5.8770419
Globe,IP,ALUPLANT,1,2028,4.9641613
Globe,ID,ALUPLANT,1,2029,6.0169128
Globe,IN,ALUPLANT,1,2029,6.0169128
Globe,IP,ALUPLANT,1,2029,4.5534503
Globe,ID,ALUPLANT,1,2030,5.9875635
Globe,IN,ALUPLANT,1,2030,5.9875635
Globe,IP,ALUPLANT,1,2030,5.9875635
Globe,ID,ALUPLANT,1,2031,6.0790284
Globe,IN,ALUPLANT,1,2031,6.0790284
Globe,IP,ALUPLANT,1,2031,6.0790284
Globe,ID,ALUPLANT,1,2032,6.1692479
Globe,IN,ALUPLANT,1,2032,6.1692479
Globe,IP,ALUPLANT,1,2032,6.1692479
Globe,ID,ALUPLANT,1,2033,6.2583013
Globe,IN,ALUPLANT,1,2033,6.2583013
Globe,IP,ALUPLANT,1,2033,6.2583013
Globe,ID,ALUPLANT,1,2034,6.3461568
Globe,IN,ALUPLANT,1,2034,6.3461568
Globe,IP,ALUPLANT,1,2034,6.3461568
Globe,ID,ALUPLANT,1,2035,6.4328929
Globe,IN,ALUPLANT,1,2035,6.4328929
Globe,IP,ALUPLANT,1,2035,6.4328929
Globe,ID,ALUPLANT,1,2036,6.5185005
Globe,IN,ALUPLANT,1,2036,6.5185005
Globe,IP,ALUPLANT,1,2036,6.5185005
Globe,ID,ALUPLANT,1,2037,6.6029842
Globe,IN,ALUPLANT,1,2037,6.6029842
Globe,IP,ALUPLANT,1,2037,6.6029842
Globe,ID,ALUPLANT,1,2038,6.6864068
Globe,IN,ALUPLANT,1,2038,6.6864068
Globe,IP,ALUPLANT,1,2038,6.6864068
Globe,ID,ALUPLANT,1,2039,6.7687469
Globe,IN,ALUPLANT,1,2039,6.7687469
Globe,IP,ALUPLANT,1,2039,6.7687469
Globe,ID,ALUPLANT,1,2040,6.8500671
Globe,IN,ALUPLANT,1,2040,6.8500671
Globe,IP,ALUPLANT,1,2040,6.8500671
Globe,ID,ALUPLANT,1,2041,6.9303695
Globe,IN,ALUPLANT,1,2041,6.9303695
Globe,IP,ALUPLANT,1,2041,6.9303695
Globe,ID,ALUPLANT,1,2042,7.0096405
Globe,IN,ALUPLANT,1,2042,7.0096405
Globe,IP,ALUPLANT,1,2042,7.0096405
Globe,ID,ALUPLANT,1,2043,7.0879567
Globe,IN,ALUPLANT,1,2043,7.0879567
Globe,IP,ALUPLANT,1,2043,7.0879567
Globe,ID,ALUPLANT,1,2044,7.1652782
Globe,IN,ALUPLANT,1,2044,7.1652782
Globe,IP,ALUPLANT,1,2044,7.1652782
Globe,ID,ALUPLANT,1,2045,7.9005902
Globe,IN,ALUPLANT,1,2045,7.9005902
Globe,ID,ALUPLANT,1,2046,7.9829259
Globe,IN,ALUPLANT,1,2046,7.9829259
Globe,ID,ALUPLANT,1,2047,8.0642404
Globe,IN,ALUPLANT,1,2047,8.0642404
Globe,ID,ALUPLANT,1,2048,8.1446006
Globe,IN,ALUPLANT,1,2048,8.1446006
Globe,ID,ALUPLANT,1,2049,8.223975
Globe,IN,ALUPLANT,1,2049,8.223975
Globe,ID,ALUPLANT,1,2050,8.30243
Globe,IN,ALUPLANT,1,2050,8.30243
Globe,ID,ALUPLANT,1,2051,8.30243
