REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,93.0613139035
Globe,ID,ALUPLANT,ALU,2011,93.13374275346
Globe,ID,ALUPLANT,ALU,2012,98.28433316592
Globe,ID,ALUPLANT,ALU,2013,101.72824368098
Globe,ID,ALUPLANT,ALU,2014,104.50822451356
Globe,ID,ALUPLANT,ALU,2015,104.31255987304
Globe,ID,ALUPLANT,ALU,2016,105.61149926712
Globe,ID,ALUPLANT,ALU,2017,108.99680056902001
Globe,ID,ALUPLANT,ALU,2018,115.54598746665
Globe,ID,ALUPLANT,ALU,2019,126.3007864752
Globe,ID,ALUPLANT,ALU,2020,129.99399990359998
Globe,ID,ALUPLANT,ALU,2021,127.1325902292
Globe,ID,ALUPLANT,ALU,2022,136.67769200004
Globe,ID,ALUPLANT,ALU,2023,135.47328259262
Globe,ID,ALUPLANT,ALU,2024,135.21533589472
Globe,ID,ALUPLANT,ALU,2025,137.27880704752
Globe,ID,ALUPLANT,ALU,2026,141.4531508544
Globe,ID,ALUPLANT,ALU,2027,143.62810382025
Globe,ID,ALUPLANT,ALU,2028,148.15376155291
Globe,ID,ALUPLANT,ALU,2029,152.71767054192
Globe,ID,ALUPLANT,ALU,2030,153.0050001663
Globe,ID,ALUPLANT,ALU,2031,156.39030042408
Globe,ID,ALUPLANT,ALU,2032,159.77550058773002
Globe,ID,ALUPLANT,ALU,2033,163.16079902243
Globe,ID,ALUPLANT,ALU,2034,166.54600059648
Globe,ID,ALUPLANT,ALU,2035,169.93129884639998
Globe,ID,ALUPLANT,ALU,2036,173.3164986942
Globe,ID,ALUPLANT,ALU,2037,176.70179987778
Globe,ID,ALUPLANT,ALU,2038,180.08700026644001
Globe,ID,ALUPLANT,ALU,2039,183.47229972201998
Globe,ID,ALUPLANT,ALU,2040,186.85750036722
Globe,ID,ALUPLANT,ALU,2041,190.24280099670003
Globe,ID,ALUPLANT,ALU,2042,193.62800049555
Globe,ID,ALUPLANT,ALU,2043,197.01330045485003
Globe,ID,ALUPLANT,ALU,2044,200.3985006976
Globe,ID,ALUPLANT,ALU,2045,222.32576846408
Globe,ID,ALUPLANT,ALU,2046,226.01898442151997
Globe,ID,ALUPLANT,ALU,2047,229.71230706611996
Globe,ID,ALUPLANT,ALU,2048,233.40552061462
Globe,ID,ALUPLANT,ALU,2049,237.098844045
Globe,ID,ALUPLANT,ALU,2050,240.792056318
Globe,ID,ALUPLANT,ALU,2051,240.792056318
Globe,ID,ALUPLANT,ALU,2052,240.792056318
Globe,ID,ALUPLANT,ALU,2053,240.792056318
Globe,ID,ALUPLANT,ALU,2054,240.792056318
Globe,ID,ALUPLANT,ALU,2055,240.792056318
Globe,ID,ALUPLANT,ALU,2056,240.792056318
Globe,ID,ALUPLANT,ALU,2057,240.792056318
Globe,ID,ALUPLANT,ALU,2058,240.792056318
Globe,ID,ALUPLANT,ALU,2059,240.792056318
Globe,ID,ALUPLANT,ALU,2060,240.792056318
Globe,ID,ALUPLANT,ALU,2061,240.792056318
Globe,ID,ALUPLANT,ALU,2062,240.792056318
Globe,ID,ALUPLANT,ALU,2063,240.792056318
Globe,ID,ALUPLANT,ALU,2064,240.792056318
Globe,ID,ALUPLANT,ALU,2065,240.792056318
Globe,ID,ALUPLANT,ALU,2066,240.792056318
Globe,ID,ALUPLANT,ALU,2067,240.792056318
Globe,ID,ALUPLANT,ALU,2068,240.792056318
Globe,ID,ALUPLANT,ALU,2069,240.792056318
Globe,ID,ALUPLANT,ALU,2070,240.792056318
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.6067
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.5292184
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.45603071
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.58200771
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.57351839
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.43178666
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.5280777
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.23129826
