REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_F_CLS,ID,2.269803546305
Globe,ALUPLANT,1,2010,C1_F_CLS,IN,2.269803546305
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,1.03691479821
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,1.03691479821
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.8710000105629999
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.8710000105629999
Globe,ALUPLANT,1,2010,XALU,ID,362.81493020600004
Globe,ALUPLANT,1,2010,XALU,IN,362.81493020600004
Globe,ALUPLANT,1,2011,C1_F_CLS,ID,2.2507927357915
Globe,ALUPLANT,1,2011,C1_F_CLS,IN,2.2507927357915
Globe,ALUPLANT,1,2011,C1_F_CLS,IP,0.9617408682785
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,1.0309912931568999
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,1.0309912931568999
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.44053210484509997
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.8667465719796
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.8667465719796
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.37035200418840003
Globe,ALUPLANT,1,2011,XALU,ID,363.40508493592495
Globe,ALUPLANT,1,2011,XALU,IN,363.40508493592495
Globe,ALUPLANT,1,2011,XALU,IP,155.27930065057498
Globe,ALUPLANT,1,2012,C1_F_CLS,ID,2.353668532896
Globe,ALUPLANT,1,2012,C1_F_CLS,IN,2.353668532896
Globe,ALUPLANT,1,2012,C1_F_CLS,IP,0.569423072386
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,1.0810142761584
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IN,1.0810142761584
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IP,0.2615298041419
Globe,ALUPLANT,1,2012,C1_P_HCO,ID,0.9095566026672001
Globe,ALUPLANT,1,2012,C1_P_HCO,IN,0.9095566026672001
Globe,ALUPLANT,1,2012,C1_P_HCO,IP,0.2200490459727
Globe,ALUPLANT,1,2012,XALU,ID,383.8206368472
Globe,ALUPLANT,1,2012,XALU,IN,383.8206368472
Globe,ALUPLANT,1,2012,XALU,IP,92.85773388394999
Globe,ALUPLANT,1,2013,C1_F_CLS,ID,2.4141318315604003
Globe,ALUPLANT,1,2013,C1_F_CLS,IN,2.4141318315604003
Globe,ALUPLANT,1,2013,C1_F_CLS,IP,0.6293293562868001
Globe,ALUPLANT,1,2013,C1_F_HEA_I,ID,1.1117649663484002
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IN,1.1117649663484002
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IP,0.2898210948828
Globe,ALUPLANT,1,2013,C1_P_HCO,ID,0.9362049056318
Globe,ALUPLANT,1,2013,C1_P_HCO,IN,0.9362049056318
Globe,ALUPLANT,1,2013,C1_P_HCO,IP,0.24405511866059998
Globe,ALUPLANT,1,2013,XALU,ID,397.59580385735
Globe,ALUPLANT,1,2013,XALU,IN,397.59580385735
Globe,ALUPLANT,1,2013,XALU,IP,103.64749266495
Globe,ALUPLANT,1,2014,C1_F_CLS,ID,2.4578285210333
Globe,ALUPLANT,1,2014,C1_F_CLS,IN,2.4578285210333
Globe,ALUPLANT,1,2014,C1_F_CLS,IP,0.8597230344194001
Globe,ALUPLANT,1,2014,C1_F_HEA_I,ID,1.1349293890365
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IN,1.1349293890365
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IP,0.396986579757
Globe,ALUPLANT,1,2014,C1_P_HCO,ID,0.9565050741316
Globe,ALUPLANT,1,2014,C1_P_HCO,IN,0.9565050741316
Globe,ALUPLANT,1,2014,C1_P_HCO,IP,0.3345755970088
Globe,ALUPLANT,1,2014,XALU,ID,408.7891458711
Globe,ALUPLANT,1,2014,XALU,IN,408.7891458711
Globe,ALUPLANT,1,2014,XALU,IP,142.9902216198
Globe,ALUPLANT,1,2015,C1_F_CLS,ID,2.4313375945468003
Globe,ALUPLANT,1,2015,C1_F_CLS,IN,2.4313375945468003
Globe,ALUPLANT,1,2015,C1_F_CLS,IP,1.8482528437852
Globe,ALUPLANT,1,2015,C1_F_HEA_I,ID,1.1257137935792
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IN,1.1257137935792
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IP,0.8557444778287999
Globe,ALUPLANT,1,2015,C1_P_HCO,ID,0.9495189832534
Globe,ALUPLANT,1,2015,C1_P_HCO,IN,0.9495189832534
Globe,ALUPLANT,1,2015,C1_P_HCO,IP,0.7218048061126
Globe,ALUPLANT,1,2015,XALU,ID,408.348073229875
Globe,ALUPLANT,1,2015,XALU,IN,408.348073229875
Globe,ALUPLANT,1,2015,XALU,IP,310.417808408875
Globe,ALUPLANT,1,2016,C1_F_CLS,ID,2.4397819079297998
Globe,ALUPLANT,1,2016,C1_F_CLS,IN,2.4397819079297998
Globe,ALUPLANT,1,2016,C1_F_CLS,IP,2.4397819079297998
Globe,ALUPLANT,1,2016,C1_F_HEA_I,ID,1.1326641147696
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IN,1.1326641147696
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IP,1.1326641147696
Globe,ALUPLANT,1,2016,C1_P_HCO,ID,0.9561611544911999
Globe,ALUPLANT,1,2016,C1_P_HCO,IN,0.9561611544911999
Globe,ALUPLANT,1,2016,C1_P_HCO,IP,0.9561611544911999
Globe,ALUPLANT,1,2016,XALU,ID,413.75640288989996
Globe,ALUPLANT,1,2016,XALU,IN,413.75640288989996
Globe,ALUPLANT,1,2016,XALU,IP,413.75640288989996
Globe,ALUPLANT,1,2017,C1_F_CLS,ID,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_CLS,IN,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_CLS,IP,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_HEA_I,ID,1.1617750442298
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IN,1.1617750442298
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IP,1.1617750442298
Globe,ALUPLANT,1,2017,C1_P_HCO,ID,0.9815420893122001
Globe,ALUPLANT,1,2017,C1_P_HCO,IN,0.9815420893122001
Globe,ALUPLANT,1,2017,C1_P_HCO,IP,0.9815420893122001
Globe,ALUPLANT,1,2017,XALU,ID,427.34609156655
Globe,ALUPLANT,1,2017,XALU,IN,427.34609156655
Globe,ALUPLANT,1,2017,XALU,IP,427.34609156655
Globe,ALUPLANT,1,2018,C1_F_CLS,ID,2.6225487707796
Globe,ALUPLANT,1,2018,C1_F_CLS,IN,2.6225487707796
Globe,ALUPLANT,1,2018,C1_F_CLS,IP,1.7614808945207998
Globe,ALUPLANT,1,2018,C1_F_HEA_I,ID,1.224070609203
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IN,1.224070609203
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IP,0.822168500994
Globe,ALUPLANT,1,2018,C1_P_HCO,ID,1.0350159319305
Globe,ALUPLANT,1,2018,C1_P_HCO,IN,1.0350159319305
Globe,ALUPLANT,1,2018,C1_P_HCO,IP,0.695186610039
Globe,ALUPLANT,1,2018,XALU,ID,453.36713837220003
Globe,ALUPLANT,1,2018,XALU,IN,453.36713837220003
Globe,ALUPLANT,1,2018,XALU,IP,304.51199281559997
Globe,ALUPLANT,1,2019,C1_F_CLS,ID,2.8416635884368002
Globe,ALUPLANT,1,2019,C1_F_CLS,IN,2.8416635884368002
Globe,ALUPLANT,1,2019,C1_F_HEA_I,ID,1.3299087885936
Globe,ALUPLANT,1,2019,C1_F_HEA_I,IN,1.3299087885936
Globe,ALUPLANT,1,2019,C1_P_HCO,ID,1.12542612288
Globe,ALUPLANT,1,2019,C1_P_HCO,IN,1.12542612288
Globe,ALUPLANT,1,2019,XALU,ID,495.9335960628
Globe,ALUPLANT,1,2019,XALU,IN,495.9335960628
Globe,ALUPLANT,1,2020,C1_F_CLS,ID,2.8994247006119998
Globe,ALUPLANT,1,2020,C1_F_CLS,IN,2.8994247006119998
Globe,ALUPLANT,1,2020,C1_F_HEA_I,ID,1.360596301122
Globe,ALUPLANT,1,2020,C1_F_HEA_I,IN,1.360596301122
Globe,ALUPLANT,1,2020,C1_P_HCO,ID,1.152322449396
Globe,ALUPLANT,1,2020,C1_P_HCO,IN,1.152322449396
Globe,ALUPLANT,1,2020,XALU,ID,510.810728175
Globe,ALUPLANT,1,2020,XALU,IN,510.810728175
Globe,ALUPLANT,1,2021,C1_F_CLS,ID,2.811178073208
Globe,ALUPLANT,1,2021,C1_F_CLS,IN,2.811178073208
Globe,ALUPLANT,1,2021,C1_F_CLS,IP,1.5929430583631998
Globe,ALUPLANT,1,2021,C1_F_HEA_I,ID,1.322736584856
Globe,ALUPLANT,1,2021,C1_F_HEA_I,IN,1.322736584856
Globe,ALUPLANT,1,2021,C1_F_HEA_I,IP,0.7495235115023999
Globe,ALUPLANT,1,2021,C1_P_HCO,ID,1.121161792392
Globe,ALUPLANT,1,2021,C1_P_HCO,IN,1.121161792392
Globe,ALUPLANT,1,2021,C1_P_HCO,IP,0.6353019438768
Globe,ALUPLANT,1,2021,XALU,ID,499.92863230050006
Globe,ALUPLANT,1,2021,XALU,IN,499.92863230050006
Globe,ALUPLANT,1,2021,XALU,IP,283.2826038627
Globe,ALUPLANT,1,2022,C1_F_CLS,ID,2.9963501071875998
Globe,ALUPLANT,1,2022,C1_F_CLS,IN,2.9963501071875998
Globe,ALUPLANT,1,2022,C1_F_CLS,IP,0.16934344521761
Globe,ALUPLANT,1,2022,C1_F_HEA_I,ID,1.4136585844979999
Globe,ALUPLANT,1,2022,C1_F_HEA_I,IN,1.4136585844979999
Globe,ALUPLANT,1,2022,C1_F_HEA_I,IP,0.07989514125405
Globe,ALUPLANT,1,2022,C1_P_HCO,ID,1.1991970194084
