REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,6.7098927
Globe,ALUPLANT,2048,3.2957656
Globe,ALUPLANT,2049,6.1270614
Globe,ALUPLANT,2050,12.034256
Globe,ALUPLANT,2051,14.991336
Globe,ALUPLANT,2052,12.591515
Globe,ALUPLANT,2053,20.806152
Globe,ALUPLANT,2054,23.199224
Globe,ALUPLANT,2055,11.042226
Globe,ALUPLANT,2056,23.216994
Globe,ALUPLANT,2057,24.86042
Globe,ALUPLANT,2058,26.402577
Globe,ALUPLANT,2059,27.835559
Globe,ALUPLANT,2060,59.10435
Globe,ALUPLANT,2061,26.824519
Globe,ALUPLANT,2062,57.416638
Globe,ALUPLANT,2063,48.953035
Globe,ALUPLANT,2064,46.250372
Globe,ALUPLANT,2065,28.614864
Globe,ALUPLANT,2066,39.155568
Globe,ALUPLANT,2067,53.867996
Globe,ALUPLANT,2068,76.260491
Globe,ALUPLANT,2069,106.26945
Globe,ALUPLANT,2070,167.76663
Globe,C1BFRDF00,2060,-2.1397223e-07
Globe,C1BFRDF00,2061,-5.3541015e-08
Globe,C1BFRDF00,2062,5.5560321e-08
Globe,C1BFRDF00,2063,-7.2037693e-08
Globe,C1BFRDF00,2067,-1.0176769e-07
Globe,C1BFRDF00,2068,2.9301759e-06
Globe,C1BFRDF00,2069,-1.3832069e-06
Globe,C1BFRDF00,2070,-1.9170927e-06
Globe,C1BMBRFH1,2059,-1.1641959e-08
Globe,C1BMBRFN1,2065,-2.8570193e-08
Globe,C1BMCHP00,2055,1.0297794e-07
Globe,C1BMCHP00,2070,-1.1977291e-07
Globe,C1BMHTF03,2060,-0.00040162561
Globe,C1BMHTF03,2063,0.00050087751
Globe,C1BMIGPCS,2042,8.9003144
Globe,C1BMIGPCS,2043,1.4591532
Globe,C1BMIGPCS,2051,97.052394
Globe,C1BMIGPCS,2063,21.176279
Globe,C1BMIGPCS,2064,26.730592
Globe,C1BMIGPCS,2065,163.78242
Globe,C1BMIGPCS,2066,21.139807
Globe,C1BMIGPCS,2067,28.23578
Globe,C1BMIGPCS,2068,220.87699
Globe,C1BMIGPCS,2069,115.4822
Globe,C1BMIGPCS,2070,115.87832
Globe,C1BMLP000,2047,3.6130395e-07
Globe,C1BMLP000,2061,-7.2448025e-07
Globe,C1BMLP000,2062,6.2361356e-06
Globe,C1BMLP000,2068,-6.9025739e-08
Globe,C1BMLP000,2069,-1.2489027e-08
Globe,C1BMSCP00,2069,-4.695987e-08
Globe,C1BMSCP00,2070,3.593852e-08
Globe,C1CO00I00,2047,0.00028722141
Globe,C1CO00I00,2048,0.00041709074
Globe,C1CO00I00,2049,0.0004243568
Globe,C1CO00I00,2050,0.00043127686
Globe,C1CO00I00,2051,0.0004378674
Globe,C1CO00I00,2052,0.00044414409
Globe,C1CO00I00,2053,0.0004501219
Globe,C1CO00I00,2054,0.00045581505
Globe,C1CO00I00,2055,0.0004612371
Globe,C1CO00I00,2056,0.00046640095
Globe,C1CO00I00,2057,0.00047131891
Globe,C1CO00I00,2058,0.00047600268
Globe,C1CO00I00,2059,0.00048046341
Globe,C1CO00I00,2060,0.00048471173
Globe,C1CO00I00,2061,0.00037719706
Globe,C1CO00I00,2062,7.2540061e-05
Globe,C1CO00I00,2063,0.00014053832
Globe,C1CO00I00,2064,0.00013485533
Globe,C1CO00I00,2065,4.4354583e-05
Globe,C1CO00I00,2068,7.0489254e-05
Globe,C1CO00I00,2069,0.00010926942
Globe,C1CO00I00,2070,8.1638164e-05
Globe,C1COBRFH1,2065,0.00011733157
Globe,C1COIGP00,2050,2.2335625e-08
Globe,C1COSCP00,2053,4.7549288e-08
Globe,C1COSCP00,2062,-4.8201595e-08
Globe,C1COSCPCS,2039,12.668127
Globe,C1COSCPCS,2040,32.545937
Globe,C1COSCPCS,2041,68.963114
Globe,C1COSCPCS,2042,31.204871
Globe,C1COSCPCS,2043,41.607459
Globe,C1COSCPCS,2044,63.320726
Globe,C1COSCPCS,2045,32.911893
Globe,C1COSCPCS,2046,61.775004
Globe,C1COSCPCS,2047,29.648359
Globe,C1COSCPCS,2048,73.223404
Globe,C1COSCPCS,2061,165.17016
Globe,C1COSCPCS,2063,254.2786
Globe,C1ELRDF00,2060,72.361634
Globe,C1ELRDF00,2061,175.162
Globe,C1ELRDF00,2062,267.35434
Globe,C1ELRDF00,2063,798.33566
Globe,C1ELRDF00,2064,49.279087
Globe,C1ELRDF00,2065,73.281234
Globe,C1ELRDF00,2066,97.086083
Globe,C1ELRDF00,2067,71.005597
Globe,C1ELRDF00,2068,404.18276
Globe,C1ELRDF00,2069,488.06488
Globe,C1ELRDF00,2070,1038.0669
Globe,C1GOCVP00,2035,45.45991
Globe,C1GOCVP00,2036,3.8029457
Globe,C1GOCVP00,2037,4.3522572
Globe,C1GOCVP00,2038,5.0826614
Globe,C1GOCVP00,2039,5.6771867
Globe,C1GOCVP00,2040,6.2434012
Globe,C1GOCVP00,2041,10.012488
Globe,C1GOCVP00,2042,10.5969
Globe,C1GOCVP00,2043,11.492651
Globe,C1GOCVP00,2044,12.180299
Globe,C1GOCVP00,2045,12.835202
Globe,C1GOCVP00,2046,10.853967
Globe,C1GOCVP00,2047,11.333012
Globe,C1GOCVP00,2048,11.789246
Globe,C1GOCVP00,2049,12.223754
Globe,C1GOCVP00,2050,15.165086
Globe,C1GOCVP00,2051,-4.7346611e-08
Globe,C1GOHTF03,2047,30.942829
Globe,C1GOHTF03,2048,89.704215
Globe,C1GOHTF03,2049,154.83611
Globe,C1GOHTF03,2050,241.979
Globe,C1GOHTF03,2051,56.381705
Globe,C1GOHTF03,2052,43.337138
Globe,C1GOHTF03,2053,55.634781
Globe,C1GOHTF03,2054,69.210772
Globe,C1GOHTF03,2055,141.82576
Globe,C1GOHTF03,2056,17.070357
Globe,C1GOHTF03,2060,71.690348
Globe,C1GOHTF03,2063,135.98563
Globe,C1GOHTF03,2065,14.174354
Globe,C1GOHTF03,2066,418.29401
Globe,C1GOHTF03,2067,243.18246
Globe,C1GOHTF03,2068,306.75693
Globe,C1GOHTF03,2069,614.94412
Globe,C1GOHTF03,2070,537.28896
Globe,C1HYDMP00,2010,34.857055
Globe,C1HYDMP00,2018,227.06522
Globe,C1HYDMP00,2019,231.02089
Globe,C1HYDMP00,2020,323.04176
Globe,C1HYDMP00,2033,0.34311972
Globe,C1HYDMP00,2034,408.11896
Globe,C1HYDMP00,2035,410.83716
Globe,C1HYDMP00,2036,413.42592
Globe,C1HYDMP00,2037,415.89141
Globe,C1HYDMP00,2038,313.35732
Globe,C1HYDMP00,2039,44.378207
Globe,C1HYDMP00,2040,117.11407
Globe,C1HYDMP00,2041,75.867926
Globe,C1HYDMP00,2042,76.21307
Globe,C1HYDMP00,2043,76.541778
Globe,C1HYDMP00,2044,76.854834
Globe,C1HYDMP00,2045,77.152982
Globe,C1HYDMP00,2046,63.856575
Globe,C1HYDMP00,2047,64.079579
Globe,C1HYDMP00,2048,64.291963
Globe,C1HYDMP00,2049,64.494233
Globe,C1HYDMP00,2050,64.686872
Globe,C1HYMIP00,2010,36.381271
Globe,C1LFBRFN1,2057,0.64411701
Globe,C1LFBRFN1,2059,1.640126
Globe,C1LFBRFN1,2060,2.3982074
