REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.20996668
Globe,ALUPLANT,2011,4.18063789
Globe,ALUPLANT,2012,4.37794083
Globe,ALUPLANT,2013,4.496812589999999
Globe,ALUPLANT,2014,4.584739669999999
Globe,ALUPLANT,2015,4.54180565
Globe,ALUPLANT,2016,4.56410222
Globe,ALUPLANT,2017,4.67554616
Globe,ALUPLANT,2018,4.92009568
Globe,ALUPLANT,2019,5.3388335399999995
Globe,ALUPLANT,2020,5.45519397
Globe,ALUPLANT,2021,5.2967939699999995
Globe,ALUPLANT,2022,5.653842770000001
Globe,ALUPLANT,2023,5.564338579
Globe,ALUPLANT,2024,5.514671629
Globe,ALUPLANT,2025,5.5597372190000005
Globe,ALUPLANT,2026,5.689074539
Globe,ALUPLANT,2027,5.736748458999999
Globe,ALUPLANT,2028,5.877041849
Globe,ALUPLANT,2029,6.016912779
Globe,ALUPLANT,2030,5.987563489000001
Globe,ALUPLANT,2031,6.079028379
Globe,ALUPLANT,2032,6.169247869000001
Globe,ALUPLANT,2033,6.258301329000001
Globe,ALUPLANT,2034,6.346156769
Globe,ALUPLANT,2035,6.432892939
Globe,ALUPLANT,2036,6.5185005490000005
Globe,ALUPLANT,2037,6.602984209000001
Globe,ALUPLANT,2038,6.686406799
Globe,ALUPLANT,2039,6.768746919
Globe,ALUPLANT,2040,6.850067099
Globe,ALUPLANT,2041,6.930369469
Globe,ALUPLANT,2042,7.009640489
Globe,ALUPLANT,2043,7.087956689
Globe,ALUPLANT,2044,7.1652781789999995
Globe,ALUPLANT,2045,7.900590249
Globe,ALUPLANT,2046,7.982925882
Globe,ALUPLANT,2047,8.064240402
Globe,ALUPLANT,2048,8.144600623
Globe,ALUPLANT,2049,8.223975012999999
Globe,ALUPLANT,2050,8.302430073
Globe,ALUPLANT,2051,8.302430073
Globe,ALUPLANT,2052,8.302430073
Globe,ALUPLANT,2053,8.302430073
Globe,ALUPLANT,2054,8.302430073
Globe,ALUPLANT,2055,8.302430073
Globe,ALUPLANT,2056,8.302430073
Globe,ALUPLANT,2057,8.302430073
Globe,ALUPLANT,2058,8.302430073
Globe,ALUPLANT,2059,8.302430073000002
Globe,ALUPLANT,2060,8.302430073
Globe,ALUPLANT,2061,8.302430073
Globe,ALUPLANT,2062,8.302430073
Globe,ALUPLANT,2063,8.302430073
Globe,ALUPLANT,2064,8.302430073
Globe,ALUPLANT,2065,8.302430073
Globe,ALUPLANT,2066,8.302430073
Globe,ALUPLANT,2067,8.302430073
Globe,ALUPLANT,2068,8.302430073
Globe,ALUPLANT,2069,8.302430073
Globe,ALUPLANT,2070,8.302430073
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964386
Globe,C1BFRDF00,2023,0.49664386
Globe,C1BFRDF00,2024,0.47354386
Globe,C1BFRDF00,2025,0.47354386
Globe,C1BFRDF00,2026,0.47354386
Globe,C1BFRDF00,2027,0.47354386
Globe,C1BFRDF00,2028,0.47354386
Globe,C1BFRDF00,2029,0.47354386
Globe,C1BFRDF00,2030,0.47354386
Globe,C1BFRDF00,2031,0.47354386
Globe,C1BFRDF00,2032,0.473543835199861
Globe,C1BFRDF00,2033,0.473543835199861
Globe,C1BFRDF00,2034,1.6080600000000028e-09
Globe,C1BFRDF00,2035,1.6080600000000028e-09
Globe,C1BFRDF00,2036,-1.9887326999999996e-08
Globe,C1BFRDF00,2037,-1.9887326999999996e-08
Globe,C1BFRDF00,2038,-1.9887326999999996e-08
Globe,C1BFRDF00,2039,-1.9887326999999996e-08
Globe,C1BFRDF00,2040,1.9613437000000005e-08
Globe,C1BFRDF00,2041,1.9613437000000005e-08
Globe,C1BFRDF00,2042,-2.3618277999999993e-08
Globe,C1BFRDF00,2043,1.6281299000000008e-08
Globe,C1BFRDF00,2044,4.1081438e-08
Globe,C1BFRDF00,2045,1.165265000000006e-09
Globe,C1BFRDF00,2046,-8.496542999999993e-09
Globe,C1BFRDF00,2047,-8.496542999999993e-09
Globe,C1BFRDF00,2048,-8.509542999999995e-09
Globe,C1BFRDF00,2049,-8.509542999999995e-09
Globe,C1BFRDF00,2050,-8.509542999999995e-09
Globe,C1BFRDF00,2051,-8.509542999999995e-09
Globe,C1BFRDF00,2052,-8.52982099999999e-09
