REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554772199997
Globe,ALUPLANT,2011,3.9809537970799997
Globe,ALUPLANT,2012,4.1011540893
Globe,ALUPLANT,2013,4.21954442944
Globe,ALUPLANT,2014,4.3361205386599995
Globe,ALUPLANT,2015,4.45096488544
Globe,ALUPLANT,2016,4.5641022
Globe,ALUPLANT,2017,4.6755462
Globe,ALUPLANT,2018,4.78536907986
Globe,ALUPLANT,2019,4.89357487776
Globe,ALUPLANT,2020,5.0002308204
Globe,ALUPLANT,2021,5.10535877424
Globe,ALUPLANT,2022,5.2089615987019995
Globe,ALUPLANT,2023,5.3111181439
Globe,ALUPLANT,2024,5.41182008456
Globe,ALUPLANT,2025,5.511137359539999
Globe,ALUPLANT,2026,5.609073400199999
Globe,ALUPLANT,2027,5.70564178452
Globe,ALUPLANT,2028,5.80090765796
Globe,ALUPLANT,2029,5.8948600275
Globe,ALUPLANT,2030,5.9875635
Globe,ALUPLANT,2031,6.0790284
Globe,ALUPLANT,2032,6.1692479
Globe,ALUPLANT,2033,6.2583013
Globe,ALUPLANT,2034,6.346156799999999
Globe,ALUPLANT,2035,6.432892899999999
Globe,ALUPLANT,2036,6.5185005
Globe,ALUPLANT,2037,6.6029842
Globe,ALUPLANT,2038,6.6864068
Globe,ALUPLANT,2039,6.768746899999999
Globe,ALUPLANT,2040,6.8500670999999995
Globe,ALUPLANT,2041,6.9303695
Globe,ALUPLANT,2042,7.0096405
Globe,ALUPLANT,2043,7.0879567
Globe,ALUPLANT,2044,7.1652782
Globe,ALUPLANT,2045,7.24168097732
Globe,ALUPLANT,2046,7.31714987994
Globe,ALUPLANT,2047,7.391682750639999
Globe,ALUPLANT,2048,7.46534090996
Globe,ALUPLANT,2049,7.5380954849999995
Globe,ALUPLANT,2050,7.610007337999999
Globe,ALUPLANT,2051,7.610007337999999
Globe,ALUPLANT,2052,7.610007337999999
Globe,ALUPLANT,2053,7.610007337999999
Globe,ALUPLANT,2054,7.610007337999999
Globe,ALUPLANT,2055,7.610007337999999
Globe,ALUPLANT,2056,7.610007337999999
Globe,ALUPLANT,2057,7.610007337999999
Globe,ALUPLANT,2058,7.610007337999999
Globe,ALUPLANT,2059,7.610007337999999
Globe,ALUPLANT,2060,7.610007337999999
Globe,ALUPLANT,2061,7.610007337999999
Globe,ALUPLANT,2062,7.610007337999999
Globe,ALUPLANT,2063,7.610007337999999
