REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,394.082540527142
Globe,C1BFRDF00,10.288680898098832
Globe,C1BMBRFH1,258.0435498011205
Globe,C1BMBRFN1,534.3356175202831
Globe,C1BMCHP00,26.800029805262003
Globe,C1BMHTF03,51.00308302819302
Globe,C1BMIGPCS,356.3773151909049
Globe,C1BMLP000,104.08867325352014
Globe,C1BMSCP00,7.984513258835001
Globe,C1CO00I00,6101.01324098799
Globe,C1COBRFH1,257.9137900446139
Globe,C1COCHP00,51.36707687212596
Globe,C1COHTF03,2041.1668500727294
Globe,C1COIGP00,2.8146737752770017
Globe,C1COSCP00,657.4937783244078
Globe,C1COSCPCS,294.46150653773486
Globe,C1ELEFF00,6718.8832970084
Globe,C1ELRDF00,570.8950016666122
Globe,C1ELRLF00,1018.5199997951744
Globe,C1GOCVP00,107.41393712615533
Globe,C1GOHTF03,1602.7245880112748
Globe,C1HFGCP00,16.858366603856002
Globe,C1HFGCPCH,142.75528737289102
Globe,C1HFMRF00,9929.342139776601
Globe,C1HTOOTFI,5796.3351888311
Globe,C1HTOOTFR,427.85834039531034
Globe,C1HYDMP00,1275.667847771801
Globe,C1HYMIP00,44.84430307868702
Globe,C1LFAVF00,3.057839673995
Globe,C1LFBRFH1,148.8545196773398
Globe,C1LFBRFN1,285.3409131169351
Globe,C1LFCCP00,68.307300446804
Globe,C1LFRDF00,1180.4322941029
Globe,C1LFRLF00,145.369999223924
Globe,C1NG00I00,7685.025504699089
Globe,C1NGBRFH1,538.0445436010147
Globe,C1NGBRFN1,867.3208749475002
Globe,C1NGCCP00,869.6958478465406
Globe,C1NGCCPCH,345.0980575409821
Globe,C1NGCCPCS,259.1253156606739
Globe,C1NGGCP00,115.06932759134502
Globe,C1NGGCPCH,319.83654327822404
Globe,C1NGHTF03,1258.396526008466
Globe,C1NGLP000,2.482805283733977
Globe,C1NU00I00,1183.1450929389262
Globe,C1NULWP00,435.39427935371
Globe,C1OCCVP00,2.4716339854930096
Globe,C1OI00I00,8565.48672855981
Globe,C1OIHTF03,357.6230178744757
Globe,C1OIRFP00,7850.213024209089
Globe,C1SOC1P00,336.86832557104736
Globe,C1SOTHF00,117.30895114153154
Globe,C1SOV1P00,284.3142095641854
Globe,C1SOV2P00,269.0567954597559
Globe,C1WDOFP00,397.97685602800004
Globe,C1WDONP00,590.3808488600001
Globe,CEMPLANT,704.4856908938805
Globe,DUMMYH_I,27.9630487
Globe,DUMMYH_R,135.2524387
Globe,DUMMYRD,-2.4922307742e-07
Globe,FERTPLANT,0.017961741043124993
Globe,LA,243494.77556641496
Globe,LA1,38409.38242622079
Globe,LA1_PROD,38409.38242622079
Globe,LA1_i,49292.46029374666
Globe,LA1_i_PROD,49292.46029374666
Globe,LA2,155792.9325583119
Globe,LA2_PROD,155792.9325583119
Globe,LF,311611.50455956993
Globe,LF1,154678.88916344798
Globe,LF2,156932.61530975637
Globe,LF2_PROD,156932.61530975637
Globe,LO,237900.00012577
Globe,LandRes,793542.0064201799
Globe,MFOOFACTOR,351.061361534316
Globe,PAPPLANT,420.8639688101395
Globe,PETAPLANT,0.000371891353197311
Globe,PETBPLANT,3645.846211875509
Globe,STEPLANT,1904.189674612305
Globe,VFOOFACTOR,4600.573840481002
Globe,XALUMINE,440.4083704495662
Globe,XCEMMINE,3379.151696653798
Globe,XPHOMINE,6.350344771324821e-05
Globe,XPOTMINE,1.4214460440693697e-05
Globe,XSTEMINE,3028.5212220443905
