REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.829089273608744
Globe,CO2EQ,2011,36.025048017600575
Globe,CO2EQ,2012,36.28445227989067
Globe,CO2EQ,2013,36.54245076823045
Globe,CO2EQ,2014,36.674190240801494
Globe,CO2EQ,2015,36.77582961002454
Globe,CO2EQ,2016,36.87753992247523
Globe,CO2EQ,2017,36.97917987093849
Globe,CO2EQ,2018,37.08088986475443
Globe,CO2EQ,2019,37.18253007111705
Globe,CO2EQ,2020,37.28424013334128
Globe,CO2EQ,2021,36.79535979387261
Globe,CO2EQ,2022,36.306480358450365
Globe,CO2EQ,2023,35.79382240542881
Globe,CO2EQ,2024,35.328720107796904
Globe,CO2EQ,2025,34.83983975114308
Globe,CO2EQ,2026,34.29909427412539
Globe,CO2EQ,2027,33.64425000398482
Globe,CO2EQ,2028,32.990377486344194
Globe,CO2EQ,2029,32.339939145842116
Globe,CO2EQ,2030,31.700665620904275
Globe,CO2EQ,2031,31.21044294255398
Globe,CO2EQ,2032,30.744163246631167
Globe,CO2EQ,2033,30.28318475626679
Globe,CO2EQ,2034,29.707066839861458
Globe,CO2EQ,2035,29.209249664678982
Globe,CO2EQ,2036,28.57203978515419
Globe,CO2EQ,2037,27.934829694757564
Globe,CO2EQ,2038,27.29761985805063
Globe,CO2EQ,2039,26.66040975041168
Globe,CO2EQ,2040,26.023199800261825
Globe,CO2EQ,2041,25.277840071542297
Globe,CO2EQ,2042,24.532479828281424
Globe,CO2EQ,2043,23.787189799516007
Globe,CO2EQ,2044,23.04182979677204
Globe,CO2EQ,2045,22.296539906268467
Globe,CO2EQ,2046,21.551180114447824
Globe,CO2EQ,2047,20.80588977996236
Globe,CO2EQ,2048,20.060530176381135
Globe,CO2EQ,2049,19.31516997058271
Globe,CO2EQ,2050,18.56987991381081
Globe,CO2EQ,2051,18.02899013003449
Globe,CO2EQ,2052,17.488099770568343
Globe,CO2EQ,2053,16.947280116835962
Globe,CO2EQ,2054,16.40639013677044
Globe,CO2EQ,2055,15.865499949350767
Globe,CO2EQ,2056,15.324679769929464
Globe,CO2EQ,2057,14.78379001968783
Globe,CO2EQ,2058,14.242900071785717
Globe,CO2EQ,2059,13.702079849007223
Globe,CO2EQ,2060,13.161189957216555
Globe,CO2EQ,2061,12.626880214707429
Globe,CO2EQ,2062,12.09256997225635
Globe,CO2EQ,2063,11.558260115944469
Globe,CO2EQ,2064,11.023950114911788
Globe,CO2EQ,2065,10.48963973492863
Globe,CO2EQ,2066,9.955330042173333
Globe,CO2EQ,2067,9.421019869589344
Globe,CO2EQ,2068,8.8866400158308
Globe,CO2EQ,2069,8.352329973259154
Globe,CO2EQ,2070,7.818019885517112
Globe,WATER,2010,21.89341635505287
Globe,WATER,2011,21.966185883409175
Globe,WATER,2012,22.018432859306998
Globe,WATER,2013,22.06614500708653
Globe,WATER,2014,22.12266228795179
Globe,WATER,2015,22.164383090006766
Globe,WATER,2016,22.207207379117943
Globe,WATER,2017,22.252300898731537
Globe,WATER,2018,22.467801193644746
Globe,WATER,2019,22.772060228553865
Globe,WATER,2020,23.186655966488466
Globe,WATER,2021,23.87554266260608
Globe,WATER,2022,24.659318939177453
Globe,WATER,2023,25.399733869152506
Globe,WATER,2024,26.185576744771645
Globe,WATER,2025,27.031713134603336
Globe,WATER,2026,27.903731802625256
Globe,WATER,2027,28.84524890091942
Globe,WATER,2028,29.832507328718762
Globe,WATER,2029,30.869154984372855
Globe,WATER,2030,31.95800575315147
Globe,WATER,2031,33.08986397849447
Globe,WATER,2032,34.274519078959976
Globe,WATER,2033,35.52729840784721
Globe,WATER,2034,37.3021318275656
Globe,WATER,2035,39.141659809910166
Globe,WATER,2036,41.042295335383976
Globe,WATER,2037,43.03453725205908
Globe,WATER,2038,45.00252762310959
Globe,WATER,2039,46.87021176249839
Globe,WATER,2040,48.650362121487625
Globe,WATER,2041,49.48817336004595
Globe,WATER,2042,48.80446894075903
Globe,WATER,2043,48.13335447803233
Globe,WATER,2044,47.512209388680475
Globe,WATER,2045,46.90082979020244
Globe,WATER,2046,46.30501902130503
Globe,WATER,2047,45.73046031442465
Globe,WATER,2048,45.18610512858618
Globe,WATER,2049,44.634006516606036
Globe,WATER,2050,44.10975817314482
Globe,WATER,2051,44.18124910133759
Globe,WATER,2052,44.21635132560462
Globe,WATER,2053,44.2509590420503
Globe,WATER,2054,44.28541339746092
Globe,WATER,2055,44.32616241188228
Globe,WATER,2056,44.375130020004526
Globe,WATER,2057,44.41164806841551
Globe,WATER,2058,44.461027150743156
Globe,WATER,2059,44.520943419225894
Globe,WATER,2060,44.581854635688735
Globe,WATER,2061,44.58980227839888
Globe,WATER,2062,44.59311201633396
Globe,WATER,2063,44.58536337442825
Globe,WATER,2064,44.644036889045836
Globe,WATER,2065,44.62950747184042
Globe,WATER,2066,44.62404181308223
Globe,WATER,2067,44.60520568832278
Globe,WATER,2068,44.59996567781219
Globe,WATER,2069,44.59167945584197
Globe,WATER,2070,44.56238425253865
