REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.52872
Globe,C1BMBRFH1,2022,2.6465399999999994
Globe,C1BMBRFH1,2023,2.8113640944999996
Globe,C1BMBRFH1,2024,3.3058105209999993
Globe,C1BMBRFH1,2025,4.069130201499999
Globe,C1BMBRFH1,2026,4.176098541939999
Globe,C1BMBRFH1,2027,4.176098541939999
Globe,C1BMBRFH1,2028,4.176098541939999
Globe,C1BMBRFH1,2029,4.176098541939999
Globe,C1BMBRFH1,2030,4.176098541939999
Globe,C1BMBRFH1,2031,4.176098541939999
Globe,C1BMBRFH1,2032,4.176098541939999
Globe,C1BMBRFH1,2033,4.176098541939999
Globe,C1BMBRFH1,2034,4.303931346909999
Globe,C1BMBRFH1,2035,4.303931346909999
Globe,C1BMBRFH1,2036,4.303931346909999
Globe,C1BMBRFH1,2037,4.303931346909999
Globe,C1BMBRFH1,2038,3.2569272524099997
Globe,C1BMBRFH1,2039,1.8803008259099998
Globe,C1BMBRFH1,2040,0.23480114541
Globe,C1BMBRFH1,2041,0.12783280497
Globe,C1BMBRFH1,2042,0.12783280497
Globe,C1BMBRFH1,2043,0.12783280497
Globe,C1BMBRFH1,2044,0.12783280497
Globe,C1BMBRFH1,2045,0.12783280497
Globe,C1BMBRFH1,2046,0.12783280497
Globe,C1BMBRFH1,2047,0.12783280497
Globe,C1BMBRFH1,2048,0.12783280497
Globe,C1BMBRFN1,2010,1.183
Globe,C1BMBRFN1,2011,1.183
Globe,C1BMBRFN1,2012,1.183
Globe,C1BMBRFN1,2013,1.183
Globe,C1BMBRFN1,2014,1.183
Globe,C1BMBRFN1,2015,1.183
Globe,C1BMBRFN1,2016,1.183
Globe,C1BMBRFN1,2017,1.183
Globe,C1BMBRFN1,2018,1.183
Globe,C1BMBRFN1,2019,2.0215721357
Globe,C1BMBRFN1,2020,2.8665721357
Globe,C1BMBRFN1,2021,3.7115721357
Globe,C1BMBRFN1,2022,4.5565721357
Globe,C1BMBRFN1,2023,5.4015721356999995
Globe,C1BMBRFN1,2024,6.246572135699999
Globe,C1BMBRFN1,2025,5.908572135699999
Globe,C1BMBRFN1,2026,6.7535721357
Globe,C1BMBRFN1,2027,7.5985721357
Globe,C1BMBRFN1,2028,8.443572135699998
Globe,C1BMBRFN1,2029,9.288572135699999
Globe,C1BMBRFN1,2030,10.133572135700001
Globe,C1BMBRFN1,2031,10.978572135700002
Globe,C1BMBRFN1,2032,11.823572135700003
Globe,C1BMBRFN1,2033,12.668572135700003
Globe,C1BMBRFN1,2034,12.675000000000002
Globe,C1BMBRFN1,2035,12.675000000000002
Globe,C1BMBRFN1,2036,12.675000000000002
Globe,C1BMBRFN1,2037,12.675000000000002
Globe,C1BMBRFN1,2038,12.675000000000002
Globe,C1BMBRFN1,2039,12.675000000000002
Globe,C1BMBRFN1,2040,12.675000000000002
Globe,C1BMBRFN1,2041,12.675000000000002
Globe,C1BMBRFN1,2042,12.675000000000002
Globe,C1BMBRFN1,2043,12.675000000000002
Globe,C1BMBRFN1,2044,11.830000000000002
Globe,C1BMBRFN1,2045,10.985000000000001
Globe,C1BMBRFN1,2046,10.14
Globe,C1BMBRFN1,2047,9.295
Globe,C1BMBRFN1,2048,8.45
Globe,C1BMBRFN1,2049,7.6049999999999995
Globe,C1BMBRFN1,2050,6.76
Globe,C1BMBRFN1,2051,5.914999999999999
Globe,C1BMBRFN1,2052,5.069999999999999
Globe,C1BMBRFN1,2053,4.225
Globe,C1BMBRFN1,2054,3.38
Globe,C1BMBRFN1,2055,2.535
Globe,C1BMBRFN1,2056,1.69
Globe,C1BMBRFN1,2057,0.845
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.3651999999999997
Globe,C1BMCHP00,2017,2.4462
Globe,C1BMCHP00,2018,2.5353000000000003
Globe,C1BMCHP00,2019,2.6163
Globe,C1BMCHP00,2020,3.3453000000000004
Globe,C1BMCHP00,2021,3.2643000000000004
Globe,C1BMCHP00,2022,3.1914000000000002
Globe,C1BMCHP00,2023,3.1104000000000003
Globe,C1BMCHP00,2024,3.0294000000000003
Globe,C1BMCHP00,2025,2.9565000000000006
Globe,C1BMCHP00,2026,2.8755
Globe,C1BMCHP00,2027,2.7945
Globe,C1BMCHP00,2028,2.7135000000000002
Globe,C1BMCHP00,2029,2.6406000000000005
Globe,C1BMCHP00,2030,2.5596
Globe,C1BMCHP00,2031,2.4786
Globe,C1BMCHP00,2032,2.4057000000000004
Globe,C1BMCHP00,2033,2.3247000000000004
Globe,C1BMCHP00,2034,2.2437
Globe,C1BMCHP00,2035,2.1627
Globe,C1BMCHP00,2036,2.0898000000000003
Globe,C1BMCHP00,2037,2.0088000000000004
Globe,C1BMCHP00,2038,1.9278000000000002
Globe,C1BMCHP00,2039,1.8549000000000002
Globe,C1BMCHP00,2040,1.7739000000000003
Globe,C1BMCHP00,2041,1.6929
Globe,C1BMCHP00,2042,1.6119
Globe,C1BMCHP00,2043,1.5390000000000001
Globe,C1BMCHP00,2044,1.4580000000000002
Globe,C1BMCHP00,2045,1.4580000000000002
Globe,C1BMCHP00,2046,1.4580000000000002
Globe,C1BMCHP00,2047,1.4580000000000002
Globe,C1BMCHP00,2048,1.4580000000000002
Globe,C1BMCHP00,2049,1.4580000000000002
Globe,C1BMCHP00,2050,1.4580000000000002
Globe,C1BMCHP00,2051,1.296
Globe,C1BMCHP00,2052,1.1340000000000001
Globe,C1BMCHP00,2053,0.972
Globe,C1BMCHP00,2054,0.81
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53246
Globe,C1BMHTF03,2015,7.06121
Globe,C1BMHTF03,2016,6.5899600000000005
Globe,C1BMHTF03,2017,6.11871
Globe,C1BMHTF03,2018,5.64746
Globe,C1BMHTF03,2019,5.17621
Globe,C1BMHTF03,2020,4.70873
Globe,C1BMHTF03,2021,4.237480000000001
Globe,C1BMHTF03,2022,3.76623
Globe,C1BMHTF03,2023,3.2949800000000002
Globe,C1BMHTF03,2024,2.82373
Globe,C1BMHTF03,2025,2.35248
Globe,C1BMHTF03,2026,1.8812300000000002
Globe,C1BMHTF03,2027,1.41375
Globe,C1BMHTF03,2028,0.9425000000000001
Globe,C1BMHTF03,2029,0.47125000000000006
Globe,C1BMIGPCS,2021,5.5476045537742
Globe,C1BMIGPCS,2022,5.5360442679641
Globe,C1BMIGPCS,2023,5.524483982154
Globe,C1BMIGPCS,2024,5.5129172272416005
Globe,C1BMIGPCS,2025,5.501356941431499
Globe,C1BMIGPCS,2026,5.4897966556214
Globe,C1BMIGPCS,2027,5.4782363698113
Globe,C1BMIGPCS,2028,5.4666760840012
Globe,C1BMIGPCS,2029,5.4551157981911
Globe,C1BMIGPCS,2030,5.443549043278701
Globe,C1BMIGPCS,2031,5.443549043278701
Globe,C1BMIGPCS,2032,5.443549043278701
Globe,C1BMIGPCS,2033,5.443549043278701
Globe,C1BMIGPCS,2034,5.505453159273318
Globe,C1BMIGPCS,2035,11.675943485041518
Globe,C1BMIGPCS,2036,12.923875670801516
Globe,C1BMIGPCS,2037,14.096744361975816
Globe,C1BMIGPCS,2038,18.629992661789014
Globe,C1BMIGPCS,2039,24.723014911157115
Globe,C1BMIGPCS,2040,30.63233471678482
Globe,C1BMIGPCS,2041,32.257990808519516
Globe,C1BMIGPCS,2042,33.743598017002014
Globe,C1BMIGPCS,2043,34.167845868858954
Globe,C1BMIGPCS,2044,34.167845868858954
Globe,C1BMIGPCS,2045,34.167845868858954
Globe,C1BMIGPCS,2046,34.167845868858954
Globe,C1BMIGPCS,2047,34.167845868858954
Globe,C1BMIGPCS,2048,34.167845868858954
Globe,C1BMIGPCS,2049,34.167845868858954
Globe,C1BMIGPCS,2050,34.167845868858954
Globe,C1BMIGPCS,2051,34.16784586885896
Globe,C1BMIGPCS,2052,34.16784586885896
Globe,C1BMIGPCS,2053,34.16784586885896
Globe,C1BMIGPCS,2054,34.16784586885896
Globe,C1BMIGPCS,2055,34.16784586885896
Globe,C1BMIGPCS,2056,34.16784586885896
Globe,C1BMIGPCS,2057,34.16784586885896
Globe,C1BMIGPCS,2058,34.16784586885896
Globe,C1BMIGPCS,2059,34.16784586885896
Globe,C1BMIGPCS,2060,34.16784586885896
Globe,C1BMIGPCS,2061,34.16784586885896
Globe,C1BMIGPCS,2062,34.16784586885896
Globe,C1BMIGPCS,2063,34.16784586885896
Globe,C1BMIGPCS,2064,34.169991359843856
Globe,C1BMIGPCS,2065,34.16920744732345
Globe,C1BMIGPCS,2066,35.32826552853526
Globe,C1BMIGPCS,2067,34.16784577882178
Globe,C1BMIGPCS,2068,34.16784577882177
Globe,C1BMIGPCS,2069,34.16784577882178
Globe,C1BMIGPCS,2070,34.16784577882178
Globe,C1BMSCP00,2010,6.249458596799999
Globe,C1BMSCP00,2011,5.976855346679999
Globe,C1BMSCP00,2012,5.71755709656
Globe,C1BMSCP00,2013,5.460463846439999
Globe,C1BMSCP00,2014,5.194685596319999
Globe,C1BMSCP00,2015,4.9420548462
Globe,C1BMSCP00,2016,4.69162909608
Globe,C1BMSCP00,2017,4.4326758459599995
Globe,C1BMSCP00,2018,4.1867125958399996
Globe,C1BMSCP00,2019,3.9429543457199996
Globe,C1BMSCP00,2020,3.7014010955999996
Globe,C1BMSCP00,2021,3.4515303454799997
Globe,C1BMSCP00,2022,3.21443959536
Globe,C1BMSCP00,2023,2.9795538452400003
Globe,C1BMSCP00,2024,2.7365080951200005
Globe,C1BMSCP00,2025,2.506084845
Globe,C1BMSCP00,2026,2.27786659488
Globe,C1BMSCP00,2027,2.04164584476
Globe,C1BMSCP00,2028,1.81789009464
Globe,C1BMSCP00,2029,1.59633934452
Globe,C1BMSCP00,2030,1.3769935943999998
Globe,C1BMSCP00,2031,1.1498553442800001
Globe,C1BMSCP00,2032,0.93497209416
Globe,C1BMSCP00,2033,0.72229384404
Globe,C1BMSCP00,2034,0.50198059392
Globe,C1COBRFH1,2010,1.2135500000000001
Globe,C1COBRFH1,2011,1.27985
Globe,C1COBRFH1,2012,1.3468
Globe,C1COBRFH1,2013,1.4131
Globe,C1COBRFH1,2014,1.4794
Globe,C1COBRFH1,2015,1.6757000000000002
Globe,C1COBRFH1,2016,1.8720000000000003
Globe,C1COBRFH1,2017,2.0683000000000002
Globe,C1COBRFH1,2018,2.26525
Globe,C1COBRFH1,2019,2.4615500000000003
Globe,C1COBRFH1,2020,2.78785
Globe,C1COBRFH1,2021,3.11415
Globe,C1COBRFH1,2022,3.44045
Globe,C1COBRFH1,2023,3.3773999999999997
Globe,C1COBRFH1,2024,3.3137000000000003
Globe,C1COBRFH1,2025,2.9899999999999998
Globe,C1COBRFH1,2026,2.86
Globe,C1COBRFH1,2027,2.73
Globe,C1COBRFH1,2028,2.6
Globe,C1COBRFH1,2029,2.47
Globe,C1COBRFH1,2030,2.21
Globe,C1COBRFH1,2031,1.95
Globe,C1COBRFH1,2032,1.69
Globe,C1COBRFH1,2033,1.43
Globe,C1COBRFH1,2034,1.17
Globe,C1COBRFH1,2035,0.78
Globe,C1COBRFH1,2036,0.39
Globe,C1COBRFH1,2039,0.014896677900000002
Globe,C1COBRFH1,2040,0.1768861679
Globe,C1COBRFH1,2041,0.1768861679
Globe,C1COBRFH1,2042,0.1768861679
Globe,C1COBRFH1,2043,0.1768861679
Globe,C1COBRFH1,2044,0.1768861679
Globe,C1COBRFH1,2045,0.1768861679
Globe,C1COBRFH1,2046,0.1768861679
Globe,C1COBRFH1,2047,0.1768861679
Globe,C1COBRFH1,2048,0.1768861679
Globe,C1COBRFH1,2049,0.1768861679
Globe,C1COBRFH1,2050,0.5154336563999999
Globe,C1COBRFH1,2051,0.7075721548999999
Globe,C1COBRFH1,2052,0.7075721548999999
Globe,C1COBRFH1,2053,0.7075721548999999
Globe,C1COBRFH1,2054,0.692675477
Globe,C1COBRFH1,2055,0.530685987
Globe,C1COBRFH1,2056,0.530685987
Globe,C1COBRFH1,2057,0.530685987
Globe,C1COBRFH1,2058,0.530685987
Globe,C1COBRFH1,2059,0.530685987
Globe,C1COBRFH1,2060,0.530685987
Globe,C1COBRFH1,2061,0.530685987
Globe,C1COBRFH1,2062,0.530685987
Globe,C1COBRFH1,2063,0.530685987
Globe,C1COBRFH1,2064,0.530685987
Globe,C1COBRFH1,2065,0.1921384985
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.384500000000001
Globe,C1COCHP00,2012,10.1325
Globe,C1COCHP00,2013,9.87
Globe,C1COCHP00,2014,9.6075
Globe,C1COCHP00,2015,9.344999999999999
Globe,C1COCHP00,2016,9.093
Globe,C1COCHP00,2017,8.830499999999999
Globe,C1COCHP00,2018,8.568000000000001
Globe,C1COCHP00,2019,8.316
Globe,C1COCHP00,2020,8.0535
Globe,C1COCHP00,2021,7.791
Globe,C1COCHP00,2022,7.5285
Globe,C1COCHP00,2023,7.2765
Globe,C1COCHP00,2024,7.014
Globe,C1COCHP00,2025,6.751499999999999
Globe,C1COCHP00,2026,6.489
Globe,C1COCHP00,2027,6.237
Globe,C1COCHP00,2028,5.9745
Globe,C1COCHP00,2029,5.712
Globe,C1COCHP00,2030,5.4495000000000005
Globe,C1COCHP00,2031,5.197500000000001
Globe,C1COCHP00,2032,4.935
Globe,C1COCHP00,2033,4.672499999999999
Globe,C1COCHP00,2034,4.41
Globe,C1COCHP00,2035,4.158
Globe,C1COCHP00,2036,3.8955
Globe,C1COCHP00,2037,3.633
Globe,C1COCHP00,2038,3.381
Globe,C1COCHP00,2039,3.1185
Globe,C1COCHP00,2040,2.856
Globe,C1COCHP00,2041,2.5935
Globe,C1COCHP00,2042,2.3415
Globe,C1COCHP00,2043,2.079
Globe,C1COCHP00,2044,1.8165
Globe,C1COCHP00,2045,1.554
Globe,C1COCHP00,2046,1.302
Globe,C1COCHP00,2047,1.0395
Globe,C1COCHP00,2048,0.777
Globe,C1COCHP00,2049,0.5145
Globe,C1COCHP00,2050,0.2625
Globe,C1COCHP00,2051,0.2625
Globe,C1COCHP00,2052,0.2625
Globe,C1COCHP00,2053,0.2625
Globe,C1COCHP00,2054,0.2625
Globe,C1COCHP00,2055,0.2625
Globe,C1COCHP00,2056,0.2625
Globe,C1COCHP00,2057,0.2625
Globe,C1COCHP00,2058,0.2625
Globe,C1COCHP00,2059,0.2625
Globe,C1COCHP00,2060,0.2625
Globe,C1COCHP00,2061,0.2625
Globe,C1COCHP00,2062,0.2625
Globe,C1COCHP00,2063,0.2625
Globe,C1COCHP00,2064,0.2625
Globe,C1COCHP00,2065,0.2625
Globe,C1COCHP00,2066,0.2625
Globe,C1COCHP00,2067,0.2625
Globe,C1COCHP00,2068,0.2625
Globe,C1COCHP00,2069,0.2625
Globe,C1COCHP00,2070,0.2625
Globe,C1COHTF03,2010,6.697236000000001
Globe,C1COHTF03,2011,6.763847999999999
Globe,C1COHTF03,2012,6.829914
Globe,C1COHTF03,2013,6.896526000000001
Globe,C1COHTF03,2014,6.963138000000001
Globe,C1COHTF03,2015,7.029750000000001
Globe,C1COHTF03,2016,7.205016
Globe,C1COHTF03,2017,7.380828
Globe,C1COHTF03,2018,7.55664
Globe,C1COHTF03,2019,7.731906
Globe,C1COHTF03,2020,7.907718000000001
Globe,C1COHTF03,2021,8.13813
Globe,C1COHTF03,2022,8.367996
Globe,C1COHTF03,2023,8.598408000000001
Globe,C1COHTF03,2024,8.82882
Globe,C1COHTF03,2025,9.059232000000002
Globe,C1COHTF03,2026,8.2992
